block line confidence X1 Y1 X2 Y2 token
0 0 0.9975938200950623 489 189 591 216 finetune
0 0 0.9995735287666321 628 187 681 221 test
0 0 0.9689100384712219 678 185 807 226 perplexity
0 0 0.9899897575378418 849 178 915 212 tions
0 0 0.9988921284675598 915 178 1022 212 between
0 0 0.99748694896698 1020 175 1167 216 dimensions
0 0 0.9974371194839478 1166 178 1230 214 does
0 0 0.7661982774734497 1221 180 1421 214 notcompensate
0 0 0.9937883019447327 1421 178 1465 214 for
1 0 0.9999727010726929 849 214 896 253 the
1 0 0.9989816546440125 898 216 1019 251 increased
1 0 0.7944886088371277 1020 216 1208 258 expressiveness
1 0 0.9800641536712646 1208 214 1246 251 of
1 0 0.9954754710197449 1246 219 1290 248 the
1 0 0.8657487034797668 1292 214 1376 248 model
1 0 0.9737223386764526 1377 216 1431 251 due
1 0 0.9153187274932861 1432 221 1465 251 to
1 1 0.9998170733451843 849 253 896 290 the
1 1 0.9998760223388672 899 255 977 292 larger
1 1 0.9999692440032959 980 253 1070 287 hidden
1 1 0.999679446220398 1075 255 1140 290 state
1 1 0.99370276927948 1141 253 1204 290 size.
1 1 0.9991897940635681 1219 251 1318 292 Further
1 1 0.9936951994895935 1318 253 1463 294 experimen-
1 2 0.999782145023346 851 292 933 326 tation,
1 2 0.9999910593032837 938 290 1001 326 with
1 2 0.9964949488639832 1004 290 1078 326 tuned
1 2 0.9051445126533508 1082 292 1298 333 hyperparameters,
1 2 0.9999004602432251 1303 292 1332 326 is
1 2 0.9965804219245911 1335 292 1429 326 needed
1 2 0.9998856782913208 1432 294 1465 324 to
1 3 0.9993725419044495 849 370 917 406 ness,
1 3 0.9885714650154114 917 365 952 404 in
1 3 0.9993471503257751 952 372 1025 399 terms
1 3 0.9790086150169373 1028 367 1064 402 of
1 3 0.9997671246528625 1064 367 1146 402 model
1 3 0.9995133876800537 1148 367 1211 404 size,
1 3 0.9849281907081604 1213 370 1326 404 resulting
1 3 0.9823598861694336 1329 370 1461 404 perplexity,
1 4 0.9999967813491821 849 440 875 475 4
1 4 0.9999068975448608 901 440 1003 484 Sparse
1 4 0.9986760020256042 1006 440 1091 475 Word
1 4 0.9970398545265198 1093 440 1277 481 Embeddings
1 5 0.9937001466751099 881 500 961 534 Given
1 5 0.9999125003814697 962 502 986 534 a
1 5 0.6902695894241333 988 502 1125 536 vocabulary
1 5 0.9983263611793518 1130 497 1190 534 with
1 5 0.9986364245414734 1195 500 1224 534 V
1 5 0.9983780384063721 1227 497 1318 539 words,
1 5 0.9999101161956787 1319 504 1361 534 we
1 5 0.9998865127563477 1364 504 1431 532 want
1 5 0.9999171495437622 1432 504 1465 532 to
1 6 0.8135961890220642 851 541 967 568 construct
1 6 0.9997492432594299 975 539 1059 573 vector
1 6 0.625336766242981 1064 541 1253 575 representations
1 6 0.9942850470542908 1259 536 1298 573 of
1 6 0.9980599284172058 1301 539 1385 577 length
1 6 0.9880629777908325 1390 539 1416 573 k
1 6 0.9949634075164795 1423 541 1465 571 for
1 7 0.9999468326568604 849 575 914 609 each
1 7 0.99813312292099 915 575 985 609 word
1 7 0.9999878406524658 986 575 1051 609 such
1 7 0.99997878074646 1053 575 1108 609 that
1 7 0.9999932050704956 1109 577 1153 607 the
1 7 0.9996463060379028 1154 575 1216 609 total
1 7 0.9677566885948181 1221 577 1319 605 number
1 7 0.9781408309936523 1321 573 1358 612 of
1 7 0.726719319820404 1356 575 1463 616 parame-
1 8 0.9998196959495544 849 614 902 648 ters
1 8 0.9942535758018494 902 616 993 644 needed
1 8 0.9129969477653503 994 614 1057 650 (i.e.,
1 8 0.8258581757545471 1057 619 1172 646 non-zero
1 8 0.8716758489608765 1171 612 1279 653 entries),
1 8 0.9999562501907349 1279 614 1306 648 is
1 8 0.9999151229858398 1306 612 1405 646 smaller
1 8 0.9999414682388306 1405 612 1465 646 than
2 0 0.6461099982261658 200 237 298 278 (Merity
2 0 0.9995222091674805 298 242 329 274 et
2 0 0.9450977444648743 326 237 373 276 al.,
2 0 0.9935048818588257 369 239 449 274 2017)
2 1 0.9845473170280457 198 276 305 310 baseline
2 2 0.9774569869041443 198 317 282 356 sparse
2 2 0.9533308744430542 281 310 369 351 LSTM
2 3 0.9617006778717041 198 365 298 406 (Merity
2 3 0.9995222091674805 298 370 329 402 et
2 3 0.5728630423545837 324 365 450 406 al,2017)
2 4 0.9845473170280457 198 404 305 438 baseline
2 5 0.9997974038124084 198 445 281 479 sparse
2 5 0.8883596658706665 282 443 368 477 LSTM
2 6 0.9836658835411072 197 555 279 589 (mean
2 6 0.8736393451690674 281 552 310 587 
2 6 0.9847438931465149 310 550 400 591 stdev).
3 0 0.9993889331817627 520 244 558 271 no
3 1 0.9996705055236816 520 283 558 310 no
3 2 0.9896955490112305 521 319 558 347 no
3 3 0.9987248778343201 515 372 565 406 yes
3 4 0.9929821491241455 515 408 565 445 yes
3 5 0.9993224143981934 515 445 565 481 yes
4 0 0.9998509883880615 689 237 749 274 58.8
4 1 0.9992582201957703 650 276 713 310 58.8
4 1 0.5186113119125366 712 278 741 308 
4 1 0.9996094107627869 743 278 786 308 0.3
4 2 0.7613549828529358 689 365 749 402 57.3
4 3 0.9975160360336304 650 440 713 475 57.0
4 3 0.4445861876010895 712 443 741 475 
4 3 0.9984398484230042 741 440 788 477 0.2
5 0 0.9999202489852905 646 312 713 347 57.9
5 0 0.6875635981559753 713 315 743 347 E
5 0 0.9999126195907593 741 312 794 347 0.3
5 0 0.999716579914093 851 328 978 363 determine
5 0 0.9997695088386536 978 331 1022 360 the
5 0 0.9973690509796143 1022 328 1101 363 actual
5 0 0.9995943903923035 1103 328 1204 363 benefits
5 0 0.9997097849845886 1203 331 1237 360 of
5 0 0.7184869647026062 1235 328 1371 370 predefined
5 0 0.6094175577163696 1371 333 1463 367 sparse-
5 1 0.9999440908432007 646 404 713 438 56.6
5 1 0.6600975394248962 713 406 743 436 t
5 1 0.9974561333656311 736 404 793 438 0.2
5 1 0.9991305470466614 849 404 902 438 and
5 1 0.9711254835128784 898 402 1033 443 sensitivity
5 1 0.999751627445221 1032 406 1064 438 to
5 1 0.9948863387107849 1064 406 1108 436 the
5 1 0.9992160797119141 1109 404 1195 438 choice
5 1 0.9987416863441467 1196 406 1229 438 of
5 1 0.9858352541923523 1227 404 1444 445 hyperparameters.
6 0 0.9999918937683105 197 518 264 545 Table
6 0 0.9998013377189636 264 516 290 548 1:
6 0 0.9997242093086243 298 518 421 552 Language
6 0 0.987027645111084 423 511 545 555 modeling
6 0 0.992552638053894 544 513 589 550 for
6 0 0.9999938011169434 587 513 650 548 PTB
7 0 0.46415892243385315 193 648 264 692 is=
7 0 0.958784282207489 258 650 298 689 hs
7 0 0.9686583280563354 300 653 331 685 =
7 0 0.9933567643165588 332 648 418 692 1725).
7 0 0.9985764026641846 423 650 503 685 Dense
7 0 0.9999740123748779 505 650 557 687 and
7 0 0.9997361302375793 557 655 642 689 sparse
7 0 0.9996553659439087 644 650 746 685 variants
7 0 0.9999185800552368 746 650 810 687 have
7 0 0.9558711647987366 851 650 877 682 k
7 0 0.9819599390029907 865 648 912 685 V.
7 0 0.9997689127922058 923 648 972 685 We
7 0 0.9983610510826111 973 650 1096 685 introduce
7 0 0.9999703168869019 1099 655 1150 682 one
7 0 0.9973599314689636 1154 653 1213 689 way
7 0 0.9997511506080627 1214 653 1246 685 to
7 0 0.9998444318771362 1248 648 1288 685 do
7 0 0.9999047517776489 1290 648 1343 685 this
7 0 0.9539081454277039 1347 648 1423 682 based
7 0 0.9999260902404785 1426 655 1463 685 on
7 1 0.9986559152603149 195 687 242 724 the
7 1 0.9681529998779297 247 694 314 721 same
7 1 0.9399129152297974 318 689 419 724 number
7 1 0.9996784925460815 423 689 458 724 of
7 1 0.8393117785453796 460 692 599 726 parameters
7 1 0.998737633228302 604 687 647 724 for
7 1 0.996272087097168 652 689 684 721 N
7 1 0.9997705817222595 731 689 755 724 3
7 1 0.9986733198165894 757 689 810 724 and
