block line confidence X1 Y1 X2 Y2 token
0 0 0.9999673366546631 1543 77 1567 109 4
1 0 0.9977626800537109 174 193 252 219 where
1 0 0.9998182654380798 255 191 287 221 II
1 0 0.9962261915206909 287 191 317 223 =
1 0 0.3189783990383148 308 171 526 240 -71+0(97+
1 0 0.14272083342075348 512 178 597 238 9a]
1 0 0.9985585808753967 634 191 664 223 is
1 0 0.9999616146087646 664 193 708 221 the
1 0 0.9995728135108948 710 191 771 223 fluid
1 0 0.9853729605674744 771 195 846 221 stress
1 0 0.9986504912376404 848 195 929 221 tensor
1 0 0.9991081357002258 929 191 984 223 and
1 0 0.9362448453903198 982 189 1025 223 ds
1 0 0.9622441530227661 1052 189 1143 227 adodz,
1 0 0.8586735725402832 1142 182 1191 225 dv
1 0 0.9985074400901794 1190 193 1218 221 =
1 0 0.9842425584793091 1216 189 1326 227 rdrdodz
1 0 0.997397780418396 1328 195 1372 223 are
1 0 0.999953031539917 1374 193 1419 221 the
1 0 0.9990143775939941 1421 193 1512 219 surface
1 0 0.9995349645614624 1512 191 1565 223 and
2 0 0.9051122069358826 146 242 239 268 volume
2 0 0.6116209030151367 244 242 353 268 elements
2 0 0.894435465335846 353 236 388 272 in
2 0 0.980645477771759 388 240 519 272 cylindrical
2 0 0.8911795616149902 521 240 667 270 coordinates
2 0 0.8982524275779724 670 242 821 272 respectively.
3 0 0.9944407343864441 139 298 182 333 B.
3 0 0.5584901571273804 202 305 471 328 Non-dimensionalization
4 0 0.999970555305481 174 373 222 403 We
4 0 0.9940811991691589 224 375 318 408 express
4 0 0.9929471015930176 323 373 371 403 the
4 0 0.9825785160064697 375 373 547 406 displacements
4 0 0.4377334713935852 554 371 617 406 (T,2)
4 0 0.9999123811721802 622 371 654 401 in
4 0 0.9933668971061707 659 375 733 401 terms
4 0 0.9853597283363342 737 371 770 401 of
4 0 0.9902105331420898 770 369 828 403 half
4 0 0.9999599456787109 830 373 874 401 the
4 0 0.9987922310829163 879 373 961 406 length
4 0 0.9844558238983154 966 371 997 401 of
4 0 0.9999697208404541 1001 373 1045 401 the
4 0 0.9960364699363708 1050 375 1170 401 swimmer,
4 0 0.6624169945716858 1177 371 1203 403 L.
4 0 0.9961238503456116 1213 369 1261 403 We
4 0 0.6421143412590027 1265 375 1369 399 consider
4 0 0.9875646233558655 1376 375 1499 399 swimmers
4 0 0.9928286671638489 1504 371 1565 403 with
4 1 0.967634916305542 146 410 317 440 concentration
4 1 0.9991346001625061 320 410 436 442 gradients
4 1 0.6424053907394409 439 410 562 442 generated
4 1 0.9998480081558228 564 406 602 444 by
4 1 0.9988699555397034 604 410 652 440 the
4 1 0.8640050888061523 654 410 747 436 colloids
4 1 0.9971838593482971 750 414 788 440 on
4 1 0.9998825788497925 786 412 813 440 a
4 1 0.999388575553894 811 408 878 440 scale
4 1 0.8388962745666504 876 406 947 446 c*/a.
4 1 0.9998340606689453 952 408 1034 440 Hence
4 1 0.9999055862426758 1034 414 1074 440 we
4 1 0.9993816614151001 1075 412 1168 444 express
4 1 0.9999954700469971 1170 406 1218 440 the
4 1 0.9959821701049805 1220 406 1275 440 flux
4 1 0.999476969242096 1275 403 1301 438 J
4 1 0.9719609618186951 1301 408 1334 438 of
4 1 0.9862100481987 1334 412 1439 436 reactant
4 1 0.9580352902412415 1444 410 1562 442 (product)
4 2 0.9995384216308594 147 442 255 474 particles
4 2 0.999962568283081 260 440 293 470 in
4 2 0.999845027923584 297 440 366 472 units
4 2 0.9755582809448242 371 440 403 470 of
4 2 0.9021415114402771 406 438 499 476 c*D/a,
4 2 0.9996707439422607 508 442 556 472 the
4 2 0.9527519941329956 559 444 728 468 concentration
4 2 0.8793329000473022 735 440 795 472 field
4 2 0.9921154379844666 798 444 823 472 C
4 2 0.9999401569366455 825 442 856 470 in
4 2 0.9478439092636108 861 440 931 472 units
4 2 0.9919365644454956 936 440 967 470 of
4 2 0.6587246060371399 971 440 1014 476 c*,
4 2 0.9999297857284546 1019 438 1110 476 (where
4 2 0.9993401169776917 1115 440 1145 470 D
4 2 0.9946274161338806 1150 440 1178 470 is
4 2 0.999956488609314 1183 442 1228 470 the
4 2 0.9964063763618469 1236 442 1343 468 diffusion
4 2 0.9398791790008545 1353 442 1475 468 coefficient
4 2 0.9834123849868774 1484 440 1515 470 of
4 2 0.9999552965164185 1520 442 1565 470 the
4 3 0.6299496293067932 146 479 361 511 reactant/product,
4 3 0.9821470379829407 363 479 486 511 particles),
4 3 0.9999576807022095 491 479 534 507 the
4 3 0.9830769896507263 536 481 670 504 interaction
4 3 0.7884778380393982 672 479 760 511 energy
4 3 0.4231325089931488 760 474 788 507 V
4 3 0.9999924898147583 788 476 820 507 in
4 3 0.9999798536300659 816 474 866 509 the
4 3 0.9999592304229736 866 479 933 504 units
4 3 0.9900144338607788 933 476 964 507 of
4 3 0.9622187614440918 964 481 1062 504 thermal
4 3 0.9994910955429077 1064 479 1148 511 energy
4 3 0.5618985891342163 1150 476 1223 511 kBT,
4 3 0.8089416027069092 1220 476 1270 511 (KB
4 3 0.999955415725708 1271 479 1316 507 the
4 3 0.8722155690193176 1316 476 1455 507 Boltzmann
4 3 0.9969515800476074 1455 481 1563 504 constant
4 4 0.9989953637123108 144 509 199 541 and
4 4 0.9853652119636536 197 511 225 539 T
4 4 0.9998028874397278 222 511 250 539 is
4 4 0.999131977558136 250 511 293 539 the
4 4 0.9963775277137756 293 511 449 541 temperature
4 4 0.9990288019180298 448 511 479 539 of
4 4 0.9999544620513916 478 511 522 539 the
4 4 0.865203320980072 521 507 642 545 solution),
4 4 0.9999759197235107 642 511 687 539 the
4 4 0.999579131603241 685 509 743 541 flow
4 4 0.9998276233673096 742 511 798 537 field
4 4 0.6652475595474243 800 513 821 534 U
4 4 0.9983804225921631 823 511 881 537 with
4 4 0.9993482232093811 881 507 924 541 U*
4 4 0.997584342956543 926 511 954 539 =
4 4 0.5802862048149109 951 507 1045 545 u'c*la
4 4 0.9789835810661316 1045 511 1130 543 (where
4 4 0.5270588397979736 1128 509 1167 545 p*
4 4 0.44002678990364075 1173 515 1196 537 -
4 4 0.46763160824775696 1195 504 1304 543 kBTL2
4 4 0.38954368233680725 1293 507 1331 543 /T
4 4 0.9990484118461609 1326 509 1353 541 is
4 4 0.5744059681892395 1354 511 1397 539 the
4 4 0.984664261341095 1397 509 1565 539 characteristic
4 5 0.9997672438621521 147 541 252 573 phoretic
4 5 0.6057155728340149 257 541 361 573 mobility
4 5 0.8846656680107117 368 541 501 573 coefficient,
4 5 0.5916060209274292 506 545 531 575 T
4 5 0.9994956254959106 531 541 559 573 is
4 5 0.9999533891677856 564 541 609 569 the
4 5 0.999373733997345 612 541 722 573 viscosity
4 5 0.9947891235351562 725 541 758 571 of
4 5 0.9998332262039185 760 541 808 571 the
4 5 0.9997304081916809 810 539 871 571 fluid
4 5 0.9995860457420349 873 539 928 571 and
4 5 0.8436949253082275 931 541 967 573 L*
4 5 0.9993337988853455 971 541 1001 571 is
4 5 0.9996378421783447 1002 539 1050 573 the
4 5 0.9621648192405701 1054 543 1196 575 short-range
4 5 0.9964709281921387 1201 541 1339 571 interaction
4 5 0.9953664541244507 1344 543 1482 573 lengthscale
4 5 0.9998947381973267 1484 541 1517 571 of
4 5 0.9999644756317139 1520 541 1565 569 the
4 6 0.6956962943077087 147 577 250 603 reactant
4 6 0.889236330986023 257 575 376 608 (product)
4 6 0.9867573976516724 381 575 501 601 molecules
4 6 0.9999898672103882 504 571 566 603 with
4 6 0.9999902248382568 567 573 612 601 the
4 6 0.9883054494857788 615 575 728 601 swimmer
4 6 0.9977155923843384 730 571 840 610 surface).
4 6 0.9991142153739929 846 573 894 603 We
4 6 0.9899280667304993 893 571 959 603 scale
4 6 0.9998916387557983 959 571 1006 605 the
4 6 0.98478102684021 1007 575 1112 608 pressure
4 6 0.9503248929977417 1113 569 1175 610 field
4 6 0.6558016538619995 1172 575 1198 608 P
4 6 0.9999500513076782 1196 573 1260 605 with
4 6 0.5353966355323792 1260 573 1346 610 nU*/1.
4 6 0.9997318387031555 1351 571 1399 605 We
4 6 0.9998278617858887 1399 575 1457 601 note
4 6 0.9999363422393799 1460 571 1519 603 that
4 6 0.999936580657959 1520 573 1563 601 the
4 7 0.708995521068573 149 610 249 635 problem
4 7 0.9996548891067505 255 608 303 633 has
4 7 0.9960246086120605 307 603 376 635 three
4 7 0.9262125492095947 380 605 544 638 length-scales;
4 7 0.9999290704727173 551 605 595 633 the
4 7 0.9992716908454895 599 608 713 633 swimmer
4 7 0.9863081574440002 718 608 883 631 characteristic
4 7 0.9997269511222839 888 605 969 638 length
4 7 0.8261277079582214 972 603 1011 640 21,
4 7 0.9999771118164062 1012 608 1050 635 its
4 7 0.9529536366462708 1052 605 1233 635 cross-sectional
4 7 0.999869704246521 1238 603 1319 635 radius
4 7 0.9967043995857239 1319 608 1344 635 a
4 7 0.9985278844833374 1346 603 1397 635 and
4 7 0.9998941421508789 1402 605 1447 633 the
4 7 0.9991588592529297 1450 608 1524 640 range
4 7 0.7071695923805237 1527 601 1563 638 L*
4 8 0.9999786615371704 146 638 179 666 of
4 8 0.9999910593032837 180 638 225 666 the
4 8 0.9299314022064209 230 640 365 663 interaction
4 8 0.9955631494522095 373 640 476 663 between
4 8 0.9999600648880005 479 638 527 668 the
4 8 0.995974600315094 531 638 652 663 molecules
4 8 0.9981971383094788 655 635 710 668 and
4 8 0.9879893064498901 712 638 826 663 swimmer
4 8 0.9958403706550598 833 638 928 663 surface.
4 8 0.9974818825721741 942 638 1113 670 Consequently,
4 8 0.9969114661216736 1122 644 1158 663 we
4 8 0.999950647354126 1162 635 1226 668 have
4 8 0.9969565868377686 1228 635 1299 668 three
4 8 0.70571368932724 1303 638 1442 670 asymptotic
4 8 0.8167856931686401 1445 638 1563 663 near-field
4 9 0.9983454942703247 174 698 222 732 We
4 9 0.8898809552192688 227 702 337 728 therefore
4 9 0.9057174324989319 345 702 421 728 define
4 9 0.9999940395355225 425 698 473 732 the
4 9 0.6944268345832825 476 700 647 730 dimensionless
4 9 0.9640396237373352 652 704 800 734 parameters,
4 9 0.9588209986686707 806 708 825 730 €
4 9 0.8524879813194275 861 698 914 734 all,
4 9 0.9999103546142578 921 698 967 732 the
4 9 0.966940701007843 969 700 1112 730 slenderness
4 9 0.9998204112052917 1117 702 1180 728 ratio
4 9 0.999708354473114 1183 698 1238 730 and
4 9 0.6984001994132996 1240 700 1266 730 A
4 9 0.9478901624679565 1271 702 1299 730 =
4 9 0.3519556522369385 1303 700 1371 734 L*/l,
4 9 0.9989066123962402 1377 698 1424 732 the
4 9 0.997600257396698 1427 700 1565 730 interaction
4 10 0.9997863173484802 146 732 212 764 layer
4 10 0.9978731870651245 217 734 330 760 thickness
4 10 0.9999035596847534 333 734 366 762 to
4 10 0.9999692440032959 370 732 415 760 the
4 10 0.9807479381561279 418 734 531 760 swimmer
4 10 0.999535322189331 536 732 622 764 largest
4 10 0.9966138005256653 627 732 770 764 lengthscale,
4 10 0.999504566192627 775 730 838 764 with
4 10 0.998853325843811 838 732 861 762 0
4 10 0.9904006123542786 863 734 891 762 <
4 10 0.37075865268707275 891 732 918 760 A
4 10 0.3336317837238312 909 732 974 764 KE
4 10 0.5501731038093567 976 734 1009 762 <
4 10 0.9846845865249634 1011 732 1040 762 1.
4 10 0.9999241828918457 1047 732 1080 762 In
4 10 0.998979389667511 1082 732 1196 764 addition,
4 10 0.9998828172683716 1201 736 1240 762 we
4 10 0.9988332390785217 1241 730 1321 762 define
4 10 0.9916580319404602 1323 732 1494 762 dimensionless
4 10 0.9955798983573914 1497 730 1565 762 fields
4 11 0.9990214109420776 146 766 207 799 J=
4 11 0.7005123496055603 207 764 320 803 Ja/c*D,
4 11 0.9948246479034424 323 771 350 799 C
4 11 0.9030847549438477 348 769 378 799 =
4 11 0.7591579556465149 376 766 443 801 c/c*,
4 11 0.6447260975837708 449 771 479 799 U
4 11 0.4673629701137543 478 771 508 799 =
4 11 0.3348315954208374 509 766 587 801 0/U*,
4 11 0.7980891466140747 592 771 619 801 P
4 11 0.40630730986595154 620 775 645 794 -
4 11 0.44096603989601135 647 764 750 803 pl/nU*,
4 11 0.14760932326316833 757 766 785 799 2b
4 11 0.24247442185878754 786 773 813 797 -
4 11 0.3148559629917145 816 764 916 803 b/kBT,
4 11 0.9992619156837463 918 766 972 799 and
4 11 0.9997609257698059 972 764 1022 799 the
4 11 0.9736164212226868 1022 766 1193 797 dimensionless
4 11 0.9990859031677246 1196 766 1306 799 catalytic
4 11 0.9549588561058044 1309 766 1366 799 flux
4 11 0.9879931211471558 1364 771 1394 799 a
4 11 0.30292773246765137 1396 775 1422 794 -
4 11 0.4995560944080353 1422 764 1527 803 àa/cD
4 11 0.9996229410171509 1527 771 1565 799 on
5 0 0.9980884194374084 146 670 237 702 regions
5 0 0.8103492856025696 240 668 293 700 and
5 0 0.9999263286590576 293 668 325 698 in
