block line confidence X1 Y1 X2 Y2 token
0 0 0.9957407712936401 320 146 473 184 Bipartite
0 0 0.9793384671211243 481 146 688 178 Fluctuations
0 0 0.9698778390884399 695 143 762 178 and
0 0 0.9999394416809082 766 141 924 189 Topology
0 0 0.9983645081520081 928 143 969 180 of
0 0 0.9785003066062927 972 141 1069 180 Dirac
0 0 0.9789701104164124 1074 143 1138 178 and
0 0 0.999714195728302 1147 143 1235 184 Weyl
0 0 0.7985663414001465 1241 146 1391 184 Systems*
1 0 0.8452284932136536 509 212 571 247 Loic
1 0 0.7340094447135925 576 214 687 247 Herviou,
1 0 0.9997743964195251 703 214 785 249 Karyn
1 0 0.9998061060905457 791 212 831 247 Le
1 0 0.4296673536300659 833 208 908 249 Hur,1
1 0 0.9915375709533691 914 214 969 247 and
1 0 0.9985393285751343 974 214 1112 247 Christophe
1 0 0.3917534351348877 1118 212 1198 244 Moral
2 0 0.8230584859848022 679 244 768 277 (Dated:
2 0 0.9940629601478577 775 247 899 279 September
2 0 0.9999375343322754 901 244 966 277 20th,
2 0 0.5877209305763245 966 244 1034 279 2018)
3 0 0.9878528118133545 327 311 431 343 Bipartite
3 0 0.9221855998039246 438 309 577 339 fluctuations
3 0 0.9961534142494202 581 315 627 339 can
3 0 0.9993494153022766 632 311 722 343 provide
3 0 0.6876139044761658 727 311 853 343 interesting
3 0 0.8286011219024658 856 309 996 341 information
3 0 0.9727616310119629 1001 311 1072 337 about
3 0 0.8382344841957092 1077 311 1235 341 entanglement
3 0 0.9993977546691895 1240 311 1359 343 properties
3 0 0.999624490737915 1362 309 1414 341 and
3 1 0.9981375932693481 298 339 436 369 correlations
3 1 0.999788224697113 439 339 469 369 in
3 1 0.9584371447563171 474 339 604 371 many-body
3 1 0.7727734446525574 612 343 713 369 quantum
3 1 0.5008756518363953 722 343 818 369 systems.
3 1 0.9998981952667236 836 339 878 367 We
3 1 0.9998571872711182 884 341 972 367 address
3 1 0.998627781867981 974 337 1034 369 such
3 1 0.9911782145500183 1037 339 1175 369 fluctuations
3 1 0.9999868869781494 1178 339 1208 367 in
3 1 0.9851893782615662 1213 341 1304 367 relation
3 1 0.9999830722808838 1309 337 1367 369 with
3 1 0.9996703863143921 1371 339 1412 367 the
3 2 0.9687134623527527 298 369 401 401 topology
3 2 0.9974506497383118 405 367 434 397 of
3 2 0.9883634448051453 436 367 506 399 Dirac
3 2 0.9976425766944885 504 367 556 399 and
3 2 0.999618411064148 557 367 620 401 Weyl
3 2 0.9977630376815796 622 369 728 401 quantum
3 2 0.998873770236969 730 369 830 401 systems,
3 2 0.9991255402565002 833 369 864 399 in
3 2 0.9969567060470581 866 369 979 395 situations
3 2 0.6909939646720886 984 369 1055 395 where
3 2 0.9898054599761963 1059 369 1102 397 the
3 2 0.999919056892395 1104 369 1196 395 relevant
3 2 0.9997523427009583 1201 369 1293 401 particle
3 2 0.7223894000053406 1294 367 1387 399 number
3 2 0.9997631907463074 1387 367 1414 399 is
3 3 0.9996790885925293 298 399 343 425 not
3 3 0.9987793564796448 346 397 469 429 conserved,
3 3 0.9920923113822937 474 397 562 429 leading
3 3 0.9999898672103882 566 397 597 427 to
3 3 0.9980291724205017 600 399 718 425 additional
3 3 0.978596568107605 725 399 810 425 volume
3 3 0.998915433883667 816 399 871 425 laws
3 3 0.982968270778656 874 397 957 429 scaling
3 3 0.9987077713012695 962 399 1019 425 with
3 3 0.9999699592590332 1024 399 1067 425 the
3 3 0.9976034760475159 1070 397 1183 429 Quantum
3 3 0.9968510270118713 1187 395 1266 427 Fisher
3 3 0.9680827260017395 1268 395 1412 427 information.
3 4 0.999305248260498 298 425 401 457 Through
3 4 0.9997865557670593 403 425 448 459 the
3 4 0.9799703359603882 448 427 546 459 example
3 4 0.9900874495506287 547 427 577 455 of
3 4 0.9993354678153992 577 427 619 455 the
3 4 0.866696298122406 619 429 645 459 p
3 4 0.9998817443847656 637 429 664 459 +
3 4 0.9407824277877808 664 427 692 459 ip
3 4 0.9192909598350525 692 427 878 459 superconductor,
3 4 0.9976488947868347 881 433 914 453 we
3 4 0.999482274055481 918 427 981 453 build
3 4 0.9999575614929199 982 429 1001 453 a
3 4 0.9927910566329956 1002 427 1094 453 relation
3 4 0.9991570711135864 1097 425 1193 457 between
