block line confidence X1 Y1 X2 Y2 token
0 0 0.9990429282188416 261 299 298 338 [2]
0 0 0.8973852396011353 303 299 342 338 J.
0 0 0.7779814004898071 348 301 429 338 Baik,
0 0 0.9718266129493713 440 299 503 333 P.L.
0 0 0.9822332859039307 515 301 621 335 Ferrari,
0 0 0.9975888729095459 633 299 691 335 and
0 0 0.9889534711837769 697 299 734 338 S.
0 0 0.996959924697876 743 299 839 340 Péché,
0 0 0.5606859922409058 854 303 1033 338 Conuergence
0 0 0.9964562058448792 1040 299 1078 340 of
0 0 0.9985199570655823 1083 299 1133 335 the
0 0 0.779950737953186 1141 303 1277 338 two-point
0 0 0.8341071605682373 1285 299 1410 340 function
0 1 0.9992309808731079 310 340 350 381 of
0 1 0.9995880722999573 348 342 400 379 the
0 1 0.9640134572982788 405 344 552 379 stationary
0 1 0.9968302845954895 563 342 678 376 TASEP,
0 1 0.9991452693939209 688 342 807 376 Singular
0 1 0.8291984796524048 815 342 988 374 Phenomena
0 1 0.9936752915382385 990 340 1049 376 and
0 1 0.9956263303756714 1054 340 1162 381 Scaling
0 1 0.9999785423278809 1166 342 1201 376 in
0 1 0.9751444458961487 1206 342 1406 374 Mathematical
0 2 0.589629054069519 263 447 297 486 [3]
0 2 0.9015865921974182 308 447 342 486 J.
0 2 0.9215167164802551 347 447 418 484 Baik
0 2 0.9709327816963196 424 447 481 484 and
0 2 0.993899941444397 487 447 562 481 E.M.
0 2 0.9992659687995911 568 447 663 488 Rains,
0 2 0.9996082186698914 671 449 731 486 The
0 2 0.5905055999755859 738 452 907 486 asymptotics
0 2 0.9998458623886108 912 447 951 488 of
0 2 0.8955957293510437 952 449 1098 481 monotone
0 2 0.9980265498161316 1104 452 1287 486 subsequences
0 2 0.9949251413345337 1292 447 1330 488 of
0 2 0.3939126133918762 1332 454 1406 481 invo-
0 3 0.9568354487419128 310 557 340 589 J.
0 3 0.996224045753479 347 555 418 589 Baik
0 3 0.9947302341461182 421 555 479 591 and
0 3 0.9678624272346497 484 555 558 589 E.M.
0 3 0.9999080896377563 563 555 659 596 Rains,
0 3 0.6077311635017395 667 557 851 591 Symmetrized
0 3 0.9965105652809143 856 557 969 591 random
0 3 0.49696120619773865 972 559 1169 593 permutations,
0 3 0.9617375731468201 1177 559 1297 587 Random
0 3 0.998734176158905 1306 559 1406 587 Matrix
0 4 0.9999029636383057 311 596 418 630 Models
0 4 0.9852338433265686 424 596 482 630 and
0 4 0.9993742108345032 491 596 575 630 Their
0 4 0.9893742203712463 586 600 772 632 Applications,
0 4 0.9914225935935974 781 596 841 630 vol.
0 4 0.9998601675033569 846 596 894 635 40,
0 4 0.9974217414855957 906 600 1064 635 Cambridge
0 4 0.647358775138855 1072 600 1221 632 University
0 4 0.9978237152099609 1229 596 1321 637 Press,
0 4 0.999907374382019 1327 598 1406 635 2001,
0 5 0.9999926090240479 268 708 292 740 5
0 5 0.7619147300720215 306 698 355 744 G.
0 5 0.9995738863945007 355 705 418 740 Ben
0 5 0.9785551428794861 423 708 510 735 Arous
0 5 0.9989047050476074 516 703 576 740 and
0 5 0.9964815378189087 576 705 604 737 I.
0 5 0.9547907114028931 612 705 726 740 Corwin,
0 5 0.9994770884513855 738 705 852 740 Current
0 5 0.967527449131012 857 708 1028 742 fluctuations
0 5 0.900153636932373 1032 705 1082 744 for
0 5 0.9893202781677246 1088 705 1206 740 TASEP:
0 5 0.9840553998947144 1214 708 1238 740 a
0 5 0.9232696890830994 1242 708 1321 742 proof
0 5 0.9998493194580078 1322 705 1363 744 of
0 5 0.9997856020927429 1356 705 1410 742 the
0 6 0.46649694442749023 314 744 537 785 Prahofer-Spohn
0 6 0.9970933198928833 545 744 699 785 conjecture,
0 6 0.9980350136756897 704 744 778 778 Ann.
0 6 0.5755554437637329 788 749 899 776 Probab.
0 6 0.9999511241912842 909 746 949 776 39
0 6 0.9998993873596191 957 744 1059 785 (2011),
0 6 0.5200792551040649 1067 744 1193 778 104-138.
0 7 0.7039794325828552 261 810 298 851 [6]
0 7 0.9971119165420532 310 810 350 847 A.
0 7 0.9919998645782471 361 815 476 842 Borodin
0 7 0.998930037021637 489 810 547 847 and
0 7 0.9885359406471252 557 810 620 845 P.L.
0 7 0.9944002032279968 631 813 739 847 Ferrari,
0 7 0.997038722038269 755 810 839 854 Large
0 7 0.9368571639060974 847 813 917 847 time
0 7 0.8479297757148743 927 815 1096 849 asymptotics
0 7 0.9995430707931519 1106 810 1145 851 of
0 7 0.9947709441184998 1150 815 1246 849 growth
0 7 0.9867983460426331 1259 815 1356 842 models
0 7 0.9818927049636841 1369 820 1410 847 on
0 8 0.7501260638237 310 851 452 893 space-like
0 8 0.9982672929763794 457 854 534 890 paths
0 8 0.9978920817375183 541 851 568 886 I:
0 8 0.9215938448905945 578 854 741 888 PushASEP,
0 8 0.999077558517456 751 851 881 886 Electron.
0 8 0.897108793258667 889 851 919 886 J.
0 8 0.5670591592788696 927 856 1040 883 Probab.
0 8 0.9999784231185913 1049 851 1093 888 13
0 8 0.9998883008956909 1098 851 1200 893 (2008),
0 8 0.9397846460342407 1208 854 1366 888 1380-1418.
0 9 0.7604749798774719 261 918 298 961 [7]
0 9 0.9974315762519836 308 918 348 957 A.
0 9 0.9699066281318665 355 922 471 950 Borodin
0 9 0.8717527985572815 476 920 536 954 and
0 9 0.5096219182014465 537 918 600 954 P.L.
0 9 0.9912133812904358 607 920 715 954 Ferrari,
0 9 0.9730068445205688 723 922 889 957 Anisotropic
0 9 0.9850097298622131 898 922 1001 950 Growth
0 9 0.9994184970855713 1006 920 1045 959 of
0 9 0.9986981153488159 1045 920 1166 954 Random
0 9 0.992403507232666 1172 920 1295 961 Surfaces
0 9 0.9601446390151978 1297 920 1335 957 in
0 9 0.9980605244636536 1334 922 1360 952 2
0 9 0.9307027459144592 1350 920 1406 954 +1
0 10 0.717146098613739 271 1032 297 1062 8
0 10 0.9984513521194458 308 1025 348 1064 A.
0 10 0.9937694668769836 352 1030 478 1064 Borodin,
0 10 0.8247675895690918 482 1027 545 1064 P.L.
