block line confidence X1 Y1 X2 Y2 token
0 0 0.9997548460960388 197 204 257 238 4.1
0 0 0.4110175371170044 297 199 341 247 Ti
0 0 0.9834534525871277 351 206 484 238 mirror
0 0 0.9612627029418945 493 208 600 247 maps
0 0 0.721379816532135 612 204 705 236 from
0 0 0.9968673586845398 717 201 972 240 coassociative
0 0 0.5380876064300537 984 204 1172 236 fibrations
1 0 0.9999551773071289 245 270 302 305 Let
1 0 0.999099612236023 302 279 340 305 us
1 0 0.5880540013313293 343 272 425 307 begin
1 0 0.9998059868812561 425 268 469 313 by
1 0 0.9985836744308472 471 270 612 309 analyzing
1 0 0.9998171925544739 614 270 667 307 the
1 0 0.9955222606658936 667 270 833 309 generalized
1 0 0.44210493564605713 833 270 871 309 Ta
1 0 0.9989385008811951 874 272 971 305 mirror
1 0 0.9779635071754456 974 277 1118 307 symmetry
1 0 0.9705542325973511 1122 277 1190 309 map
1 0 0.9999926090240479 1190 270 1228 307 in
1 0 0.9998137354850769 1230 270 1283 305 the
1 0 0.9938827753067017 1284 275 1392 300 context
1 0 0.7427290678024292 1397 272 1434 305 of
1 0 0.5138709545135498 1431 270 1502 302 TCS
1 1 0.863466203212738 195 311 244 356 G2
1 1 0.7772679924964905 245 315 395 348 manifolds.
1 1 0.992396891117096 406 313 449 348 As
1 1 0.9996069073677063 451 313 504 350 the
1 1 0.5044839382171631 509 315 624 348 Kovalev
1 1 0.6450352072715759 629 313 753 352 CYSX
1 1 0.9720010161399841 755 315 843 348 admit
1 1 0.8732786178588867 850 320 954 345 mirrors
1 1 0.9995638728141785 957 311 1002 358 by
1 1 0.6905605792999268 1004 320 1177 352 assumption,
1 1 0.999950647354126 1182 311 1226 356 by
1 1 0.9999394416809082 1228 315 1281 350 the
1 1 0.9998761415481567 1279 315 1351 350 SYZ
1 1 0.554774284362793 1354 320 1500 352 argument,
1 2 0.9999768733978271 197 360 277 393 these
1 2 0.9998393058776855 283 360 355 393 have
1 2 0.9990270137786865 360 360 418 395 two
1 2 0.7784832119941711 423 356 468 393 T3
1 2 0.9904662370681763 474 360 576 399 special
1 2 0.999942421913147 582 360 737 399 lagrangian
1 2 0.9956861734390259 745 360 891 393 fibrations.
1 2 0.804195761680603 909 358 966 397 Let
1 2 0.9987138509750366 971 367 1009 393 us
1 2 0.989773690700531 1016 360 1115 393 denote
1 2 0.9999487400054932 1123 360 1191 393 such
1 2 0.9989914298057556 1200 360 1339 393 fibrations
1 2 0.9999805688858032 1344 356 1389 401 by
1 2 0.3782571852207184 1394 356 1452 401 Lz.
1 2 0.9998637437820435 1465 358 1504 395 In
1 3 0.9999003410339355 197 403 252 438 the
1 3 0.8266850709915161 255 408 466 440 asymptotically
1 3 0.9901770949363708 471 403 625 442 cylindrical
1 3 0.9998583793640137 630 406 722 444 region
1 3 0.98820960521698 728 406 765 438 of
1 3 0.9998886585235596 765 403 818 438 the
1 3 0.9993736147880554 823 408 949 433 manifold
1 3 0.31496599316596985 954 401 1011 444 Xt
1 3 0.6799769401550293 1014 406 1047 436 2
1 3 0.895381510257721 1047 401 1104 440 R+
1 3 0.9970965385437012 1102 406 1130 438 X
1 3 0.4841555058956146 1133 401 1183 438 SI
1 3 0.9984626770019531 1182 406 1208 438 X
1 3 0.47474905848503113 1213 401 1268 444 S4,
1 3 0.9998990297317505 1273 403 1324 438 the
1 3 0.9998314380645752 1329 403 1397 438 SYZ
1 3 0.9951905012130737 1401 403 1504 442 special
1 4 0.9985234141349792 197 449 365 487 lagrangians
1 4 0.9665369391441345 371 455 446 481 must
1 4 0.7703303694725037 454 453 607 485 asymptote
1 4 0.9968724846839905 612 449 652 485 to
1 4 0.640643835067749 657 444 705 489 Lt
1 4 0.7464882731437683 710 455 750 481 2
1 4 0.5849632024765015 752 444 798 485 S1
1 4 0.9973709583282471 800 451 828 481 X
1 4 0.34216421842575073 833 444 891 489 At,
1 4 0.9993687272071838 899 449 987 481 where
1 4 0.68691086769104 992 444 1044 489 At
1 4 0.9998849630355835 1050 455 1100 481 are
1 4 0.9998676776885986 1107 446 1160 483 the
1 4 0.9961122870445251 1165 446 1235 481 SYZ
1 4 0.9261219501495361 1240 449 1341 487 special
1 4 0.9992033839225769 1349 449 1504 487 lagrangian
1 5 0.9965522289276123 195 487 242 528 T2
1 5 0.9969626069068909 245 491 385 524 fibrations
1 5 0.9637000560760498 391 496 483 522 within
1 5 0.9975979924201965 489 491 542 526 the
1 5 0.5348024368286133 547 496 707 528 asymptotic
1 5 0.996288537979126 712 491 773 526 K3s
1 5 0.999403715133667 778 489 859 530 (with
1 5 0.9940794706344604 861 494 969 532 respect
1 5 0.9999028444290161 976 496 1009 526 to
1 5 0.9998432397842407 1014 491 1067 526 the
1 5 0.8926522135734558 1069 491 1117 526 K3
1 5 0.776336133480072 1123 496 1243 528 complex
1 5 0.9997302889823914 1248 494 1382 526 structure
1 5 0.9981061220169067 1387 491 1502 524 induced
1 6 0.9999692440032959 195 532 240 577 by
1 6 0.9996223449707031 244 534 300 573 the
1 6 0.8964458703994751 303 537 421 569 ambient
1 6 0.9969781637191772 429 534 503 575 CY).
1 6 0.9998914003372192 509 534 547 571 In
1 6 0.989397406578064 552 537 705 575 particular,
1 6 0.9998757839202881 713 534 783 575 they
1 6 0.9994986057281494 788 534 831 571 do
1 6 0.9997113347053528 835 537 891 571 not
1 6 0.5761671662330627 896 537 996 569 extend
1 6 0.9997321963310242 1002 534 1085 575 along
1 6 0.9998475313186646 1090 534 1143 571 the
1 6 0.9925457835197449 1147 532 1196 569 R+
1 6 0.9795422554016113 1205 537 1343 567 direction.
1 6 0.9999889135360718 1358 534 1412 569 Let
1 6 0.9911922812461853 1419 541 1455 569 us
1 6 0.9950336217880249 1460 534 1504 569 fix
1 7 0.9998738765716553 197 580 250 614 the
1 7 0.9999450445175171 255 580 343 620 phase
1 7 0.9721551537513733 346 577 386 614 of
1 7 0.9999270439147949 390 580 443 614 the
1 7 0.8852787017822266 449 584 629 616 holomorphic
1 7 0.9999830722808838 637 582 690 618 top
1 7 0.996220052242279 698 580 770 614 form
1 7 0.9699890613555908 776 588 818 614 on
1 7 0.2732648551464081 825 575 879 620 X
1 7 0.9996090531349182 886 580 956 614 such
1 7 0.9999816417694092 962 580 1027 614 that
1 7 0.9702362418174744 1035 580 1089 614 the
1 7 0.9964522123336792 1094 580 1163 614 SYZ
1 7 0.8982718586921692 1170 580 1271 618 special
1 7 0.9825980067253113 1279 584 1444 616 lagrangians
1 7 0.9993957281112671 1454 588 1504 614 are
2 0 0.9973502159118652 197 625 343 657 calibrated
2 0 0.999606192111969 348 629 385 657 as
2 0 0.9998694658279419 390 625 491 657 follows
3 0 0.25082650780677795 679 713 762 756 volLa
3 0 0.9895511269569397 765 713 801 749 =
3 0 0.6060009598731995 800 708 873 751 -Im
3 0 0.19553911685943604 873 704 1020 758 (0t)lra.
4 0 0.9476315379142761 1431 711 1502 754 (4.4)
5 0 0.9883451461791992 247 820 345 852 Notice
5 0 0.9999220371246338 350 820 416 855 that
5 0 0.9986371397972107 421 827 448 857 a
5 0 0.9930874705314636 453 825 552 857 special
5 0 0.6458148956298828 564 825 713 857 lagrangian
5 0 0.9998612403869629 722 818 753 857 L
5 0 0.9909530878067017 757 825 831 859 gives
5 0 0.9998677968978882 838 822 896 855 rise
5 0 0.999731719493866 901 825 937 852 to
5 0 0.9994930028915405 942 827 971 855 a
5 0 0.9975121021270752 972 822 1163 852 coassociative
5 0 0.9789804220199585 1167 820 1246 861 cycle
5 0 0.7429430484771729 1251 818 1309 861 Mi
5 0 0.8853223323822021 1313 822 1346 852 =
5 0 0.49044421315193176 1353 818 1401 855 SI
5 0 0.925280749797821 1402 825 1441 852 X
5 0 0.999995231628418 1436 820 1462 852 L
5 0 0.9994890689849854 1474 822 1502 855 C
6 0 0.3835377097129822 197 861 242 898 S1
6 0 0.9940575361251831 245 867 275 898 X
6 0 0.9999086856842041 278 865 310 895 X
6 0 0.86548912525177 315 861 348 900 if
6 0 0.9796445369720459 346 863 405 898 and
6 0 0.9680665135383606 408 863 478 904 only
6 0 0.9882013201713562 478 861 542 902 ifit
6 0 0.9990923404693604 544 865 659 898 satisfies
6 0 0.9261499643325806 665 863 745 904 (4.4).
6 0 0.9995691180229187 753 863 791 900 In
6 0 0.99204021692276 795 865 947 904 particular,
7 0 0.35261574387550354 605 945 730 994 Im(22)
7 0 0.9585443735122681 730 953 771 990 =
7 0 0.15668721497058868 765 949 914 996 do+NIsz
7 0 0.9657114148139954 911 956 951 990 -
7 0 0.45451539754867554 942 951 1039 992 dtn
7 0 0.3178934156894684 1027 951 1090 996 Rs
8 0 0.9546462297439575 1431 951 1500 994 (4.5)
9 0 0.9947340488433838 249 1063 385 1095 therefore,
9 0 0.9992330074310303 391 1059 438 1095 for
9 0 0.999929666519165 438 1065 496 1097 our
9 0 0.8032950162887573 498 1061 599 1100 special
9 0 0.8351619243621826 607 1065 770 1097 lagrangians
9 0 0.7910862565040588 776 1059 826 1102 Lt
9 0 0.9992954730987549 830 1067 873 1093 we
9 0 0.9999070167541504 876 1061 947 1095 have
10 0 0.17828121781349182 655 1140 828 1194 Im(a2)lz
10 0 0.7637491226196289 830 1155 863 1183 =
10 0 0.9859699606895447 866 1155 896 1188 -
10 0 0.4290880560874939 889 1149 954 1190 de+
10 0 0.3632461428642273 944 1147 1040 1194 NIsz-
11 0 0.8139094114303589 1429 1145 1502 1194 (4.6)
12 0 0.9826672673225403 245 1256 323 1297 Now,
12 0 0.9938846230506897 332 1258 464 1297 Equation
12 0 0.9950909614562988 471 1256 541 1299 (3.3)
12 0 0.999881386756897 546 1258 645 1291 entails
12 0 0.9999722242355347 649 1256 715 1291 that
12 0 0.9999927282333374 718 1256 771 1291 the
12 0 0.8654943704605103 776 1258 933 1297 four-cycles
12 0 0.42962905764579773 937 1254 996 1299 Mt
12 0 0.9659122824668884 996 1258 1030 1295 E
12 0 0.3400682508945465 1027 1256 1123 1297 "(S"")"
12 0 0.9936455488204956 1123 1258 1158 1295 X
12 0 0.2910383343696594 1155 1258 1211 1297 Lt
12 0 0.8118050694465637 1205 1256 1286 1297 CJ
12 0 0.9987112283706665 1289 1261 1343 1293 are
12 0 0.999846339225769 1344 1258 1412 1291 such
12 0 0.9999833106994629 1419 1256 1484 1291 that
13 0 0.2469344437122345 554 1344 674 1385 *P+M
13 0 0.7629542946815491 679 1349 715 1385 =
13 0 0.45100149512290955 713 1344 775 1387 det
13 0 0.22111459076404572 770 1344 861 1383 Ndl4
13 0 0.9609931111335754 859 1344 893 1383 A
13 0 0.4363465905189514 896 1344 1024 1385 (Iss)A
13 0 0.7748538851737976 1027 1351 1060 1381 =
13 0 0.40614429116249084 1062 1344 1147 1385 volMs
14 0 0.6112677454948425 1431 1344 1502 1385 (4.7)
15 0 0.9559050798416138 245 1454 333 1486 which
15 0 0.9319663047790527 340 1454 436 1486 entails
15 0 0.9955033659934998 441 1454 519 1488 these
15 0 0.999832034111023 524 1460 576 1486 are
15 0 0.9941961765289307 579 1456 768 1486 coassociative
15 0 0.6543869972229004 770 1454 971 1486 submanifolds.
15 0 0.9930453896522522 979 1454 1060 1486 Since
16 0 0.18761233985424042 597 1529 923 1574 F9-W)-E
16 0 0.48993727564811707 914 1531 1007 1570 Ndo_
16 0 0.5473753213882446 1004 1531 1102 1572 NIs)
17 0 0.9752782583236694 820 1594 843 1615 -
17 0 0.7637693881988525 836 1583 898 1624 de+
17 0 0.8362011909484863 896 1585 936 1622 A
17 0 0.7217111587524414 924 1583 992 1624 de+
17 0 0.9971421360969543 982 1585 1017 1622 A
17 0 0.8009945750236511 1017 1589 1045 1622 -
17 0 0.49392151832580566 1040 1583 1094 1628 Is,
17 1 0.9430558085441589 793 1647 810 1667 -
