block line confidence X1 Y1 X2 Y2 token
0 0 0.9970189332962036 237 201 293 234 and
0 0 0.9986502528190613 295 199 335 234 A.
0 0 0.9965445399284363 338 201 458 240 Georges,
0 0 0.9998816251754761 461 201 527 236 New
0 0 0.6837812066078186 531 201 559 234 J.
0 0 0.9976893663406372 566 201 642 236 Phys.
0 0 0.999868631362915 647 201 697 236 10,
0 0 0.9994295239448547 700 201 798 234 053019
0 0 0.9967268705368042 803 199 899 238 (2008).
1 0 0.9999967813491821 195 255 227 285 19
1 0 0.9661142826080322 235 257 270 296 S.
1 0 0.9947286248207092 285 262 426 294 Hellmann,
1 0 0.999414324760437 444 259 488 294 M.
1 0 0.6486267447471619 503 259 582 300 Beye,
1 0 0.997075080871582 597 259 637 294 C.
1 0 0.9990033507347107 650 262 737 298 Sohrt,
1 0 0.5321601629257202 752 259 793 296 T.
1 0 0.9986683130264282 806 259 921 298 Rohwer,
1 0 0.9944984316825867 939 262 972 292 F.
1 0 0.9881193041801453 989 262 1137 300 Sorgenfrei,
1 0 0.995240330696106 1152 259 1191 294 H.
1 0 0.996126115322113 1205 259 1306 298 Redlin,
1 0 0.9985002279281616 1324 259 1367 296 M.
1 0 0.7867469191551208 1381 259 1497 298 Kallâne,
1 1 0.9984248876571655 237 322 282 356 M.
1 1 0.5320548415184021 283 324 557 356 Marczynsk-Bulhlow,
1 1 0.9554814100265503 564 324 595 354 F.
1 1 0.9873483180999756 600 324 718 356 Hennies,
1 1 0.998552143573761 722 322 766 356 M.
1 1 0.941489040851593 770 324 861 356 Bauer,
1 1 0.9976266026496887 864 322 904 356 A.
1 1 0.55977863073349 906 324 1030 356 Fôhlisch,
1 1 0.9913520812988281 1034 320 1070 356 L.
1 1 0.9985857009887695 1072 320 1153 360 Kipp,
1 1 0.996716320514679 1157 320 1203 356 W.
1 1 0.9998987913131714 1206 324 1306 356 Wurth,
1 1 0.905063271522522 1319 322 1376 354 and
1 1 0.9854250550270081 1379 324 1414 352 K.
1 1 0.9953011274337769 1421 322 1497 354 Ross-
1 2 0.9999452829360962 197 438 227 464 20
1 2 0.9924073815345764 237 440 285 476 W.
1 2 0.9934095144271851 288 442 365 476 Shen,
1 2 0.9611654281616211 370 440 410 476 Y.
1 2 0.998988926410675 410 442 463 479 Ge,
