block line confidence X1 Y1 X2 Y2 token
0 0 0.957793116569519 197 189 269 223 from
0 0 0.9998729228973389 276 189 329 223 the
0 0 0.9906704425811768 331 189 395 223 left-
0 0 0.9964015483856201 402 189 460 226 and
0 0 0.7083048820495605 466 191 654 226 right-handed
0 0 0.9991889595985413 660 189 799 230 couplings
0 0 0.5155249834060669 804 191 944 223 extracted
0 0 0.9435293674468994 949 189 1022 223 from
0 0 0.5269577503204346 1028 189 1287 223 forward-backward
0 0 0.6325548887252808 1293 189 1479 230 asymmetries
0 0 0.9971505999565125 1482 189 1542 226 and
0 1 0.9968670010566711 197 230 295 271 charge
0 1 0.5912026166915894 298 232 481 267 asymmetries
0 1 0.9977352619171143 486 235 520 264 in
0 1 0.970431387424469 524 230 699 264 two-fermion
0 1 0.997795581817627 704 235 846 269 processes,
0 1 0.9548057317733765 852 230 975 264 different
0 1 0.585538923740387 982 230 1129 271 high-scale
0 1 0.998713493347168 1132 230 1237 264 models
0 1 0.9999134540557861 1240 235 1295 262 can
0 1 0.9997164607048035 1300 228 1342 264 be
0 1 0.7975148558616638 1343 230 1540 262 discriminated
0 2 0.6916587948799133 247 310 311 344 One
0 2 0.9188176989555359 313 310 382 344 final
0 2 0.9119105935096741 382 310 499 344 remark:
0 2 0.9959988594055176 510 312 537 344 if
0 2 0.9913801550865173 536 312 688 347 something
0 2 0.9995694756507874 692 310 794 344 similar
0 2 0.954240620136261 797 308 854 344 like
0 2 0.9999219179153442 857 310 910 344 the
0 2 0.9999160766601562 910 310 935 342 2
0 2 0.9913733601570129 940 312 1004 340 TeV
0 2 0.9231969714164734 1009 312 1137 347 anomaly
0 2 0.9999819993972778 1137 312 1172 347 in
0 2 0.9305008053779602 1175 308 1385 349 WW/WZ/ZZ
0 2 0.9985068440437317 1389 310 1427 347 at
0 2 0.9999933242797852 1427 310 1482 344 the
0 2 0.9922235608100891 1484 310 1540 344 end
0 3 0.9857239127159119 193 349 234 386 of
0 3 0.9999682903289795 232 349 287 386 the
0 3 0.9997203946113586 289 351 313 386 8
0 3 0.9990366697311401 316 351 382 386 TeV
0 3 0.9997873902320862 384 354 442 388 run
0 3 0.9953228831291199 445 358 481 386 or
0 3 0.999955415725708 484 349 537 386 the
0 3 0.9999020099639893 541 351 597 386 750
0 3 0.5849894285202026 600 351 671 386 GeV
0 3 0.9052885174751282 676 354 801 388 anomaly
0 3 0.9999310970306396 804 349 841 388 in
0 3 0.9997262358665466 844 354 988 388 diphotons
0 3 0.987374484539032 993 349 1051 386 will
0 3 0.923022985458374 1056 356 1158 383 remain
0 3 0.9992938041687012 1162 354 1200 383 at
0 3 0.9999688863754272 1201 349 1255 386 the
0 3 0.9772039651870728 1258 349 1316 386 end
0 3 0.9963164329528809 1318 349 1356 386 of
0 3 0.9997960925102234 1355 351 1411 386 run
0 3 0.999935507774353 1416 351 1447 383 II
0 3 0.9897582530975342 1450 356 1487 386 or
0 3 0.9999783039093018 1489 349 1542 386 the
0 4 0.9817519783973694 197 390 340 431 high-lumi
0 4 0.9997183680534363 342 395 407 429 run,
0 4 0.996187150478363 413 390 484 424 then
0 4 0.9998663663864136 489 390 542 424 the
0 4 0.9604297876358032 545 390 615 424 ILC
0 4 0.9999333620071411 612 392 641 424 is
0 4 0.9577478766441345 646 390 699 427 the
