block line confidence X1 Y1 X2 Y2 token
0 0 0.9963200092315674 405 199 456 242 M
0 0 0.32231444120407104 479 204 614 244 dim(Vor)
0 0 0.5030292868614197 639 199 738 247 L2(C1)
0 0 0.27577438950538635 760 199 866 247 HE(C1)
0 0 0.46876421570777893 891 199 987 247 L3(c2)
0 0 0.15103386342525482 1014 204 1115 244 H(C2)
0 0 0.7098999619483948 1142 199 1291 247 H(C1,02)
1 0 0.9994951486587524 612 247 747 277 Standard
1 0 0.7137502431869507 755 244 896 277 GmsFEM
1 0 0.8724647164344788 906 249 1085 281 (un-coupled)
1 1 0.9996265172958374 647 287 728 320 0.837
1 1 0.9857277274131775 775 287 853 320 1.925
1 1 0.9993906021118164 898 287 979 320 0.837
1 1 0.9920376539230347 1017 292 1110 317 30.542
1 2 0.9995064735412598 647 328 728 360 0.293
1 2 0.999840259552002 775 330 851 356 0.358
1 2 0.9993773102760315 899 330 976 356 0.293
1 2 0.9964045286178589 1016 328 1112 360 26.427
1 3 0.999534010887146 647 367 728 401 0.148
1 3 0.9992508292198181 775 371 851 397 0.193
1 3 0.9995675683021545 899 371 976 397 0.148
1 3 0.9997369647026062 1017 371 1108 397 23.165
1 4 0.9997573494911194 647 408 728 440 0.108
1 4 0.9992363452911377 773 408 853 440 0.089
1 4 0.9998592138290405 898 408 979 440 0.108
1 4 0.9998652935028076 1017 408 1110 440 17.945
1 5 0.834388792514801 571 446 717 485 Simplified
1 5 0.9992214441299438 723 449 798 481 basis
1 5 0.9786302447319031 803 449 937 481 functions
1 5 0.6310216784477234 946 449 1125 487 (un-coupled)
1 6 0.9867913722991943 647 489 728 524 2.343
1 6 0.7090853452682495 771 489 854 524 3.870
1 6 0.9985370635986328 898 489 979 524 2.343
1 6 0.6004224419593811 1016 491 1112 524 36.649
1 6 0.9996365308761597 1170 489 1265 522 16.872
1 7 0.9985125660896301 635 532 771 565 Standard
1 7 0.9435299634933472 775 528 923 567 GmsFEM
1 7 0.9975031018257141 928 530 1062 569 (coupled)
1 8 0.9998188614845276 649 573 728 605 1.944
1 8 0.9957350492477417 771 573 854 605 2.584
1 8 0.9966520667076111 899 573 979 605 1.944
1 8 0.9941151142120361 1024 573 1104 605 6.942
1 9 0.8852052092552185 649 612 728 644 1.070
1 9 0.999950647354126 775 612 853 644 1.200
1 9 0.9951776266098022 899 612 979 644 1.070
1 9 0.9978942275047302 1024 612 1104 644 2.197
1 10 0.9997727274894714 647 653 728 685 0.359
1 10 0.9984604120254517 773 653 853 685 0.544
1 10 0.9993669390678406 898 653 979 685 0.359
1 10 0.999352753162384 1024 653 1104 685 0.788
1 11 0.9988296627998352 647 693 728 726 0.129
1 11 0.9348899722099304 773 693 853 726 0.105
1 11 0.9995415210723877 898 693 979 726 0.129
1 11 0.999799907207489 1024 693 1102 726 0.375
1 12 0.7478677034378052 597 736 740 769 Simplified
