block line confidence X1 Y1 X2 Y2 token
0 0 0.9733770489692688 589 255 620 298 (1
0 0 0.9974990487098694 624 262 649 294 -
0 0 0.30555564165115356 644 251 757 298 8)0441)
0 0 0.9871134757995605 758 255 788 296 >
0 0 0.18017910420894623 788 251 838 296 610)
0 0 0.9988780617713928 845 268 864 292 -
0 0 0.19028916954994202 859 244 999 309 m/loroy
0 0 0.9999943971633911 992 257 1024 296 +
0 0 0.6082811951637268 1020 253 1110 300 (000)2,
0 1 0.9971364736557007 595 317 630 356 (1
0 1 0.6127175688743591 620 326 635 348 -
0 1 0.9992117881774902 627 322 654 354 -
0 1 0.7393358945846558 650 311 760 358 8)00+1)
0 1 0.676019012928009 762 317 791 358 S
0 1 0.36205819249153137 790 313 840 356 00)
0 1 0.9997485280036926 843 320 866 358 +
0 1 0.08657500147819519 858 307 997 371 M/loroys
0 1 0.9998874664306641 994 324 1022 356 +
0 1 0.4598841667175293 1024 322 1110 358 (00)),
1 0 0.9997155070304871 1434 257 1502 298 (157)
1 1 0.9999929666519165 1436 322 1500 356 (158)
2 0 0.9899342656135559 240 408 315 433 where
2 0 0.1720375120639801 318 410 343 442 l
2 0 0.9999052286148071 343 406 371 438 is
2 0 0.9997115731239319 371 403 420 438 the
2 0 0.9841375350952148 420 408 496 442 upper
2 0 0.9977627992630005 499 403 581 436 bound
2 0 0.9914141297340393 584 406 615 436 of
2 0 0.9993451237678528 617 408 679 433 term
2 0 0.2614606022834778 679 393 825 446 n(1.513
2 0 0.6913497447967529 810 401 833 438 II
2 0 0.9999760389328003 831 401 863 440 +
2 0 0.17480891942977905 861 399 944 440 IATP1
2 0 0.5182367563247681 928 401 1025 440 IDIT-
2 0 0.2458028942346573 1011 397 1052 444 l
2 0 0.9971444010734558 1049 403 1104 438 and
2 0 0.9889631271362305 1105 410 1153 436 can
2 0 0.9998770952224731 1153 403 1193 438 be
2 0 0.987141489982605 1193 403 1303 436 obtained
2 0 0.9992546439170837 1306 403 1344 442 by
3 0 0.6270884871482849 725 476 752 507 pu
3 0 0.38419070839881897 750 466 781 504 a
3 0 0.4973592162132263 780 470 881 509 TPSP(4
3 0 0.9999985694885254 879 470 911 509 +
3 0 0.2556593120098114 909 472 971 507 62€).
4 0 0.9731009602546692 1436 472 1500 507 (159)
5 0 0.9123578071594238 197 584 370 623 Quantifying
5 0 0.9999918937683105 370 584 425 618 the
5 0 0.8445307016372681 428 588 512 614 Norm
5 0 0.972244381904602 516 584 556 618 of
5 0 0.5609378814697266 552 582 604 616 v(e)
5 0 0.9975622892379761 610 588 750 620 Projected
5 0 0.9997314810752869 755 586 791 618 at
5 0 0.9942604303359985 796 588 921 614 Different
5 0 0.964169442653656 931 588 1080 620 Subspaces:
5 0 0.9675759673118591 1105 586 1183 620 Then,
5 0 0.9999434947967529 1185 590 1226 616 we
5 0 0.9998719692230225 1225 584 1278 618 will
5 0 0.8385881185531616 1281 590 1328 616 use
5 0 0.8412970900535583 1328 586 1504 616 mathematical
6 0 0.9985895752906799 199 620 315 646 induction
6 0 0.9996529817581177 320 623 353 650 to
6 0 0.9996858835220337 353 623 426 655 prove
7 0 0.6100234389305115 760 676 810 719 00)
7 0 0.47202157974243164 810 681 841 721 S
7 0 0.25520768761634827 841 676 936 724 4utoto).
8 0 0.9999746084213257 1436 685 1500 719 (160)
9 0 0.9999421834945679 237 766 267 797 It
9 0 0.9985120892524719 267 766 295 799 is
9 0 0.9993634819984436 295 766 353 799 true
9 0 0.9999442100524902 355 766 425 799 when
9 0 0.8429465889930725 425 766 448 799 t
9 0 0.976635217666626 444 771 473 799 =
9 0 0.9983660578727722 473 766 496 799 0
9 0 0.9997511506080627 496 766 564 799 since
9 0 0.44024795293807983 566 760 642 803 leo11
9 0 0.23822630941867828 644 749 698 794 (15)
9 0 0.9785407185554504 695 766 722 797 0.
10 0 0.7835500240325928 240 799 363 837 Assuming
10 0 0.9999510049819946 365 799 425 833 that
10 0 0.9959420561790466 426 803 536 835 equation
10 0 0.8569425344467163 542 797 605 840 (160)
10 0 0.9992238283157349 609 801 639 833 is
10 0 0.9957064986228943 639 803 695 829 true
10 0 0.9497928023338318 697 803 730 831 at
10 0 0.9999251365661621 730 799 778 833 the
10 0 0.9590310454368591 778 801 821 829 tth
10 0 0.9936869740486145 823 801 939 833 iteration,
10 0 0.9913272261619568 942 805 984 831 we
10 0 0.9996151924133301 986 803 1045 829 need
10 0 0.9995743632316589 1049 803 1082 831 to
10 0 0.9999517202377319 1084 807 1153 833 prove
11 0 0.28078538179397583 700 861 771 895 0(+1)
11 0 0.8988989591598511 778 867 805 902 S
11 0 0.4416786730289459 805 863 866 904 4p(t
11 0 0.9998393058776855 863 870 891 900 +
11 0 0.5425325036048889 891 855 996 904 1)60+1),
12 0 0.9999617338180542 1436 867 1500 902 (161)
13 0 0.9885445237159729 240 943 358 981 Applying
13 0 0.5724826455116272 361 938 425 981 (157)
13 0 0.9998441934585571 429 943 486 975 into
13 0 0.9999831914901733 488 943 551 975 RHS
13 0 0.9986218214035034 549 941 586 977 of
13 0 0.7561115026473999 589 936 662 986 (161),
13 0 0.9871640205383301 667 953 705 973 we
13 0 0.9914084076881409 707 943 770 975 have
14 0 0.7205303907394409 718 999 778 1039 4p(t
14 0 0.9999310970306396 776 1003 803 1035 +
14 0 0.9608067870140076 803 996 836 1039 1)
14 1 0.9987843632698059 762 1046 781 1065 -
14 2 0.5425863265991211 738 1044 770 1074 1-
14 2 0.6469482779502869 783 1035 815 1076 81
15 0 0.8329247832298279 498 1020 556 1054 4u(t
15 0 0.982408344745636 556 1020 582 1054 +
15 0 0.27708742022514343 581 1009 687 1059 1)0(441)
15 0 0.9825975298881531 685 1016 715 1057 >
16 0 0.9997922778129578 913 1029 928 1050 -
16 1 0.31304478645324707 838 996 911 1069 (60
16 1 0.2855384945869446 928 1005 1067 1069 m/(oroya
16 1 0.4727229177951813 1089 1011 1173 1063 (000)3
17 0 0.9991687536239624 1062 1020 1092 1052 +
18 0 0.5014351606369019 1436 1020 1500 1054 (162)
19 0 0.9997994303703308 237 1095 290 1127 and
19 0 0.560741662979126 293 1097 443 1130 substituting
19 0 0.547577977180481 448 1089 516 1138 (15S)
19 0 0.9997881054878235 517 1093 574 1127 into
19 0 0.999942421913147 576 1095 635 1127 LHS
19 0 0.9950469732284546 635 1093 672 1130 of
19 0 0.6225116848945618 675 1093 747 1136 (161),
19 0 0.995652437210083 752 1100 791 1127 we
19 0 0.9999794960021973 791 1095 854 1127 have
20 0 0.4504055976867676 602 1170 679 1211 00+1)
20 0 0.5878896713256836 680 1177 707 1209 <
20 0 0.32465165853500366 713 1155 821 1196 (4uto))
20 0 0.9996634721755981 821 1158 853 1196 +
20 0 0.3550242483615875 850 1155 979 1196 WV(009)
20 0 0.9977407455444336 979 1160 1007 1192 +
20 0 0.5627179145812988 1007 1155 1087 1196 (000))2
21 0 0.9995254278182983 1436 1179 1500 1213 (163)
22 0 0.9995124340057373 864 1203 883 1228 1
22 0 0.9952967762947083 881 1209 894 1226 -
22 0 0.32942140102386475 909 1198 936 1231 6'
23 0 0.9982178807258606 239 1254 317 1289 Then,
23 0 0.9990859031677246 318 1261 368 1286 our
23 0 0.9995881915092468 366 1252 428 1293 goal
23 0 0.9937372207641602 428 1254 456 1286 is
23 0 0.9997159838676453 458 1256 491 1286 to
23 0 0.9999750852584839 491 1258 566 1291 prove
23 0 0.9998342990875244 569 1254 632 1286 RHS
23 0 0.9991494417190552 632 1252 669 1289 of
23 0 0.8709802031517029 670 1248 738 1297 (162)
23 0 0.9924477338790894 740 1254 768 1286 is
23 0 0.9994518160820007 770 1258 863 1291 greater
23 0 0.9991620779037476 864 1254 929 1286 than
23 0 0.9998546838760376 931 1254 996 1286 RHS
23 0 0.9976488947868347 994 1252 1032 1289 of
23 0 0.9903014898300171 1034 1250 1105 1293 (163).
23 0 0.9994980096817017 1115 1254 1187 1286 After
23 0 0.7111322283744812 1188 1261 1256 1284 some
23 0 0.9968530535697937 1260 1256 1445 1289 manipulations,
23 0 0.9987202882766724 1449 1254 1477 1286 it
23 0 0.9998127818107605 1477 1256 1505 1286 is
24 0 0.8033860325813293 197 1291 308 1316 sufficient
24 0 0.9997609257698059 312 1291 346 1319 to
24 0 0.9999606609344482 346 1291 411 1316 show
25 0 0.9983684420585632 579 1364 605 1398 (1
25 0 0.8732736110687256 609 1364 634 1398 +
25 0 0.8630853891372681 634 1362 695 1402 4p(t
25 0 0.9998730421066284 695 1364 720 1398 +
25 0 0.9999414682388306 717 1357 763 1405 1))
25 0 0.2679344415664673 755 1344 896 1417 (Vimop
25 0 0.9993960857391357 891 1362 923 1400 +
25 0 0.4637046456336975 921 1351 1007 1411 (00)2
25 0 0.707675576210022 992 1379 1007 1400 -
25 0 0.817471981048584 1020 1362 1052 1402 S
25 0 0.6988431811332703 1050 1357 1123 1398 4000).
26 0 0.9998782873153687 1436 1364 1500 1398 (164)
27 0 0.9998199343681335 239 1441 272 1471 In
27 0 0.9996907711029053 272 1439 320 1473 the
27 0 0.9709988832473755 322 1443 439 1475 following,
27 0 0.99994957447052 444 1445 484 1471 we
27 0 0.8521148562431335 484 1439 537 1473 will
27 0 0.9999418258666992 539 1443 604 1469 show
27 0 0.9996433258056641 605 1439 665 1471 that
27 0 0.9994888305664062 665 1439 715 1473 the
27 0 0.9999876022338867 715 1443 790 1469 above
