block line confidence X1 Y1 X2 Y2 token
0 0 0.9922086000442505 195 166 285 201 Giorgio
0 0 0.9171294569969177 289 169 392 194 Comitini
1 0 0.9957031607627869 193 317 348 349 Correlation
1 0 0.9966734647750854 358 319 481 344 functions
1 0 0.9999349117279053 491 317 570 344 which
1 0 0.999607264995575 578 319 676 344 include
1 0 0.9997989535331726 684 315 734 351 the
1 0 0.9937678575515747 739 317 815 354 ghost
1 0 0.9990783929824829 823 315 898 349 fields
1 0 0.9979410767555237 901 322 949 349 are
1 0 0.8785724639892578 957 317 1087 351 generated
1 0 0.9999583959579468 1095 315 1135 356 by
1 0 0.9990492463111877 1141 317 1235 351 adding
1 0 0.9998924732208252 1240 315 1279 351 to
1 0 0.9998985528945923 1280 315 1332 351 the
1 0 0.9954957962036133 1335 322 1381 349 ac-
2 0 0.9999667406082153 193 354 253 388 tion
2 0 0.9975110292434692 256 356 390 390 analogous
2 0 0.9990302324295044 395 360 484 386 source
2 0 0.9680327773094177 487 358 566 383 terms
2 0 0.999347984790802 570 351 615 388 for
2 0 0.9997541308403015 617 351 668 388 the
2 0 0.9991528987884521 670 356 764 390 ghosts.
3 0 0.9996727705001831 195 504 276 539 1.1.2
3 0 0.9995143413543701 285 504 437 536 Standard
3 0 0.9232480525970459 447 507 654 541 perturbative
3 0 0.9959176182746887 663 507 825 541 expansion
3 0 0.9710125923156738 838 502 975 543 (MLPE)
4 0 0.9997231364250183 240 561 302 596 Due
4 0 0.999957799911499 306 566 340 596 to
4 0 0.9998378753662109 347 561 395 598 the
4 0 0.9072271585464478 402 566 518 600 presence
4 0 0.9233611822128296 524 561 557 593 of
4 0 0.999330997467041 562 561 612 596 the
4 0 0.9899800419807434 620 566 754 591 non-linear
4 0 0.9652939438819885 764 566 909 591 interaction
4 0 0.9967071413993835 917 566 996 593 terms
4 0 0.9999816417694092 1003 564 1033 596 in
4 0 0.6247336268424988 1040 561 1075 600 S,
4 0 0.9997280240058899 1083 561 1133 598 the
4 0 0.9969004392623901 1141 568 1258 596 partition
4 0 0.9957088232040405 1269 566 1379 593 function
4 1 0.9950404763221741 198 603 276 639 (1.14)
4 1 0.999904990196228 282 605 376 632 cannot
4 1 0.9892752766609192 382 603 419 632 be
4 1 0.9846534132957458 424 600 554 632 evaluated
4 1 0.9944106936454773 560 603 659 637 exactly
4 1 0.7202092409133911 663 600 720 635 and
4 1 0.9999507665634155 725 605 776 632 one
4 1 0.9999511241912842 780 600 833 635 has
4 1 0.9999890327453613 836 603 870 632 to
4 1 0.9901094436645508 873 603 954 630 resort
