block line confidence X1 Y1 X2 Y2 token
0 0 0.996630847454071 177 204 222 240 As
0 0 0.9999308586120605 224 204 260 242 in
0 0 0.9988129138946533 263 206 325 240 Ref.
0 0 0.9886186122894287 332 204 381 249 [6],
0 0 0.9493376016616821 383 206 428 242 let
0 0 0.9989778995513916 433 212 471 240 us
0 0 0.9950309991836548 476 210 594 236 consider
0 0 0.9999958276748657 599 206 654 240 the
0 0 0.8858428001403809 659 206 796 244 five-point
0 0 0.9886727929115295 801 206 957 238 correlation
0 0 0.9991457462310791 966 206 1085 238 function
0 0 0.9999465942382812 1090 201 1162 242 with
0 0 0.9999035596847534 1165 212 1220 238 one
0 0 0.986323356628418 1226 210 1381 242 degenerate
0 0 0.9968873858451843 1387 206 1452 240 field
1 0 0.18183062970638275 592 279 1113 339 R38N.0SC5R.C
2 0 0.6773964762687683 1504 283 1572 326 (2.1)
3 0 0.9893031120300293 177 384 240 418 Due
3 0 0.9991638660430908 244 384 283 421 to
3 0 0.9998674392700195 285 384 338 418 the
3 0 0.5134015679359436 341 386 468 425 presence
3 0 0.9894056916236877 469 382 508 418 of
3 0 0.9999221563339233 509 382 562 416 the
3 0 0.9997379183769226 566 384 725 423 degenerate
3 0 0.9981546998023987 728 382 805 423 field,
3 0 0.9997232556343079 808 380 871 421 this
3 0 0.9986973404884338 874 384 1029 416 correlation
3 0 0.9513329863548279 1037 384 1157 416 function
3 0 0.9896438121795654 1163 384 1278 416 satisfies
3 0 0.9997794032096863 1283 388 1309 418 a
3 0 0.9981232285499573 1311 384 1411 423 partial
3 0 0.9774845242500305 1417 384 1572 416 differential
3 1 0.8042726516723633 127 425 263 464 equation,
3 1 0.6570632457733154 270 425 368 457 second
3 1 0.9979578256607056 376 427 453 453 order
3 1 0.9999804496765137 456 423 494 459 in
3 1 0.9202473759651184 498 429 527 461 2,
3 1 0.9998346567153931 532 423 594 457 first
3 1 0.9999603033065796 600 425 680 457 order
3 1 0.9999638795852661 682 423 720 459 in
3 1 0.2678632438182831 720 429 757 461 T.
3 1 0.9999971389770508 765 423 818 457 For
3 1 0.999907374382019 821 423 874 459 the
3 1 0.9377713799476624 876 427 1009 466 purposes
3 1 0.9993101358413696 1011 421 1049 459 of
3 1 0.9998908042907715 1049 423 1108 457 this
3 1 0.9933570027351379 1113 427 1213 453 section
3 1 0.9999904632568359 1220 425 1248 457 it
3 1 0.9819798469543457 1250 423 1284 459 is
3 1 0.8156261444091797 1284 427 1441 457 convenient
3 1 0.9998182654380798 1444 423 1482 459 to
3 1 0.9993098974227905 1485 425 1573 457 define
4 0 0.9999513626098633 127 461 180 498 the
4 0 0.5756726264953613 185 464 305 496 function
4 0 0.5111640691757202 313 464 410 504 W(ulg)
4 0 0.9999233484268188 415 470 451 498 as
5 0 0.2505761384963989 924 573 991 627 (2(2
5 0 0.9205836653709412 989 580 1024 618 -
5 0 0.2955937683582306 1016 567 1193 629 1)(2-x))
5 0 0.29829898476600647 1208 575 1331 625 01(u)
5 1 0.8537790775299072 923 638 991 681 (a(a
5 1 0.9828296303749084 992 646 1022 676 -
5 1 0.6345369219779968 1020 633 1087 685 1))-
5 1 0.5343057513237 1064 616 1147 676 zapal
5 1 0.5301765203475952 1157 625 1190 672 1
5 1 0.5432510375976562 1188 618 1303 685 e,(0)5
5 1 0.4254499077796936 1291 618 1349 674 a
6 0 0.1587899625301361 179 599 685 653 .,.89.65.089.5X.09
6 0 0.7580010890960693 688 610 722 635 =
6 0 0.19420921802520752 720 590 786 644 227
6 0 0.509390652179718 775 595 854 644 (2-
6 0 0.2766801714897156 846 584 923 650 1)sk
7 0 0.5477611422538757 1354 603 1459 644 w(ulg),
7 0 0.9987221360206604 1504 601 1572 644 (2.2)
8 0 0.9999772310256958 175 724 267 762 where
8 0 0.9998873472213745 270 726 323 760 the
8 0 0.9998462200164795 330 726 443 758 variable
8 0 0.49816811084747314 446 730 476 760 u
8 0 0.9994434714317322 474 724 509 762 is
8 0 0.9954851865768433 511 726 614 758 related
8 0 0.9999823570251465 619 726 688 760 with
8 0 0.9999966621398926 692 726 747 760 the
8 0 0.9994233846664429 750 726 879 758 variables
8 0 0.8585720658302307 883 730 909 762 2
8 0 0.9922695159912109 911 726 969 760 and
8 0 0.41639280319213867 972 730 1001 760 T
8 0 0.9994962215423584 1004 732 1039 760 as
9 0 0.5068601965904236 675 809 703 837 T
9 1 0.1555178165435791 765 801 848 842 2(-1)
9 2 0.3339119851589203 576 831 605 859 u
9 3 0.18737520277500153 640 842 738 889 4K(a)
9 3 0.9629029035568237 738 840 781 889 Jo
10 0 0.9969663023948669 964 801 1002 837 dt
10 1 0.2439766675233841 856 842 1042 898 Vi1-0)1
10 1 0.7861557602882385 1029 852 1074 887 -
10 1 0.34646162390708923 1060 846 1113 891 t)
11 0 0.9854940176010132 1502 822 1572 865 (2.3)
12 0 0.8885748982429504 179 921 257 962 K(a)
12 0 0.995922327041626 258 921 293 960 is
12 0 0.9997974038124084 293 921 346 958 the
12 0 0.9831278324127197 350 921 451 962 elliptic
12 0 0.9942795038223267 456 921 569 962 integral
12 0 0.9555334448814392 572 921 610 958 of
12 0 0.9998849630355835 612 921 665 956 the
12 0 0.9997190833091736 669 921 730 956 first
12 0 0.9990878105163574 735 921 801 956 kind
13 0 0.9408143162727356 780 990 811 1031 /
14 0 0.9362471699714661 926 992 964 1029 dt
15 0 0.9578285813331604 1502 1016 1572 1059 (2.4)
16 0 0.6075963377952576 752 1007 806 1084 J.
16 0 0.31924593448638916 820 1037 934 1087 VE(1-
16 0 0.800270676612854 929 1041 1001 1084 t)(1
16 0 0.5051828026771545 989 1044 1024 1080 -
16 0 0.348966121673584 1022 1039 1075 1084 xt)
16 1 0.6154212951660156 717 1168 735 1190 -
16 1 0.8839550614356995 742 1168 758 1194 1
16 1 0.6174854040145874 753 1142 833 1185 K(1
16 1 0.8223597407341003 825 1145 868 1183 -
16 1 0.6842806339263916 854 1140 898 1188 z)
16 1 0.7676227688789368 939 1142 1011 1185 logg
16 2 0.3914894759654999 788 1185 866 1228 K(a)
17 0 0.39803192019462585 602 968 785 1102 R-1
18 0 0.732628583908081 1504 1164 1572 1207 (2.5)
19 0 0.7643219828605652 956 1188 992 1224 IT
20 0 0.9988688826560974 177 1263 234 1297 and
20 0 0.6554396152496338 240 1263 327 1304 01(u)
20 0 0.9994801878929138 330 1261 363 1299 is
20 0 0.9999982118606567 365 1263 420 1297 the
20 0 0.9993528723716736 423 1263 517 1295 Jacobi
20 0 0.9951863884925842 524 1263 604 1295 theta
20 0 0.9993739724159241 610 1263 730 1295 function
20 0 0.9928916692733765 735 1261 798 1304 (see
20 0 0.9915956854820251 801 1265 952 1295 definitions
20 0 0.9999717473983765 956 1261 994 1299 in
20 0 0.9112548828125 997 1263 1152 1304 appendix).
21 0 0.9999080896377563 177 1304 240 1338 The
21 0 0.9959942102432251 247 1301 371 1340 function
21 0 0.6427911520004272 380 1304 476 1344 W(ulg)
21 0 0.9921135902404785 486 1301 594 1340 defined
21 0 0.9999302625656128 600 1301 645 1347 by
21 0 0.972743809223175 652 1304 770 1344 Eq.(2.2)
21 0 0.9467347860336304 783 1308 894 1334 satisfies
21 0 0.999967098236084 904 1304 957 1338 the
21 0 0.7448806166648865 966 1308 1175 1340 non-stationary
21 0 0.8800341486930847 1187 1304 1361 1342 Schrôdinger
21 0 0.9966915845870972 1367 1304 1495 1342 equation
21 0 0.9999988079071045 1505 1304 1573 1338 with
22 0 0.9990729093551636 127 1342 230 1383 doubly
22 0 0.9989363551139832 237 1344 355 1383 periodic
22 0 0.9767681360244751 361 1344 491 1383 potential
23 0 0.9985551238059998 828 1420 863 1460 4i
24 0 0.3366051912307739 629 1430 675 1493 02
24 0 0.9962087869644165 677 1450 703 1484 -
24 0 0.8736400604248047 703 1439 783 1488 V(u)
24 0 0.992746889591217 783 1448 813 1480 +
24 0 0.2680532932281494 808 1424 911 1514 2170
24 0 0.2728615999221802 918 1437 1019 1493 w(ulg)
24 0 0.38079750537872314 1024 1452 1055 1482 =
24 0 0.9902396202087402 1055 1443 1089 1484 0,
25 0 0.9796566367149353 1502 1443 1572 1486 (2.6)
26 0 0.9999761581420898 175 1544 267 1583 where
26 0 0.9995751976966858 270 1546 323 1583 the
26 0 0.9789710640907288 328 1546 459 1587 potential
26 0 0.9088890552520752 464 1544 536 1587 V(u)
26 0 0.9998553991317749 541 1544 574 1583 is
