block line confidence X1 Y1 X2 Y2 token
0 0 0.9999508857727051 202 184 263 219 how
0 0 0.9999096393585205 267 191 320 216 one
0 0 0.9979285001754761 323 191 376 216 can
0 0 0.9873381853103638 378 182 479 221 deduce
0 0 0.9999477863311768 483 184 532 219 the
0 0 0.9997597336769104 537 184 657 216 behavior
0 0 0.9988753199577332 662 186 693 216 of
0 0 0.9999926090240479 697 184 748 219 the
0 0 0.991346538066864 750 191 831 223 many
0 0 0.980494499206543 835 189 981 221 interesting
0 0 0.9499536156654358 986 184 1060 219 fields
0 0 0.9999055862426758 1065 184 1148 219 under
0 0 0.9999611377716064 1152 184 1203 219 the
0 0 0.8275678157806396 1206 184 1397 216 Hamiltonian's
0 0 0.9955808520317078 1402 184 1509 216 discrete
1 0 0.5995501279830933 199 223 366 262 symmetries.
1 1 0.9998449087142944 202 259 255 294 3.1
1 1 0.9997413754463196 288 259 451 292 Primaries
2 0 0.9995536208152771 249 317 310 352 The
2 0 0.7379017472267151 312 313 356 358 Zis
2 0 0.7803402543067932 361 317 431 352 CFT
2 0 0.9999585151672363 438 317 491 352 has
2 0 0.998468816280365 498 322 591 348 central
2 0 0.9988896250724792 599 317 692 356 charge
2 0 0.9844077229499817 697 322 722 354 C
2 0 0.5220301151275635 727 322 755 352 -
2 0 0.9998728036880493 760 315 818 358 4/5
2 0 0.43594858050346375 825 317 874 354 LTOJ
2 0 0.9893045425415039 883 317 937 352 and
2 0 0.999733030796051 942 320 972 350 is
2 0 0.9999061822891235 977 322 1004 352 a
2 0 0.9784059524536133 1006 317 1115 350 rational
2 0 0.9661186337471008 1123 317 1260 350 conformal
2 0 0.9931020736694336 1268 317 1329 352 field
2 0 0.9887080192565918 1336 317 1434 356 theory.
2 0 0.9998055100440979 1450 317 1510 352 The
2 1 0.9126312732696533 204 356 373 388 fundamental
2 1 0.9859045147895813 380 356 562 388 characteristic
2 1 0.9860988855361938 567 358 600 388 of
2 1 0.9999059438705444 604 358 627 388 a
2 1 0.9981839060783386 630 356 742 388 rational
2 1 0.9941260814666748 747 356 883 388 conformal
2 1 0.9895179867744446 888 356 951 388 field
2 1 0.9999542236328125 956 356 1047 395 theory
2 1 0.9994946718215942 1050 354 1084 393 is
2 1 0.9999758005142212 1085 356 1148 388 that
2 1 0.9979986548423767 1153 354 1193 388 all
2 1 0.9999089241027832 1196 356 1248 391 the
2 1 0.7907221913337708 1250 356 1474 395 operators/states
2 1 0.9989562034606934 1475 354 1514 391 of
2 2 0.9999127388000488 202 393 254 427 the
2 2 0.9999487400054932 257 393 348 431 theory
2 2 0.9976170659065247 351 399 405 425 can
2 2 0.9999392032623291 408 393 451 427 be
2 2 0.9972622394561768 451 393 586 431 expressed
2 2 0.9999856948852539 591 395 622 425 in
2 2 0.5672492384910583 625 395 710 427 terms
2 2 0.9289348721504211 713 395 747 425 of
2 2 0.9998894929885864 747 397 771 427 a
2 2 0.9996895790100098 776 393 851 425 finite
2 2 0.9915494918823242 854 397 899 425 set
2 2 0.9997661709785461 903 395 936 425 of
2 2 0.9942065477371216 941 397 1070 429 operators
2 2 0.99614018201828 1075 393 1180 425 dubbed
2 2 0.9069563746452332 1185 393 1298 431 primary
2 2 0.9859309196472168 1303 393 1384 425 fields.
2 2 0.9998828172683716 1397 393 1469 425 That
2 2 0.996911346912384 1472 393 1510 431 is,
2 3 0.999117910861969 202 436 278 470 every
2 3 0.993019163608551 280 436 350 461 state
2 3 0.9999451637268066 351 433 383 464 in
2 3 0.9999914169311523 383 431 434 464 the
2 3 0.9692474603652954 433 431 534 464 Hilbert
2 3 0.9593873023986816 536 436 605 461 state
2 3 0.9998672008514404 605 433 667 468 may
2 3 0.999775230884552 669 431 708 466 be
2 3 0.9847849607467651 708 431 868 464 constructed
2 3 0.9998979568481445 868 431 906 470 by
2 3 0.9602239727973938 908 431 997 470 acting
2 3 0.9999895095825195 997 431 1062 466 with
2 3 0.9997923970222473 1062 436 1085 466 a
2 3 0.8855119347572327 1084 431 1196 470 primary
2 3 0.9873237013816833 1198 429 1261 464 field
2 3 0.9925480484962463 1260 431 1316 464 and
2 3 0.999931812286377 1318 431 1367 466 the
2 3 0.9945201277732849 1366 436 1509 468 generators
2 4 0.9843460917472839 250 504 325 539 With
2 4 0.9983564019203186 332 511 491 543 appropriate
2 4 0.9943060278892517 498 509 629 541 boundary
2 4 0.9965180158615112 634 504 786 543 conditions,
2 4 0.9999890327453613 791 507 843 539 the
2 4 0.9568151831626892 846 504 908 539 left-
2 4 0.9989062547683716 913 507 969 541 and
2 4 0.9881191849708557 974 507 1152 545 right-moving
2 4 0.818145751953125 1157 507 1293 539 conformal
2 4 0.9683065414428711 1299 507 1459 545 symmetries
2 4 0.9999198913574219 1462 513 1510 539 are
2 5 0.9857660531997681 200 543 378 582 independent.
2 5 0.9961650371551514 401 543 484 577 When
2 5 0.9736338257789612 493 547 640 580 space-time
2 5 0.9995909333229065 647 545 677 577 is
2 5 0.9975504279136658 685 547 783 573 written
2 5 0.9999943971633911 793 545 825 575 in
2 5 0.9989867806434631 833 545 916 577 terms
2 5 0.9989334940910339 924 545 956 575 of
2 5 0.9883967041969299 962 543 1079 582 complex
2 5 0.9929842948913574 1084 543 1251 582 coordinates,
2 5 0.9998657703399658 1261 543 1311 577 the
2 5 0.8788902163505554 1318 547 1509 580 corresponding
2 6 0.9994032382965088 202 586 346 618 generators
2 6 0.9998522996902466 346 588 395 614 are
2 6 0.9999237060546875 396 582 448 616 the
2 6 0.9636606574058533 446 584 617 616 holomorphic
2 6 0.9971826076507568 617 584 675 616 and
2 6 0.9564069509506226 674 582 898 620 antiholomorphic
2 6 0.9995170831680298 898 582 976 623 parts
2 6 0.732988178730011 976 584 1007 614 of
2 6 0.999961256980896 1007 582 1059 616 the
2 6 0.5310730934143066 1057 586 1311 618 energy-momentum
