block line confidence X1 Y1 X2 Y2 token
0 0 0.9985442161560059 1542 77 1567 107 3
1 0 0.8495417237281799 293 148 310 171 j
1 0 0.9744693040847778 318 150 428 182 Currently
1 0 0.9991697072982788 431 152 468 180 at:
1 0 0.9978137016296387 474 150 556 182 Center
1 0 0.9986000657081604 556 150 597 184 for
1 0 0.8727794289588928 602 150 748 182 Underground
1 0 0.9050405025482178 752 150 846 182 Physics,
1 0 0.9919174313545227 851 150 952 182 Institute
1 0 0.9978960752487183 951 148 994 182 for
1 0 0.997996985912323 996 148 1064 180 Basic
1 0 0.9961323738098145 1065 150 1158 182 Science,
1 0 0.5915805101394653 1163 148 1263 186 Daejeon
1 0 0.7472110390663147 1263 150 1341 184 34126,
1 0 0.9979329109191895 1346 148 1419 180 Korea
2 0 0.6876345872879028 845 266 863 290 1
3 0 0.9992479681968689 323 348 378 380 The
3 0 0.9972929358482361 380 348 458 380 charm
3 0 0.8648416996002197 461 350 607 382 semileptonic
3 0 0.9987140893936157 612 350 693 382 decays
3 0 0.6118436455726624 698 345 743 380 D+
3 0 0.33537936210632324 750 350 785 378 1
3 0 0.6147571802139282 786 345 864 386 netve
3 0 0.9900211691856384 868 348 919 380 and
3 0 0.7575796246528625 923 343 967 380 D+
3 0 0.40432029962539673 976 348 1007 378 -
3 0 0.5452451109886169 1012 343 1095 384 netve
3 0 0.9756635427474976 1102 356 1145 378 are
3 0 0.985522985458374 1148 350 1235 375 studied
3 0 0.9999731779098511 1240 348 1299 380 with
3 0 0.9998319149017334 1303 356 1324 378 a
3 0 0.507768452167511 1328 350 1412 382 sample
3 1 0.9724529981613159 298 378 328 406 of
3 1 0.9847361445426941 330 375 395 408 ete-
3 1 0.9942713975906372 400 375 498 408 collision
3 1 0.6877791285514832 501 380 557 406 data
3 1 0.9747606515884399 562 378 727 410 corresponding
3 1 0.999785840511322 730 380 762 408 to
3 1 0.9998703002929688 762 382 800 408 an
3 1 0.9991052746772766 801 378 923 410 integrated
3 1 0.9964460730552673 928 378 1052 410 luminosity
3 1 0.9989274144172668 1055 378 1085 408 of
3 1 0.7133093476295471 1085 371 1195 410 2.93fb-1
3 1 0.9641308784484863 1196 375 1301 408 collected
3 1 0.999211311340332 1306 380 1338 408 at
3 1 0.873907208442688 1341 375 1384 412 Vs
3 1 0.9799485206604004 1384 380 1409 408 =
3 2 0.9931188821792603 300 408 363 433 3.773
3 2 0.9766810536384583 360 403 420 436 GeV
3 2 0.9992471933364868 421 406 479 438 with
3 2 0.999984622001648 481 408 524 436 the
3 2 0.9998451471328735 527 406 612 438 BESIII
3 2 0.9898697733879089 615 406 720 438 detector.
3 2 0.9997861981391907 732 408 773 436 We
3 2 0.9419472217559814 775 410 873 436 measure
3 2 0.9999219179153442 876 408 919 436 the
3 2 0.9960886240005493 921 403 1040 442 branching
3 2 0.9820795059204102 1042 406 1145 438 fractions
3 2 0.9970729351043701 1147 408 1185 436 for
3 2 0.7363590598106384 1187 403 1235 438 D+
3 2 0.39540037512779236 1238 408 1268 438 -
3 2 0.6459735631942749 1271 406 1343 440 netVe
3 2 0.9992464780807495 1346 408 1377 436 to
3 2 0.9934038519859314 1381 408 1412 436 be
3 3 0.9998539686203003 300 433 375 468 (10.74
3 3 0.3703554570674896 375 436 401 466 t
3 3 0.9997377991676331 400 438 451 464 0.81
3 3 0.6451619267463684 453 436 481 466 
3 3 0.9998045563697815 478 436 542 468 0.51)
3 3 0.7701192498207092 546 438 564 464 X
3 3 0.9966822266578674 566 429 634 470 10-4,
3 3 0.9435303211212158 639 436 687 466 and
3 3 0.9986690282821655 690 436 728 464 for
3 3 0.6799583435058594 733 436 775 464 Dt
3 3 0.4623766243457794 781 438 811 466 *
3 3 0.5908403992652893 813 431 894 472 n'etve
3 3 0.9996501207351685 898 436 929 464 to
3 3 0.9992663264274597 931 436 966 464 be
3 3 0.9867764115333557 967 436 1029 468 (1.91
3 3 0.47874727845191956 1030 436 1057 466 t
3 3 0.9997857213020325 1054 433 1108 466 0.51
3 3 0.29196295142173767 1108 433 1135 466 t
