block line confidence X1 Y1 X2 Y2 token
0 0 0.9992558360099792 197 207 263 235 seen
0 0 0.9407591223716736 271 205 306 235 in
0 0 0.9962994456291199 316 207 369 232 our
0 0 0.994360625743866 379 203 478 237 largest
0 0 0.9993627667427063 489 203 583 230 lateral
0 0 0.9220383167266846 594 201 720 242 systems,
0 0 0.998433530330658 731 207 768 235 as
0 0 0.9850507974624634 776 201 927 232 illustrated
0 0 0.9999808073043823 936 201 972 235 in
0 0 0.9977922439575195 980 198 1041 242 Fig.
0 0 0.9973105192184448 1049 198 1083 237 3.
0 0 0.9993441700935364 1108 196 1158 242 (In
0 0 0.9963147044181824 1164 198 1227 242 Fig.
0 0 0.9125093221664429 1238 198 1279 235 ld
0 0 0.9999861717224121 1285 201 1342 235 the
0 0 0.997599184513092 1348 203 1498 235 transverse
0 1 0.9786548018455505 198 258 368 299 (horizontal)
0 1 0.9947814345359802 373 258 432 292 size
0 1 0.9988406300544739 437 264 494 292 was
0 1 0.6914386749267578 499 258 573 292 fixed
0 1 0.9903115034103394 576 264 612 292 SO
0 1 0.9999911785125732 617 258 683 292 that
0 1 0.9815713763237 686 260 857 294 meandering
0 1 0.9995003938674927 862 258 914 292 did
0 1 0.999862551689148 917 260 972 294 not
0 1 0.9996107220649719 973 258 1041 301 play
0 1 0.9916103482246399 1046 264 1087 292 an
0 1 0.8070659041404724 1090 258 1225 290 increased
0 1 0.9991952776908875 1230 258 1292 292 role
0 1 0.9997304081916809 1295 264 1330 292 as
0 1 0.5285300016403198 1332 262 1435 296 system
0 1 0.9997857213020325 1440 258 1498 294 size
0 2 0.9993890523910522 197 322 256 349 was
0 2 0.9980108141899109 256 315 371 356 varied.)
0 2 0.9899472594261169 384 317 424 347 As
0 2 0.9790883660316467 424 317 565 349 described
0 2 0.9993197917938232 568 315 665 356 above,
0 2 0.9994009733200073 668 322 723 349 our
0 2 0.8524279594421387 726 319 823 347 second
0 2 0.9579229354858398 828 317 982 349 simulation
0 2 0.569511890411377 986 319 1088 354 system
0 2 0.617048978805542 1096 317 1175 354 (from
0 2 0.9999175071716309 1182 315 1269 349 which
0 2 0.9997628331184387 1272 315 1326 351 the
0 2 0.9995124340057373 1326 315 1397 349 data
0 2 0.9999887943267822 1400 317 1432 349 in
0 2 0.9929592609405518 1439 317 1495 354 Fig.
0 3 0.9890425801277161 192 370 255 413 3is
0 3 0.9808860421180725 253 376 394 411 obtained)
0 3 0.9993535876274109 398 372 431 413 is
0 3 0.9938084483146667 434 374 518 408 based
0 3 0.9999333620071411 523 379 563 408 on
0 3 0.9950034022331238 566 374 670 415 adding
0 3 0.7454225420951843 673 376 847 408 cross-braces
0 3 0.999614953994751 852 379 888 408 to
0 3 0.9998452663421631 889 379 915 411 a
0 3 0.9995594620704651 915 376 1017 418 square
0 3 0.9952568411827087 1020 379 1119 406 lattice.
0 3 0.9999536275863647 1130 374 1209 408 Thus
0 3 0.9992613196372986 1213 374 1324 415 varying
0 3 0.9980654120445251 1330 376 1377 408 Az
0 3 0.7280359268188477 1382 379 1495 406 controls
0 4 0.9998424053192139 198 433 251 470 not
0 4 0.9939345717430115 253 433 319 470 only
0 4 0.9997499585151672 323 431 374 468 the
0 4 0.999943733215332 377 436 495 463 intrinsic
0 4 0.9692589640617371 503 436 586 463 width
0 4 0.9904194474220276 589 431 628 468 of
0 4 0.9999784231185913 626 436 652 465 a
0 4 0.9355422854423523 654 436 730 463 crack
0 4 0.9961745738983154 734 431 776 472 by
0 4 0.5336084365844727 776 431 928 472 modifying
0 4 0.9998998641967773 927 433 970 470 its
