block line confidence X1 Y1 X2 Y2 token
0 0 0.4815260171890259 212 128 403 158 Latropolating
0 0 0.8997335433959961 410 128 602 158 entanglement
0 0 0.9975702166557312 609 128 720 161 entropy
0 0 0.8645810484886169 723 124 783 158 and
0 0 0.28730764985084534 788 128 929 161 negatruty
0 0 0.999683141708374 934 124 972 163 of
0 0 0.9439808130264282 971 124 1085 163 disjoint
0 0 0.9417625665664673 1090 124 1216 156 itervals
0 0 0.9842973351478577 1220 124 1260 158 in
0 0 0.9979727864265442 1265 122 1339 156 CFT
0 1 0.8073610663414001 190 195 318 236 [31]L.J.
0 1 0.9993540644645691 318 199 405 232 Dixon,
0 1 0.994734525680542 408 199 444 232 D.
0 1 0.9970281720161438 446 199 551 232 Friedan,
0 1 0.9805601835250854 556 199 587 227 E.
0 1 0.7181515097618103 589 199 617 227 J.
0 1 0.999728262424469 622 201 737 225 Martinec
0 1 0.9988391995429993 737 197 791 229 and
0 1 0.9600241184234619 791 199 825 227 S.
0 1 0.9966599941253662 823 199 861 227 H.
0 1 0.9677754640579224 863 199 972 232 Shenker,
0 1 0.955333411693573 974 197 1047 229 Nucl.
0 1 0.9959041476249695 1049 199 1123 232 Phys.
0 1 0.9977176189422607 1125 201 1206 227 B282
0 1 0.999591052532196 1211 199 1293 232 (1987)
0 1 0.9999058246612549 1294 197 1339 234 13;
0 2 0.7016400098800659 277 266 516 305 L.Alvarez-Gaumé,
0 2 0.9922105073928833 519 270 556 302 G.
0 2 0.7528613805770874 557 272 599 298 W.
0 2 0.9961363673210144 600 272 685 298 Moore
0 2 0.9992426633834839 688 268 743 302 and
0 2 0.9986802935600281 743 272 775 298 C.
0 2 0.998747706413269 780 270 848 305 Vafa,
0 2 0.9350045919418335 853 275 972 298 Commun.
0 2 0.9959433674812317 979 272 1055 298 Math.
0 2 0.9980999827384949 1060 270 1133 305 Phys.
0 2 0.9590337872505188 1135 270 1198 302 106
0 2 0.9882115721702576 1193 270 1221 302 1
0 2 0.9940922856330872 1218 275 1303 300 (1986);
1 0 0.9998732805252075 1422 122 1464 158 28
2 0 0.9857646822929382 282 236 325 264 Al.
2 0 0.877772331237793 325 236 360 262 B.
2 0 0.5796816349029541 363 236 557 266 Zamolodchikov,
2 0 0.9923753142356873 561 234 630 266 Nucl.
2 0 0.9962363839149475 635 234 707 268 Phys.
2 0 0.999991774559021 710 234 737 266 B
2 0 0.9999289512634277 737 234 795 266 285
2 0 0.9986429810523987 798 236 878 268 (1987)
