block line confidence X1 Y1 X2 Y2 token
0 0 0.9998443126678467 469 266 595 290 KAZUHIRO
0 0 0.9980670809745789 597 266 722 290 ICHIHARA,
0 0 0.995896577835083 723 266 833 290 MAKOTO
0 0 0.9649580717086792 833 266 926 290 OZAWA,
0 0 0.9979788661003113 926 262 986 294 AND
0 0 0.9151560664176941 982 264 1011 292 J.
0 0 0.9999570846557617 1011 264 1084 290 HYAM
0 0 0.7632105946540833 1084 266 1175 290 RUBINS
0 0 0.9998854398727417 1170 264 1228 287 TEIN
1 0 0.9963066577911377 994 339 1042 375 M+
2 0 0.46189555525779724 1211 341 1253 375 M
3 0 0.9166032075881958 549 363 595 399 M
4 0 0.9904113411903381 393 573 439 614 M
5 0 0.9636224508285522 776 734 876 760 FIGURE
5 0 0.9985478520393372 881 732 909 764 1.
6 0 0.9171304702758789 351 820 436 846 Claim
6 0 0.9963821172714233 439 816 474 852 2.
6 0 0.9955530762672424 486 820 557 846 There
6 0 0.9997414946556091 561 825 605 850 are
6 0 0.9955007433891296 607 825 645 850 no
6 0 0.8178970217704773 647 822 800 852 compressing
6 0 0.9960820078849792 803 818 868 850 disks
6 0 0.9934906959533691 868 818 914 852 for
6 0 0.33942747116088867 914 818 957 852 Su
6 0 0.6916648745536804 951 818 1027 852 NM+
6 0 0.992384135723114 1035 820 1067 850 in
6 0 0.4040931761264801 1067 812 1120 857 H,.
6 1 0.6728118062019348 348 945 503 977 compressing
6 1 0.9993571639060974 504 941 561 975 disk
6 1 0.9986940026283264 562 943 602 971 for
6 1 0.6208083033561707 605 943 645 977 Sp
6 1 0.45323845744132996 642 943 718 977 OM+
6 1 0.9999867677688599 723 943 755 973 in
6 1 0.8545060157775879 757 941 803 981 Hp
6 1 0.9996439218521118 805 945 906 977 appears
6 1 0.999976396560669 906 941 951 975 for
6 1 0.8121684193611145 949 941 974 973 t'
6 1 0.57639479637146 976 943 1004 973 >
6 1 0.7294496893882751 1004 941 1027 973 t.
7 0 0.9405248761177063 351 874 428 908 Proof.
7 0 0.8425295948982239 439 878 466 902 If
7 0 0.9996393918991089 456 876 521 902 such
7 0 0.9995125532150269 521 876 546 906 a
7 0 0.9442327618598938 544 876 697 908 compressing
7 0 0.9825249910354614 697 872 753 906 disk
7 0 0.9998635053634644 753 876 828 902 exists
7 0 0.9997790455818176 826 870 861 908 in
7 0 0.36239856481552124 861 872 914 908 Hp,
7 0 0.9991563558578491 914 874 977 906 then
7 0 0.9946053624153137 979 876 1045 902 there
7 0 0.9334337115287781 1045 876 1120 902 exists
7 0 0.9974639415740967 1118 878 1145 906 a
7 0 0.7922177910804749 1142 876 1296 906 compressing
7 0 0.9996718168258667 1296 872 1353 904 disk
7 1 0.9999216794967651 346 906 381 943 in
7 1 0.5377935171127319 383 908 413 941 St
7 1 0.5138073563575745 413 910 486 943 NM+
7 1 0.9999316930770874 489 906 524 943 in
7 1 0.22618231177330017 524 906 562 945 H
7 1 0.9995676875114441 569 906 612 941 for
7 1 0.9620368480682373 610 908 632 941 t
7 1 0.9927849769592285 630 910 659 938 <
7 1 0.7907200455665588 660 906 677 936 t
7 1 0.9994811415672302 677 906 715 943 by
7 1 0.9989393353462219 717 906 796 938 Claim
7 1 0.9999368190765381 796 906 828 945 1,
7 1 0.9202980399131775 828 910 994 941 contradicting
7 1 0.9996998310089111 997 910 1042 938 the
7 1 0.923453152179718 1042 910 1187 941 assumption
7 1 0.9991391897201538 1190 910 1246 936 that
7 1 0.9991635084152222 1251 908 1294 936 the
7 1 0.9998636245727539 1296 906 1351 938 first
7 2 0.6332517266273499 380 1003 451 1035 Thus
7 2 0.999968409538269 454 1005 499 1033 the
7 2 0.9986451268196106 499 1003 557 1035 side
7 2 0.5089151859283447 562 1005 610 1035 M
7 2 0.9551779627799988 615 1007 682 1033 must
7 2 0.9999817609786987 687 1005 722 1033 be
7 2 0.9999744892120361 727 1007 803 1033 where
7 2 0.9999426603317261 808 1005 853 1033 the
7 2 0.9769118428230286 854 1003 911 1035 first
7 2 0.5679286122322083 914 1007 1069 1037 compressing
7 2 0.9907705783843994 1070 1003 1128 1035 disk
7 2 0.9999837875366211 1130 1005 1162 1035 in
7 2 0.41081172227859497 1165 1001 1211 1041 H
7 2 0.9902483820915222 1218 1011 1316 1037 appears
7 2 0.9910981059074402 1319 1007 1351 1035 at
7 3 0.9999797344207764 346 1037 396 1072 the
7 3 0.9994524121284485 396 1037 459 1069 level
7 3 0.5901206731796265 461 1037 486 1072 t'
7 3 0.9879418015480042 493 1037 519 1072 (t
7 3 0.9233999252319336 519 1039 551 1069 <
7 3 0.43603450059890747 549 1035 572 1069 E
7 3 0.9462910294532776 571 1037 645 1072 <t).
7 3 0.9986788630485535 655 1041 722 1067 That
7 3 0.9934871196746826 723 1037 760 1074 is,
7 3 0.24838751554489136 763 1039 803 1074 Str
7 3 0.876191258430481 801 1039 876 1072 AM
7 3 0.999883770942688 886 1041 933 1067 has
7 3 0.9971309304237366 934 1044 959 1072 a
7 3 0.9943516254425049 959 1041 1113 1074 compressing
7 3 0.9977685213088989 1117 1037 1175 1069 disk
7 3 0.9999648332595825 1175 1039 1208 1069 in
7 3 0.4970834255218506 1208 1033 1268 1078 H,.
7 3 0.9999083280563354 1275 1039 1351 1072 Then,
7 4 0.9999542236328125 348 1072 420 1104 there
7 4 0.9993780851364136 421 1078 468 1104 are
7 4 0.9621832370758057 468 1078 506 1104 no
7 4 0.8268950581550598 509 1076 662 1106 compressing
7 4 0.991083025932312 665 1072 733 1104 disks
7 4 0.9998705387115479 737 1074 778 1102 for
7 4 0.2897084355354309 781 1072 823 1106 Sy
7 4 0.5705270767211914 820 1072 859 1106 01
7 4 0.9973415732383728 850 1072 898 1106 M+
7 4 0.9999206066131592 903 1072 936 1102 in
7 4 0.670417845249176 939 1065 992 1112 HP,
7 4 0.9931384921073914 999 1074 1037 1102 for
7 4 0.9867693185806274 1042 1072 1067 1104 S
7 4 0.9999052286148071 1070 1072 1099 1104 is
7 4 0.9995033740997314 1100 1074 1203 1106 strongly
7 4 0.9921382069587708 1208 1072 1351 1102 irreducible.
7 5 0.9920092821121216 348 1108 463 1140 Together
7 5 0.9520226120948792 463 1106 526 1138 with
7 5 0.8899003267288208 527 1106 605 1138 Claim
7 5 0.9999103546142578 607 1108 635 1140 2,
7 5 0.9996201992034912 637 1112 677 1138 we
7 5 0.9940894842147827 679 1110 788 1134 conclude
7 5 0.999932050704956 791 1108 856 1140 that,
7 5 0.9992689490318298 859 1108 899 1136 for
7 5 0.8763118982315063 899 1106 924 1138 t'
7 5 0.9837070107460022 926 1108 956 1136 >
7 5 0.9710686802864075 956 1108 974 1134 t
7 5 0.9992996454238892 969 1106 1024 1138 and
