block line confidence X1 Y1 X2 Y2 token
0 0 0.6354211568832397 775 184 869 216 KBSF
1 0 0.9932118654251099 229 281 426 320 computational
1 0 0.997433602809906 429 283 491 315 cost
1 0 0.9462888836860657 496 281 612 313 becomes
1 0 0.999894380569458 617 285 644 315 a
1 0 0.9989411234855652 647 281 762 313 function
1 0 0.997465968132019 765 279 801 315 of
1 0 0.9954177141189575 803 287 838 313 m
1 0 0.9894281029701233 843 283 909 317 only.
1 0 0.9993689656257629 924 281 964 315 In
1 0 0.9963560104370117 966 281 1110 320 particular,
1 0 0.9999744892120361 1117 281 1168 315 the
1 0 0.9983665347099304 1170 283 1230 315 cost
1 0 0.9913138747215271 1233 279 1271 315 of
1 0 0.9974633455276489 1270 281 1372 320 solving
1 0 0.9979872703552246 1377 277 1416 315 M
1 1 0.9407099485397339 230 320 340 358 through
1 1 0.5582456588745117 343 320 464 358 dynamic
1 1 0.9192025065422058 468 320 652 358 programming
1 1 0.8484389185905457 655 317 776 356 becomes
1 1 0.9462567567825317 778 320 933 358 polynomial
1 1 0.9999701976776123 934 317 971 354 in
1 1 0.9917341470718384 972 324 1007 352 m
1 1 0.5726401209831238 1012 322 1110 348 instead
1 1 0.9994638562202454 1117 322 1150 350 of
1 1 0.5393034815788269 1153 322 1185 352 T2:
1 1 0.9977078437805176 1196 320 1273 352 while
1 1 0.9999350309371948 1276 326 1329 352 one
1 1 0.9987491369247437 1333 317 1416 358 appli-
1 2 0.9992456436157227 227 356 317 388 cation
1 2 0.9991601705551147 320 358 356 391 of
1 2 0.6105318069458008 351 354 390 393 T,
1 2 0.9998329877853394 395 356 444 391 the
1 2 0.5265443921089172 448 356 562 388 Bellman
1 2 0.9998646974563599 566 360 683 393 operator
1 2 0.9924982190132141 687 354 725 391 of
1 2 0.9934114813804626 722 352 805 395 M,is
1 2 0.3377822935581207 806 356 942 395 O(nRlA)),
1 2 0.9995237588882446 947 356 997 391 the
1 2 0.9494942426681519 999 356 1175 395 computation
1 2 0.997751772403717 1175 356 1215 391 of
1 2 0.9986403584480286 1201 354 1241 391 T
1 2 0.9997072815895081 1243 356 1271 388 is
1 2 0.5869544744491577 1275 354 1414 395 O(m214)).
1 3 0.9948400855064392 227 393 370 431 Therefore,
1 3 0.7792055010795593 375 395 483 427 KBSF's
1 3 0.9969030022621155 484 395 554 427 time
1 3 0.9973740577697754 554 393 610 427 and
1 3 0.996212363243103 612 399 728 431 memory
1 3 0.9769253730773926 732 397 899 429 complexities
1 3 0.9996435642242432 903 401 952 427 are
1 3 0.9656006097793579 952 393 1019 433 only
1 3 0.9997604489326477 1020 395 1102 427 linear
1 3 0.9999579191207886 1105 395 1137 425 in
1 3 0.939379870891571 1140 401 1173 427 n.
1 4 0.9999575614929199 275 431 327 466 We
1 4 0.9999867677688599 328 433 395 466 note
1 4 0.9998728036880493 398 429 469 470 that,
1 4 0.9999915361404419 474 433 506 464 in
1 4 0.962124228477478 512 436 630 468 practice,
1 4 0.9972962737083435 637 429 748 468 KBSF's
1 4 0.9822643399238586 750 431 949 470 computational
1 4 0.9973053932189941 952 436 1130 468 requirements
1 4 0.9995099306106567 1135 438 1187 464 can
1 4 0.9999687671661377 1191 431 1233 466 be
1 4 0.992638111114502 1235 431 1344 464 reduced
1 4 0.9995755553245544 1351 438 1414 464 even
1 5 0.999123752117157 229 470 328 502 further
1 5 0.9997275471687317 332 470 360 502 if
1 5 0.9996090531349182 361 472 418 504 one
1 5 0.9686048626899719 423 472 532 498 enforces
1 5 0.9999980926513672 539 470 591 502 the
1 5 0.9997897744178772 594 470 693 502 kernels
1 5 0.4861069619655609 697 470 738 513 KZ
1 5 0.9931550621986389 743 470 800 504 and
1 5 0.31985288858413696 803 470 845 509 Rf
1 5 0.9999512434005737 850 472 883 502 to
1 5 0.9999176263809204 888 470 929 504 be
1 5 0.9812074899673462 936 479 1025 504 sparse.
1 5 0.999568521976471 1042 470 1082 504 In
1 5 0.9989190101623535 1085 470 1230 509 particular,
1 5 0.9974111914634705 1236 472 1313 507 given
1 5 0.9996294975280762 1316 474 1343 504 a
1 5 0.8701058626174927 1346 470 1416 502 fixed
1 6 0.5466853380203247 225 511 270 547 Si,
1 6 0.9932732582092285 275 511 373 537 instead
1 6 0.9982435703277588 381 509 415 539 of
1 6 0.8710945248603821 420 511 564 543 computing
1 6 0.13916277885437012 567 502 662 550 kr(Ss,
1 6 0.5898227095603943 645 507 695 550 59)
1 6 0.9998522996902466 702 507 750 543 for
1 6 0.9995005130767822 748 509 773 543 j
1 6 0.8375201225280762 780 511 811 541 =
1 6 0.2683638632297516 816 507 959 547 1,2,.,mas
1 6 0.9986006617546082 964 515 1017 539 one
1 6 0.9997504353523254 1022 513 1075 539 can
1 6 0.9965490102767944 1082 507 1196 539 evaluate
1 6 0.99997878074646 1201 507 1255 541 the
1 6 0.9998828172683716 1258 507 1343 539 kernel
1 6 0.9999399185180664 1349 513 1389 539 on
1 6 0.9998296499252319 1392 513 1417 541 a
1 7 0.9798890948295593 227 547 400 586 pre-specified
1 7 0.9984208345413208 403 547 592 586 neighborhood
1 7 0.9846935272216797 594 547 630 584 of
1 7 0.993283748626709 632 552 662 584 Si
1 7 0.9846620559692383 667 550 735 584 only.
1 7 0.8069142699241638 748 547 884 586 Assuming
1 7 0.9998708963394165 888 547 951 582 that
1 7 0.20365557074546814 954 545 1084 592 ke(81,89)
1 7 0.9998192191123962 1085 550 1115 582 is
1 7 0.9996393918991089 1118 554 1180 580 zero
1 7 0.9976436495780945 1183 547 1228 582 for
1 7 0.9879574179649353 1230 547 1271 584 all
1 7 0.5669661164283752 1275 547 1311 595 89
1 7 0.9409884214401245 1314 550 1417 582 outside
1 8 0.999893307685852 227 586 285 620 this
1 8 0.9998002648353577 285 586 383 625 region,
1 8 0.999138355255127 385 592 438 618 one
1 8 0.9976516366004944 439 586 529 618 avoids
1 8 0.9999581575393677 529 588 582 620 not
1 8 0.9569132924079895 582 584 647 625 only
1 8 0.9917580485343933 649 586 798 625 computing
1 8 0.9985610842704773 798 586 850 620 the
1 8 0.9998722076416016 850 586 936 618 kernel
1 8 0.6261625289916992 937 586 992 618 but
1 8 0.9999003410339355 992 586 1052 620 also
1 8 0.9992662072181702 1050 586 1153 625 storing
1 8 0.9999719858169556 1155 586 1205 620 the
1 8 0.9964148998260498 1203 586 1328 625 resulting
1 8 0.99891197681427 1329 586 1417 618 values
1 9 0.9999271631240845 229 620 292 663 (the
1 9 0.7939690947532654 292 629 365 655 same
1 9 0.9974111914634705 366 627 499 659 reasoning
1 9 0.9986070990562439 503 623 602 661 applies
1 9 0.999970555305481 604 627 639 655 to
1 9 0.9999867677688599 640 623 692 657 the
1 9 0.7521235942840576 693 627 866 659 computation
1 9 0.9958160519599915 868 623 906 659 of
1 9 0.5021575689315796 903 623 1032 663 k,(89,8;)
1 9 0.9994698166847229 1035 623 1082 657 for
1 9 0.9999523162841797 1082 627 1107 657 a
1 9 0.9998151659965515 1108 623 1177 657 fixed
1 9 0.24510793387889862 1180 620 1236 663 84).
2 0 0.7265506982803345 227 704 283 743 4.1
2 0 0.9998169541358948 312 702 350 741 A
2 0 0.9999481439590454 355 706 453 739 closer
2 0 0.9995740056037903 459 704 534 739 look
2 0 0.9980893731117249 539 706 581 741 at
2 0 0.6486165523529053 586 702 718 741 KBSF's
2 0 0.9707782864570618 723 706 966 745 approximation
3 0 0.9951186180114746 277 764 320 799 As
3 0 0.9969423413276672 320 769 431 794 outlined
3 0 0.9999483823776245 436 766 469 797 in
3 0 0.9372649788856506 474 766 577 799 Section
3 0 0.9943540096282959 600 769 690 794 KBRL
3 0 0.9988152980804443 697 769 790 794 defines
3 0 0.9999394416809082 795 764 845 799 the
3 0 0.9900040030479431 846 764 999 803 probability
3 0 0.9942775368690491 1002 766 1039 799 of
3 0 0.9997404217720032 1035 769 1060 799 a
3 0 0.981626033782959 1060 766 1195 797 transition
3 0 0.842866837978363 1200 764 1268 799 from
3 0 0.9999270439147949 1271 766 1346 801 state
3 0 0.2866927981376648 1348 760 1379 805 8!
3 0 0.9999518394470215 1382 769 1416 799 to
3 1 0.9918894171714783 229 805 300 837 state
3 1 0.5187568664550781 303 803 340 844 8%
3 1 0.9986196756362915 341 807 381 842 as
3 1 0.9780150055885315 386 805 464 840 being
3 1 0.13138416409492493 466 794 609 848 N2(8P.59),
3 1 0.9999339580535889 614 805 697 837 where
3 1 0.9921219348907471 702 803 755 840 a,b
3 1 0.5963050127029419 757 805 783 837 €
3 1 0.9999573230743408 790 803 818 835 A
3 1 0.9937048554420471 823 801 884 842 (see
3 1 0.9996525049209595 888 801 981 842 Figure
3 1 0.9957243204116821 984 801 1044 844 2a).
3 1 0.9949179887771606 1055 803 1127 835 Note
3 1 0.7502226233482361 1132 803 1195 837 that
3 1 0.9990424513816833 1198 801 1250 837 the
3 1 0.9996941089630127 1253 803 1339 835 kernel
3 1 0.3957243859767914 1344 803 1386 846 K7
3 1 0.999677300453186 1387 805 1416 837 is
3 2 0.8837652802467346 227 842 365 880 computed
3 2 0.9995423555374146 368 842 434 874 with
3 2 0.9999898672103882 436 842 488 874 the
3 2 0.999913215637207 489 842 576 874 initial
