block line confidence X1 Y1 X2 Y2 token
0 0 0.9870795607566833 446 201 516 234 MCF
0 0 0.9999243021011353 517 201 600 234 WITH
0 0 0.9991803765296936 604 204 733 232 SURGERY
0 0 0.9971871972084045 738 201 801 234 FOR
0 0 0.9999346733093262 803 201 873 234 LOW
0 0 0.9971753358840942 878 201 1014 232 ENTROPY
0 0 0.9832035303115845 1017 199 1250 232 HYPERSURFACES
1 0 0.9999016523361206 1416 204 1449 234 22
1 1 0.9291625022888184 1359 322 1449 369 (3.12)
2 0 0.32028448581695557 670 309 757 341 le-20l
2 0 0.4916486144065857 806 300 894 348 -2(a
2 0 0.9996678829193115 891 313 908 335 -
2 0 0.41563186049461365 906 298 974 348 aro)
2 0 0.41575127840042114 991 302 1080 341 12-2012
3 0 0.9772399067878723 615 324 667 360 Ve
3 0 0.6000465154647827 698 333 725 356 4r
4 0 0.9986666440963745 1017 330 1047 356 4r
5 0 0.9974441528320312 864 348 908 384 4r
6 0 0.9997534155845642 300 414 385 455 Since
6 0 0.9998893737792969 385 414 431 459 by
6 0 0.9958933591842651 434 418 534 451 lemma
6 0 0.9994840621948242 539 416 587 453 2.5
6 0 0.9999091625213623 592 416 649 455 the
6 0 0.9924902319908142 650 418 765 457 entropy
6 0 0.9994797110557556 768 416 818 453 for
6 0 0.9999319314956665 818 423 846 453 a
6 0 0.9851005673408508 850 423 972 455 compact
6 0 0.9935237169265747 981 418 1167 457 hypersurface
6 0 0.999944806098938 1170 412 1228 455 will
6 0 0.9998750686645508 1233 416 1275 453 be
6 0 0.8397570848464966 1279 418 1401 451 attained
6 0 0.9998700618743896 1406 414 1450 459 by
6 1 0.9999349117279053 249 457 295 491 an
6 1 0.9937567710876465 300 451 335 491 F
6 1 0.9912332892417908 340 455 484 487 functional
6 1 0.9973253011703491 494 455 615 487 centered
6 1 0.999950647354126 622 451 659 491 in
6 1 0.9997093081474304 664 453 707 489 its
6 1 0.9171023964881897 713 461 813 487 convex
6 1 0.9916382431983948 821 453 891 494 hull,
6 1 0.999840497970581 899 455 1014 487 without
6 1 0.9982851147651672 1019 451 1082 491 loss
6 1 0.9971535205841064 1084 453 1122 491 of
6 1 0.9956411123275757 1123 455 1270 496 generality
6 1 0.3733193576335907 1275 459 1316 496 2o
6 1 0.9997877478599548 1319 453 1353 491 is
6 1 0.9999598264694214 1354 451 1392 491 in
6 1 0.9999390840530396 1396 453 1452 491 the
6 2 0.9996788501739502 252 498 353 524 convex
6 2 0.9999011754989624 358 491 418 526 hull
6 2 0.9963371753692627 420 489 459 526 of
6 2 0.5196420550346375 456 489 526 524 M#,
6 2 0.9999492168426514 539 491 617 526 Since
6 2 0.9968342185020447 620 489 669 526 for
6 2 0.9997439980506897 670 491 740 526 such
6 2 0.2283487766981125 742 496 783 532 2O
6 2 0.9989774227142334 783 494 831 528 we
6 2 0.9990314245223999 831 491 903 526 have
6 2 0.775142252445221 908 491 946 532 a
6 2 0.31265342235565186 933 487 1024 534 -zol
6 2 0.8260980248451233 1016 494 1064 528 S
6 2 0.6522423028945923 1055 491 1102 528 D
6 2 0.5954194664955139 1084 481 1195 537 <002,
6 2 0.999523401260376 1193 500 1236 526 we
6 2 0.9978669285774231 1236 494 1291 528 see
6 2 0.9939562678337097 1293 491 1341 526 for
6 2 0.9997895359992981 1341 494 1366 526 a
6 2 0.9996711015701294 1367 491 1447 526 lower
6 3 0.9986134767532349 252 545 345 577 bound
6 3 0.9914445281028748 350 550 378 580 C
6 3 0.999923825263977 378 550 418 577 on
6 3 0.9892710447311401 421 550 448 580 T
6 3 0.9987714886665344 453 550 496 577 we
6 3 0.9997698664665222 499 541 572 582 have
6 3 0.9927010536193848 574 539 627 582 Ve
6 3 0.21810777485370636 615 519 727 586 -14200
6 3 0.8739851117134094 720 539 776 588 Is
6 3 0.4270884394645691 773 534 811 592 2
6 3 0.31223687529563904 808 541 889 584 <o
6 3 0.999107301235199 891 541 942 584 for
