block line confidence X1 Y1 X2 Y2 token
0 0 0.9986966252326965 610 234 715 272 NLDSA
0 0 0.8633242845535278 717 236 798 270 model
0 0 0.999893069267273 798 234 841 270 for
0 0 0.9998522996902466 843 236 909 270 GRB
0 0 0.9983450174331665 911 236 1042 275 afterglows
1 0 0.9997838139533997 1519 236 1542 270 9
2 0 0.9770717024803162 287 296 317 328 4.
2 0 0.9994114637374878 325 296 453 328 EXAMPLE
2 0 0.9977567791938782 454 296 630 328 AFTERGLOWS
3 0 0.9768660664558411 944 296 996 328 4.1.
3 0 0.9983823299407959 1006 294 1108 326 Particle
3 0 0.976311981678009 1110 298 1198 330 spectra
3 0 0.9997608065605164 1200 294 1255 328 and
3 0 0.7181974053382874 1256 298 1339 330 energy
3 0 0.987417459487915 1343 294 1452 326 densities
3 1 0.9993939399719238 906 335 941 371 In
3 1 0.9993757605552673 937 335 1027 375 Figure
3 1 0.9998564720153809 1024 337 1045 369 2
3 1 0.8973559141159058 1047 339 1085 367 we
3 1 0.9992584586143494 1084 335 1152 369 show
3 1 0.9999884366989136 1150 335 1198 369 the
3 1 0.9765382409095764 1195 335 1293 373 spectra
3 1 0.9911722540855408 1291 337 1323 367 of
3 1 0.9455862641334534 1319 333 1409 371 cosmic
3 1 0.9992805123329163 1404 335 1467 375 rays
3 1 0.9971063733100891 1464 335 1507 369 for
3 1 0.999936580657959 1505 337 1542 369 all
4 0 0.9744551777839661 166 333 262 373 Having
4 0 0.9972997307777405 262 335 386 373 explained
4 0 0.9998193383216858 390 335 438 369 the
4 0 0.9996922016143799 441 335 524 367 Monte
4 0 0.9984487295150757 531 335 604 369 Carlo
4 0 0.9997089505195618 607 335 670 369 code
4 0 0.8599366545677185 675 335 781 373 (Section
4 0 0.999681830406189 781 333 803 371 )
5 0 0.9993876218795776 114 365 169 397 and
5 0 0.9997866749763489 174 363 222 397 the
5 0 0.9960666298866272 227 369 325 395 manner
5 0 0.9998711347579956 330 365 363 395 in
5 0 0.9037193655967712 366 365 444 397 which
5 0 0.9998445510864258 448 365 478 397 it
5 0 0.9991028308868408 481 365 511 397 is
5 0 0.9987755417823792 512 363 614 401 coupled
5 0 0.9877524375915527 620 367 654 397 to
5 0 0.9979374408721924 655 367 683 399 a
5 0 0.977202832698822 685 363 801 401 hydrody-
5 0 0.9989883303642273 856 365 928 397 three
5 0 0.9265853762626648 926 363 1027 401 models,
5 0 0.9999327659606934 1027 365 1059 395 in
5 0 0.9999473094940186 1062 367 1107 395 the
5 0 0.9988083839416504 1107 363 1172 397 local
5 0 0.9487646818161011 1172 363 1266 401 plasma
5 0 0.9940183162689209 1268 367 1348 393 frame.
5 0 0.9999767541885376 1354 363 1404 397 For
5 0 0.9987891316413879 1404 363 1452 397 the
5 0 0.9962755441665649 1450 365 1510 397 sake
5 0 0.998306155204773 1512 367 1542 395 of
5 1 0.8294079303741455 117 397 215 423 namical
5 1 0.963386058807373 219 395 351 425 simulation
5 1 0.9998499155044556 353 397 386 425 to
5 1 0.918598473072052 385 395 468 427 create
5 1 0.9999778270721436 466 399 504 425 an
