block line confidence X1 Y1 X2 Y2 token
0 0 0.9999762773513794 1460 102 1498 139 14
1 0 0.9400568008422852 197 201 256 235 and
1 0 0.99396812915802 258 207 303 235 we
1 0 0.9999420642852783 306 207 361 232 can
1 0 0.9999030828475952 363 201 428 235 also
1 0 0.999778687953949 431 203 528 230 induce
1 0 0.999915361404419 529 205 557 235 a
1 0 0.9822584390640259 558 203 657 230 sizable
1 0 0.9843961000442505 662 203 833 237 discrepancy
1 0 0.9997797608375549 836 203 872 237 in
1 0 0.8531171679496765 872 201 927 235 the
1 0 0.5439333319664001 931 203 1049 230 eftective
1 0 0.9996987581253052 1054 205 1179 230 neutrino
1 0 0.7253568768501282 1183 203 1297 230 number
1 0 0.63014817237854 1301 198 1389 239 ANe
1 0 0.4807489216327667 1390 203 1423 235 R
1 0 0.9979531764984131 1424 201 1497 235 0.39.
2 0 0.6018450856208801 710 264 986 296 Acknowlodgments
3 0 0.6999614834785461 237 358 310 392 This
3 0 0.9939900636672974 316 358 392 392 work
3 0 0.999841570854187 398 360 428 392 is
3 0 0.9997575879096985 436 360 526 395 partly
3 0 0.9961190223693848 536 360 681 395 supported
3 0 0.9999581575393677 691 358 733 399 by
3 0 0.9996545314788818 739 358 815 392 NRF
3 0 0.9998764991760254 823 358 954 390 Research
3 0 0.9879103899002075 965 360 1053 388 Grant
3 0 0.545255720615387 1064 363 1406 388 2012RIA2A1A1A01006053
3 0 0.988052487373352 1418 356 1497 399 (SB).
3 1 0.8869806528091431 197 415 271 449 T.T.
3 1 0.9670032262802124 281 418 476 452 acknowledges
3 1 0.9903993010520935 489 420 604 454 support
3 1 0.902619481086731 617 415 691 449 from
3 1 0.9998555183410645 702 415 755 449 the
3 1 0.7878555655479431 768 420 907 452 European
3 1 0.999996542930603 922 415 988 449 ITN
3 1 0.999657392501831 1003 420 1106 454 project
3 1 0.22334203124046326 1124 418 1495 452 TPAPPOML-2HLIN,
4 0 0.26854342222213745 197 475 744 509 PIIN-CA-2011-280125912-INVISIBLES:
5 0 0.9701381325721741 258 657 297 696 E.
5 0 0.9872215390205383 316 664 440 689 Komatsu
5 0 0.9997500777244568 461 662 494 692 et
5 0 0.9628809094429016 512 662 547 692 al.
5 0 0.9930558800697327 571 660 684 694 [WMAP
5 0 0.9567742347717285 707 662 907 696 Collaboration),
5 0 0.8400160670280457 935 662 1080 696 Astrophys.
5 0 0.8297333121299744 1101 660 1130 694 J.
5 0 0.9909261465072632 1151 662 1240 696 Suppl.
5 0 0.9998327493667603 1261 662 1327 696 192,
5 0 0.9999451637268066 1353 662 1389 692 18
5 0 0.9998879432678223 1408 660 1497 701 (2011)
6 0 0.6556342244148254 263 721 487 756 arXiv:1001.4538
6 0 0.3757765293121338 495 721 691 756 astro-ph.CO.
7 0 0.4053337574005127 216 783 247 815 2]
7 0 0.765792965888977 260 783 300 810 P.
7 0 0.9979631900787354 292 783 334 810 A.
7 0 0.9990854263305664 335 783 373 813 R.
7 0 0.9998788833618164 381 783 439 810 Ade
7 0 0.9998168349266052 445 783 476 813 et
7 0 0.9764465093612671 479 783 515 813 al.
7 0 0.9937118291854858 524 785 623 813 Planck
7 0 0.5688584446907043 629 783 830 815 Collaboration),
7 0 0.4623027443885803 838 785 1053 810 arxiv:1303.507G
7 0 0.8318085074424744 1062 783 1251 817 astro-ph.CO).
8 0 0.9442862868309021 216 842 245 877 3]
8 0 0.9969385862350464 260 838 298 874 E.
8 0 0.9962449669837952 314 838 402 879 Aprile
8 0 0.999832034111023 419 842 452 872 et
8 0 0.9917110204696655 468 842 503 872 al.
8 0 0.9501698613166809 526 842 696 874 XENON100
8 0 0.719832718372345 713 842 914 877 Collaboration),
8 0 0.9977624416351318 938 840 1015 877 Phys.
8 0 0.9723560214042664 1035 840 1099 874 Rev.
8 0 0.993314802646637 1117 840 1188 874 Lett.
8 0 0.999835729598999 1206 840 1272 877 109,
8 0 0.9560285806655884 1295 842 1385 870 181301
8 0 0.9999178647994995 1410 842 1495 877 (2012)
9 0 0.556319534778595 264 904 487 936 arX1v:1207.5988
9 0 0.361560583114624 494 904 691 938 astro-ph.COJ.
10 0 0.974631130695343 213 959 247 998 [4]
10 0 0.9786197543144226 260 963 303 993 D.
10 0 0.998936116695404 302 961 332 993 S.
10 0 0.9941145777702332 339 963 431 991 Akerib
10 0 0.9985474944114685 437 963 470 993 et
10 0 0.9924448132514954 473 963 508 993 al.
10 0 0.9843536615371704 518 961 592 998 LUX
10 0 0.9915796518325806 597 963 797 998 Collaboration),
10 0 0.9529637098312378 806 963 1024 995 arXiv:1310.8214
10 0 0.8148228526115417 1032 963 1219 998 astro-ph.CO).
10 1 0.9527653455734253 216 1023 245 1057 5
10 1 0.9979807734489441 261 1023 302 1053 M.
10 1 0.9998180270195007 310 1023 413 1057 Aguilar
10 1 0.9998643398284912 416 1025 449 1055 et
10 1 0.6210916638374329 452 1021 497 1059 al.,
10 1 0.9994994401931763 502 1023 579 1057 Phys.
10 1 0.9947369694709778 583 1021 650 1055 Rev.
10 1 0.9996198415756226 654 1021 723 1055 Lett.
10 1 0.9999345541000366 730 1023 794 1057 110,
10 1 0.9985451698303223 801 1025 896 1050 141102
10 1 0.9984381794929504 902 1023 996 1057 (2013).
11 0 0.7030482888221741 218 1084 245 1116 6
11 0 0.9862837791442871 260 1082 298 1112 O.
11 0 0.9998250603675842 305 1084 408 1112 Adriani
11 0 0.9998472929000854 416 1084 447 1114 et
11 0 0.8052970170974731 450 1080 489 1116 al.
11 0 0.997542142868042 497 1082 638 1116 PAMELA
11 0 0.8381979465484619 644 1082 844 1116 Collaboration),
11 0 0.9331859350204468 852 1084 948 1112 Nature
11 0 0.9998575448989868 954 1082 1020 1116 458,
11 0 0.9999827146530151 1025 1080 1080 1114 607
11 0 0.9895184636116028 1083 1080 1171 1121 (2009)
11 0 0.8749135136604309 1179 1082 1403 1116 arXiv:0810.4995
11 0 0.8065904378890991 1410 1082 1497 1116 astro-
11 1 0.4215695261955261 216 1206 243 1238 7
11 1 0.7622855305671692 256 1201 305 1238 T.
11 1 0.9850839972496033 308 1206 468 1238 Bringmann,
11 1 0.9984466433525085 479 1201 518 1238 X.
11 1 0.9267101287841797 526 1201 628 1242 Huang,
11 1 0.9993519186973572 639 1203 676 1233 A.
11 1 0.790993332862854 688 1203 781 1238 Ibarra,
11 1 0.997235119342804 794 1203 827 1235 S.
11 1 0.9975467324256897 836 1203 901 1240 Vogl
11 1 0.91176438331604 909 1201 965 1235 and
11 1 0.8984410166740417 973 1199 1012 1235 C.
11 1 0.963939905166626 1022 1203 1141 1238 Weniger,
11 1 0.999086856842041 1154 1201 1242 1235 JCAP
11 1 0.9991344809532166 1253 1203 1335 1238 1207,
11 1 0.9999440908432007 1347 1206 1398 1233 054
11 1 0.9997431635856628 1410 1203 1497 1238 (2012)
12 0 0.35266023874282837 260 1144 323 1178 ph]).
13 0 0.9328919053077698 263 1263 487 1297 arXiv:1203.1312
13 0 0.5191521048545837 494 1260 620 1301 [hep-phl).
14 0 0.5892408490180969 216 1327 245 1356 8]
14 0 0.9869551062583923 251 1322 305 1356 C.
14 0 0.9999327659606934 300 1324 423 1359 Weniger,
14 0 0.9978818297386169 428 1322 515 1356 JCAP
14 0 0.9991117119789124 520 1327 600 1354 1208,
