block line confidence X1 Y1 X2 Y2 token
0 0 0.9999934434890747 203 164 293 198 where
0 0 0.3404361307621002 297 166 335 203 2,
0 0 0.955901563167572 340 166 368 201 P
0 0 0.9997146725654602 368 164 428 201 and
0 0 0.9917914867401123 432 166 458 198 C
0 0 0.9876959323883057 460 169 510 196 are
0 0 0.999893307685852 515 162 568 198 the
0 0 0.9738664627075195 571 162 741 203 background
0 0 0.9998112320899963 747 162 812 198 flow
0 0 0.9989280104637146 815 162 938 203 velocity,
0 0 0.8767873644828796 943 162 1051 205 density
0 0 0.9986200332641602 1056 162 1116 198 and
0 0 0.9947364926338196 1117 162 1209 203 speed
0 0 0.9964806437492371 1201 164 1246 201 of
0 0 0.9953225255012512 1245 162 1348 203 sound,
0 0 0.7190356850624084 1350 159 1444 201 andt
0 0 0.9971900582313538 1439 162 1498 196 and
0 1 0.97953200340271 153 201 192 237 V
0 1 0.9990766048431396 195 205 247 239 are
0 1 0.9994248151779175 250 201 302 237 the
0 1 0.5355031490325928 303 203 434 237 standard
0 1 0.9994377493858337 437 203 508 237 time
0 1 0.9956167936325073 510 203 570 239 and
0 1 0.9981429576873779 571 203 696 244 gradient
0 1 0.9994754195213318 699 207 825 242 operator
0 1 0.9965052604675293 827 203 867 239 of
0 1 0.999843955039978 864 203 1024 237 Newtonian
0 1 0.9869715571403503 1027 203 1183 237 mechanics.
0 1 0.9599246978759766 1195 203 1385 237 Conservation
0 1 0.7945332527160645 1387 198 1424 237 of
0 1 0.6930601596832275 1423 205 1500 239 mass
1 0 0.9989812970161438 153 239 201 278 for
1 0 0.9999234676361084 203 242 258 278 the
1 0 0.7778983116149902 260 242 429 283 background
1 0 0.9997554421424866 436 242 499 278 flow
1 0 0.9999451637268066 502 242 568 278 tells
1 0 0.997590184211731 571 248 610 276 us
1 0 0.9999082088470459 613 239 688 283 that,
2 0 0.9776235222816467 203 472 292 516 Using
2 0 0.9985461235046387 295 472 355 509 this
2 0 0.9989244341850281 356 472 442 516 along
3 0 0.899648904800415 518 470 573 516 Eq.
3 0 0.983855664730072 576 470 625 516 (1)
4 0 0.9998112320899963 776 479 804 511 a
5 0 0.9989131689071655 919 475 1024 509 altered
5 0 0.9974702596664429 1027 475 1182 516 expression
5 0 0.9969672560691833 1185 472 1232 511 for
5 0 0.18846985697746277 1234 472 1271 513 @,
6 0 0.7673348784446716 633 587 738 655 (
7 0 0.9977128505706787 203 705 292 740 where
7 0 0.9840139746665955 297 705 335 742 V
7 0 0.9996039271354675 340 708 405 742 acts
7 0 0.9999709129333496 407 712 449 740 on
7 0 0.6750409603118896 457 710 605 744 everything
7 0 0.9998570680618286 612 708 650 744 to
7 0 0.9998904466629028 654 710 694 740 its
7 0 0.9989244341850281 699 708 780 744 right.
7 0 0.9992659687995911 791 705 864 742 This
7 0 0.9998295307159424 867 710 933 746 may
7 0 0.9859273433685303 936 710 1014 744 seem
7 0 0.9874371290206909 1019 705 1075 742 like
7 0 0.9848649501800537 1075 708 1227 740 aneedless
7 0 0.9726113080978394 1232 705 1424 746 complication
7 0 0.9859936237335205 1424 717 1439 740 ,
7 0 0.9997159838676453 1444 705 1498 742 but
7 1 0.9995075464248657 155 753 192 783 as
7 1 0.999365508556366 195 746 310 788 pointed
7 1 0.9997530579566956 310 749 366 783 out
7 1 0.9989515542984009 368 744 418 790 by,
7 1 0.997384250164032 421 744 468 783 for
7 1 0.5580813884735107 471 746 602 788 example,
7 1 0.9992585778236389 608 746 701 781 Visser
7 1 0.9828690886497498 707 744 757 790 [2],
7 1 0.9998865127563477 757 753 804 781 we
7 1 0.9998668432235718 807 753 864 781 can
7 1 0.9999895095825195 868 746 948 781 write
7 1 0.9999861717224121 951 746 1011 783 this
7 1 0.9997003078460693 1014 753 1051 781 as
7 1 0.9999954700469971 1054 746 1108 781 the
7 1 0.7461760640144348 1109 746 1322 781 d'Alembertian
7 1 0.9537397027015686 1321 740 1498 788 ofacurved,
