block line confidence X1 Y1 X2 Y2 token
0 0 0.5352794528007507 505 294 592 322 Proton
0 0 0.8993320465087891 594 292 741 324 instabilities
0 0 0.9956183433532715 741 294 775 324 in
0 0 0.6881795525550842 775 290 862 331 weakly
0 0 0.9462354183197021 864 292 991 326 collisional
0 0 0.9699005484580994 994 296 1093 324 plasmas
1 0 0.9991453886032104 1309 292 1334 326 3
2 0 0.989934504032135 263 349 321 376 may
2 0 0.9999207258224487 324 340 363 376 be
2 0 0.9877233505249023 366 344 487 379 expressed
2 0 0.9997305274009705 492 342 531 381 by
2 0 0.9991416931152344 534 344 655 379 transport
2 0 0.9954367280006409 660 342 799 374 coefficients
2 0 0.9996668100357056 804 344 880 372 which
2 0 0.9919776916503906 885 347 930 374 are
2 0 0.9501363039016724 936 347 1043 374 typically
2 0 0.9841158986091614 1051 344 1143 372 derived
2 0 0.9999039173126221 1150 342 1180 374 in
2 0 0.9999449253082275 1183 340 1234 374 the
2 0 0.9951377511024475 1234 340 1334 381 vicinity
2 1 0.9935964345932007 261 376 295 406 of
2 1 0.9962764382362366 297 379 394 406 thermal
2 1 0.9754548072814941 398 376 542 411 equilibrium
2 1 0.9425917863845825 547 376 684 411 (Braginskii
2 1 0.9983826875686646 688 376 767 411 1965).
2 1 0.9991447925567627 770 374 799 408 A
2 1 0.9996117949485779 799 376 910 411 presence
2 1 0.9848687648773193 910 376 943 406 of
2 1 0.9993318915367126 941 374 1012 408 other
2 1 0.8897101283073425 1015 376 1103 404 kinetic
2 1 0.9960753321647644 1106 376 1185 404 effects
2 1 0.984782874584198 1188 376 1248 411 may
2 1 0.9922112226486206 1246 374 1334 408 render
2 2 0.9885618686676025 263 411 419 445 questionable
2 2 0.9995436072349548 426 411 492 438 these
2 2 0.6071813106536865 497 408 738 440 colision-dominated
2 2 0.9970244765281677 743 408 877 440 theoretical
2 2 0.8313775062561035 881 411 1020 443 predictions
2 2 0.9987767338752747 1024 406 1067 445 (in
2 2 0.9999769926071167 1067 406 1117 440 the
2 2 0.9044233560562134 1119 408 1266 440 collisionless
2 2 0.990426242351532 1269 406 1334 440 limit
2 3 0.9999681711196899 263 443 310 475 the
2 3 0.767436683177948 314 447 432 475 transport
2 3 0.9178733825683594 439 440 578 472 coefficients
2 3 0.9781236052513123 581 440 613 472 of
2 3 0.9947904348373413 617 443 746 477 Braginskii
2 3 0.9735736846923828 752 443 833 477 (1965)
2 3 0.9949632883071899 841 443 949 477 diverge).
2 3 0.9998748302459717 956 440 1030 475 Some
2 3 0.9998747110366821 1035 443 1158 470 collisional
2 3 0.9962584972381592 1164 443 1285 477 transport
2 3 0.9964991807937622 1288 445 1332 472 CO-
2 4 0.7131156325340271 263 477 373 504 efficients
2 4 0.9947761297225952 379 479 429 507 can
2 4 0.9780833125114441 436 475 471 504 be
2 4 0.994178295135498 474 475 605 507 calculated
2 4 0.9981978535652161 608 477 671 504 even
2 4 0.9998167157173157 676 475 718 504 far
2 4 0.9111153483390808 722 472 788 507 from
2 4 0.9984267950057983 794 477 891 502 thermal
2 4 0.6516798138618469 899 475 1049 509 equilibrium,
2 4 0.999578058719635 1057 475 1098 504 for
2 4 0.7614744305610657 1101 475 1209 509 example
2 4 0.5762029886245728 1214 479 1330 507 assuming
2 5 0.9309588670730591 263 509 361 543 drifting
2 5 0.5041018724441528 365 511 537 536 bi-Maxwellian
2 5 0.99213045835495 544 509 641 543 velocity
2 5 0.9214158654212952 644 509 794 541 distribution
2 5 0.9973993301391602 797 511 912 536 functions
2 5 0.9991316199302673 915 509 956 539 for
2 5 0.9986771941184998 957 509 994 539 all
2 5 0.9989050626754761 998 509 1095 543 particle
2 5 0.9994321465492249 1096 509 1185 543 species
2 5 0.9993005990982056 1190 509 1301 543 (Barakat
2 5 0.9644534587860107 1303 507 1332 541 &
2 6 0.9992315769195557 264 543 355 571 Schunk
2 6 0.9999479055404663 360 541 428 575 1981;
2 6 0.9575693011283875 431 545 542 573 Hellinger
2 6 0.5508260130882263 544 541 575 573 &
2 6 0.5431286692619324 576 543 699 571 Travnicek
2 6 0.9996925592422485 701 541 781 575 2009).
2 6 0.9998008608818054 781 541 833 575 For
2 6 0.9998273253440857 830 543 936 571 instance
2 6 0.9992713332176208 938 543 985 575 the
2 6 0.9592307209968567 986 548 1159 573 proton-proton
2 6 0.3462393581867218 1162 548 1329 573 isotropization
3 0 0.915699303150177 264 580 386 607 frequency
3 0 0.5122447609901428 389 582 436 614 Vpp
4 0 0.9979186654090881 289 746 350 781 may
4 0 0.9999716281890869 350 746 387 776 be
4 0 0.9916158318519592 387 746 458 781 given
4 0 0.9986427426338196 460 749 494 776 as
5 0 0.9999799728393555 292 927 368 954 where
5 0 0.683287501335144 376 925 426 961 2F1
5 0 0.9997636675834656 431 925 458 957 is
5 0 0.9999583959579468 461 925 508 957 the
5 0 0.9381270408630371 510 927 620 954 standard
5 0 0.9379826784133911 629 925 725 959 (Gauss)
5 0 0.7402580976486206 733 927 923 959 hypergeometric
5 0 0.9955747127532959 928 927 1038 952 function.
5 0 0.9995939135551453 1045 925 1078 954 In
5 0 0.9814266562461853 1080 925 1227 957 collisionless
5 0 0.9160760045051575 1234 929 1330 957 plasmas
5 1 0.9990202188491821 263 959 350 986 kinetic
5 1 0.9894633293151855 355 957 502 989 instabilities
5 1 0.9998319149017334 505 959 562 986 lead
5 1 0.9998780488967896 566 957 602 991 to
5 1 0.9785158634185791 604 959 707 986 effective
5 1 0.9993749260902405 712 959 833 993 transport
5 1 0.9289820790290833 836 957 982 989 coefficients.
5 1 0.9955347776412964 986 957 1022 991 In
5 1 0.9999184608459473 1022 957 1072 991 the
5 1 0.976673424243927 1075 959 1222 991 quasi-linear
5 1 0.9988319277763367 1225 959 1330 993 approxi-
5 2 0.9068310260772705 264 993 353 1021 mation
5 2 0.9989500641822815 356 991 384 1021 it
5 2 0.9997832179069519 386 991 413 1023 is
5 2 0.932328999042511 416 991 516 1025 possible
5 2 0.9986727237701416 520 991 554 1021 to
5 2 0.9958040118217468 555 991 633 1018 derive
5 2 0.885877788066864 638 995 704 1021 some
5 2 0.9678142070770264 705 991 738 1021 of
5 2 0.9997547268867493 738 989 788 1023 the
5 2 0.9958255290985107 791 995 906 1023 transport
5 2 0.8984388113021851 910 991 1048 1023 coefficients
5 2 0.9518824815750122 1054 991 1132 1025 (Yoon
5 2 0.8510833978652954 1135 989 1164 1023 &
5 2 0.9997697472572327 1167 991 1259 1025 Seough
5 2 0.9999508857727051 1263 989 1332 1025 2012;
5 3 0.9603731632232666 264 1027 377 1055 Hellinger
5 3 0.9999067783355713 382 1025 413 1055 et
5 3 0.9796909689903259 413 1021 452 1057 al.
5 3 0.9473056197166443 453 1023 526 1059 2013)
5 3 0.9604293704032898 531 1027 646 1055 assuming
5 3 0.9972156286239624 650 1025 697 1057 the
5 3 0.9997667670249939 699 1025 796 1059 particle
5 3 0.9608018398284912 799 1021 901 1062 velocity
5 3 0.9984149932861328 902 1023 1051 1055 distribution
5 3 0.957394003868103 1056 1025 1159 1053 function
5 3 0.996630847454071 1162 1023 1192 1055 is
5 3 0.9992139339447021 1192 1025 1256 1053 close
5 3 0.999895453453064 1259 1025 1292 1055 to
5 3 0.9798305034637451 1293 1025 1332 1055 bi-
5 4 0.9997367262840271 290 1089 347 1123 The
