block line confidence X1 Y1 X2 Y2 token
0 0 0.7654577493667603 292 212 426 244 Precision
0 0 0.9977149963378906 431 210 579 251 cosmology
0 0 0.5033435821533203 579 205 652 248 wwith.
0 0 0.9482497572898865 654 210 776 251 baryons:
0 0 0.765336811542511 783 212 975 244 non-radiative
0 0 0.7504631280899048 982 210 1196 251 hydrodynamics
0 0 0.9994198083877563 1201 210 1238 251 of
0 0 0.9473392963409424 1238 212 1334 253 galary
0 0 0.9957568049430847 1339 216 1435 251 groups
0 0 0.9999940395355225 1476 210 1516 248 15
1 0 0.9999736547470093 113 285 179 312 outer
1 0 0.9986096620559692 179 283 271 317 regions,
1 0 0.9983304142951965 269 287 302 315 as
1 0 0.9988003969192505 300 285 337 312 we
1 0 0.9992745518684387 335 280 428 315 observe
1 0 0.9999099969863892 424 283 453 312 in
1 0 0.9978499412536621 452 285 499 312 our
1 0 0.6906978487968445 495 280 654 315 non-radiative
1 0 0.9966945648193359 650 280 786 312 simulations
1 1 0.9964334964752197 113 315 163 342 and
1 1 0.9999728202819824 163 312 193 342 in
1 1 0.6413109302520752 195 312 310 340 Sembolini
1 1 0.9997735619544983 310 315 340 342 et
1 1 0.9312090873718262 340 312 374 342 al.
1 1 0.9747558832168579 377 312 453 347 (2016)
1 1 0.9999386072158813 455 312 495 342 for
1 1 0.6091281771659851 495 312 617 347 grid-based
1 1 0.9961032867431641 618 310 694 344 codes.
2 0 0.999765932559967 846 285 902 312 SPH
2 0 0.9896959066390991 904 285 972 312 codes
2 0 0.9993904829025269 969 280 1030 315 with
2 0 0.9999191761016846 1027 287 1064 315 an
2 0 0.9877084493637085 1064 287 1154 315 entropy
2 0 0.9879615902900696 1156 283 1234 317 profile
2 0 0.9761620759963989 1234 283 1356 317 decreasing
2 0 0.9970390796661377 1356 283 1390 312 all
2 0 0.9997865557670593 1392 283 1435 312 the
2 0 0.9993674159049988 1434 283 1486 319 way
2 0 0.9999488592147827 1486 285 1516 315 to
2 1 0.9796000123023987 889 342 1133 374 CORRELATIONS
2 1 0.9996947050094604 1135 342 1295 374 BETWEEN
2 1 0.9993595480918884 1301 344 1405 372 HALOS
2 2 0.8097212910652161 888 372 1104 404 STRUCTURAL
2 2 0.5168179869651794 1104 372 1322 404 PARAMETERS
2 3 0.9999834299087524 894 420 925 452 In
2 3 0.9999958276748657 927 422 970 449 the
2 3 0.997527539730072 972 424 1070 452 previous
2 3 0.9971209168434143 1074 420 1166 454 section,
2 3 0.9958823919296265 1167 424 1206 452 we
2 3 0.9997929930686951 1206 418 1266 452 have
2 3 0.9597339034080505 1266 420 1382 454 compared
2 3 0.99968421459198 1384 424 1429 452 our
2 3 0.5094144344329834 1429 420 1515 454 sample
2 4 0.9981531500816345 844 452 875 481 of
2 4 0.999322772026062 873 454 907 481 16
2 4 0.9998562335968018 909 454 973 481 halos
2 4 0.9998788833618164 975 452 1007 481 to
2 4 0.9998559951782227 1006 454 1043 484 an
2 4 0.8502442240715027 1043 452 1175 486 hydrostatic
2 4 0.999213695526123 1177 452 1293 486 analytical
2 4 0.9972378015518188 1295 452 1377 486 profile.
2 4 0.9999816417694092 1382 452 1426 481 For
2 4 0.9988620281219482 1426 454 1450 484 a
2 4 0.9985263347625732 1448 452 1515 486 given
2 5 0.9998716115951538 844 484 899 511 halo
2 5 0.8038575649261475 901 486 967 513 mass,
2 5 0.9820386171340942 970 481 1054 516 usually
2 5 0.9894965291023254 1059 484 1143 511 defined
2 5 0.9999599456787109 1145 479 1182 518 by
2 5 0.9142805337905884 1183 481 1251 516 M200,
2 5 0.999942421913147 1255 486 1301 513 one
2 5 0.998488187789917 1301 484 1369 511 needs
2 5 0.9995338916778564 1371 484 1403 511 to
2 5 0.9904511570930481 1403 484 1515 509 introduce
2 6 0.9997637867927551 844 516 880 545 an
2 6 0.9980993866920471 880 513 1001 548 important
2 6 0.9833477139472961 1004 513 1119 541 structural
2 6 0.8623169660568237 1124 513 1253 548 parameter,
2 6 0.962357223033905 1255 513 1343 548 namely
2 6 0.999984860420227 1347 513 1390 543 the
2 6 0.9882708191871643 1392 516 1513 543 concentra-
2 7 0.9996953010559082 844 541 896 575 tion
2 7 0.9699934124946594 899 548 1015 575 parameter
2 7 0.9315040707588196 1019 543 1046 575 C.
2 7 0.9990441203117371 1046 541 1101 575 The
2 7 0.9999611377716064 1101 543 1195 571 statistic
2 7 0.9901489019393921 1196 543 1227 573 of
2 7 0.9990885257720947 1229 543 1277 571 this
2 7 0.6988494396209717 1277 545 1408 577 parameters
2 7 0.9998964071273804 1411 543 1455 573 has
