block line confidence X1 Y1 X2 Y2 token
0 0 0.8235564231872559 1278 272 1502 302 YITP-SB-17-22
1 0 0.5838717222213745 239 464 337 513 Soft
1 0 0.9863418936729431 351 466 556 511 Graviton
1 0 0.997806966304779 574 466 781 513 Emission
1 0 0.9996742010116577 791 464 848 517 at
1 0 0.9998730421066284 859 466 974 522 High
1 0 0.9605205059051514 982 461 1075 517 and
1 0 0.9419432878494263 1089 466 1190 513 Low
1 0 0.729369580745697 1205 468 1401 522 Energies
1 0 0.7948814630508423 1409 472 1460 515 in
2 0 0.98321932554245 521 534 707 582 Yukawa
2 0 0.9796523451805115 715 528 808 584 and
2 0 0.9958754181861877 820 532 964 580 Scalar
2 0 0.9967693090438843 977 534 1178 582 Theories
3 0 0.9991745352745056 703 646 848 685 Hualong
3 0 0.8208651542663574 858 646 987 678 Gervais
4 0 0.9743223786354065 476 691 561 732 C.N.
4 0 0.9991149306297302 571 696 660 736 Yang
4 0 0.5352364778518677 670 698 818 730 Institute
4 0 0.999251663684845 826 691 883 734 for
4 0 0.9950599074363708 889 696 1082 728 Theoretical
4 0 0.9970249533653259 1095 696 1225 734 Physics
4 1 0.9935951828956604 478 745 544 779 and
4 1 0.8853384256362915 557 749 760 782 Department
4 1 0.9650055766105652 768 743 810 782 of
4 1 0.9993564486503601 816 745 947 784 Physics
4 1 0.9971761703491211 954 741 1024 782 and
4 1 0.9218763113021851 1034 745 1223 784 Astronomy
5 0 0.9996278285980225 340 790 444 837 Stony
5 0 0.9996022582054138 451 792 561 831 Brook
5 0 0.9995566010475159 572 799 750 831 University,
5 0 0.9999735355377197 765 794 866 835 Stony
5 0 0.9938051700592041 876 794 992 833 Brook,
5 0 0.984063982963562 1001 794 1065 829 NY
5 0 0.9994608759880066 1077 797 1265 829 11794-3840
5 0 0.9997163414955139 1275 790 1358 831 USA
6 0 0.5289443135261536 733 872 813 915 May
6 0 0.9996176958084106 820 870 878 915 29,
6 0 0.9977571368217468 884 874 967 906 2020
6 1 0.9662136435508728 783 1003 918 1026 Abstract
7 0 0.9986043572425842 323 1054 373 1089 We
7 0 0.9999656677246094 373 1057 453 1091 study
7 0 0.9473580121994019 456 1057 607 1087 corrections
7 0 0.9999837875366211 609 1059 644 1087 to
7 0 0.9998493194580078 645 1054 697 1087 the
7 0 0.9974294304847717 695 1054 752 1087 soft
7 0 0.9998505115509033 755 1059 869 1091 graviton
7 0 0.7538190484046936 874 1059 986 1082 theorem
7 0 0.8337697982788086 989 1057 1025 1089 at
7 0 0.99395352602005 1024 1054 1065 1089 all
7 0 0.9977138042449951 1065 1057 1128 1091 loop
7 0 0.9951163530349731 1133 1059 1218 1084 orders
7 0 0.9999707937240601 1220 1052 1256 1089 in
7 0 0.9971392154693604 1258 1059 1364 1084 Yukawa
7 0 0.9928624033927917 1366 1054 1422 1087 and
7 1 0.9978923201560974 277 1093 361 1125 scalar
7 1 0.7323395609855652 363 1095 478 1127 theories,
