block line confidence X1 Y1 X2 Y2 token
0 0 0.9998588562011719 370 352 454 378 Proof
0 0 0.9966380596160889 458 350 516 382 The
0 0 0.999897837638855 516 352 615 384 identity
0 0 0.989547848701477 622 348 700 388 (2.15),
0 0 0.997700035572052 703 350 747 384 for
0 0 0.9819409847259521 745 350 771 382 d
0 0 0.4495508074760437 770 356 796 380 E
0 0 0.9979310035705566 796 354 850 380 T=
0 0 0.9889864921569824 848 352 874 382 k
0 0 0.9976843595504761 864 352 898 382 +
0 0 0.9999011754989624 896 352 924 382 1,
0 0 0.9778573513031006 926 350 954 382 is
0 0 0.9993446469306946 952 350 992 386 by
0 0 0.9988701939582825 994 354 1112 378 definition
0 0 0.9998279809951782 1115 354 1172 380 true
0 0 0.9998660087585449 1172 350 1205 380 in
0 0 0.9984143972396851 1205 352 1253 382 the
0 0 0.9452982544898987 1253 352 1328 378 initial
0 1 0.9957566857337952 366 384 433 416 seed.
0 1 0.9637757539749146 436 384 559 416 Moreover,
0 1 0.999896764755249 562 382 609 416 the
0 1 0.9978891015052795 607 386 723 418 exchange
0 1 0.5831426382064819 727 386 876 416 polynomials
0 1 0.8203791975975037 876 380 951 423 09....
0 1 0.4369054436683655 933 378 1032 427 ,001
0 1 0.9960098266601562 1027 391 1074 416 are
0 1 0.9702630639076233 1074 388 1162 414 exactly
0 1 0.9996790885925293 1168 384 1211 412 the
0 1 0.9985400438308716 1211 388 1271 414 ones
0 1 0.999789297580719 1271 382 1329 414 that
0 2 0.9998670816421509 368 421 458 453 appear
0 2 0.9997246861457825 454 414 489 451 in
0 2 0.999734103679657 486 421 511 449 a
0 2 0.7158656120300293 509 418 620 444 standard
0 2 0.9993578791618347 624 418 707 444 cluster
0 2 0.9997270703315735 712 421 801 446 algebra
0 2 0.9777413010597229 803 416 835 446 of
0 2 0.9400573968887329 833 416 893 451 type
0 2 0.9965924620628357 893 414 933 453 C,
0 2 0.9989473223686218 928 416 981 449 and
0 2 0.9999595880508423 981 416 1040 451 they
0 2 0.9192945957183838 1042 425 1085 446 are
0 2 0.998612642288208 1085 418 1215 446 unaffected
0 2 0.9999213218688965 1215 416 1253 453 by
0 2 0.9871341586112976 1251 421 1328 446 muta-
0 3 0.9999126195907593 368 453 423 479 tion
0 3 0.9999521970748901 426 451 443 481 :
0 3 0.983483076095581 441 451 531 483 indeed,
0 3 0.9999018907546997 534 449 594 483 only
0 3 0.9999245405197144 595 451 640 479 the
0 3 0.8632583618164062 642 451 778 481 monomials
0 3 0.4952505826950073 776 440 820 491 uf
0 3 0.9996585845947266 823 451 918 483 change,
0 3 0.9998179078102112 919 451 951 481 in
0 3 0.9930574893951416 952 453 1090 476 accordance
0 3 0.9999614953994751 1092 449 1155 481 with
0 3 0.9999421834945679 1157 451 1201 479 the
0 3 0.927565336227417 1205 453 1328 476 mutations
0 4 0.9997208714485168 366 483 403 515 of
0 4 0.999657154083252 401 485 446 513 the
0 4 0.999052107334137 449 485 564 517 exchange
0 4 0.9870785474777222 569 487 660 511 matrix.
0 4 0.9924169778823853 667 483 796 515 Therefore,
0 4 0.9998596906661987 801 485 888 511 cluster
0 4 0.738470196723938 893 487 1002 511 variables
0 4 0.9999208450317383 1006 483 1064 515 that
0 4 0.9998254179954529 1067 485 1104 513 do
0 4 0.999758780002594 1105 487 1153 513 not
0 4 0.9999111890792847 1157 485 1294 517 correspond
0 4 0.9999226331710815 1298 485 1329 515 to
0 5 0.8198208808898926 368 519 491 545 diameters
0 5 0.9527266025543213 498 519 584 543 behave
0 5 0.9998108744621277 591 517 635 545 the
0 5 0.6335436105728149 637 522 705 547 same
0 5 0.9822787046432495 710 524 760 550 way
0 5 0.9959424138069153 763 522 798 547 as
0 5 0.9999740123748779 800 519 830 547 in
0 5 0.9988999366760254 833 524 856 545 a
0 5 0.999085545539856 858 519 967 543 standard
0 5 0.9976968169212341 976 519 1060 545 cluster
0 5 0.9995157718658447 1069 522 1157 547 algebra
0 5 0.9998406171798706 1160 513 1196 550 of
0 5 0.9971133470535278 1195 519 1256 552 type
0 5 0.9933393597602844 1258 515 1294 552 C,
0 5 0.9999316930770874 1298 522 1331 547 as
0 6 0.977119505405426 368 552 488 577 described
0 6 0.9998767375946045 491 550 522 580 in
0 6 0.45054441690444946 526 545 584 588 [3].
0 6 0.9689788818359375 586 550 644 582 The
0 6 0.9992413520812988 647 554 715 580 proof
0 6 0.9999169111251831 717 547 760 582 for
0 6 0.999896764755249 763 550 808 577 the
0 6 0.9377186894416809 810 547 866 580 first
0 6 0.9792463183403015 869 556 926 580 case
0 6 0.9991852641105652 928 550 956 580 is
0 6 0.9999866485595703 959 552 1016 577 thus
0 6 0.9962854385375977 1022 552 1107 577 similar
0 6 0.9996256828308105 1112 552 1145 580 to
0 6 0.999969482421875 1148 552 1216 577 those
0 6 0.9987261891365051 1221 552 1296 577 found
0 6 0.9999847412109375 1299 550 1331 580 in
0 7 0.9998031258583069 410 614 466 648 The
0 7 0.6999844312667847 468 618 552 644 second
0 7 0.9986024498939514 559 618 667 650 equation
0 7 0.9817450642585754 675 612 753 653 (2.16),
0 7 0.998487114906311 758 614 803 648 for
0 7 0.8841903209686279 803 616 828 648 k
0 7 0.8929129242897034 830 620 859 646 =
0 7 0.8307027816772461 858 620 884 648 T
0 7 0.9832406640052795 886 623 908 644 -
0 7 0.9999849796295166 913 616 941 648 1,
0 7 0.9999470710754395 942 616 971 648 is
0 7 0.9984738230705261 971 616 1027 648 also
0 7 0.9999058246612549 1027 616 1067 653 by
0 7 0.9687950015068054 1070 620 1187 644 definition
0 7 0.9998300075531006 1191 618 1248 644 true
0 7 0.9999932050704956 1251 616 1283 646 in
0 7 0.977763295173645 1283 614 1331 648 the
0 8 0.9962528944015503 368 648 444 681 initial
0 8 0.6202737092971802 448 648 514 681 seed.
0 8 0.9994966983795166 517 648 589 681 Since
0 8 0.9884557723999023 591 653 664 685 every
0 8 0.9769894480705261 667 653 752 678 cluster
0 8 0.9997370839118958 758 653 861 678 contains
0 8 0.9996966123580933 866 650 957 683 exactly
0 8 0.9999309778213501 961 655 1012 681 one
0 8 0.9922345876693726 1017 653 1115 676 variable
0 8 0.9938520193099976 1118 648 1152 678 of
0 8 0.9999607801437378 1152 650 1200 681 the
0 8 0.9991117119789124 1201 648 1265 681 form
0 8 0.571241557598114 1266 655 1329 687 Ea,a:
0 9 0.9994937181472778 366 683 421 715 and
0 9 0.9993512034416199 421 685 473 719 any
0 9 0.9914196729660034 476 687 591 711 mutation
0 9 0.9901118874549866 594 683 627 713 of
0 9 0.9998119473457336 625 685 650 715 a
0 9 0.8499677777290344 654 685 750 711 variable
0 9 0.1632961928844452 752 687 810 719 Waa
0 9 0.5377604961395264 813 687 888 713 yields
0 9 0.9998433589935303 888 687 914 715 a
0 9 0.9808201789855957 916 685 1014 711 variable
0 9 0.670855700969696 1017 685 1193 715 corresponding
0 9 0.9999697208404541 1196 685 1230 713 to
0 9 0.9996026158332825 1231 685 1328 711 another
0 10 0.9487323760986328 370 719 483 745 diameter,
0 10 0.9989247918128967 489 721 529 747 we
0 10 0.9968178272247314 527 721 577 745 can
0 10 0.6940158009529114 579 717 667 743 deduce
0 10 0.7237498164176941 669 717 730 743 from
0 10 0.9992941617965698 732 717 776 743 the
0 10 0.9999371767044067 778 717 853 743 initial
0 10 0.9758118987083435 858 717 941 743 cluster
0 10 0.9953004121780396 944 717 1001 743 that
0 10 0.9999511241912842 1002 715 1039 747 all
0 10 0.9984796643257141 1040 719 1148 743 variables
0 10 0.3746050000190735 1150 719 1203 751 Laa
0 10 0.9685843586921692 1206 719 1251 745 are
0 10 0.9946513772010803 1251 717 1328 743 linked
0 11 0.9969120025634766 366 749 406 784 by
0 11 0.9999139308929443 405 751 431 779 a
0 11 0.9727666974067688 431 751 544 777 mutation
0 11 0.9997491240501404 547 749 579 779 in
0 11 0.998369038105011 582 751 692 775 direction
0 11 0.6550838351249695 695 751 727 779 T.
0 11 0.9999809265136719 730 747 763 777 In
0 11 0.9993882179260254 766 749 811 777 the
0 11 0.9195317625999451 813 749 888 775 initial
0 11 0.9905902147293091 893 751 979 777 cluster
0 11 0.36614495515823364 982 749 1079 788 (12n,2k1
0 11 0.9960336089134216 1084 747 1107 779 k
0 11 0.7539728879928589 1105 749 1130 779 €
0 11 0.41508758068084717 1137 749 1218 782 1,nl),
0 11 0.9907842874526978 1225 754 1265 779 we
0 11 0.9999449253082275 1265 747 1328 779 have
1 0 0.7150163054466248 370 580 405 616 3]
1 0 0.9995562434196472 405 582 459 616 and
1 0 0.5849101543426514 463 582 516 618 [3].
2 0 0.7804115414619446 408 895 466 928 The
2 0 0.9995684027671814 466 898 559 930 general
2 0 0.9934554696083069 562 898 659 923 relation
2 0 0.9921537041664124 672 893 735 928 2.16)
2 0 0.9959837198257446 743 902 791 925 can
2 0 0.9999624490737915 795 898 830 925 be
2 0 0.9914536476135254 833 898 941 923 obtained
2 0 0.968454122543335 946 895 1044 928 directly
2 0 0.9999810457229614 1045 898 1077 925 in
2 0 0.9999961853027344 1079 898 1123 925 the
2 0 0.9802291393280029 1127 898 1240 930 following
2 0 0.9996492862701416 1245 898 1329 923 cluster
3 0 0.9915570020675659 370 928 426 966 (see
3 0 0.9998512268066406 426 930 509 964 Figure
4 0 0.9969758987426758 411 1151 488 1177 where
4 0 0.9748656749725342 488 1151 627 1181 performing
4 0 0.9999386072158813 627 1149 672 1177 the
4 0 0.9803212285041809 674 1151 786 1177 mutation
4 0 0.2589689791202545 788 1155 826 1181 fn
4 0 0.9987360835075378 826 1155 896 1181 maps
4 0 0.4538533091545105 896 1153 976 1185 12m,2n
4 0 0.9984906911849976 977 1151 1011 1179 to
4 0 0.34293532371520996 1007 1153 1092 1185 12k,2k7
4 0 0.999657392501831 1090 1147 1145 1179 and
4 0 0.2848486304283142 1143 1142 1178 1183 00
4 0 0.9998410940170288 1177 1149 1245 1181 gives
4 0 0.9518533945083618 1251 1147 1316 1179 2.16)
4 1 0.7889708876609802 413 1190 503 1216 Indeed,
4 1 0.9598233103752136 511 1188 582 1213 recall
4 1 0.9999935626983643 587 1185 645 1218 that
4 1 0.9327566623687744 654 1183 683 1213 00
4 1 0.997427761554718 692 1185 720 1216 is
4 1 0.9993805885314941 727 1188 853 1213 unaffected
4 1 0.9999775886535645 859 1183 898 1220 by
4 1 0.9846145510673523 904 1190 1024 1213 mutation,
4 1 0.5719367265701294 1034 1194 1065 1213 SO
4 1 0.9970963001251221 1070 1188 1128 1213 that
4 1 0.9995896220207214 1133 1190 1165 1216 in
4 1 0.9991298317909241 1170 1188 1240 1213 order
4 1 0.9999593496322632 1245 1190 1278 1216 to
4 1 0.9989714622497559 1284 1194 1328 1216 un-
4 2 0.5482644438743591 370 1222 478 1248 derstand
4 2 0.3478083312511444 484 1224 529 1252 Hns
4 2 0.999945878982544 534 1218 561 1250 it
4 2 0.9989504814147949 564 1218 591 1250 is
4 2 0.9967049956321716 595 1224 683 1250 enough
