block line confidence X1 Y1 X2 Y2 token
0 0 0.999583899974823 1543 77 1567 109 3
1 0 0.8710209131240845 172 283 247 324 Here,
1 0 0.2518068850040436 252 285 433 324 P(M)/P(Mo)
1 0 0.9944891929626465 434 283 466 322 is
1 0 0.9995183944702148 464 285 512 320 the
1 0 0.9990560412406921 512 285 652 324 probability
1 0 0.9980494976043701 655 285 722 320 ratio
1 0 0.9967591166496277 723 287 762 315 for
1 0 0.9998623132705688 766 287 810 315 the
1 0 0.9987289309501648 811 285 864 317 two
1 0 0.9717605113983154 866 285 957 317 models
1 0 0.9958434700965881 959 290 984 320 a
1 0 0.8150578737258911 984 287 1067 322 priori,
1 0 0.9998014569282532 1070 285 1147 317 which
1 0 0.9477396011352539 1147 283 1180 322 is
1 0 0.9836719632148743 1178 287 1358 320 conventionally
1 0 0.9995107650756836 1359 290 1401 317 set
1 0 0.999886155128479 1404 287 1437 317 to
1 0 0.5366966128349304 1437 283 1519 324 unity;
1 0 0.999953031539917 1519 285 1565 320 the
1 1 0.9911052584648132 147 317 257 350 evidence
1 1 0.9747036695480347 260 317 288 350 Z
1 1 0.999437153339386 287 320 323 348 of
1 1 0.9982929825782776 320 320 346 350 a
1 1 0.961335301399231 345 317 426 350 model
1 1 0.9981496334075928 431 317 468 350 M
1 1 0.9997931122779846 468 320 496 350 is
1 1 0.996713399887085 496 320 544 350 the
1 1 0.9353673458099365 546 320 703 352 marginalized
1 1 0.8746921420097351 710 320 830 345 likelihood
1 1 0.997825562953949 833 317 866 348 of
1 1 0.9994754195213318 868 320 913 348 the
1 1 0.9998522996902466 914 320 982 352 data,
1 1 0.8154973983764648 984 317 1029 352 i.e.
1 1 0.9994780421257019 1032 320 1077 348 the
1 1 0.8221160173416138 1080 320 1216 352 probability
1 1 0.9811355471611023 1218 315 1253 352 of
1 1 0.9998739957809448 1253 320 1339 352 having
1 1 0.9927316308021545 1343 317 1454 350 obtained
1 1 0.9604625701904297 1457 320 1505 350 the
1 1 0.9992462396621704 1504 317 1565 350 data
2 0 0.9999812841415405 144 348 180 384 D
2 0 0.9995543360710144 180 352 308 384 integrated
2 0 0.5090722441673279 310 350 370 382 over
2 0 0.9891453981399536 371 350 408 382 all
2 0 0.9989226460456848 411 352 512 384 possible
2 0 0.9998712539672852 512 350 595 382 values
2 0 0.9697121977806091 595 350 627 380 of
2 0 0.9999741315841675 629 352 674 380 the
2 0 0.9768350124359131 674 350 735 382 mod
2 0 0.9488279819488525 758 352 899 384 parameters
2 0 0.7877073287963867 901 350 933 380 0:
3 0 0.9999575614929199 174 517 252 550 where
3 0 0.5045875310897827 257 519 406 552 C(DM(0)),
3 0 0.6441406011581421 408 515 471 556 T(0)
3 0 0.9986143112182617 471 517 522 550 and
3 0 0.9851845502853394 527 519 556 550 D
3 0 0.9925893545150757 552 519 605 554 are,
3 0 0.9908390641212463 609 519 760 552 respectively,
3 0 0.999950647354126 763 519 808 547 the
3 0 0.5553829669952393 810 519 931 545 likelihood
3 0 0.9944828748703003 933 519 964 547 of
3 0 0.9999487400054932 964 519 1009 547 the
3 0 0.9960892200469971 1009 517 1077 552 data,
3 0 0.9994338154792786 1079 517 1125 552 the
3 0 0.9999946355819702 1125 519 1190 554 prior
3 0 0.9781768321990967 1190 519 1221 550 of
3 0 0.5773236155509949 1220 517 1268 552 the
3 0 0.9629494547843933 1268 522 1409 552 parameters
3 0 0.9999289512634277 1407 519 1439 550 in
3 0 0.9999216794967651 1441 519 1485 547 the
3 0 0.9770365357398987 1489 519 1562 545 model
3 1 0.8662466406822205 146 547 199 584 and
3 1 0.9998928308486938 202 552 247 580 the
3 1 0.5330360531806946 250 552 431 584 dimensionality,
3 1 0.9997225403785706 431 547 468 584 of
3 1 0.9994555115699768 464 550 514 584 the
3 1 0.9998453855514526 517 556 644 582 parameter
3 1 0.9911086559295654 647 554 725 586 space.
3 1 0.9991317391395569 735 552 765 580 In
3 1 0.9997710585594177 768 550 823 582 this
3 1 0.9048324227333069 823 547 896 588 work,
3 1 0.9996143579483032 899 556 939 582 we
3 1 0.8504699468612671 941 547 991 582 will
3 1 0.7453673481941223 994 554 1042 584 use
3 1 0.9659179449081421 1044 550 1087 584 Mi
3 1 0.999775230884552 1089 550 1143 582 and
3 1 0.9582481980323792 1147 550 1193 586 Mo
3 1 0.9993315935134888 1195 552 1228 582 to
3 1 0.9839784502983093 1226 550 1314 582 denote
3 1 0.9999650716781616 1318 552 1366 582 the
3 1 0.9911273121833801 1369 552 1457 577 feature
3 1 0.9990057349205017 1460 547 1512 582 and
3 1 0.8465103507041931 1514 547 1563 582 fea-
3 2 0.9996116757392883 147 582 245 614 tureless
3 2 0.9955590963363647 250 584 338 610 ACDM
3 2 0.13115666806697845 338 575 504 623 modelsithe
3 2 0.9959612488746643 499 580 659 618 cosmological
3 2 0.9519432783126831 660 584 790 616 parameter
3 2 0.8364769220352173 790 586 876 618 ranges
3 2 0.9997257590293884 876 588 916 614 we
3 2 0.999182403087616 918 582 1011 614 studied
3 2 0.9949615001678467 1012 584 1060 614 are
3 2 0.9985016584396362 1057 582 1130 614 listed
3 2 0.9999790191650391 1132 582 1162 612 in
3 2 0.5131784677505493 1162 575 1245 625 Tabl
3 2 0.9973523616790771 1243 577 1304 618 And
3 2 0.9999396800994873 1303 580 1351 614 the
3 2 0.7597512006759644 1351 582 1562 612 multidimensional
3 3 0.9726449847221375 147 616 283 646 integration
3 3 0.9999274015426636 285 614 317 644 in
3 3 0.8844146728515625 315 610 366 653 Eq.
3 3 0.8623641729354858 366 608 408 650 (6)
3 3 0.9971387386322021 406 614 461 646 was
3 3 0.9986190795898438 459 614 564 646 sampled
3 3 0.9978405237197876 566 612 612 646 via
3 3 0.9997168183326721 610 612 659 646 the
3 3 0.7547470927238464 657 614 811 644 multi-modal
3 3 0.8498992919921875 813 616 1007 646 implementation
3 3 0.9999696016311646 1009 614 1039 644 of
3 3 0.9999966621398926 1039 614 1084 642 the
3 3 0.9936747550964355 1085 612 1168 644 nested
3 3 0.9814268946647644 1170 614 1284 646 sampling
3 3 0.9985625147819519 1286 614 1407 646 algorithm
3 3 0.9989016056060791 1411 614 1563 644 MULTINEST
4 0 0.5326010584831238 149 644 244 683 59611.
5 0 0.9973180890083313 147 1108 242 1134 TABLE
5 0 0.9868471026420593 244 1104 270 1138 I.
5 0 0.9972798824310303 282 1104 335 1138 List
5 0 0.9982395172119141 335 1106 366 1136 of
5 0 0.9999912977218628 368 1108 411 1136 the
5 0 0.9975569248199463 413 1108 546 1140 parameters
5 0 0.9355735778808594 547 1106 605 1138 used
5 0 0.9991554021835327 605 1104 640 1140 in
5 0 0.9998582601547241 639 1104 687 1138 the
5 0 0.9953214526176453 687 1106 823 1136 multimodal
5 0 0.9876759052276611 826 1108 903 1134 nested
5 0 0.857862651348114 908 1108 1020 1140 sampling.
5 0 0.9872837066650391 1034 1108 1122 1134 Besides
5 0 0.9996311664581299 1125 1106 1191 1138 these
5 0 0.998407781124115 1193 1110 1333 1140 parameters,
5 0 0.999294638633728 1336 1115 1372 1134 we
5 0 0.9994557499885559 1374 1106 1427 1138 also
5 0 0.9340723752975464 1429 1108 1515 1140 sample
5 0 0.9985319375991821 1515 1104 1567 1138 and
