block line confidence X1 Y1 X2 Y2 token
0 0 0.7742947340011597 305 373 421 406 Table3:
0 0 0.9871521592140198 443 373 562 406 Ordered
0 0 0.8324701189994812 566 375 698 406 moments
0 0 0.5757492184638977 702 378 886 410 tromrefining
0 0 0.9990936517715454 888 373 944 412 the
0 0 0.9273945093154907 941 378 1182 410 low-temperature
0 0 0.9986176490783691 1182 375 1253 408 data
0 0 0.6055373549461365 1255 375 1324 408 from
0 0 0.9999294281005859 1328 373 1391 408 D10
0 1 0.9845688343048096 303 414 365 449 and
0 1 0.9957650899887085 370 414 434 446 D23
0 1 0.9981704950332642 439 416 521 451 using
0 1 0.9539888501167297 526 412 639 453 Irep(4).
0 1 0.9988215565681458 654 412 723 446 Two
0 1 0.7252711057662964 727 414 896 446 refinements
0 1 0.9999728202819824 903 421 972 446 were
0 1 0.5576412081718445 979 416 1135 449 performed:
0 1 0.9992963075637817 1150 421 1206 446 one
0 1 0.9876137971878052 1210 418 1389 451 constraining
0 2 0.5256598591804504 305 453 358 487 the
0 2 0.7714645862579346 360 457 496 487 moments
0 2 0.9999586343765259 501 457 534 485 to
0 2 0.9996683597564697 537 453 579 487 lie
0 2 0.9999600648880005 582 455 647 489 only
0 2 0.964218258857727 652 453 737 494 along
0 2 0.9999566078186035 738 459 771 489 a;
0 2 0.9975394010543823 776 455 836 487 and
0 2 0.9934159517288208 838 459 866 487 a
0 2 0.999363124370575 868 457 964 483 second
0 2 0.9979193806648254 971 453 1042 487 with
0 2 0.9999245405197144 1045 453 1099 487 the
0 2 0.6274991631507874 1102 455 1235 485 moments
0 2 0.9997038245201111 1240 453 1299 487 free
0 2 0.9999889135360718 1301 455 1334 485 in
0 2 0.999213457107544 1339 453 1394 487 the
0 3 0.985853910446167 305 491 381 534 (a,c)
0 3 0.9927593469619751 386 494 478 532 plane.
0 3 0.999985933303833 491 491 554 526 The
0 3 0.9888174533843994 561 496 685 522 residuals
0 3 0.9921166300773621 693 491 738 526 for
0 3 0.9989562034606934 743 494 813 526 each
0 3 0.660247266292572 821 498 972 522 refinement
0 3 0.9989181756973267 977 496 1030 528 are
0 3 0.998440682888031 1034 494 1095 526 also
0 3 0.9974508881568909 1102 496 1200 522 shown.
0 3 0.9996770620346069 1215 491 1265 526 All
0 3 0.6637601852416992 1271 498 1389 524 moment
0 4 0.9940510392189026 303 534 398 567 values
0 4 0.9502339959144592 403 537 456 569 are
0 4 0.9996790885925293 459 537 539 571 given
0 4 0.9999722242355347 546 537 579 567 in
0 4 0.5702946782112122 586 539 640 573 HB.
0 4 0.9943704009056091 654 534 730 567 Note
0 4 0.8546220064163208 735 534 803 567 that
0 4 0.9999821186065674 808 532 881 567 both
0 4 0.8777120113372803 888 537 994 562 nuclear
0 4 0.9995051622390747 1001 532 1060 567 and
0 4 0.9440935254096985 1065 534 1201 573 magnetic
0 4 0.9992740750312805 1208 532 1299 573 Bragg
0 4 0.999278724193573 1306 537 1392 573 peaks
0 5 0.99982750415802 305 582 376 605 were
0 5 0.9634126424789429 378 575 517 605 measured
0 5 0.9322707653045654 521 573 579 608 and
0 5 0.8160670399665833 582 573 650 605 that
0 5 0.9999614953994751 652 573 707 608 the
0 5 0.9471112489700317 708 575 876 605 refinements
0 5 0.5901987552642822 879 577 1001 603 included
0 5 0.9998624324798584 1007 573 1079 605 both
0 5 0.9938911199569702 1085 577 1190 603 nuclear
0 5 0.9836222529411316 1193 573 1251 608 and
0 5 0.985228955745697 1258 577 1391 610 magnetic
1 0 0.986469030380249 303 616 459 646 structures.
2 0 0.9935989379882812 303 1160 381 1192 most
2 0 0.9988585710525513 383 1155 466 1196 likely
2 0 0.940758466720581 471 1162 586 1194 present.
3 0 0.9995397329330444 350 1194 388 1233 A
3 0 0.9269065260887146 391 1198 537 1231 schematic
3 0 0.9911525845527649 544 1198 581 1231 of
3 0 0.9999980926513672 582 1196 637 1231 the
3 0 0.9937119483947754 644 1200 776 1233 magnetic
3 0 0.8041754961013794 783 1200 921 1231 structure
3 0 0.9999352693557739 926 1196 974 1231 for
3 0 0.9075290560722351 981 1196 1080 1235 CoPS3
3 0 0.9994749426841736 1084 1194 1118 1235 is
3 0 0.9956822395324707 1122 1198 1216 1231 shown
3 0 0.9999523162841797 1223 1196 1260 1233 in
3 0 0.6055726408958435 1266 1200 1353 1237 figure
3 0 0.9970190525054932 1358 1194 1392 1233 7.
3 1 0.9962239265441895 303 1237 368 1271 The
3 1 0.6838409900665283 371 1237 511 1276 originally
3 1 0.998816728591919 519 1237 659 1276 published
3 1 0.9971121549606323 664 1239 801 1269 structure
3 1 0.9999186992645264 803 1235 836 1274 is
3 1 0.9999289512634277 840 1241 931 1267 shown
3 1 0.997019350528717 937 1239 971 1269 in
3 1 0.9879746437072754 976 1237 1064 1278 figure
3 1 0.6215547323226929 1067 1235 1143 1278 7(b),
3 1 0.9948878884315491 1150 1237 1230 1269 while
3 1 0.9999608993530273 1235 1237 1288 1271 the
3 1 0.9996644258499146 1294 1241 1389 1267 results
3 2 0.9958422780036926 305 1278 351 1312 for
3 2 0.9999129772186279 355 1278 410 1312 the
3 2 0.9897425770759583 413 1284 519 1310 current
3 2 0.6297287344932556 527 1280 682 1310 refinement
3 2 0.9994964599609375 687 1284 738 1310 are
3 2 0.999957799911499 743 1282 833 1308 shown
3 2 0.9999555349349976 840 1278 876 1314 in
3 2 0.8221771121025085 881 1278 967 1319 figure
3 2 0.9529616832733154 972 1276 1042 1319 7(c).
3 2 0.9997482895851135 1052 1278 1117 1312 The
3 2 0.9969682097434998 1123 1284 1228 1310 current
3 2 0.5700340867042542 1236 1280 1391 1310 refinement
3 3 0.9967613816261292 303 1319 403 1351 results
3 3 0.999976634979248 406 1316 443 1353 in
3 3 0.9982903599739075 444 1323 471 1353 a
3 3 0.9284626245498657 473 1321 609 1351 structure
3 3 0.9999817609786987 614 1319 679 1351 that
3 3 0.9977744221687317 680 1316 715 1355 is
3 3 0.8827834129333496 718 1321 896 1353 qualitatively
3 3 0.9998788833618164 904 1319 1029 1351 identical
3 3 0.9999725818634033 1035 1321 1072 1353 to
3 3 0.9999712705612183 1075 1319 1140 1351 that
3 3 0.9994006156921387 1145 1316 1191 1351 for
3 3 0.4386846721172333 1195 1316 1288 1357 NiPSs
3 3 0.9218477606773376 1293 1314 1341 1359 [8].
3 4 0.9868515133857727 353 1359 416 1392 The
3 4 0.6930723190307617 423 1364 602 1394 temperature
3 4 0.9923730492591858 610 1362 776 1394 dependence
3 4 0.9998846054077148 780 1357 820 1392 of
3 4 0.9952875375747681 821 1357 873 1392 the
3 4 0.9976071119308472 878 1357 957 1398 (010)
3 4 0.9984863996505737 962 1357 1055 1398 Bragg
3 4 0.9997351765632629 1059 1357 1133 1398 peak
3 4 0.9998154044151306 1138 1364 1195 1390 was
3 4 0.685397744178772 1203 1362 1319 1387 followed
3 4 0.999423623085022 1328 1364 1364 1392 as
3 4 0.9998658895492554 1366 1364 1392 1392 a
3 5 0.8808452486991882 307 1402 425 1428 function
3 5 0.9999134540557861 433 1400 469 1433 of
3 5 0.9843155741691589 474 1402 652 1435 temperature
3 5 0.9991831183433533 660 1402 697 1435 to
3 5 0.9534505009651184 702 1402 821 1435 quantity
3 5 0.999992847442627 830 1398 884 1433 the
3 5 0.9817936420440674 889 1402 989 1428 critical
3 5 0.9846166372299194 999 1400 1145 1430 behaviour
3 5 0.9966503977775574 1148 1396 1187 1433 of
3 5 0.9999983310699463 1188 1398 1243 1433 the
3 5 0.9489956498146057 1246 1400 1391 1430 sublattice
3 6 0.9085150957107544 305 1443 511 1475 magnetization
3 6 0.9996135830879211 521 1441 557 1473 in
3 6 0.9086986780166626 566 1441 669 1473 CoPS3.
3 6 0.9998573064804077 695 1437 758 1471 The
3 6 0.9986212253570557 766 1439 864 1471 results
