block line confidence X1 Y1 X2 Y2 token
0 0 0.8720105290412903 192 165 272 214 k-p
0 0 0.9986194372177124 273 171 370 210 theory
0 0 0.9979415535926819 368 167 423 210 for
0 0 0.9648054242134094 425 169 473 206 2D
0 0 0.9853259325027466 476 167 597 206 TMDCS
1 0 0.9999092817306519 1416 169 1439 204 3
2 0 0.999618649482727 195 257 235 292 to
2 0 0.9999982118606567 244 255 298 290 the
2 0 0.8701456785202026 307 255 499 294 tight-binding
2 0 0.9999748468399048 512 253 589 296 (TB)
2 0 0.9745703935623169 600 255 763 294 description
2 0 0.9999741315841675 775 257 811 290 of
2 0 0.5897865891456604 820 255 941 287 TMDCS
2 0 0.6213867664337158 957 255 1006 292 26
3 0 0.9728912711143494 1102 262 1120 283 3
3 0 0.888002872467041 1140 257 1182 285 34
3 0 0.9691094160079956 1201 257 1241 285 35
3 0 0.8153941631317139 1258 255 1308 290 36
3 0 0.8210647702217102 1318 255 1364 290 37
3 0 0.811651349067688 1376 253 1434 296 B8),
4 0 0.7906323075294495 199 298 255 337 but
4 0 0.9999523162841797 260 298 322 333 this
4 0 0.998883068561554 328 300 464 339 approach
4 0 0.9998834133148193 473 300 569 333 suffers
4 0 0.9458849430084229 579 300 650 333 from
4 0 0.9999322891235352 659 298 712 333 the
4 0 0.9996846914291382 718 298 796 339 large
4 0 0.9783758521080017 805 300 916 333 number
4 0 0.9899832010269165 924 298 962 335 of
4 0 0.9883652925491333 971 305 1069 330 atomic
4 0 0.9980452060699463 1079 300 1191 333 orbitals
4 0 0.9999431371688843 1200 300 1266 333 that
4 0 0.9875511527061462 1276 300 1346 333 have
4 0 0.9998138546943665 1356 302 1392 335 to
4 0 0.9513112902641296 1399 298 1441 335 be
4 1 0.9955282807350159 197 343 322 375 included
4 1 0.9999433755874634 328 352 371 378 on
4 1 0.99951171875 378 345 448 378 each
4 1 0.9996731281280518 453 343 511 378 site
4 1 0.9956012964248657 517 343 576 378 and
4 1 0.9999933242797852 582 343 637 378 the
4 1 0.6175619959831238 640 345 713 378 need
4 1 0.9999750852584839 718 343 768 378 for
4 1 0.11798461526632309 773 345 1147 384 bygansbearetnrsgplnotr
4 1 0.9993880987167358 1152 345 1275 384 hopping
4 1 0.9999603033065796 1279 350 1316 378 to
4 1 0.9693506360054016 1323 350 1436 375 account
4 2 0.9984015822410583 197 386 244 423 for
4 2 0.9999861717224121 245 386 300 421 the
4 2 0.9870693683624268 305 393 431 418 variation
4 2 0.9951484799385071 438 386 476 423 of
4 2 0.9296616911888123 476 386 529 421 the
4 2 0.9997147917747498 532 388 630 427 weight
4 2 0.9996869564056396 635 391 669 421 of
4 2 0.9981908202171326 670 388 818 421 individual
4 2 0.8389896750450134 826 393 926 418 atomic
4 2 0.5191183686256409 931 388 1044 421 orbitals
4 2 0.9999222755432129 1047 386 1084 423 in
4 2 0.9958910942077637 1087 386 1138 421 the
4 2 0.99782395362854 1143 386 1218 421 band
4 2 0.9999052286148071 1223 391 1299 423 wave
4 2 0.9982489347457886 1304 388 1439 421 functions
4 3 0.9896256327629089 199 440 288 466 across
4 3 0.9958561062812805 292 431 348 470 the
4 3 0.9867945313453674 348 431 408 472 BZ,
4 3 0.9996899366378784 413 440 448 468 as
4 3 0.9851055145263672 451 433 572 466 revealed
4 3 0.9976321458816528 577 431 620 470 by
4 3 0.6433651447296143 624 433 742 466 detailed
4 3 0.9997515082359314 747 433 854 472 density
4 3 0.9866957664489746 859 433 1006 466 functional
4 3 0.9980493783950806 1012 431 1110 472 theory
4 3 0.9996403455734253 1115 431 1213 472 (DFT)
4 3 0.9623557925224304 1218 431 1364 472 modelling
4 3 0.9723291993141174 1371 431 1439 474 (see,
4 4 0.7162278890609741 195 479 265 519 e.g.,
4 4 0.9591668844223022 270 472 373 519 Figure
4 4 0.7732450366020203 373 470 425 526 B).
4 4 0.9986518025398254 446 476 511 511 The
4 4 0.6767081022262573 519 479 715 511 accumulation
4 4 0.9819897413253784 722 474 760 511 of
4 4 0.9844195246696472 765 479 956 517 experimental
4 4 0.9972649812698364 964 476 1037 511 data
4 4 0.9910007119178772 1044 476 1104 511 and
4 4 0.9997454285621643 1113 476 1167 511 the
4 4 0.9999362230300903 1175 476 1253 509 drive
4 4 0.9998877048492432 1261 476 1377 509 towards
4 4 0.999883770942688 1387 476 1441 511 the
4 5 0.6465373039245605 197 519 425 558 implementation
4 5 0.9697777032852173 429 519 468 556 of
4 5 0.9049080610275269 474 524 624 556 monolayer
4 5 0.9813740849494934 632 517 755 556 TMDCS
4 5 0.9999631643295288 760 524 796 556 in
4 5 0.9984307885169983 801 522 931 560 practical
4 5 0.999924898147583 939 522 1045 554 devices
4 5 0.9998167157173157 1054 519 1110 558 call
4 5 0.9988042116165161 1115 519 1163 556 for
4 5 0.9824835658073425 1170 522 1324 554 theoretical
4 5 0.9966834187507629 1334 522 1439 554 models
4 6 0.9983127117156982 195 562 234 601 of
4 6 0.9998533725738525 234 565 308 599 their
4 6 0.7020559906959534 312 567 456 599 electronic
4 6 0.9718530774116516 459 567 610 605 properties
4 6 0.9996429681777954 614 565 682 599 that
4 6 0.9993423819541931 683 569 738 601 are
4 6 0.9980827569961548 742 565 813 599 both
4 6 0.9592251181602478 820 569 934 595 detailed
4 6 0.97369384765625 941 565 1001 599 and
4 6 0.9395986199378967 1004 567 1140 605 compact,
4 6 0.9972749352455139 1145 567 1301 605 containing
4 6 0.9991322159767151 1303 571 1331 601 a
4 6 0.9911845326423645 1333 565 1437 597 limited
4 7 0.9999343156814575 260 653 300 689 In
4 7 0.9997825026512146 303 653 365 687 this
4 7 0.9419453144073486 368 653 486 691 Review,
4 7 0.9998446702957153 494 661 537 687 we
4 7 0.6243847608566284 542 650 667 689 describe
4 7 0.9961131811141968 670 655 730 687 two
4 7 0.997859537601471 733 655 957 693 complementary
4 7 0.9941045641899109 964 655 1120 687 theoretical
4 7 0.9968001842498779 1127 655 1291 693 approaches
4 7 0.9991592168807983 1296 653 1362 687 that
4 7 0.8675236105918884 1367 655 1439 687 have
4 8 0.9995489716529846 197 702 313 734 recently
4 8 0.9994962215423584 327 698 398 732 been
4 8 0.9425708055496216 410 698 478 732 used
4 8 0.9996684789657593 489 702 526 730 to
4 8 0.873536229133606 534 698 644 730 achieve
4 8 0.9997840523719788 652 704 679 732 a
4 8 0.9968445301055908 687 698 805 730 detailed
4 8 0.9826197624206543 816 698 977 736 description
4 8 0.9989272952079773 987 696 1025 732 of
4 8 0.9999064207077026 1032 698 1085 732 the
4 8 0.9768319725990295 1095 700 1236 730 electronic
4 8 0.7008718848228455 1248 700 1396 739 properties
4 8 0.9968494772911072 1404 696 1442 732 of
4 9 0.9999892711639404 199 743 277 777 these
4 9 0.9669854044914246 288 743 431 775 materials.
4 9 0.9799455404281616 464 743 527 775 One
4 9 0.9943026304244995 541 747 654 773 consists
4 9 0.9864155650138855 664 741 703 777 of
4 9 0.9712607264518738 712 741 752 777 ab
4 9 0.851746678352356 762 745 843 777 initio
4 9 0.7875267267227173 854 739 933 779 DFT
4 9 0.9997730851173401 941 743 1087 782 modelling
4 9 0.9948652386665344 1097 741 1135 777 of
4 9 0.9999946355819702 1142 743 1195 777 the
4 9 0.9999324083328247 1206 743 1281 777 band
4 9 0.9918239712715149 1294 747 1437 777 structure,
4 10 0.9999803304672241 195 784 287 822 which
4 10 0.9998030066490173 292 786 346 820 has
4 10 0.9997565150260925 353 786 406 820 the
4 10 0.9991065859794617 413 790 542 822 potential
4 10 0.9999791383743286 551 790 587 818 to
4 10 0.9988646507263184 594 786 637 820 be
4 10 0.9220556616783142 640 790 775 820 accurate.
4 10 0.7625331878662109 793 786 868 820 DFT
4 10 0.9997636675834656 876 792 929 818 can
4 10 0.9981446266174316 936 784 981 820 be
4 10 0.9948711395263672 984 786 1123 818 combined
4 10 0.9999831914901733 1132 786 1203 820 with
4 10 0.9999282360076904 1208 788 1349 827 transport
4 10 0.9998781681060791 1354 786 1441 822 codes
4 11 0.9941049218177795 210 833 247 861 17
4 11 0.6969549059867859 263 835 305 863 38
4 11 0.5966850519180298 310 831 360 865 39
4 11 0.6520590782165527 363 831 413 867 40
4 11 0.3223940134048462 415 831 466 867 41
4 11 0.41784554719924927 468 831 519 865 421
4 11 0.9067801833152771 522 831 572 865 431
4 11 0.4272557199001312 576 831 625 867 44]
4 11 0.9978216886520386 634 837 670 865 or
4 11 0.9924282431602478 677 831 745 865 used
4 11 0.9996864795684814 750 831 790 865 to
4 11 0.9981216788291931 793 835 923 863 calculate
4 11 0.9794177412986755 929 831 1030 870 optical
4 11 0.999560534954071 1035 833 1147 872 spectra
4 11 0.5008376836776733 1153 829 1208 872 15]
4 11 0.3098659813404083 1206 831 1260 867 461
4 11 0.6982417106628418 1260 829 1376 870 4748),
4 11 0.9997842907905579 1382 831 1439 865 but
4 12 0.9999661445617676 199 872 239 910 ab
4 12 0.6907646656036377 244 876 325 908 iitio
4 12 0.8986604809761047 332 876 504 908 calculations
4 12 0.9999446868896484 511 883 562 908 are
4 12 0.9972805976867676 566 872 757 917 prohibitively
4 12 0.9513646960258484 760 880 903 913 expensive
4 12 0.9965903759002686 908 874 956 908 for
4 12 0.9780599474906921 961 885 1042 910 many
4 12 0.9992926120758057 1049 876 1180 915 practical
4 12 0.9837258458137512 1188 878 1321 910 problems
4 12 0.9627352952957153 1328 876 1437 908 focused
4 13 0.9998435974121094 197 925 240 953 on
4 13 0.9701031446456909 242 919 388 958 modelling
4 13 0.998963475227356 393 921 499 953 devices
4 13 0.9809805750846863 506 919 564 953 and
4 13 0.9994164705276489 572 923 674 949 studies
4 13 0.9986907839775085 679 919 722 958 of,
4 13 0.6088719367980957 727 925 791 960 e.g.,
4 13 0.9117522239685059 798 921 933 960 quantum
4 13 0.9977637529373169 936 919 1004 953 dots
4 13 0.5502271056175232 1011 917 1067 960 4191
4 13 0.5811622738838196 1064 917 1127 960 (50).
4 13 0.9994341731071472 1138 919 1286 958 Moreover,
4 13 0.9138668775558472 1293 923 1437 956 magnetic-
4 14 0.9852665662765503 199 962 262 996 field
4 14 0.9672703742980957 267 964 361 996 effects
4 14 0.6355534195899963 370 964 420 1001 32
4 14 0.8439748883247375 423 964 473 999 49
4 14 0.7608948945999146 476 964 522 1001 511
4 14 0.932368814945221 527 964 579 1001 52
4 14 0.5518779158592224 581 964 630 1001 53
4 14 0.8925309181213379 630 962 683 1005 54]
4 14 0.9986395239830017 690 964 747 999 and
4 14 0.9997475743293762 752 966 854 999 certain
4 14 0.8285317420959473 861 968 999 1001 questions
4 14 0.9981253743171692 1002 964 1145 1003 regarding
4 14 0.999544084072113 1148 964 1253 996 neutral
4 14 0.9992066025733948 1258 960 1319 1001 and
4 14 0.7335667610168457 1323 964 1437 1003 charged
4 15 0.919367790222168 197 1009 318 1041 excitons
4 15 0.9966220855712891 323 1009 373 1046 55
4 15 0.9997528195381165 380 1014 479 1039 cannot
4 15 0.9956799745559692 483 1009 569 1046 easily
4 15 0.9999352693557739 569 1007 610 1041 be
4 15 0.9858136773109436 609 1009 753 1041 addressed
4 15 0.9999904632568359 755 1007 798 1046 by
4 15 0.6696540117263794 798 1007 964 1039 DFT-based
4 15 0.9571865797042847 967 1011 1125 1044 techniques.
4 15 0.9997064471244812 1137 1007 1200 1041 The
4 15 0.9981796741485596 1201 1011 1299 1037 second
4 15 0.9980155229568481 1303 1009 1439 1048 approach
4 16 0.9725230932235718 195 1057 263 1089 uses
4 16 0.999995231628418 263 1052 318 1087 the
4 16 0.49323728680610657 320 1057 351 1087 k.
4 16 0.9985798597335815 355 1057 381 1091 p
4 16 0.9442127346992493 383 1052 572 1091 methodology
4 16 0.49956825375556946 577 1050 634 1093 [561
4 16 0.789095401763916 630 1050 683 1093 57
4 16 0.8942317962646484 680 1048 795 1095 58159),
4 16 0.9993808269500732 800 1054 888 1087 which
4 16 0.997525155544281 891 1052 1007 1093 exploits
4 16 0.999502420425415 1011 1052 1064 1087 the
4 16 0.9858424067497253 1067 1057 1231 1089 symmetries
4 16 0.8877658843994141 1233 1050 1271 1087 of
4 16 0.999993085861206 1270 1052 1324 1087 the
4 16 0.7504774928092957 1326 1057 1437 1089 system.
4 17 0.6884430646896362 197 1097 268 1130 This
4 17 0.999782383441925 275 1097 410 1136 approach
4 17 0.999769389629364 420 1097 544 1136 provides
4 17 0.9999740123748779 551 1104 592 1130 an
4 17 0.652417004108429 600 1102 725 1127 accurate
4 17 0.9026551246643066 733 1097 964 1130 characterisation
4 17 0.9979504942893982 971 1095 1009 1132 of
4 17 0.9992456436157227 1014 1095 1067 1132 the
4 17 0.9967580437660217 1074 1097 1221 1136 dispersion
4 17 0.980600893497467 1228 1095 1266 1132 of
4 17 0.9997765421867371 1270 1095 1326 1134 the
4 17 0.9102999567985535 1331 1097 1439 1130 valence
4 18 0.9990450739860535 197 1142 255 1175 and
4 18 0.9675294160842896 258 1142 420 1173 conduction
4 18 0.998923122882843 426 1142 516 1175 bands
4 18 0.9999170303344727 516 1138 554 1177 in
4 18 0.9998231530189514 556 1140 609 1175 the
4 18 0.9992333650588989 609 1140 725 1179 vicinity
4 18 0.8575243949890137 725 1140 768 1177 of,
4 18 0.4535229504108429 771 1145 836 1179 e.g.,
4 18 0.999687910079956 841 1140 894 1175 the
4 18 0.9992407560348511 896 1140 933 1177 K
4 18 0.844556987285614 936 1140 996 1175 and
4 18 0.7619055509567261 999 1138 1062 1179 -K
4 18 0.9994188547134399 1064 1142 1160 1181 points
4 18 0.9932065010070801 1162 1142 1221 1175 and
4 18 0.9997301697731018 1225 1142 1306 1175 other
4 18 0.9998828172683716 1309 1142 1404 1181 points
4 18 0.9974594712257385 1404 1140 1441 1177 of
4 19 0.9999172687530518 197 1185 308 1218 interest
4 19 0.9998970031738281 312 1183 348 1220 in
4 19 0.9999544620513916 351 1183 408 1222 the
4 19 0.9998589754104614 410 1183 461 1218 BZ
4 19 0.9999864101409912 463 1183 499 1220 in
4 19 0.8450510501861572 504 1190 589 1216 terms
4 19 0.9788949489593506 592 1183 630 1220 of
4 19 0.9914159178733826 630 1188 657 1220 a
4 19 0.9752029776573181 659 1183 798 1222 relatively
