block line confidence X1 Y1 X2 Y2 token
0 0 0.9995284080505371 174 182 251 210 where
0 0 0.9258103370666504 255 182 302 214 the
0 0 0.9997195601463318 303 187 410 214 operator
0 0 0.9930318593978882 413 180 444 212 D
0 0 0.9989092350006104 444 180 471 212 is
0 0 0.9611589312553406 473 182 563 210 defined
0 0 0.9996826648712158 566 185 600 212 as
1 0 0.9978429079055786 898 290 915 317 L
1 0 0.9891785383224487 959 290 973 317 J
2 0 0.9974513649940491 172 365 230 399 The
2 0 0.9940186738967896 230 370 373 402 expressions
2 0 0.990401566028595 376 374 415 395 we
2 0 0.958608865737915 415 365 479 399 then
2 0 0.9999792575836182 479 367 562 395 obtain
2 0 0.9994195699691772 565 367 605 397 for
2 0 0.9998212456703186 608 367 655 399 the
2 0 0.9719232320785522 655 370 806 402 components
2 0 0.40447506308555603 809 365 851 404 a,
2 0 0.22584763169288635 854 367 898 404 i1g,
2 0 0.12462794035673141 898 367 938 406 1g
2 0 0.999634861946106 938 367 969 399 of
2 0 0.9987999200820923 970 367 1017 399 the
2 0 0.5813660621643066 1019 367 1072 395 flow
2 0 0.9955176711082458 1074 365 1133 399 field
2 0 0.41575175523757935 1135 365 1171 399 "i"""
2 0 0.9970218539237976 1172 372 1219 397 are
2 0 0.9906079769134521 1221 367 1290 404 given
2 0 0.9998534917831421 1292 367 1324 399 in
2 0 0.9976855516433716 1326 367 1448 402 Appendix
2 0 0.9796168804168701 1450 363 1486 402 C.
2 1 0.9999265670776367 174 468 221 495 We
2 1 0.9998687505722046 222 470 279 497 now
2 1 0.9996662139892578 284 470 389 495 consider
2 1 0.9999895095825195 394 468 439 495 the
2 1 0.9995943903923035 442 465 571 497 derivation
2 1 0.9971820116043091 575 468 615 495 for
2 1 0.9999631643295288 620 468 665 495 the
2 1 0.5417914390563965 670 470 794 495 first-order
2 1 0.9970154762268066 801 468 901 495 solution
2 1 0.9997267127037048 907 463 949 502 (in
2 1 0.9633995294570923 954 470 1075 497 Reynolds)
