block line confidence X1 Y1 X2 Y2 token
0 0 0.9989290833473206 1537 77 1560 109 3
1 0 0.999970555305481 139 150 166 182 a
1 0 0.5747503042221069 169 150 385 182 Yukawa-potential
1 0 0.9987781643867493 391 150 453 184 type
1 0 0.9625428318977356 458 148 597 186 expression.
1 0 0.9999608993530273 615 146 672 180 The
1 0 0.9766155481338501 677 146 830 184 Born-Mayer
1 0 0.9992471933364868 871 148 957 180 known
1 0 0.998647153377533 959 148 1019 182 fact,
1 0 0.997347354888916 1020 148 1047 180 it
1 0 0.9993147850036621 1047 148 1120 180 turns
1 0 0.9997753500938416 1118 148 1170 180 out
1 0 0.9995860457420349 1168 146 1228 180 that
1 0 0.9997321963310242 1231 148 1258 178 B
1 0 0.9987982511520386 1260 148 1288 180 is
1 0 0.7921345829963684 1288 146 1336 180 the
1 0 0.9654364585876465 1334 148 1402 180 most
1 0 0.8809650540351868 1402 148 1512 180 sensitive
1 0 0.9987756609916687 1515 154 1558 182 pa-
1 1 0.9943439960479736 141 180 297 212 contribution
1 1 0.9964116215705872 298 180 328 212 is
1 1 0.9996578693389893 327 182 351 212 a
1 1 0.9526586532592773 351 180 434 214 simple
1 1 0.3586486577987671 438 178 722 216 exponcatiall-decyang
1 1 0.9974320530891418 723 180 828 212 function
1 1 0.5483244061470032 873 184 972 210 rameter
1 1 0.9999494552612305 972 182 1004 210 in
1 1 0.999835729598999 1001 180 1052 212 our
1 1 0.9986757636070251 1049 178 1162 216 analysis,
1 1 0.9999849796295166 1160 180 1190 212 in
1 1 0.9999947547912598 1191 182 1236 210 the
1 1 0.9993546605110168 1236 180 1308 212 sense
1 1 0.9999796152114868 1306 180 1364 212 that
1 1 0.9988922476768494 1362 180 1434 212 small
1 1 0.9986181259155273 1436 182 1557 208 variations
1 2 0.9650523066520691 139 208 174 244 of
1 2 0.9999831914901733 172 210 222 244 the
1 2 0.9388899207115173 224 216 337 242 core-core
1 2 0.950202465057373 340 210 483 249 separation,
1 2 0.976060688495636 486 210 610 242 motivated
1 2 0.9999465942382812 615 210 654 247 by
1 2 0.9989101886749268 655 210 703 244 the
1 2 0.9994786381721497 705 210 781 242 radial
1 2 0.9986745119094849 783 210 830 244 de-
1 2 0.9999783039093018 871 212 903 242 in
1 2 0.9999420642852783 904 212 933 242 B
1 2 0.9999104738235474 934 210 984 244 can
1 2 0.9989120960235596 986 210 1042 244 lead
1 2 0.9999556541442871 1044 212 1075 240 to
1 2 0.9996980428695679 1077 208 1145 249 large
1 2 0.9961228966712952 1147 214 1271 240 deviations
1 2 0.9998952150344849 1276 210 1306 242 in
1 2 0.9999265670776367 1308 210 1356 244 the
1 2 0.9880080223083496 1356 212 1437 247 fitting
1 2 0.982864499092102 1437 212 1469 242 of
1 2 0.9834216237068176 1469 210 1515 244 the
1 2 0.9706963300704956 1517 214 1557 242 ex-
1 3 0.9999189376831055 141 247 189 281 cay
1 3 0.9999163150787354 189 240 225 277 of
1 3 0.9993934631347656 225 242 327 275 electron
1 3 0.8848460912704468 332 244 506 277 wavefunctions
1 3 0.9997774958610535 509 240 552 277 for
1 3 0.9999957084655762 554 244 599 272 the
1 3 0.5771971940994263 602 242 682 275 closed
1 3 0.9969820380210876 683 242 763 275 shells.
1 3 0.9978245496749878 773 242 830 275 The
1 3 0.9830159544944763 871 242 1009 281 perimental
1 3 0.9950860142707825 1009 242 1079 275 data.
1 3 0.9954267144203186 1082 240 1228 279 Conversely,
1 3 0.9999268054962158 1230 244 1275 272 the
1 3 0.8436374664306641 1278 242 1384 275 Ashcroft
1 3 0.9903556108474731 1389 244 1504 277 prefactor
1 3 0.9998443126678467 1507 242 1532 272 A
1 3 0.9997842907905579 1532 244 1560 272 is
2 0 0.7676382660865784 141 275 247 307 effective
2 0 0.9804505109786987 247 275 393 307 interatomic
2 0 0.9984874725341797 396 277 508 309 potential
2 0 0.9998849630355835 511 275 584 307 reads
2 0 0.9998276233673096 582 279 617 307 as
3 0 0.9998558759689331 869 277 921 309 not
3 0 0.9996020197868347 923 281 942 305 a
3 0 0.9974973797798157 946 279 1054 305 sensitive
3 0 0.8214063048362732 1057 279 1193 311 parameter,
3 0 0.9801769256591797 1198 272 1250 309 and
3 0 0.9984630346298218 1251 275 1291 309 its
3 0 0.9886444807052612 1293 275 1374 307 values
3 0 0.9721305966377258 1374 281 1421 307 are
