block line confidence X1 Y1 X2 Y2 token
0 0 0.8608812689781189 429 324 619 354 Parameters
0 0 0.9996755123138428 624 320 667 356 of
0 0 0.9999953508377075 669 322 728 356 the
0 0 0.9981511235237122 738 326 906 358 Algorithm
1 0 0.9939061999320984 411 391 468 423 The
1 0 0.9995697140693665 469 397 516 423 use
1 0 0.9266577363014221 517 393 549 421 of
1 0 0.9958749413490295 549 391 649 423 Jaccard
1 0 0.9990735054016113 652 395 722 418 index
1 0 0.9996923208236694 725 393 758 423 to
1 0 0.9993019104003906 760 397 836 421 assess
1 0 0.9651488661766052 840 393 959 425 similarity
1 0 0.9118275046348572 962 395 1065 418 between
1 0 0.99899822473526 1070 395 1187 418 addresses
1 0 0.999936580657959 1190 391 1221 421 in
1 0 0.9997428059577942 1223 397 1271 423 our
1 0 0.9880475997924805 1273 393 1338 425 algo-
1 1 0.9988951086997986 373 427 444 453 rithm
1 1 0.9943795800209045 444 421 476 459 is
1 1 0.9968902468681335 476 425 584 457 optional.
1 1 0.9803735017776489 589 423 645 455 Our
1 1 0.9348692297935486 647 429 742 455 implicit
1 1 0.6211819648742676 745 427 888 457 assumption
1 1 0.9994939565658569 889 425 919 457 is
1 1 0.9966222047805786 919 427 976 453 that
1 1 0.5896020531654358 979 427 1045 453 there
1 1 0.9996647834777832 1047 427 1122 453 exists
1 1 0.9997174143791199 1122 427 1147 457 a
1 1 0.9963518381118774 1148 427 1250 453 function
1 1 0.27521181106567383 1253 425 1336 459 d(z,4)
1 2 0.999923586845398 371 459 446 485 which
1 2 0.9994807839393616 453 464 551 487 assesses
1 2 0.9982494711875916 557 459 602 487 the
1 2 0.9556729793548584 605 459 725 491 similarity
1 2 0.9943897128105164 732 461 833 485 between
1 2 0.9971066117286682 836 457 891 489 two
1 2 0.9265961050987244 894 461 1011 485 addresses
1 2 0.42035749554634094 1014 461 1040 489 x
1 2 0.6907803416252136 1042 457 1095 489 and
1 2 0.5420870780944824 1099 464 1127 494 y.
1 2 0.609001100063324 1132 459 1243 491 Blocking
1 2 0.9997767806053162 1246 464 1296 489 can
1 2 0.992709755897522 1298 464 1338 489 re-
1 3 0.9936610460281372 370 491 434 524 duce
1 3 0.9999890327453613 438 494 483 522 the
1 3 0.9918043613433838 488 494 584 519 number
1 3 0.9754476547241211 587 491 620 522 of
1 3 0.9967404007911682 622 491 763 522 evaluations
1 3 0.9449648261070251 766 491 798 522 of
1 3 0.33021289110183716 801 491 883 526 d(a,y)
1 3 0.9999473094940186 891 494 989 519 without
1 3 0.9811655282974243 994 494 1090 526 missing
1 3 0.9878551363945007 1094 491 1165 526 links,
1 3 0.996798574924469 1168 489 1195 524 if
1 3 0.6944974064826965 1196 494 1279 526 d(a,y)
1 3 0.7908285856246948 1284 496 1319 524 >
1 3 0.998910665512085 1314 496 1341 524 T
2 0 0.8927106261253357 373 528 496 554 indicating
2 0 0.744810938835144 498 528 524 556 I
2 0 0.9996805191040039 521 524 574 558 and
2 0 0.8003758192062378 574 528 597 560 y
2 0 0.9823066592216492 599 528 667 554 share
2 0 0.9993672966957092 667 528 692 556 a
2 1 0.9771935939788818 373 562 476 586 function
2 1 0.9998776912689209 478 558 506 588 is
3 0 0.9984225034713745 798 524 879 556 token.
3 0 0.9998241066932678 881 526 913 554 In
3 0 0.9995726943016052 913 528 961 554 our
3 0 0.9983774423599243 962 528 1089 554 two-round
3 0 0.9986152648925781 1094 526 1190 558 linkage,
3 0 0.9991360306739807 1191 530 1240 556 our
3 0 0.9828570485115051 1240 526 1338 558 implicit
4 0 0.9015088081359863 1298 631 1336 668 (3)
5 0 0.9998867511749268 411 717 471 749 One
5 0 0.9875891804695129 471 719 531 754 may
5 0 0.9971490502357483 534 717 617 751 design
5 0 0.9998464584350586 619 719 672 751 any
5 0 0.9994993209838867 675 719 745 745 other
5 0 0.9996273517608643 750 717 848 749 implicit
5 0 0.9950710535049438 856 719 959 745 function
5 0 0.7008706331253052 966 721 1062 747 instead,
5 0 0.9287247657775879 1072 721 1183 747 replacing
5 0 0.9911869168281555 1191 717 1235 745 the
5 0 0.5037478804588318 1241 719 1336 743 Jaccard
5 1 0.9923189282417297 411 782 469 814 The
5 1 0.5539271235466003 476 786 569 809 Jaccard
5 1 0.9087845683097839 579 786 649 812 index
5 1 0.9999631643295288 655 784 687 814 in
5 1 0.979881763458252 692 784 768 809 round
5 1 0.9988728165626526 773 782 796 814 2
5 1 0.9999700784683228 800 784 833 812 of
5 1 0.9998188614845276 836 784 884 814 the
5 1 0.9478376507759094 886 786 1030 816 comparison
5 1 0.9945407509803772 1035 788 1084 814 can
5 1 0.994526207447052 1089 782 1145 814 also
5 1 0.9998592138290405 1148 784 1185 812 be
5 1 0.9980402588844299 1191 784 1294 816 replaced
5 1 0.9999439716339111 1301 782 1339 818 by
5 2 0.9917606115341187 373 820 456 846 almost
5 2 0.9999070167541504 458 820 509 852 any
5 2 0.9985445737838745 509 816 581 848 other
5 2 0.9873499274253845 582 820 697 846 similarity
5 2 0.9968313574790955 703 820 811 846 function,
5 2 0.9998817443847656 815 814 856 848 for
5 2 0.6680601239204407 858 820 959 846 example
5 2 0.9999814033508301 962 818 1007 846 the
5 2 0.9432697296142578 1009 818 1173 848 Monge-Elkan
5 2 0.992446780204773 1177 820 1279 844 function
5 2 0.7808507680892944 1281 816 1336 850 [13],
6 0 0.9995211362838745 370 749 444 782 index
6 0 0.9996700286865234 444 749 508 782 with
6 0 0.9997352957725525 508 751 561 786 any
6 0 0.9999812841415405 561 754 629 779 other
6 0 0.8993825912475586 634 754 801 777 measurement.
6 1 0.9997708201408386 371 848 448 880 which
6 1 0.999431312084198 449 848 478 880 is
6 1 0.9781225919723511 479 852 577 878 suitable
6 1 0.9997090697288513 582 850 622 878 for
6 1 0.9675813317298889 625 852 748 876 addresses.
6 2 0.999984622001648 373 887 396 919 9
6 2 0.9790874719619751 429 887 610 917 Conclusion
7 0 0.9998989105224609 413 956 461 986 We
7 0 0.9999699592590332 459 953 524 986 have
7 0 0.7925106287002563 524 956 644 988 presented
7 0 0.9999510049819946 647 956 679 983 in
7 0 0.9996702671051025 680 953 733 986 this
7 0 0.9865031242370605 737 962 810 988 paper
7 0 0.9997615218162537 810 958 835 986 a
7 0 0.9774012565612793 836 958 903 983 novel
7 0 0.8108479380607605 908 956 1095 988 address-linkage
7 0 0.9813240170478821 1100 958 1220 983 algorithm
7 0 0.9996211528778076 1223 953 1289 986 that:
7 1 0.9910945296287537 383 1069 410 1102 3.
7 1 0.9720099568367004 420 1074 516 1100 extends
7 1 0.9999896287918091 522 1072 567 1100 the
7 1 0.9940780401229858 574 1074 677 1097 inverted
7 1 0.9957542419433594 682 1069 758 1102 index
7 1 0.9903784990310669 762 1072 823 1097 data
7 1 0.9972147345542908 828 1074 944 1097 structure
7 1 0.999876856803894 949 1072 982 1100 to
7 1 0.9727537631988525 987 1072 1099 1097 facilitate
7 1 0.980346143245697 1107 1076 1236 1104 large-scale
7 1 0.7696467638015747 1243 1074 1338 1097 address
8 0 0.9941691160202026 385 988 413 1018 1.
8 0 0.61881422996521 416 986 483 1018 links
8 0 0.9989676475524902 484 990 602 1016 addresses
8 0 0.9993190765380859 604 992 639 1018 as
8 0 0.9998936653137207 640 990 690 1016 free
8 0 0.9998032450675964 692 990 755 1022 text;
8 1 0.9987540245056152 383 1029 410 1061 2.
8 1 0.9960892200469971 418 1035 474 1059 uses
8 1 0.7547988295555115 478 1029 624 1059 data-driven
8 1 0.9972845315933228 627 1031 732 1063 blocking
8 1 0.9998430013656616 733 1029 801 1063 keys;
9 0 0.998680055141449 418 1104 514 1136 linking;
10 0 0.9976050853729248 383 1145 413 1175 4.
10 0 0.9998524188995361 418 1142 446 1175 is
10 0 0.9920862317085266 448 1147 527 1173 robust
10 0 0.9986878037452698 536 1149 624 1175 against
10 0 0.9363722801208496 629 1147 778 1177 data-quality
10 0 0.9527173042297363 783 1145 868 1177 issues;
10 0 0.9993653893470764 868 1142 921 1175 and
10 1 0.9993926286697388 385 1188 410 1216 5.
10 1 0.9997900128364563 418 1183 446 1216 is
10 1 0.999346911907196 449 1190 554 1216 practical
10 1 0.9992715716362 559 1183 612 1216 and
10 1 0.9555000066757202 614 1188 720 1211 scalable.
11 0 0.9976109266281128 411 1239 469 1271 The
11 0 0.935795247554779 468 1241 591 1274 simplicity
11 0 0.9719972014427185 591 1239 622 1269 of
11 0 0.9484484195709229 622 1241 665 1269 the
11 0 0.9982569813728333 667 1243 766 1267 solution
11 0 0.9958763122558594 771 1252 785 1269 -
11 0 0.9996943473815918 781 1243 808 1271 a
11 0 0.9977027773857117 805 1241 874 1276 great
11 0 0.999806821346283 874 1241 952 1267 virtue
11 0 0.9999333620071411 949 1237 984 1274 in
11 0 0.9686981439590454 984 1241 1115 1274 large-scale
11 0 0.9937771558761597 1115 1241 1235 1267 industrial
11 0 0.9823137521743774 1236 1241 1336 1274 applica-
11 1 0.9994502663612366 371 1278 436 1304 tions
11 1 0.997734785079956 439 1280 456 1301 -
11 1 0.9995033740997314 454 1278 514 1310 may
11 1 0.9753887057304382 512 1274 579 1306 belie
11 1 0.9999642372131348 579 1276 624 1304 the
11 1 0.9970075488090515 625 1276 718 1308 slightly
11 1 0.9998329877853394 720 1278 828 1304 tortuous
11 1 0.9996582269668579 830 1276 926 1308 journey
11 1 0.9978145360946655 929 1276 1022 1308 leading
11 1 0.999941349029541 1022 1276 1055 1304 to
11 1 0.9997121691703796 1055 1276 1092 1304 its
11 1 0.9985793828964233 1094 1276 1218 1308 discovery;
11 1 0.9997603297233582 1216 1278 1241 1306 a
11 1 0.794597327709198 1240 1280 1336 1306 Journey
11 2 0.9897351264953613 373 1310 441 1336 laden
11 2 0.9999983310699463 444 1306 506 1338 with
11 2 0.999994158744812 508 1308 552 1336 the
11 2 0.9991070628166199 554 1310 649 1342 corpses
11 2 0.9853529334068298 650 1308 682 1336 of
11 2 0.9998225569725037 679 1310 705 1338 a
11 2 0.5021597743034363 705 1308 843 1338 wide-range
11 2 0.9847229719161987 841 1304 878 1340 of
11 2 0.8225468993186951 874 1308 999 1340 seemingly
11 2 0.9995604157447815 1002 1308 1067 1340 good
11 2 0.999565064907074 1069 1306 1137 1338 ideas
11 2 0.9957917928695679 1137 1306 1188 1338 like
11 2 0.8043156266212463 1188 1308 1339 1340 compressive
11 3 0.9988227486610413 371 1342 464 1375 sensing
11 3 0.9992517828941345 464 1340 517 1372 and
11 3 0.9995761513710022 517 1340 591 1372 other
11 3 0.9718776345252991 592 1342 677 1368 matrix
11 3 0.994355320930481 680 1340 836 1370 factorisation
11 3 0.9047211408615112 836 1338 891 1370 and
11 3 0.27352195978164673 891 1342 1195 1372 dhnssboally-nelucios
11 3 0.6404078602790833 1198 1342 1338 1372 techniques,
11 4 0.5456963777542114 371 1377 592 1407 nearest-netghbour
11 4 0.9890005588531494 599 1375 732 1405 algorithms
11 4 0.9239819049835205 735 1372 786 1405 like
11 4 0.6905470490455627 791 1377 911 1402 KD-trees,
11 4 0.9152888655662537 918 1372 1085 1402 ElasticSearch
11 4 0.9993482232093811 1090 1375 1150 1400 with
11 4 0.6175804138183594 1155 1377 1246 1400 custom
11 4 0.9794577360153198 1250 1379 1336 1402 rescor-
11 5 0.9996225833892822 370 1405 418 1441 ing
11 5 0.9407385587692261 416 1407 531 1439 functions
11 5 0.9199860095977783 536 1405 576 1441 [8],
11 5 0.9249029755592346 576 1407 717 1439 rules-based
11 5 0.9984482526779175 720 1411 798 1437 expert
11 5 0.8868734836578369 803 1411 908 1437 systems,
11 5 0.9979840517044067 909 1405 962 1439 and
11 5 0.6563135385513306 964 1411 1153 1435 implementation
11 5 0.9992358684539795 1157 1407 1281 1439 languages
11 5 0.9920221567153931 1281 1405 1339 1437 that
11 6 0.9997574687004089 370 1443 444 1475 range
11 6 0.9827635288238525 446 1439 512 1471 from
11 6 0.8749833703041077 516 1441 624 1467 low-level
11 6 0.9990424513816833 629 1437 665 1473 C,
11 6 0.9999674558639526 667 1441 700 1469 to
11 6 0.9980334639549255 702 1437 738 1475 R,
