block line confidence X1 Y1 X2 Y2 token
0 0 0.6082523465156555 250 267 371 294 Moreover,
0 0 0.9964648485183716 381 264 418 294 let
0 0 0.609820544719696 426 262 531 303 Gep(Cos
0 0 0.8113194108009338 523 269 583 296 a,p,
0 0 0.26512977480888367 576 267 662 301 CgsCgs
0 0 0.5484329462051392 659 262 697 299 C)
0 0 0.9996108412742615 702 260 743 296 be
0 0 0.9993632435798645 744 262 794 296 the
0 0 0.9995310306549072 797 264 859 292 class
0 0 0.9929775595664978 864 262 896 294 of
0 0 0.9596565961837769 901 267 1015 292 functions
0 0 0.6226478815078735 1020 269 1045 299 9
0 0 0.9994829893112183 1046 262 1111 296 such
0 0 0.9999418258666992 1112 262 1174 296 that
0 0 0.9987722039222717 1179 262 1209 294 X
0 0 0.9989111423492432 1214 264 1242 294 is
0 0 0.9998793601989746 1246 271 1269 294 a
0 0 0.9918646216392517 1274 264 1403 296 compound
1 0 0.9552830457687378 251 299 345 326 Poisson
1 0 0.9984933137893677 348 299 450 333 process,
1 0 0.5439484715461731 450 292 499 338 Ct
1 0 0.5134057402610779 502 294 566 331 <C,
2 0 0.9729991555213928 248 488 298 516 and
3 0 0.998115062713623 248 671 305 705 The
3 0 0.9443949460983276 311 678 421 705 tollowing
3 0 0.9699903130531311 429 676 502 703 result
3 0 0.9999905824661255 510 676 584 703 which
3 0 0.9696369171142578 591 676 705 703 describes
3 0 0.9132977724075317 712 673 759 705 the
3 0 0.9996860027313232 762 678 827 703 rates
3 0 0.9999115467071533 831 673 867 708 of
3 0 0.9912919402122498 868 680 1015 705 convergence
3 0 0.9998877048492432 1024 676 1083 703 with
3 0 0.9997574687004089 1088 676 1180 710 respect
3 0 0.9999599456787109 1187 676 1221 703 to
3 0 0.999996542930603 1224 676 1269 703 the
3 0 0.9984514713287354 1276 673 1403 708 prescribed
3 1 0.9949866533279419 250 710 392 735 smoothness
3 1 0.9884243011474609 398 710 481 735 classes
3 1 0.9969285130500793 484 705 620 737 introduced
3 1 0.9996827840805054 623 708 697 735 above
3 1 0.9979451298713684 699 705 728 740 is
3 1 0.9989545345306396 726 710 752 740 a
3 1 0.9998965263366699 754 708 827 735 direct
3 1 0.7535759806632996 830 710 985 742 consequence
3 1 0.9997465014457703 985 708 1017 737 of
3 1 0.9090152382850647 1020 708 1130 735 Theorem
3 1 0.983163058757782 1133 705 1185 740 3.1.
3 2 0.9989907145500183 250 742 416 774 Proposition
3 2 0.9996788501739502 431 742 482 769 3.2.
3 2 0.9999668598175049 499 742 542 769 Let
3 2 0.9977957010269165 550 740 578 769 K
3 2 0.9992749094963074 589 740 621 769 be
3 2 0.999925971031189 629 740 673 769 the
3 2 0.8488492369651794 681 740 825 772 sinc-kernel.
3 2 0.9282182455062866 839 742 896 769 This
3 2 0.9835976958274841 906 740 935 772 is
3 2 0.9469983577728271 946 744 1067 772 equivalent
3 2 0.9994789958000183 1078 740 1109 769 to
3 2 0.8988809585571289 1119 744 1204 772 stating
3 2 0.9999234676361084 1216 742 1267 769 that
3 2 0.8284716010093689 1276 740 1363 774 FK(u)
3 3 0.7406249046325684 271 826 318 865 (3)
3 3 0.9999125003814697 319 829 366 861 Let
3 3 0.9864628911018372 366 829 398 858 h*
3 3 0.9997677206993103 405 829 437 858 be
3 3 0.4657845199108124 442 833 555 861 emplicitly
3 3 0.5904857516288757 562 829 657 863 defined,
3 3 0.997664213180542 662 833 697 861 as
3 3 0.9999144077301025 699 829 743 858 the
3 3 0.7938628196716309 744 831 846 858 solution
3 3 0.9960849285125732 847 826 881 865 of
3 3 0.9998950958251953 881 831 925 858 the
3 3 0.5894850492477417 927 829 1093 861 minimization
3 3 0.4204070568084717 1098 833 1201 861 equation
4 0 0.3343849778175354 247 772 376 813 11-1,11(u).
5 0 0.9910935759544373 323 1064 387 1091 Then
6 0 0.7710338830947876 282 1288 303 1308 2
6 0 0.9999790191650391 321 1285 365 1313 Let
6 0 0.9524305462837219 366 1283 398 1313 h*
6 0 0.9995648264884949 407 1283 437 1315 be
6 0 0.9999881982803345 440 1285 484 1313 the
6 0 0.9743337035179138 487 1285 586 1313 solution
6 0 0.999531626701355 591 1285 620 1317 of
7 0 0.21403269469738007 416 1354 726 1404 CA,-a7.0wrp3te-9
7 0 0.8649290800094604 752 1368 780 1397 1.
8 0 0.9960535764694214 323 1457 387 1484 Then
9 0 0.75888592004776 258 1676 313 1713 (ii)
9 0 0.9996199607849121 319 1678 365 1706 Let
9 0 0.9605973958969116 363 1674 402 1710 h*
9 0 0.9994981288909912 407 1676 437 1708 be
9 0 0.9998816251754761 440 1678 482 1708 the
9 0 0.5802851319313049 486 1681 586 1706 solution
9 0 0.9776370525360107 589 1676 623 1715 of
10 0 0.42886897921562195 389 1754 502 1788 "€2Cg(1/1)"""
10 0 0.9975566864013672 499 1754 523 1793 h
10 0 0.8133991360664368 516 1751 563 1788 -2a
10 0 0.7204267978668213 570 1763 594 1795 -
10 0 0.2925770878791809 591 1749 731 1806 CACA.
11 0 0.8545949459075928 381 1875 479 1902 Assume
11 0 0.9696463942527771 484 1873 537 1907 that
11 0 0.9878118634223938 537 1877 562 1909 P
11 0 0.9237684011459351 560 1875 587 1907 >
11 0 0.9989327788352966 589 1873 613 1905 0
11 0 0.9975462555885315 613 1870 683 1905 holds
11 0 0.9949944019317627 686 1875 722 1905 an
11 0 0.9974395036697388 717 1873 739 1905 1
11 0 0.704807698726654 736 1875 760 1905 a
11 0 0.9775114059448242 760 1875 789 1902 =
11 0 0.9950618147850037 789 1868 823 1909 (1
11 0 0.4875793159008026 820 1877 852 1905 -
11 0 0.8857294321060181 846 1873 907 1907 P)/2
11 0 0.4003704786300659 922 1870 990 1905 The
