block line confidence X1 Y1 X2 Y2 token
0 0 0.9997188448905945 214 205 298 232 Where
0 0 0.9988232254981995 303 201 332 235 A
0 0 0.9993662238121033 331 203 358 235 is
0 0 0.9952183365821838 360 203 407 235 the
0 0 0.9670421481132507 408 205 500 232 median
0 0 0.9216768741607666 503 203 536 232 of
0 0 0.9952183365821838 536 203 583 235 the
0 0 0.9979516863822937 584 205 694 232 available
0 0 0.9395619034767151 696 205 793 239 images.
1 0 0.982624888420105 211 246 271 280 The
1 0 0.5160065293312073 271 248 416 280 subtraction
1 0 0.9898518323898315 419 248 452 280 of
1 0 0.9998805522918701 455 248 502 280 the
1 0 0.9910534024238586 505 251 570 278 main
1 0 0.5034321546554565 575 248 681 283 dazzling
1 0 0.9944756627082825 684 248 765 283 object
1 0 0.9999291896820068 770 251 804 280 to
1 0 0.8507909178733826 807 251 902 278 observe
1 0 0.9999650716781616 907 248 954 280 the
1 0 0.9997476935386658 956 246 1020 280 faint
1 0 0.9939725995063782 1022 251 1161 283 companion
1 0 0.9436514973640442 1166 253 1217 280 was
1 0 0.9916883111000061 1221 248 1314 283 already
1 0 0.990903913974762 1321 248 1437 283 improved
1 0 0.9998369216918945 1442 248 1481 285 by
1 0 0.9952736496925354 1484 248 1531 280 the
1 1 0.9997096657752991 171 280 248 315 LOCI
1 1 0.35703641176223755 250 278 495 319 algorithml-ldividing
1 1 0.999326229095459 495 283 584 317 images
1 1 0.9999269247055054 586 283 617 315 in
1 1 0.9962509274482727 618 285 760 310 subsections
1 1 0.9796095490455627 762 280 815 315 and
1 1 0.9973796606063843 817 283 944 317 obtaining,
1 1 0.9992695450782776 949 283 988 312 for
1 1 0.999588668346405 988 280 1053 315 each
1 1 0.9929694533348083 1053 283 1192 315 subsection,
1 1 0.9994619488716125 1193 285 1217 315 a
1 1 0.9815542697906494 1217 285 1292 312 linear
1 1 0.9914131164550781 1295 285 1448 310 combination
1 1 0.9995753169059753 1450 283 1484 312 of
1 1 0.856434166431427 1484 283 1531 315 the
