block line confidence X1 Y1 X2 Y2 token
0 0 0.8780154585838318 592 266 793 290 APPROXIMATING
0 0 0.9999712705612183 796 266 851 290 THE
0 0 0.862751841545105 853 266 969 290 AFFINITY
0 0 0.519504189491272 972 266 1107 290 DIMENSION
1 0 0.9964943528175354 1321 264 1353 292 67
2 0 0.5410983562469482 398 333 521 358 JENKINSON,
2 0 0.9256940484046936 524 330 562 358 O.,
2 0 0.9818083643913269 566 333 614 356 AND
2 0 0.9949870109558105 617 333 742 358 POLLICOTT,
2 0 0.9950803518295288 745 330 781 358 M.
2 0 0.9900319576263428 785 333 903 358 Computing
2 0 0.9965842962265015 904 330 947 356 the
2 0 0.9523581862449646 947 333 1055 356 dimension
2 0 0.9802230596542358 1057 328 1087 358 of
2 0 0.7360058426856995 1087 333 1216 360 dynamically
2 0 0.9982628226280212 1218 330 1298 356 defined
2 0 0.9818788170814514 1299 333 1353 356 sets:
2 1 0.959411084651947 400 358 431 386 E2
2 1 0.999904990196228 434 358 479 384 and
2 1 0.9978378415107727 483 358 577 382 bounded
2 1 0.9862601161003113 579 358 683 382 continued
2 1 0.9790565967559814 688 358 788 382 fractions.
2 1 0.9936190247535706 795 360 876 386 Ergodic
2 1 0.998258650302887 883 360 959 386 Theory
2 1 0.9217235445976257 964 360 1047 386 Dynam.
2 1 0.8174958825111389 1055 360 1142 386 Systems
2 1 0.999840497970581 1145 358 1182 386 21,
2 1 0.9999696016311646 1185 358 1203 384 5
2 1 0.9992737174034119 1206 360 1283 386 (2001),
2 1 0.5108276605606079 1288 358 1349 384 1429-
2 2 0.7383070588111877 351 414 390 442 33]
2 2 0.7728304862976074 398 414 517 440 JENKINSON,
2 2 0.7132632732391357 527 414 569 442 O.,
2 2 0.9962888956069946 574 416 622 440 AND
2 2 0.9942216277122498 627 414 753 440 POLLICOTT,
2 2 0.5635043978691101 760 412 796 440 M:
2 2 0.9784172177314758 803 416 924 442 Calculating
2 2 0.9977557063102722 931 414 1035 438 Hausdorff
2 2 0.9738691449165344 1040 414 1162 438 dimensions
2 2 0.9987401366233826 1163 412 1195 440 of
2 2 0.9996317625045776 1196 414 1253 440 Julia
2 2 0.9981927275657654 1255 416 1304 440 sets
2 2 0.9930816292762756 1306 414 1353 440 and
2 3 0.7674430012702942 350 466 391 500 [34]
2 3 0.5975486636161804 398 470 521 496 JENKINSON,
2 3 0.6346082091331482 524 470 564 498 0.,
2 3 0.9758564233779907 567 470 617 496 AND
2 3 0.9744688868522644 620 470 745 496 POLLICOTT,
2 3 0.9934815168380737 750 468 786 496 M.
2 3 0.999688982963562 790 470 928 494 Orthonormal
2 3 0.9969292283058167 933 472 1047 496 expansions
2 3 0.9923140406608582 1049 468 1080 496 of
2 3 0.9987621307373047 1079 470 1177 494 invariant
2 3 0.9661003947257996 1178 470 1275 494 densities
2 3 0.998365581035614 1276 468 1313 494 for
2 3 0.9162189960479736 1313 474 1351 494 ex-
2 4 0.9968364238739014 350 522 391 556 [35]
2 4 0.5678178668022156 398 526 519 552 JENKINSON,
2 4 0.9279797077178955 524 524 564 552 O.,
2 4 0.942326009273529 567 526 615 550 AND
2 4 0.7487012147903442 619 526 743 552 POLLICOTT,
2 4 0.9343613982200623 747 524 785 550 M.
2 4 0.9981557726860046 783 522 811 552 A
2 4 0.5497614145278931 813 526 923 550 dynamical
2 4 0.9999303817749023 928 526 1025 552 approach
2 4 0.9916298985481262 1027 524 1060 550 to
2 4 0.7184891700744629 1060 526 1187 552 accelerating
2 4 0.6708927154541016 1190 526 1296 550 numerical
2 4 0.5290679335594177 1298 524 1351 550 inte-
2 5 0.998711347579956 398 554 476 580 gration
2 5 0.9991536140441895 478 552 532 577 with
2 5 0.6491310596466064 531 552 693 582 equidistributed
2 5 0.9990861415863037 695 554 770 580 points.
2 5 0.991795003414154 775 552 811 577 Tr.
2 5 0.9652188420295715 815 552 869 577 Mat.
2 5 0.97690349817276 873 552 926 577 Inst.
2 5 0.7342902421951294 929 552 1020 577 Steklova
2 5 0.9860658645629883 1020 550 1072 582 256,
2 5 0.9822481870651245 1072 552 1123 577 Din.
2 5 0.9966214895248413 1125 552 1177 577 Sist.
2 5 0.9999183416366577 1177 552 1195 575 i
2 5 0.9967591166496277 1193 554 1270 580 Optim.
2 5 0.9111258387565613 1275 550 1353 582 (2007),
2 6 0.9994458556175232 355 608 390 635 36]
2 6 0.852161705493927 398 608 521 633 JENKINSON,
2 6 0.8778938055038452 524 608 564 633 O.,
2 6 0.9862012267112732 567 608 615 633 AND
2 6 0.9805030822753906 617 608 742 633 POLLICOTT,
2 6 0.9964324235916138 747 605 783 633 M.
2 6 0.9994186162948608 786 610 881 633 Rigorous
2 6 0.9412685632705688 884 608 974 631 effective
2 6 0.9988767504692078 976 608 1055 631 bounds
2 6 0.9999443292617798 1059 612 1090 631 on
2 6 0.9999527931213379 1094 610 1132 629 the
2 6 0.8485133051872253 1133 608 1241 631 Hausdorff
2 6 0.9926756024360657 1243 608 1351 631 dimension
2 7 0.9997081160545349 396 633 426 661 of
2 7 0.9882100820541382 426 635 531 659 continued
2 7 0.9980050921440125 534 635 620 659 fraction
2 7 0.9999194145202637 624 635 702 659 Cantor
2 7 0.9900896549224854 703 638 757 661 sets:
2 7 0.9968474507331848 762 640 783 661 a
2 7 0.9297143220901489 785 635 874 659 hundred
2 7 0.8489565253257751 878 635 962 659 decimal
2 7 0.9969203472137451 964 633 1030 666 digits
2 7 0.999045193195343 1032 633 1069 661 for
2 7 0.9997559189796448 1070 633 1110 661 the
2 7 0.9902409315109253 1112 635 1221 659 dimension
2 7 0.9973316192626953 1223 633 1255 661 of
2 7 0.9550564289093018 1255 635 1294 663 E2.
2 7 0.9491176009178162 1299 635 1351 659 Adv.
2 8 0.9985398054122925 356 693 385 713 37
2 8 0.5812721848487854 398 691 521 717 JENKINSON,
2 8 0.8280277252197266 522 691 562 719 O.,
2 8 0.7350625395774841 566 691 688 717 POLLICOTT,
2 8 0.9917049407958984 692 689 733 717 M.,
2 8 0.9820797443389893 737 691 785 717 AND
2 8 0.5371456742286682 786 691 894 717 VYTNOVA,
2 8 0.9333752989768982 898 689 931 717 P.
2 8 0.99981290102005 931 691 1025 717 Rigorous
2 8 0.8827436566352844 1025 689 1163 719 computation
2 8 0.9988862872123718 1162 687 1191 717 of
2 8 0.9699150323867798 1190 689 1283 715 diffusion
2 8 0.9894000887870789 1284 689 1351 715 coeffi-
2 9 0.9985284805297852 365 747 385 771 8
2 9 0.9717513918876648 398 745 519 771 KAENMAKI,
2 9 0.9615793824195862 522 747 559 775 A.,
2 9 0.9957096576690674 561 747 607 773 AND
2 9 0.9995263814926147 607 747 698 773 MORRIS,
2 9 0.9181986451148987 698 745 725 773 I.
2 9 0.9142003059387207 722 745 755 773 D.
2 9 0.9668700695037842 755 747 858 771 Structure
2 9 0.9993147850036621 856 745 884 773 of
2 9 0.9758114218711853 883 747 1004 773 equilibrium
2 9 0.9996784925460815 1006 747 1070 771 states
2 9 0.9994736313819885 1069 747 1102 773 on
2 9 0.8826476335525513 1102 745 1203 771 self-affine
2 9 0.9927969574928284 1203 745 1250 771 sets
2 9 0.9939790964126587 1246 745 1294 775 and
2 9 0.9988293051719666 1289 745 1351 771 strict
2 10 0.9681613445281982 396 773 539 803 monotonicity
2 10 0.9997947812080383 537 771 569 801 of
2 10 0.9998286962509155 566 771 645 803 affinity
2 10 0.9886605739593506 647 773 762 799 dimension.
2 10 0.9979315996170044 765 773 823 799 Proc.
2 10 0.9914754629135132 828 773 891 799 Lond.
2 10 0.9946322441101074 894 773 961 799 Math.
2 10 0.9991433620452881 964 773 1011 799 Soc.
2 10 0.7190110087394714 1016 773 1054 801 (8)
2 10 0.9932803511619568 1052 771 1105 803 116,
2 10 0.9999774694442749 1102 771 1125 801 4
2 10 0.9986470341682434 1123 771 1203 803 (2018),
2 10 0.7563186883926392 1203 773 1299 799 926-956.
2 11 0.9990270137786865 355 801 388 827 39]
2 11 0.931613564491272 400 801 517 827 KAENMAKI,
2 11 0.9950710535049438 519 801 557 829 A.,
2 11 0.9963108897209167 559 803 605 827 AND
2 11 0.9943357110023499 605 801 722 827 SHMERKIN,
2 11 0.8170896172523499 722 799 753 829 P.
2 11 0.9657747149467468 752 801 884 831 Overlapping
2 11 0.8239257335662842 883 803 984 827 self-affine
2 11 0.9985252022743225 982 801 1029 827 sets
2 11 0.9997356534004211 1025 801 1055 827 of
2 11 0.9943047165870667 1050 803 1133 829 Kakeya
2 11 0.9778611063957214 1133 803 1190 829 type.
2 11 0.9843752980232239 1191 803 1273 829 Ergodic
2 11 0.9648558497428894 1275 799 1354 831 Theory
2 12 0.9947785139083862 353 859 376 880 40
2 12 0.9706854224205017 398 857 486 883 KAGISO,
2 12 0.8629196286201477 489 852 532 887 D.,
2 12 0.9995835423469543 534 857 582 883 AND
2 12 0.9938178658485413 584 857 708 880 POLLICOTT,
2 12 0.9943825006484985 713 855 750 883 M.
2 12 0.9553127288818359 752 859 873 883 Computing
2 12 0.9982483386993408 876 857 1001 880 multifractal
2 12 0.9956615567207336 1006 859 1090 885 spectra.
2 12 0.5402038097381592 1095 855 1152 887 Dyn.
2 12 0.9261274933815002 1153 855 1210 887 Syst.
