block line confidence X1 Y1 X2 Y2 token
0 0 0.8631155490875244 157 221 403 281 Effective
0 0 0.9961135387420654 420 236 591 290 sparse
0 0 0.9497998952865601 599 219 994 294 representation
0 0 0.9931350946426392 1006 219 1077 283 of
0 0 0.8607335686683655 1084 221 1271 292 X-Ray
0 0 0.953397810459137 1284 219 1502 279 medical
1 0 0.9340671896934509 730 309 926 371 images
1 1 0.9995951056480408 697 388 776 421 Laura
1 1 0.9798303842544556 780 388 961 421 Rebollo-Neira
1 2 0.684609591960907 670 425 835 457 Mathematics
1 2 0.8022787570953369 838 425 989 464 Department
1 3 0.9982366561889648 722 466 800 491 Aston
1 3 0.9971965551376343 805 461 937 500 University
1 4 0.9998939037322998 662 498 707 532 B4
1 4 0.9999228715896606 708 500 770 532 7ET
1 4 0.9122504591941833 773 500 941 539 Birmingham,
1 4 0.9997019171714783 944 500 996 532 UK
2 0 0.8220811486244202 184 646 300 672 Abstract-
2 0 0.9778214693069458 318 646 416 670 Effective
2 0 0.9995772242546082 429 646 509 678 sparse
2 0 0.9952921867370605 521 646 682 676 representation
2 0 0.9994518160820007 695 644 728 672 of
2 0 0.9991987347602844 740 644 816 676 X-Ray
2 0 0.9973351359367371 843 642 916 676 signal
2 0 0.7148208618164062 921 642 1079 672 informational
2 0 0.9988963603973389 1085 646 1173 670 content
2 0 0.9993841648101807 1180 644 1291 670 decreases
2 0 0.9928469061851501 1296 642 1324 672 if
2 0 0.999982476234436 1328 644 1369 672 the
2 0 0.9993894100189209 1376 644 1467 676 sparsity
2 0 0.9977927207946777 1470 642 1504 672 of
2 1 0.9990731477737427 157 672 245 698 medical
2 1 0.9981714487075806 255 672 338 704 images
2 1 0.9998331069946289 346 672 420 698 within
2 1 0.8748688101768494 429 672 471 700 the
2 1 0.999591052532196 479 672 566 698 context
2 1 0.9902886152267456 572 672 605 700 of
2 1 0.9983793497085571 609 670 665 702 data
2 1 0.9985491633415222 675 672 783 698 reduction
2 1 0.9996479749679565 790 672 816 700 is
2 1 0.9999762773513794 841 674 884 708 the
2 1 0.9931938648223877 886 678 1049 711 representation
2 1 0.9485304355621338 1055 681 1160 706 improves
2 1 0.6467336416244507 1167 676 1256 708 [3]-[5].
2 2 0.9980999827384949 157 702 283 726 considered.
2 2 0.9991716146469116 290 698 341 730 The
2 2 0.9980998635292053 346 700 451 732 proposed
2 2 0.794654130935669 459 702 582 728 framework
2 2 0.9998581409454346 589 698 617 728 is
2 2 0.9999639987945557 622 700 695 726 shown
2 2 0.9997616410255432 702 700 733 728 to
2 2 0.9985933899879456 738 702 816 726 render
2 2 0.9989750385284424 869 711 929 743 This
2 2 0.9951124787330627 934 711 1118 741 Communication
2 2 0.9987710118293762 1125 713 1223 745 presents
2 2 0.9999316930770874 1226 715 1251 743 a
2 2 0.9783082604408264 1256 713 1382 739 framework
2 3 0.9962765574455261 159 758 254 784 required
2 3 0.9998875856399536 262 756 292 784 to
2 3 0.9934852719306946 300 756 408 788 represent
2 3 0.999788224697113 415 756 463 782 this
2 3 0.9971436858177185 469 756 527 782 class
2 3 0.998262345790863 534 754 566 784 of
2 3 0.999372661113739 572 758 650 784 images
2 3 0.9971906542778015 659 756 690 784 at
2 3 0.9997389912605286 695 756 752 788 very
2 3 0.9995642304420471 757 756 816 788 good
2 3 0.9999188184738159 841 741 901 782 high
2 3 0.9864301681518555 909 743 1002 782 sparsity
2 3 0.9999920129776001 1011 743 1042 773 in
2 3 0.9999960660934448 1050 745 1092 773 the
2 3 0.9948351383209229 1102 745 1265 777 representation
2 3 0.9555487632751465 1276 743 1308 773 of
2 3 0.9889862537384033 1316 745 1397 777 X-Ray
2 3 0.9996722936630249 1409 745 1500 771 medical
2 4 0.5133953094482422 157 784 242 816 quality.
2 4 0.9997126460075378 247 784 295 809 The
2 4 0.9614734649658203 298 784 439 814 particularity
2 4 0.993503749370575 443 782 474 812 of
2 4 0.9986470341682434 476 784 516 812 the
2 4 0.999954104423523 521 786 625 812 approach
2 4 0.9998875856399536 629 782 655 812 is
2 4 0.5107351541519165 657 784 708 809 that
2 4 0.999995231628418 708 782 735 812 it
2 4 0.9989578723907471 735 784 781 809 can
2 4 0.9999115467071533 783 784 816 812 be
2 4 0.9882550239562988 843 779 934 812 images.
2 4 0.9999600648880005 936 777 996 809 This
2 4 0.9997333884239197 994 777 1024 807 is
2 4 0.9957291483879089 1025 779 1127 805 achieved
2 4 0.9955119490623474 1130 777 1173 814 by:
2 5 0.6985639929771423 157 812 302 842 implemented
2 5 0.9976522326469421 305 812 337 840 at
2 5 0.9996867179870605 340 812 395 844 very
2 5 0.8630644083023071 400 812 529 844 competitive
2 5 0.9996347427368164 536 812 655 844 processing
2 5 0.998969554901123 660 812 715 837 time
2 5 0.999500036239624 718 812 766 837 and
2 5 0.5419556498527527 771 812 816 837 low
2 5 0.960703432559967 850 812 891 846 (a)
2 5 0.9962331652641296 899 814 1001 846 Creating
2 5 0.9999935626983643 1007 818 1027 842 a
2 5 0.9998002648353577 1034 814 1095 848 large
2 5 0.9998999834060669 1104 814 1220 840 redundant
2 5 0.8924553394317627 1230 814 1361 846 'dictionary'
2 5 0.9703328609466553 1371 812 1404 842 of
2 5 0.8915963172912598 1409 814 1502 840 suitable
3 0 0.9993471503257751 156 732 192 758 an
3 0 0.9207523465156555 195 730 308 756 enormous
3 0 0.9929404258728027 315 730 423 754 reduction
3 1 0.9812924265861511 156 840 252 872 memory
3 1 0.8136204481124878 255 837 408 870 requirements.
4 0 0.9998831748962402 428 728 458 756 in
4 0 0.9999504089355469 463 728 504 756 the
4 0 0.9900564551353455 511 730 630 756 cardinality
4 0 0.9924374222755432 639 728 670 756 of
4 0 0.999398946762085 674 728 715 756 the
4 0 0.9998328685760498 720 730 775 756 data
4 0 0.9200058579444885 778 728 816 756 set
5 0 0.9593733549118042 1387 708 1504 747 rendering
6 0 0.9772087335586548 899 848 1002 874 elements
6 0 0.9998258948326111 1006 846 1045 874 for
6 0 0.999816358089447 1049 846 1089 874 the
6 0 0.9870593547821045 1092 846 1167 880 image
6 0 0.9169179201126099 1170 848 1344 880 decomposition.
6 1 0.9656355381011963 848 878 891 913 (b)
6 1 0.9980819225311279 898 880 1009 913 Applying
6 1 0.9978482723236084 1014 880 1112 906 effective
6 1 0.9994046688079834 1117 880 1228 913 strategies
6 1 0.9999538660049438 1230 880 1271 908 for
6 1 0.984102725982666 1271 880 1376 913 selecting
6 1 0.9989739656448364 1379 880 1421 908 the
6 1 0.9946445226669312 1422 880 1500 913 partic-
6 2 0.9999346733093262 898 913 951 945 ular
