block line confidence X1 Y1 X2 Y2 token
0 0 0.9999496936798096 1542 75 1565 109 2
1 0 0.9961161613464355 877 148 986 182 collision,
1 0 0.994631290435791 990 146 1093 180 followed
1 0 0.7595553398132324 1093 146 1130 185 by
1 0 0.9859458804130554 1132 150 1251 178 formation
1 0 0.9987801909446716 1255 150 1285 180 of
1 0 0.9979783892631531 1282 150 1306 182 a
1 0 0.5385615229606628 1303 150 1431 185 composite
1 0 0.9688197374343872 1431 148 1528 182 system.
1 0 0.9941868782043457 1534 148 1565 178 In
1 1 0.9991452693939209 878 182 977 216 general,
1 1 0.8777588605880737 980 182 1027 214 the
1 1 0.9246505498886108 1025 182 1153 216 composite
1 1 0.826083779335022 1154 182 1243 216 system
1 1 0.8598729968070984 1246 180 1372 214 undergoes
1 1 0.9996644258499146 1376 182 1450 210 fusion
1 1 0.9814841747283936 1453 180 1515 216 only
1 1 0.9994704127311707 1513 182 1544 214 in
1 1 0.9999839067459106 1545 187 1563 212 a
1 2 0.7040607333183289 785 214 835 260 (1)
1 2 0.9986942410469055 877 210 978 244 fraction
1 2 0.9869725108146667 982 210 1004 246 f
1 2 0.9758467674255371 1007 212 1040 244 of
1 2 0.9990684390068054 1040 210 1088 246 the
1 2 0.9780885577201843 1087 210 1190 251 capture
1 2 0.8685979247093201 1192 214 1279 242 events.
1 2 0.99965500831604 1288 210 1339 244 For
1 2 0.9986476302146912 1339 207 1405 251 light
1 2 0.9844421744346619 1405 210 1460 244 and
1 2 0.9568655490875244 1461 210 1565 244 medium
1 3 0.8070390224456787 875 242 986 283 systems,
1 3 0.6748875379562378 988 244 1012 280 f
1 3 0.49909278750419617 1014 246 1045 276 a
1 3 0.9995546936988831 1045 244 1072 278 1,
1 3 0.964726984500885 1074 242 1130 276 and
1 3 0.9998903274536133 1132 244 1216 271 almost
1 3 0.9990326166152954 1221 244 1258 274 all
1 3 0.999940037727356 1261 244 1308 276 the
1 3 0.993939995765686 1309 244 1418 278 'capture'
1 3 0.8516169786453247 1423 242 1507 276 events
1 3 0.9999454021453857 1508 242 1566 276 lead
1 4 0.9971960783004761 878 276 914 310 to
1 4 0.9786475896835327 910 274 991 308 fusion
1 4 0.9967135190963745 991 271 1106 312 resulting
1 4 0.9993811845779419 1108 274 1185 308 fusion
1 4 0.8433157801628113 1187 280 1255 306 cross
1 4 0.9816113114356995 1255 278 1356 306 sections
1 4 0.9998200535774231 1360 278 1392 306 to
1 4 0.9992875456809998 1393 276 1429 306 be
1 4 0.859744131565094 1431 274 1565 315 practically
1 5 0.994049072265625 878 372 988 406 'capture'
1 5 0.9997851252555847 991 374 1070 402 events
1 5 0.6179779171943665 1074 372 1201 406 ultimately
1 5 0.9994277358055115 1201 370 1259 404 lead
1 5 0.999833345413208 1259 372 1292 402 to
1 5 0.9995586276054382 1292 370 1369 404 fusion
1 5 0.9996787309646606 1371 370 1442 404 while
1 5 0.9995009899139404 1440 372 1481 402 for
1 5 0.9997996687889099 1481 372 1528 404 the
1 5 0.776037871837616 1526 374 1563 402 re-
1 6 0.9998779296875 877 404 982 438 maining
1 6 0.9950730204582214 982 404 1041 438 part
1 6 0.9997013211250305 1040 404 1075 438 of
1 6 0.9999637603759766 1074 404 1117 433 the
1 6 0.9988564252853394 1120 406 1206 433 events,
1 6 0.9998891353607178 1211 404 1258 436 the
1 6 0.9347086548805237 1256 404 1345 438 system
1 6 0.9962158799171448 1347 404 1498 438 re-separates
1 6 0.9971892237663269 1498 404 1565 438 prior
1 7 0.9996821880340576 877 436 912 470 to
1 7 0.9599847793579102 910 431 1072 472 equilibration
1 7 0.9984702467918396 1070 433 1125 468 and
1 7 0.9993917942047119 1125 436 1188 463 clear
