block line confidence X1 Y1 X2 Y2 token
0 0 0.9982975125312805 292 253 391 292 Finally,
0 0 0.9998507499694824 393 253 443 287 the
0 0 0.9985389709472656 443 251 532 290 model
0 0 0.9909342527389526 534 257 642 290 requires
0 0 0.7808981537818909 645 259 720 285 some
0 0 0.9591231346130371 722 253 791 287 form
0 0 0.9999121427536011 793 255 826 285 of
0 0 0.9991167187690735 874 253 986 285 calibrate
0 0 0.9999921321868896 987 253 1034 287 the
0 0 0.9964052438735962 1032 253 1118 285 model
0 0 0.9988090991973877 1120 257 1157 285 to.
1 0 0.9987295269966125 252 290 410 322 initialization
1 0 0.9999948740005493 411 292 443 322 to
1 0 0.9982203841209412 439 290 549 328 produce
1 0 0.9650741815567017 547 294 566 320 a
1 0 0.9990270137786865 567 290 649 322 viable
1 0 0.9956794381141663 649 290 720 322 order
1 0 0.7240785956382751 720 287 788 322 book
1 0 0.9197011590003967 786 292 828 320 be-
2 0 0.9810989499092102 914 290 972 324 The
2 0 0.9839683771133423 984 292 1128 324 transaction
2 0 0.9998689889907837 1143 292 1240 324 dataset
2 0 0.9993823766708374 1251 292 1324 324 often
2 0 0.9991739392280579 1338 296 1449 328 presents
3 0 0.9995720982551575 252 324 308 356 fore
3 0 0.9982117414474487 308 328 385 354 actual
3 0 0.9910428524017334 388 324 484 363 trading
3 0 0.9914419054985046 483 326 534 360 can
3 0 0.9640436172485352 534 326 614 360 begin.
3 0 0.9969344139099121 617 324 677 356 This
3 0 0.9995869994163513 677 324 705 356 is
3 0 0.9999182224273682 705 324 773 356 done
3 0 0.9999524354934692 773 326 805 356 in
3 0 0.9999966621398926 805 330 825 354 a
3 0 0.9995909333229065 876 330 961 356 events
3 0 0.9619269371032715 961 326 1090 365 occurring
3 0 0.9985992312431335 1094 326 1191 358 outside
3 0 0.9950069189071655 1193 324 1230 360 of
3 0 0.9956152439117432 1230 326 1346 358 standard
3 0 0.9989135265350342 1349 324 1449 365 trading
3 1 0.9908533692359924 250 360 328 393 series
3 1 0.7966064214706421 328 360 360 391 of
3 1 0.9999412298202515 361 360 395 391 10
3 1 0.9999088048934937 395 363 471 388 initial
3 1 0.9988856911659241 473 363 559 388 Monte
3 1 0.9977495074272156 561 358 635 391 Carlo
3 1 0.9916213750839233 634 358 712 399 steps,
3 1 0.9999792575836182 710 356 745 395 in
3 1 0.6546006798744202 743 358 826 391 which
3 1 0.9524978995323181 873 360 962 399 hours,
3 1 0.9971145391464233 969 360 1027 395 9:00
3 1 0.9999661445617676 1034 365 1067 393 to
3 1 0.9947537183761597 1074 363 1150 397 17:00,
3 1 0.9992276430130005 1158 360 1210 393 but
3 1 0.9999754428863525 1215 367 1260 393 we
3 1 0.999834418296814 1266 365 1377 391 consider
3 1 0.9767295122146606 1387 363 1449 397 only
3 2 0.9702178239822388 250 393 366 433 liquidity
3 2 0.9970065951347351 366 395 498 433 providers
3 2 0.9998663663864136 496 393 571 433 place
3 2 0.9992121458053589 571 393 639 425 limit
3 2 0.9877294898033142 640 397 725 423 orders
3 2 0.9454315304756165 728 399 823 425 around
3 2 0.9988316893577576 874 401 962 433 quotes
3 2 0.9995474219322205 964 397 1030 429 with
3 2 0.9999743700027466 1029 401 1054 429 a
3 2 0.9940072298049927 1054 397 1195 436 timestamp
3 2 0.9935035109519958 1195 397 1324 436 occurring
3 2 0.9999892711639404 1324 397 1358 427 in
3 2 0.999906063079834 1358 395 1407 431 the
3 2 0.9992085099220276 1404 399 1454 433 pe-
3 3 0.9999042749404907 250 433 290 459 an
3 3 0.9976357221603394 290 429 371 461 initial
3 3 0.9998761415481567 371 431 449 466 price,
3 3 0.9983733892440796 451 436 484 466 Pa
3 3 0.31624558568000793 488 436 517 461 -
3 3 0.9970670342445374 521 436 554 466 Pb
3 3 0.7149807810783386 557 433 587 461 E
3 3 0.5458303689956665 589 431 630 466 Po,
3 3 0.9988850951194763 632 427 697 461 with
3 3 0.9990813732147217 697 431 738 459 no
3 3 0.5571630001068115 738 427 830 466 liquid-
3 3 0.9999203681945801 874 431 933 464 riod
3 3 0.9009172320365906 934 431 1001 464 from
3 3 0.9972652196884155 1001 431 1060 464 9:10
3 3 0.9999960660934448 1059 436 1090 461 to
3 3 0.9995903372764587 1092 431 1163 464 16:50
3 3 0.999148964881897 1162 438 1200 464 on
3 3 0.9997796416282654 1201 436 1256 470 any
3 3 0.9987280964851379 1255 431 1387 470 particular
3 3 0.9984806180000305 1386 431 1452 464 trad-
3 4 0.9977700710296631 250 464 293 502 ity
3 4 0.9990677237510681 292 464 363 496 taker
3 4 0.9825133085250854 363 464 464 502 activity
3 4 0.9893340468406677 463 464 571 502 present.
3 4 0.9999518394470215 571 464 634 496 This
3 4 0.9982921481132507 634 466 793 498 corresponds
3 4 0.9994981288909912 795 466 826 496 to
3 4 0.9997672438621521 874 468 923 504 ing
3 4 0.9878199100494385 924 464 984 504 day.
3 4 0.9999597072601318 994 466 1057 498 This
3 4 0.9997617602348328 1060 468 1089 498 is
3 4 0.9999722242355347 1089 470 1115 500 a
3 4 0.9997225403785706 1117 466 1195 498 result
3 4 0.9983793497085571 1200 468 1233 498 of
3 4 0.9980688691139221 1236 468 1281 496 the
3 4 0.9972508549690247 1286 466 1339 498 fact
3 4 0.9999645948410034 1343 466 1401 498 that
3 4 0.9982075691223145 1404 468 1447 496 the
3 5 0.9969896078109741 250 496 298 532 the
3 5 0.7797870635986328 297 498 429 537 placement
3 5 0.9997244477272034 428 498 463 534 of
3 5 0.9820539951324463 459 498 645 537 approximately
3 5 0.4878796637058258 647 498 758 537 [10ANAJ
3 5 0.9998470544815063 762 498 826 530 limit
3 5 0.9977672100067139 874 504 984 537 opening
3 5 0.9803096652030945 991 504 1085 530 auction
3 5 0.9776067733764648 1090 500 1221 539 occurring
3 5 0.9168081283569336 1223 500 1291 532 from
3 5 0.9990271329879761 1294 500 1354 532 8:30
3 5 0.9999568462371826 1354 502 1391 534 to
3 5 0.9999034404754639 1391 500 1449 532 9:00
3 6 0.97899329662323 249 567 293 612 C.
3 6 0.9918293356895447 318 575 463 614 Liquidity
3 6 0.9958349466323853 473 571 566 610 Taker
3 6 0.9968969821929932 572 571 674 618 Agent
3 6 0.8905742168426514 682 573 830 614 Specifica-
3 6 0.9997627139091492 874 569 931 603 first
3 6 0.9998007416725159 933 573 966 601 10
3 6 0.999136745929718 967 573 1070 599 minutes
3 6 0.8185545206069946 1074 571 1105 601 of
3 6 0.9996469020843506 1105 571 1250 601 continuous
3 6 0.9992315769195557 1251 571 1349 610 trading
3 6 0.9953042268753052 1349 571 1402 603 and
3 6 0.9994507431983948 1402 569 1450 603 the
4 0 0.9946850538253784 254 537 341 562 orders.
4 1 0.9997932314872742 254 616 318 648 tion
5 0 0.9999178647994995 874 534 949 567 tends
5 0 0.9999295473098755 954 539 986 567 to
5 0 0.9649502635002136 991 539 1100 571 produce
5 0 0.9642484784126282 1102 539 1236 569 erroneous
5 0 0.9999328851699829 1240 534 1303 567 data
5 0 0.9915440082550049 1304 534 1399 573 during
5 0 0.9978673458099365 1404 537 1449 565 the
5 1 0.5785346031188965 874 605 928 638 fact
5 1 0.6378542184829712 928 605 986 638 that
5 1 0.9997934699058533 986 605 1034 640 the
5 1 0.9997500777244568 1034 605 1123 644 period
5 1 0.9336904287338257 1125 605 1191 638 from
5 1 0.9996848106384277 1193 605 1266 638 16:50
5 1 0.9999905824661255 1266 608 1298 635 to
5 1 0.5693615674972534 1299 605 1371 638 17:00
5 1 0.9876482486724854 1371 608 1452 642 repre-
5 2 0.999994158744812 916 678 949 708 In
5 2 0.9993952512741089 951 676 991 711 all
5 2 0.9490621089935303 992 678 1133 708 calibration
