block line confidence X1 Y1 X2 Y2 token
0 0 0.9979557991027832 194 201 258 242 4.1
0 0 0.3806268274784088 297 199 341 247 Ti
0 0 0.9811474084854126 351 206 484 238 mirror
0 0 0.9596985578536987 493 208 600 247 maps
0 0 0.7183327674865723 612 204 705 236 from
0 0 0.9969512224197388 717 201 972 240 coassociative
0 0 0.5734678506851196 984 204 1172 236 fibrations
1 0 0.9999759197235107 245 270 300 305 Let
1 0 0.999052107334137 302 279 340 305 us
1 0 0.6302756071090698 343 272 425 307 begin
1 0 0.999882698059082 425 268 471 313 by
1 0 0.9984063506126404 471 270 612 309 analyzing
1 0 0.999804675579071 614 270 667 307 the
1 0 0.996893048286438 669 270 831 309 generalized
1 0 0.4163999557495117 833 270 871 309 Ta
1 0 0.9990434050559998 874 272 971 305 mirror
1 0 0.9874095320701599 974 277 1118 309 symmetry
1 0 0.9962950348854065 1122 277 1190 311 map
1 0 0.9999927282333374 1190 270 1228 307 in
1 0 0.9998252987861633 1230 270 1283 305 the
1 0 0.9940707087516785 1284 275 1392 300 context
1 0 0.6571474671363831 1394 268 1504 307 ofTCS
1 1 0.8602834343910217 195 311 244 356 G2
1 1 0.7594157457351685 245 315 395 348 manifolds.
1 1 0.9980782270431519 406 313 449 350 As
1 1 0.9481754899024963 451 315 504 350 the
1 1 0.9992119073867798 509 315 624 348 Kovalev
1 1 0.9026569724082947 629 313 752 354 CYSX
1 1 0.9687984585762024 755 315 843 348 admit
1 1 0.8750473260879517 850 320 954 345 mirrors
1 1 0.999442994594574 957 311 1002 358 by
1 1 0.7103990316390991 1004 320 1177 352 assumption,
1 1 0.9999523162841797 1182 311 1226 356 by
1 1 0.9999517202377319 1228 315 1281 350 the
1 1 0.9990118741989136 1281 315 1349 350 SYZ
1 1 0.5701218247413635 1354 320 1500 352 argument,
1 2 0.999977707862854 197 360 277 393 these
1 2 0.9999072551727295 283 360 355 393 have
1 2 0.9915915727615356 360 363 420 395 two
1 2 0.833003044128418 423 354 469 395 T3
1 2 0.9911941885948181 474 360 576 399 special
1 2 0.9993163347244263 584 360 737 399 lagrangian
1 2 0.9954317808151245 745 360 891 393 fibrations.
1 2 0.792136549949646 909 358 966 397 Let
1 2 0.9984278678894043 971 367 1009 393 us
1 2 0.9904712438583374 1016 360 1115 393 denote
1 2 0.9999523162841797 1123 360 1191 393 such
1 2 0.9986317753791809 1200 360 1339 393 fibrations
1 2 0.999980092048645 1344 356 1389 401 by
1 2 0.351148784160614 1394 356 1452 401 Lz.
1 2 0.9998846054077148 1465 358 1504 395 In
1 3 0.9998996257781982 197 403 252 438 the
1 3 0.8227625489234924 255 408 466 440 asymptotically
1 3 0.9832810759544373 473 403 625 442 cylindrical
1 3 0.9894022941589355 629 406 723 444 region
1 3 0.9778693318367004 727 403 765 440 of
1 3 0.9998888969421387 765 403 818 438 the
1 3 0.9989602565765381 821 406 951 438 manifold
1 3 0.3054714798927307 954 401 1011 444 X
1 3 0.7266351580619812 1014 408 1047 436 2
1 3 0.9920321702957153 1047 401 1100 438 R+
1 3 0.9973210692405701 1102 408 1130 438 X
1 3 0.4873128831386566 1133 401 1183 438 SI
1 3 0.9985673427581787 1182 406 1208 438 X
1 3 0.47713425755500793 1213 401 1268 444 S4,
1 3 0.9994693398475647 1273 403 1326 440 the
1 3 0.9998133778572083 1329 403 1397 438 SYZ
1 3 0.9894292950630188 1401 403 1504 442 special
1 4 0.9989057779312134 195 449 365 487 lagrangians
1 4 0.9571279287338257 371 455 446 481 must
1 4 0.7785577774047852 454 453 605 485 asymptote
1 4 0.9999575614929199 615 453 652 485 to
1 4 0.6272256970405579 657 444 705 489 Lt
1 4 0.7738673090934753 710 455 750 481 2
1 4 0.6502504348754883 752 444 798 485 S1
1 4 0.9956150054931641 800 451 828 483 X
1 4 0.328707218170166 833 444 891 489 At,
1 4 0.9994707703590393 899 449 987 481 where
1 4 0.8391387462615967 992 444 1045 489 At
1 4 0.999872088432312 1050 455 1100 481 are
1 4 0.9998421669006348 1107 446 1160 483 the
1 4 0.9999004602432251 1165 449 1235 481 SYZ
1 4 0.9370021224021912 1240 449 1341 487 special
1 4 0.9953781366348267 1349 449 1502 487 lagrangian
1 5 0.9961705803871155 195 487 242 528 T2
1 5 0.9982203841209412 245 494 385 524 fibrations
