block line confidence X1 Y1 X2 Y2 token
0 0 0.6672543883323669 281 363 347 397 The
0 0 0.9943338632583618 350 367 442 395 tensor
0 0 0.992790699005127 447 367 621 402 components
0 0 0.9803342223167419 625 363 663 402 of
0 0 0.2754107117652893 663 360 736 404 (x)
0 0 0.9968219995498657 743 370 793 397 are
0 0 0.9964432120323181 796 363 889 404 finally
0 0 0.9988858103752136 894 363 949 399 the
0 0 0.9633487462997437 951 365 1072 399 numeric
0 0 0.9948046803474426 1077 367 1221 402 quantities
0 0 0.9999672174453735 1225 363 1314 397 which
0 0 0.9985759258270264 1319 370 1369 397 are
0 1 0.9997593760490417 331 443 395 479 The
0 1 0.9535160660743713 398 445 484 479 frame
0 1 0.8782490491867065 486 440 516 484 f
0 1 0.9998227953910828 518 445 617 479 chosen
0 1 0.9984838366508484 621 443 663 484 by
0 1 0.9999833106994629 665 449 705 479 an
0 1 0.7856643795967102 712 447 835 475 observer
0 1 0.999970555305481 838 447 875 477 to
0 1 0.9714468717575073 878 447 957 475 make
0 1 0.7248287796974182 961 445 1169 479 measurements
0 1 0.999895453453064 1172 445 1201 477 is
0 1 0.9995253086090088 1203 443 1313 484 usually
0 1 0.9997847676277161 1314 445 1369 479 not
0 2 0.8765806555747986 284 484 442 525 completely
0 2 0.9781314730644226 447 481 587 523 arbitrary.
0 2 0.9999442100524902 599 481 678 518 Since
0 2 0.999985933303833 683 484 738 520 the
0 2 0.9999252557754517 741 484 818 518 basis
0 2 0.9997379183769226 822 486 928 520 vectors
0 2 0.4920875132083893 933 481 964 523 fi
0 2 0.9986827969551086 969 488 1022 523 are
0 2 0.6306263208389282 1025 484 1154 518 elements
0 2 0.9984222650527954 1159 484 1195 518 of
0 2 0.9999668598175049 1196 484 1251 520 the
0 2 0.9653366208076477 1255 484 1368 525 tangent
0 3 0.9957761168479919 281 529 373 564 space,
0 3 0.9965241551399231 384 525 453 561 they
0 3 0.9729734063148499 460 527 515 561 are
0 3 0.9872623085975647 521 525 712 557 characterized
0 3 0.9997969269752502 722 529 759 559 as
0 3 0.862569272518158 768 525 852 564 being
0 3 0.9916071891784668 859 523 986 564 timelike,
0 3 0.7837264537811279 996 523 1117 564 lightlike
0 3 0.9806109666824341 1124 532 1162 559 or
0 3 0.6039136648178101 1169 527 1300 561 spacelike
0 3 0.9881316423416138 1309 523 1368 559 and
0 4 0.9950902462005615 284 573 389 600 possess
0 4 0.9987687468528748 397 568 471 596 units
0 4 0.999461829662323 474 566 512 596 of
0 4 0.996090829372406 512 564 586 598 time
0 4 0.9978951215744019 586 571 623 598 or
0 4 0.9991300702095032 628 566 728 600 length.
0 4 0.998967170715332 739 564 793 598 We
0 4 0.9997461438179016 796 571 851 596 can
0 4 0.7785347700119019 854 564 923 598 thus
0 4 0.9997965693473816 927 571 978 598 use
0 4 0.999997615814209 982 564 1036 598 the
0 4 0.9975841045379639 1041 568 1148 596 notions
0 4 0.9970256686210632 1151 561 1190 600 of
0 4 0.9658609628677368 1190 566 1267 603 time,
0 4 0.997306227684021 1272 561 1369 603 length
0 5 0.9996355772018433 282 605 342 639 and
0 5 0.9960182309150696 345 603 440 644 angles
0 5 0.9986483454704285 444 603 550 637 defined
0 5 0.9991859793663025 555 603 597 644 by
0 5 0.9996986389160156 600 603 652 641 the
0 5 0.9943559765815735 655 607 802 641 spacetime
