block line confidence X1 Y1 X2 Y2 token
0 0 0.9969383478164673 237 201 293 234 and
0 0 0.9985219836235046 295 199 335 234 A.
0 0 0.9964865446090698 338 201 458 240 Georges,
0 0 0.9998781681060791 461 201 527 236 New
0 0 0.6688046455383301 531 201 559 234 J.
0 0 0.9976463913917542 566 201 642 236 Phys.
0 0 0.9998859167098999 647 201 697 236 10,
0 0 0.9994109869003296 700 201 798 234 053019
0 0 0.9969224333763123 803 199 899 238 (2008).
1 0 0.9999964237213135 195 255 227 285 19
1 0 0.9672845602035522 235 257 270 296 S.
1 0 0.9944674968719482 285 262 426 294 Hellmann,
1 0 0.9992408752441406 444 259 488 294 M.
1 0 0.5772205591201782 503 259 582 300 Beye,
1 0 0.9974076151847839 597 259 637 294 C.
1 0 0.9988898634910583 650 262 737 298 Sohrt,
1 0 0.7276943325996399 752 259 793 296 T.
1 0 0.9985657334327698 806 259 921 298 Rohwer,
1 0 0.9954124093055725 939 262 972 292 F.
1 0 0.9890210032463074 989 262 1137 300 Sorgenfrei,
1 0 0.9951678514480591 1152 259 1191 294 H.
1 0 0.9963527917861938 1205 259 1306 298 Redlin,
1 0 0.9985402822494507 1324 259 1367 296 M.
1 0 0.8849683403968811 1381 259 1497 298 Kallâne,
1 1 0.998185932636261 237 322 282 356 M.
1 1 0.5332555174827576 283 324 557 356 Marczynsk-Bulhlow,
1 1 0.9640774130821228 564 324 595 354 F.
1 1 0.9739406108856201 600 324 718 356 Hennies,
1 1 0.9985982775688171 722 322 766 356 M.
1 1 0.9375022649765015 770 324 861 356 Bauer,
1 1 0.9978060126304626 864 322 904 356 A.
1 1 0.5757780075073242 906 324 1030 356 Fôhlisch,
1 1 0.9914892911911011 1034 320 1070 356 L.
1 1 0.9985631108283997 1072 320 1153 360 Kipp,
1 1 0.996428906917572 1157 320 1203 356 W.
1 1 0.9998958110809326 1206 324 1306 356 Wurth,
1 1 0.8964183926582336 1319 322 1376 354 and
1 1 0.9853981733322144 1379 324 1414 352 K.
1 1 0.9954774975776672 1421 322 1497 354 Ross-
1 2 0.9999475479125977 197 438 227 464 20
1 2 0.991466760635376 237 440 285 476 W.
1 2 0.9925685524940491 288 442 365 476 Shen,
1 2 0.9624717235565186 370 440 410 476 Y.
1 2 0.9990127086639404 410 442 463 479 Ge,
1 2 0.9990720748901367 463 442 504 476 A.
1 2 0.9649980068206787 503 442 542 476 Y.
1 2 0.9945800304412842 546 440 609 481 Liu,
1 2 0.9949014186859131 607 442 647 476 H.
1 2 0.9958090782165527 649 442 688 476 R.
1 2 0.7989854216575623 690 444 904 476 Krishnamurthy,
1 2 0.9382023811340332 906 442 982 476 T.P.
1 2 0.9798614978790283 982 444 1135 476 Devereaux,
1 2 0.9985163807868958 1150 440 1206 474 and
1 2 0.9416022300720215 1208 444 1238 472 J.
1 2 0.9983624815940857 1241 444 1278 472 K.
1 2 0.6269404292106628 1283 444 1414 476 Freericks,
1 2 0.9515052437782288 1419 444 1495 476 Phys.
1 3 0.999966025352478 195 556 227 584 21
1 3 0.9984633922576904 237 560 282 595 M.
1 3 0.980861485004425 288 565 376 597 Bovet,
1 3 0.9914532899856567 383 562 413 595 S.
1 3 0.999794065952301 420 565 474 597 van
1 3 0.9995121955871582 479 565 602 597 Smaalen,
1 3 0.9971280694007874 609 560 647 597 H.
1 3 0.9961983561515808 655 565 753 597 Berger,
1 3 0.9976498484611511 760 560 800 597 R.
1 3 0.9994916915893555 805 562 879 597 Gaal,
1 3 0.9976275563240051 886 560 921 597 L.
1 3 0.8205577731132507 928 562 1011 597 Forro,
1 3 0.9986312985420227 1017 560 1054 597 L.
1 3 0.9951642751693726 1059 565 1218 597 Schlapbach,
1 3 0.9407662153244019 1238 562 1294 595 and
1 3 0.9970157146453857 1299 562 1329 592 P.
1 3 0.9992184638977051 1338 562 1412 597 Aebi,
1 3 0.9990394711494446 1419 562 1495 597 Phys.
1 4 0.9994072914123535 195 678 227 706 22
1 4 0.9782163500785828 237 681 280 717 T.
1 4 0.9496903419494629 277 681 401 719 Ritschel,
1 4 0.7324954271316528 400 681 434 717 J.
1 4 0.9222474694252014 438 685 574 717 Trinckauf,
1 4 0.9913412928581238 579 681 619 717 K.
1 4 0.9996803998947144 622 685 773 717 Koepernik,
1 4 0.9944602251052856 776 685 813 717 B.
1 4 0.9986345171928406 816 685 941 717 Biichner,
1 4 0.9664594531059265 944 683 989 717 M.
1 4 0.7516405582427979 991 687 1024 715 V.
1 4 0.6627768278121948 1025 685 1216 717 Zimmermann,
1 4 0.9970610737800598 1220 681 1260 717 H.
1 4 0.9710031747817993 1261 683 1364 721 Berger,
1 4 0.9963219165802002 1367 683 1407 717 Y.
1 4 0.9659389853477478 1394 683 1434 717 I.
1 4 0.9995456337928772 1437 681 1499 721 Joe,
1 5 0.9999872446060181 195 797 227 827 23
1 5 0.99581378698349 237 803 282 837 M.
1 5 0.9975367784500122 285 803 325 837 N.
1 5 0.9978952407836914 328 803 443 842 Faraggi,
1 5 0.9979482293128967 448 801 488 837 X.
1 5 0.8961484432220459 493 805 659 837 Zubizarreta,
1 5 0.9983022212982178 667 801 705 837 A.
1 5 0.6480755805969238 710 801 810 842 Arnau,
1 5 0.9974591135978699 825 799 884 840 and
1 5 0.9861401319503784 888 801 926 837 V.
1 5 0.8007828593254089 933 805 974 833 M.
1 5 0.9665699005126953 979 803 1070 842 Silkin,
1 5 0.8423876166343689 1075 803 1182 835 Journal
1 5 0.990050196647644 1187 801 1223 837 of
1 5 0.968722939491272 1226 805 1336 837 Physics:
1 5 0.9222159385681152 1349 803 1497 835 Condensed
1 6 0.999982476234436 195 917 227 947 24
1 6 0.9952079653739929 237 921 278 956 C.
1 6 0.998654842376709 278 921 385 960 Laulhé,
1 6 0.9346526265144348 388 921 426 958 L.
1 6 0.9927957653999329 431 923 514 958 Cario,
1 6 0.9971640706062317 521 921 557 958 B.
1 6 0.998806357383728 562 921 682 960 Corraze,
1 6 0.9911274313926697 685 921 722 958 E.
1 6 0.5547485947608948 725 925 820 958 Janod,
1 6 0.898750364780426 826 921 864 958 T.
1 6 0.998420000076294 869 925 964 958 Huber,
1 6 0.9946402907371521 971 921 1011 958 G.
1 6 0.9988825917243958 1016 925 1105 958 Lantz,
1 6 0.9868103265762329 1112 923 1142 956 S.
1 6 0.993157684803009 1147 921 1275 960 Boulfaat,
1 6 0.9958171248435974 1279 921 1319 956 A.
1 6 0.9981995820999146 1323 921 1417 960 Ferrer,
1 6 0.9787427186965942 1424 923 1454 956 S.
1 6 0.6867972612380981 1460 923 1497 956 O.
1 7 0.9984304308891296 240 986 368 1018 Mariager,
1 7 0.9764200448989868 380 981 411 1020 J.
1 7 0.9963294863700867 418 983 458 1018 A.
1 7 0.7884305119514465 464 986 586 1018 Johnson,
1 7 0.832346498966217 597 983 627 1016 S.
1 7 0.7009223699569702 635 981 743 1020 Griibel,
1 7 0.9962497353553772 750 983 790 1018 A.
1 7 0.8185803890228271 795 981 906 1020 Liibcke,
1 7 0.9954965114593506 914 981 954 1018 G.
1 7 0.9759271144866943 959 981 1059 1022 Ingold,
1 7 0.9957177042961121 1069 986 1100 1016 P.
1 7 0.9992204904556274 1107 981 1206 1020 Beaud,
1 7 0.9957591891288757 1215 981 1248 1020 S.
1 7 0.9926929473876953 1253 981 1291 1018 L.
1 7 0.9771751761436462 1298 986 1417 1018 Johnson,
1 7 0.999258816242218 1442 983 1499 1018 and
1 8 0.999995231628418 195 1097 227 1127 25
1 8 0.9941509366035461 237 1102 275 1138 B.
1 8 0.9897672533988953 278 1102 383 1140 Dardel,
1 8 0.9980995059013367 388 1102 431 1136 M.
1 8 0.9669449329376221 438 1102 536 1140 Grioni,
1 8 0.9885170459747314 541 1102 581 1138 D.
1 8 0.5637090802192688 586 1106 712 1138 Malterre,
1 8 0.992745041847229 720 1104 750 1136 P.
1 8 0.7156301736831665 757 1102 863 1140 Weibel,
1 8 0.6490049958229065 866 1102 904 1138 Y.
1 8 0.9850903749465942 909 1102 989 1142 Baer,
1 8 0.9989713430404663 1004 1104 1060 1138 and
1 8 0.9955235719680786 1064 1102 1099 1138 F.
1 8 0.9678719639778137 1105 1106 1180 1140 Lévy,
1 8 0.9981332421302795 1187 1102 1266 1142 Phys.
1 8 0.998318076133728 1271 1104 1338 1138 Rev.
1 8 0.9999871253967285 1344 1104 1371 1136 B
1 8 0.9997116923332214 1376 1104 1427 1138 45,
1 8 0.9999535083770752 1432 1104 1499 1138 1462
1 9 0.9997288584709167 195 1220 227 1246 26
1 9 0.997788667678833 237 1222 275 1258 E.
1 9 0.9935426712036133 275 1222 388 1261 Baldini,
1 9 0.9931106567382812 390 1222 429 1258 A.
1 9 0.9998834133148193 431 1222 524 1261 Mann,
1 9 0.9946183562278748 527 1224 557 1256 S.
1 9 0.9998620748519897 562 1222 679 1261 Borroni,
1 9 0.9979998469352722 682 1222 720 1258 C.
1 9 0.9945544004440308 720 1222 815 1261 Arrell,
1 9 0.7440887093544006 815 1222 853 1258 F.
1 9 0.9996480941772461 856 1226 911 1258 van
1 9 0.9998408555984497 911 1222 1022 1261 Mourik,
1 9 0.9952412843704224 1037 1224 1094 1258 and
1 9 0.8774751424789429 1094 1222 1132 1258 F.
1 9 0.7450499534606934 1132 1222 1261 1261 Carbone,
1 9 0.9491885900497437 1263 1224 1497 1256 arXiv:1608.03503
1 10 0.999810516834259 195 1340 227 1368 27
1 10 0.9992024302482605 237 1342 277 1379 A.
1 10 0.998490571975708 278 1342 370 1381 Mann,
1 10 0.9835380911827087 375 1342 411 1379 E.
1 10 0.998676598072052 416 1347 522 1379 Baldini,
1 10 0.9983579516410828 529 1342 569 1379 A.
1 10 0.9308639764785767 571 1347 747 1379 Tramontana,
1 10 0.9815512895584106 752 1342 788 1379 E.
1 10 0.9703041315078735 793 1344 992 1383 Pomjakushina,
1 10 0.9973554611206055 999 1347 1035 1379 K.
1 10 0.9994352459907532 1040 1344 1150 1383 Conder,
1 10 0.9909273386001587 1155 1342 1193 1379 C.
1 10 0.9805773496627808 1196 1342 1286 1381 Arrell,
1 10 0.9669740200042725 1291 1342 1328 1379 F.
1 10 0.9998444318771362 1329 1347 1384 1379 van
1 10 0.997394323348999 1386 1342 1497 1381 Mourik,
1 11 0.9993152618408203 195 1460 229 1486 28
1 11 0.8080819845199585 239 1465 267 1497 J.
1 11 0.9713348746299744 272 1463 386 1501 Demsar,
1 11 0.9705523252487183 390 1463 426 1499 L.
1 11 0.9603404998779297 429 1465 512 1499 Forro,
1 11 0.9963173866271973 517 1463 557 1499 H.
1 11 0.9993646740913391 561 1465 664 1503 Berger,
1 11 0.8309692740440369 675 1465 732 1497 and
1 11 0.9925777316093445 733 1463 773 1497 D.
1 11 0.9958930015563965 775 1463 929 1501 Mihailovic,
1 11 0.998344898223877 933 1463 1012 1503 Phys.
1 11 0.9985839128494263 1016 1465 1082 1499 Rev.
1 11 0.9999933242797852 1087 1467 1113 1497 B
1 11 0.9985612034797668 1117 1467 1168 1501 66,
1 11 0.9999712705612183 1172 1469 1265 1495 041101
1 11 0.9975270628929138 1273 1465 1369 1503 (2002).
1 12 0.9997348189353943 195 1521 227 1549 29
1 12 0.9961918592453003 239 1525 268 1557 S.
1 12 0.9979548454284668 275 1527 361 1564 Sugai,
1 12 0.97585129737854 363 1523 401 1559 K.
1 12 0.9773871302604675 405 1523 519 1561 Murase,
1 12 0.9949144124984741 522 1525 552 1557 S.
1 12 0.9989425539970398 557 1523 665 1561 Uchida,
1 12 0.7760575413703918 679 1525 735 1559 and
1 12 0.9920765161514282 737 1527 766 1557 S.
1 12 0.9923050999641418 775 1527 883 1559 Tanaka,
1 12 0.9991000890731812 889 1527 996 1559 Physica
1 12 0.9922401905059814 999 1525 1074 1559 B+C
1 12 0.9301239252090454 1075 1523 1145 1564 105,
1 12 0.9999985694885254 1147 1525 1200 1559 405
1 12 0.9939301013946533 1203 1525 1301 1564 (1981).
1 13 0.9994673132896423 195 1581 229 1609 30
1 13 0.969579815864563 239 1583 277 1619 Y.
1 13 0.9995342493057251 278 1587 360 1622 Toda,
1 13 0.9513357877731323 365 1583 403 1619 K.
1 13 0.9986178874969482 406 1587 526 1619 Tateishi,
1 13 0.9967269897460938 541 1585 597 1619 and
1 13 0.9710157513618469 597 1585 632 1622 S.
1 13 0.997512936592102 634 1585 735 1624 Tanda,
1 13 0.9992627501487732 740 1587 815 1622 Phys.
1 13 0.9977995753288269 821 1587 886 1619 Rev.
1 13 0.9998414516448975 891 1587 919 1617 B
1 13 0.999886155128479 923 1587 972 1622 70,
1 13 0.9985345602035522 976 1587 1074 1619 033106
1 13 0.990729033946991 1079 1585 1175 1624 (2004).
1 14 0.999886155128479 195 1641 225 1669 31
1 14 0.9517901539802551 239 1647 268 1677 J.
1 14 0.9498327970504761 277 1650 386 1675 Bardeen
1 14 0.9996554851531982 390 1645 446 1680 and
1 14 0.9939866065979004 449 1645 496 1680 W.
1 14 0.9894767999649048 499 1645 629 1684 Shockley,
1 14 0.9944526553153992 635 1647 747 1680 Physical
1 14 0.9997376799583435 757 1650 854 1675 Review
1 14 0.9996291399002075 858 1647 908 1682 80,
1 14 0.9999185800552368 913 1647 949 1680 72
1 14 0.9508729577064514 952 1645 1050 1684 (1950).
2 0 0.9983869791030884 240 384 322 418 nagel,
2 0 0.9935932755470276 327 384 441 416 Physical
2 0 0.9991679191589355 446 382 547 414 Review
2 0 0.9999629259109497 551 382 652 414 Letters
2 0 0.9994109869003296 655 382 722 416 105,
2 0 0.7460059523582458 727 386 821 412 187401
2 0 0.9948286414146423 828 382 924 421 (2010).
3 0 0.9904311299324036 237 502 305 534 Rev.
3 0 0.9996057152748108 308 502 378 534 Lett.
3 0 0.9082059860229492 385 502 449 537 112,
3 0 0.9995399713516235 454 502 552 534 176404
3 0 0.9970001578330994 557 502 652 541 (2014).
3 1 0.9960339665412903 237 623 305 657 Rev.
3 1 0.9999872446060181 310 625 337 655 B
3 1 0.9997748732566833 340 623 390 659 67,
3 1 0.9999854564666748 393 625 491 657 125105
3 1 0.9963477253913879 496 623 592 661 (2003).
4 0 0.987342357635498 237 741 273 777 P.
4 0 0.6615654826164246 273 741 443 779 Abbamonte,
4 0 0.9993646740913391 458 743 512 775 and
4 0 0.5394300818443298 514 745 544 775 J.
4 0 0.9987605810165405 551 743 629 777 Geck,
4 0 0.9183690547943115 632 743 698 775 Nat.
4 0 0.5012362003326416 702 741 781 782 Phys.
4 0 0.9999442100524902 786 743 836 777 11,
4 0 0.9998974800109863 838 743 893 777 328
4 0 0.9996474981307983 894 743 992 782 (2015).
5 0 0.9997283816337585 239 863 337 895 Matter
5 0 0.9998681545257568 340 863 390 900 28,
5 0 0.9996529817581177 396 867 489 893 184004
5 0 0.9990639090538025 496 861 592 902 (2016).
6 0 0.9972907900810242 237 1041 270 1080 S.
6 0 0.999316930770874 273 1046 353 1080 Ravy,
6 0 0.9991005659103394 360 1046 466 1078 Physica
6 0 0.9998824596405029 469 1044 498 1076 B
6 0 0.9990025162696838 503 1046 688 1078 ECRYS-2014,
6 0 0.999940037727356 693 1046 758 1080 460,
6 0 0.9999754428863525 763 1046 816 1078 100
6 0 0.6549134254455566 821 1044 916 1082 (2015).
7 0 0.8373544216156006 240 1164 337 1203 (1992).
8 0 0.415630578994751 240 1284 355 1323 [physics]
8 0 0.9989375472068787 371 1284 469 1323 (2016),
8 0 0.9984134435653687 473 1286 562 1319 arXiv:
8 0 0.9032914042472839 571 1286 727 1316 1608.03503.
9 0 0.9416007399559021 239 1407 268 1437 J.
9 0 0.6697925329208374 272 1407 423 1439 Lorenzana,
9 0 0.9994608759880066 438 1405 493 1439 and
9 0 0.9706156849861145 498 1407 529 1437 F.
9 0 0.9937819838523865 537 1407 660 1439 Carbone,
9 0 0.9994158744812012 667 1407 743 1441 Phys.
9 0 0.9899125695228577 750 1405 816 1439 Rev.
9 0 0.999994158744812 820 1407 846 1437 B
9 0 0.976991593837738 850 1405 899 1441 92,
9 0 0.999448835849762 904 1409 1001 1435 035147
9 0 0.9963244795799255 1007 1405 1104 1443 (2015).
10 0 0.7152841091156006 195 1701 229 1729 32
10 0 0.994516909122467 235 1703 275 1740 T.
10 0 0.9984017014503479 280 1708 401 1740 Onozaki,
10 0 0.9892392158508301 406 1708 443 1740 Y.
10 0 0.999607503414154 444 1703 531 1744 Toda,
10 0 0.9942933320999146 531 1703 564 1742 S.
10 0 0.7908396124839783 569 1708 665 1740 Tanda,
