block line confidence X1 Y1 X2 Y2 token
0 0 0.9540925621986389 197 189 269 223 from
0 0 0.999890923500061 276 189 329 223 the
0 0 0.9913440942764282 331 189 395 223 left-
0 0 0.9965466856956482 402 189 460 226 and
0 0 0.7597924470901489 466 191 654 226 right-handed
0 0 0.9991942048072815 660 189 799 230 couplings
0 0 0.5551453232765198 804 191 944 223 extracted
0 0 0.9379257559776306 949 189 1022 223 from
0 0 0.5639156699180603 1028 189 1287 223 forward-backward
0 0 0.641188383102417 1293 189 1479 230 asymmetries
0 0 0.9969991445541382 1482 189 1542 226 and
0 1 0.996654748916626 197 230 295 271 charge
0 1 0.5784642696380615 298 232 481 267 asymmetries
0 1 0.9997538924217224 486 232 521 267 in
0 1 0.9714056253433228 524 230 699 264 two-fermion
0 1 0.997860848903656 704 235 846 269 processes,
0 1 0.9327805042266846 854 230 975 264 different
0 1 0.5811153650283813 982 230 1129 271 high-scale
0 1 0.997958779335022 1132 230 1237 264 models
0 1 0.9999010562896729 1240 235 1295 262 can
0 1 0.9996590614318848 1300 228 1342 264 be
0 1 0.6473584175109863 1343 230 1540 262 discriminated
0 2 0.6294152140617371 247 310 311 344 One
0 2 0.9245578646659851 313 310 382 344 final
0 2 0.9089905023574829 382 310 499 344 remark:
0 2 0.9994613528251648 510 310 537 344 if
0 2 0.9914714694023132 536 312 688 347 something
0 2 0.9995667338371277 692 310 794 344 similar
0 2 0.9436653852462769 797 308 854 344 like
0 2 0.9999251365661621 857 310 910 344 the
0 2 0.9999146461486816 910 310 935 342 2
0 2 0.9990620017051697 938 310 1006 344 TeV
0 2 0.9232559204101562 1009 312 1137 347 anomaly
0 2 0.9999816417694092 1137 312 1172 347 in
0 2 0.9298005700111389 1175 308 1385 349 WW/WZ/ZZ
0 2 0.9985345602035522 1389 310 1427 347 at
0 2 0.999992847442627 1427 310 1482 344 the
0 2 0.9922473430633545 1484 310 1540 344 end
0 3 0.9855268001556396 193 349 234 386 of
0 3 0.9999681711196899 232 349 287 386 the
0 3 0.9998118281364441 289 351 313 386 8
0 3 0.9961446523666382 316 349 382 386 TeV
0 3 0.9997938275337219 384 354 442 388 run
0 3 0.9950883984565735 445 358 481 386 or
0 3 0.9999511241912842 484 349 537 386 the
0 3 0.9999066591262817 541 351 597 386 750
0 3 0.6035518050193787 600 351 671 386 GeV
0 3 0.9189199805259705 676 354 801 388 anomaly
0 3 0.9999237060546875 804 349 841 388 in
0 3 0.9997445940971375 844 354 988 388 diphotons
0 3 0.9876843690872192 993 349 1051 386 will
0 3 0.9624912738800049 1056 356 1158 383 remain
0 3 0.9992043375968933 1162 354 1200 383 at
0 3 0.9999651908874512 1201 349 1255 386 the
0 3 0.9766117930412292 1258 349 1316 386 end
0 3 0.9958576560020447 1318 349 1356 386 of
0 3 0.999783456325531 1355 351 1411 386 run
0 3 0.9999442100524902 1416 351 1447 383 II
0 3 0.9919822812080383 1450 356 1487 386 or
0 3 0.9999831914901733 1489 349 1542 386 the
0 4 0.9795708656311035 197 390 340 431 high-lumi
0 4 0.9997678399085999 342 395 407 429 run,
0 4 0.9962106943130493 413 390 484 424 then
0 4 0.9998745918273926 489 390 542 424 the
0 4 0.960942804813385 545 390 615 424 ILC
0 4 0.9999390840530396 612 392 641 424 is
0 4 0.9990615248680115 646 390 699 427 the
0 4 0.999967098236084 702 392 768 429 only
0 4 0.9931201934814453 775 395 872 429 option
0 4 0.9998190999031067 877 395 912 429 in
0 4 0.9998388290405273 915 390 969 427 the
0 4 0.9926280379295349 973 397 1040 424 near
0 4 0.8032298684120178 1048 395 1137 422 future
0 4 0.9999393224716187 1143 395 1179 424 to
0 4 0.699535071849823 1183 395 1303 422 comtirm
0 4 0.957356870174408 1309 397 1348 424 or
0 4 0.9993796348571777 1353 395 1440 422 refute
0 4 0.9999686479568481 1445 395 1513 422 such
0 4 0.9995055198669434 1518 395 1544 427 a
1 0 0.9967007040977478 197 267 250 312 (cf.
1 0 0.9573981761932373 250 269 308 312 e.g.
1 0 0.8070855140686035 316 267 390 312 [25)).
2 0 0.9779741168022156 195 431 292 472 signal.
2 1 0.2926340103149414 201 536 218 557 2
3 0 0.9891931414604187 279 534 510 584 Summary
4 0 0.9999072551727295 245 612 284 650 In
4 0 0.9997269511222839 285 614 347 648 this
4 0 0.9998481273651123 350 614 413 648 talk
4 0 0.9877079725265503 416 619 437 641 I
4 0 0.9303767681121826 437 614 512 648 tried
4 0 0.999907374382019 515 614 554 650 to
4 0 0.9995980858802795 558 616 652 644 collect
4 0 0.9999330043792725 659 614 710 648 the
4 0 0.937852144241333 715 614 788 648 facts
4 0 0.9998416900634766 793 616 825 648 in
4 0 0.9996824264526367 830 614 907 648 favor
4 0 0.9994400143623352 910 612 949 648 of
4 0 0.9995226860046387 948 616 972 648 a
4 0 0.9994891881942749 977 616 1067 644 future
4 0 0.8105227947235107 1074 614 1245 655 high-energy
4 0 0.989827036857605 1251 616 1343 650 lepton
4 0 0.9971541166305542 1350 614 1458 648 collider
4 0 0.9996533393859863 1465 614 1540 650 (that
4 1 0.9987210631370544 195 655 234 694 is
4 1 0.9979830980300903 229 657 342 692 capable
4 1 0.9996539354324341 342 655 381 692 to
4 1 0.9998718500137329 381 655 465 689 reach
4 1 0.9991917014122009 466 657 502 687 at
4 1 0.9999520778656006 505 653 576 689 least
4 1 0.9999312162399292 579 655 636 689 500
4 1 0.9913921356201172 641 655 720 692 GeV)
4 1 0.9999321699142456 723 655 794 689 with
4 1 0.9999980926513672 796 655 851 689 the
4 1 0.9997871518135071 852 655 931 689 focus
4 1 0.9905586242675781 933 653 1012 696 lying
4 1 0.999964714050293 1012 662 1054 692 on
4 1 0.9999747276306152 1054 657 1119 692 new
4 1 0.9994375109672546 1124 657 1229 692 physics
4 1 0.9998020529747009 1235 657 1340 692 beyond
4 1 0.9999945163726807 1343 655 1397 689 the
4 1 0.9457594156265259 1398 655 1461 689 SM.
4 1 0.887597918510437 1466 653 1542 689 Both
4 2 0.9999774694442749 198 694 251 730 the
4 2 0.7985678315162659 251 696 311 730 two
4 2 0.9987936019897461 316 698 390 726 main
4 2 0.9831548929214478 395 694 450 730 SM
4 2 0.9965296387672424 455 694 557 735 pillars,
4 2 0.7602190971374512 562 694 615 728 the
4 2 0.9898573160171509 618 692 705 735 Higgs
4 2 0.999541163444519 710 698 794 726 boson
4 2 0.9988596439361572 801 694 859 730 and
4 2 0.999976634979248 862 694 920 737 top
4 2 0.992957353591919 922 694 1011 735 quark
4 2 0.9824193716049194 1015 698 1222 730 measurements
4 2 0.9990204572677612 1225 703 1303 728 serve
4 2 0.9996649026870728 1308 701 1345 730 as
4 2 0.9949886202812195 1348 694 1463 728 indirect
4 2 0.9999524354934692 1468 694 1542 728 tools
4 3 0.7742909789085388 197 733 243 769 for
4 3 0.9999783039093018 247 737 311 772 new
4 3 0.9911718964576721 316 735 424 776 physics
4 3 0.9965667724609375 431 737 558 772 searches,
4 3 0.9987748265266418 566 733 621 769 but
4 3 0.9922963976860046 628 735 705 769 there
4 3 0.9997634291648865 710 737 741 769 is
4 3 0.9980188608169556 744 735 807 769 also
4 3 0.9998698234558105 812 740 836 769 a
4 3 0.999849796295166 843 737 964 772 plethora
4 3 0.9954701662063599 969 733 1007 769 of
4 3 0.9268912672996521 1007 735 1096 769 direct
4 3 0.9933390021324158 1101 735 1196 769 search
4 3 0.6651968955993652 1201 735 1398 776 opportunities
4 3 0.9992700219154358 1403 737 1439 767 at
4 3 0.999679684638977 1444 735 1515 769 such
4 3 0.9999780654907227 1519 744 1542 767 a
4 4 0.8873447179794312 198 776 327 808 machine.
4 4 0.9997566342353821 342 776 418 810 Most
4 4 0.9804648160934448 423 774 578 815 prominent
4 4 0.9648331999778748 583 778 717 813 examples
4 4 0.99950110912323 723 781 773 808 are
4 4 0.994637668132782 776 774 849 808 dark
4 4 0.9959564805030823 856 778 956 806 matter
4 4 0.9995338916778564 961 774 1093 815 searches,
4 4 0.5913461446762085 1098 776 1221 810 searches
4 4 0.9997314810752869 1225 774 1274 810 for
4 4 0.9999808073043823 1276 776 1358 810 other
4 4 0.971880316734314 1363 776 1434 813 light
4 4 0.9963322281837463 1440 774 1542 815 weakly
4 5 0.6992752552032471 197 815 324 856 coupling
4 5 0.9859321117401123 329 817 461 851 particles,
4 5 0.9987202882766724 470 815 529 849 and
4 5 0.9998069405555725 536 824 558 847 a
4 5 0.9992662072181702 563 822 631 847 scan
4 5 0.9999747276306152 636 817 704 851 over
4 5 0.9992813467979431 709 813 751 849 all
4 5 0.9998101592063904 757 817 857 851 weakly
4 5 0.9892332553863525 862 815 1025 856 interacting
4 5 0.9988447427749634 1032 817 1162 851 particles.
4 5 0.9999591112136841 1177 815 1240 849 The
4 5 0.6017929315567017 1245 815 1379 856 interplay
4 5 0.9915391802787781 1382 813 1419 851 of
4 5 0.9999918937683105 1421 815 1476 849 the
4 5 0.9931564927101135 1479 815 1542 849 ILC
4 6 0.7518923282623291 197 854 266 890 with
4 6 0.9999899864196777 271 854 324 890 the
4 6 0.9931567311286926 327 851 413 895 LHC,
4 6 0.9999023675918579 418 854 474 890 but
4 6 0.9743530750274658 479 861 555 888 more
4 6 0.9910888671875 563 858 734 893 importantly
4 6 0.9999991655349731 743 854 810 890 with
4 6 0.9513617157936096 818 854 910 888 future
4 6 0.8099526166915894 917 858 1019 886 hadron
4 6 0.9959354400634766 1027 856 1162 888 machines
4 6 0.9999278783798218 1167 856 1196 888 is
4 6 0.5531670451164246 1201 854 1360 888 elucidated.
4 6 0.9887996912002563 1372 854 1540 895 Conditions,
4 7 0.9994136095046997 197 902 234 929 or
4 7 0.9927228093147278 240 897 337 931 better,
4 7 0.9996883869171143 347 897 481 929 scenarios
4 7 0.9989829659461975 486 893 534 931 for
4 7 0.9973282814025879 539 895 659 936 possible
4 7 0.9993491768836975 665 895 741 929 BSM
4 7 0.9944830536842346 749 895 904 929 discoveries
4 7 0.9999812841415405 909 895 948 931 at
4 7 0.9999926090240479 951 895 1006 929 the
4 7 0.9983906745910645 1011 895 1074 929 ILC
4 7 0.9999486207962036 1078 895 1151 929 have
4 7 0.9861509203910828 1158 895 1230 929 been
4 7 0.993339478969574 1235 895 1324 936 given.
4 7 0.987756609916687 1340 895 1447 929 Several
4 7 0.9856566190719604 1455 899 1540 934 prime
5 0 0.6811057925224304 195 934 334 977 examples
5 0 0.99895179271698 337 934 384 970 for
5 0 0.9999755620956421 387 934 440 970 the
5 0 0.5928267240524292 444 934 520 970 BSM
5 0 0.9969294667243958 526 938 655 973 potential
5 0 0.9999266862869263 660 934 699 973 of
5 0 0.9999449253082275 699 934 752 970 the
5 0 0.998471200466156 755 934 818 968 ILC
5 0 0.9998844861984253 822 934 891 968 have
5 0 0.5140400528907776 896 934 969 970 been
5 0 0.9933887720108032 973 934 1145 975 highlighted.
6 0 0.7091041803359985 198 986 625 1034 Acknowledigments
7 0 0.8865309953689575 245 1068 318 1103 JRR
7 0 0.9998713731765747 324 1073 410 1100 wants
7 0 0.9998941421508789 416 1073 452 1100 to
7 0 0.9203267693519592 458 1068 547 1103 thank
7 0 0.9999961853027344 550 1068 605 1103 the
7 0 0.9983178377151489 610 1073 757 1107 organizers
7 0 0.9998993873596191 765 1071 812 1103 for
7 0 0.9984560012817383 814 1073 841 1105 a
7 0 0.9992507100105286 844 1068 972 1103 fantastic
7 0 0.9996895790100098 978 1071 1132 1103 conference
7 0 0.9998026490211487 1135 1066 1172 1105 in
7 0 0.9999886751174927 1175 1068 1230 1103 the
7 0 0.9997877478599548 1235 1068 1376 1103 Canadian
7 0 0.9872704744338989 1382 1068 1540 1103 wilderness.
7 1 0.9999321699142456 197 1107 285 1148 Many
7 1 0.9992565512657166 297 1112 394 1139 thanks
7 1 0.9999586343765259 405 1110 471 1144 who
7 1 0.9827860593795776 481 1110 649 1142 contributed
7 1 0.9998944997787476 660 1107 713 1144 the
7 1 0.9799490571022034 723 1114 831 1139 content
7 1 0.9797499179840088 841 1107 880 1144 of
7 1 0.9998675584793091 886 1107 948 1144 this
7 1 0.7743042707443237 957 1110 1112 1144 discussion,
7 1 0.881278395652771 1125 1114 1227 1148 among
7 1 0.9979118704795837 1235 1110 1314 1144 them
7 1 0.9920003414154053 1322 1112 1376 1146 are
7 1 0.8770483732223511 1384 1110 1416 1142 J.
7 1 0.9998260140419006 1429 1107 1540 1148 Bagger,
7 2 0.9993057250976562 197 1148 242 1185 M.
7 2 0.998537540435791 251 1153 392 1187 Berggren,
7 2 0.6794461011886597 402 1151 431 1185 J.
7 2 0.6395649313926697 442 1151 628 1185 Kanlinowski,
7 2 0.9975677132606506 638 1148 686 1185 W.
7 2 0.9475001096725464 694 1148 797 1190 Kilian,
7 2 0.6493892669677734 806 1151 836 1183 J.
7 2 0.9731205701828003 846 1151 914 1187 List,
7 2 0.9380543231964111 925 1151 954 1185 J.
7 2 0.9989797472953796 962 1148 1067 1190 Mnich,
7 2 0.999244213104248 1075 1148 1120 1185 M.
7 2 0.6866692304611206 1130 1151 1235 1185 Peskin,
7 2 0.9902138113975525 1246 1151 1282 1185 F.
7 2 0.9978322386741638 1290 1151 1414 1185 Richard,
7 2 0.9940793514251709 1424 1148 1466 1185 G.
