block line confidence X1 Y1 X2 Y2 token
0 0 0.7434031963348389 198 169 284 196 Giorgio
0 0 0.8969269394874573 289 169 392 194 Comitini
1 0 0.973490297794342 197 317 348 349 Correlation
1 0 0.9964535236358643 358 319 481 344 functions
1 0 0.9999580383300781 491 317 568 344 which
1 0 0.9996100068092346 578 319 676 344 include
1 0 0.9997982382774353 684 315 734 351 the
1 0 0.9985424280166626 739 317 815 351 ghost
1 0 0.9989959597587585 823 315 898 349 fields
1 0 0.998488187789917 901 322 949 349 are
1 0 0.7106072306632996 957 317 1087 351 generated
1 0 0.99994957447052 1095 315 1135 356 by
1 0 0.9989868998527527 1141 317 1235 351 adding
1 0 0.9998878240585327 1240 315 1279 351 to
1 0 0.9999750852584839 1279 315 1332 349 the
1 0 0.9804940223693848 1334 322 1381 349 ac-
2 0 0.9999481439590454 195 354 253 388 tion
2 0 0.9979485869407654 258 358 390 390 analogous
2 0 0.45884278416633606 397 363 431 383 sot
2 0 0.9696048498153687 487 358 566 383 terms
2 0 0.9993519186973572 570 351 615 388 for
2 0 0.9997462630271912 617 354 668 388 the
2 0 0.9991288781166077 670 356 764 390 ghosts.
3 0 0.9393304586410522 197 504 276 539 1.1.2
3 0 0.9909855127334595 284 504 437 536 Standard
3 0 0.8589774370193481 447 507 654 541 perturbative
3 0 0.9965597987174988 663 507 825 541 expansion
3 0 0.9574341177940369 839 507 973 541 (MLPE)
4 0 0.9997764229774475 242 561 302 596 Due
4 0 0.9999566078186035 306 566 340 593 to
4 0 0.9995554089546204 347 561 397 596 the
4 0 0.9497721791267395 403 571 516 598 presence
4 0 0.9955217838287354 523 559 558 598 of
4 0 0.9992498755455017 562 561 612 596 the
4 0 0.9894202947616577 620 566 754 591 non-linear
4 0 0.9891721606254578 762 564 910 596 interaction
4 0 0.9964134097099304 917 566 996 593 terms
4 0 0.9999849796295166 1003 564 1035 596 in
4 0 0.6146153807640076 1040 559 1075 600 S,
4 0 0.9999867677688599 1082 561 1133 596 the
4 0 0.996947705745697 1141 568 1258 596 partition
4 0 0.9955865144729614 1269 566 1379 593 function
4 1 0.9945242404937744 197 603 276 639 (1.14)
4 1 0.999896764755249 282 605 376 632 cannot
4 1 0.9899185299873352 382 603 419 632 be
4 1 0.995070219039917 426 605 552 630 evaluated
4 1 0.9944402575492859 560 603 659 637 exactly
4 1 0.994078516960144 663 600 720 635 and
4 1 0.9999312162399292 725 607 776 632 one
4 1 0.9999387264251709 781 603 831 630 has
4 1 0.9999886751174927 836 603 870 632 to
4 1 0.8905174732208252 873 605 954 630 resort
4 1 0.9999806880950928 961 603 994 632 to
4 1 0.9437134861946106 999 603 1169 637 perturbative
4 1 0.9951198101043701 1175 603 1290 630 methods
4 1 0.9995532631874084 1295 598 1342 635 for
4 1 0.9999750852584839 1342 603 1381 632 its
4 2 0.9341579079627991 195 641 371 673 computation.
4 2 0.9709455966949463 384 635 428 671 As
4 2 0.9998109936714172 429 639 492 673 long
4 2 0.9985677003860474 494 644 531 671 as
4 2 0.9999086856842041 533 637 583 671 the
4 2 0.9517013430595398 586 639 702 673 coupling
4 2 0.9986213445663452 709 641 823 669 constant
4 2 0.9928374886512756 828 644 852 678 9
4 2 0.999971866607666 856 637 885 671 is
4 2 0.8537859916687012 888 641 1001 669 assumed
4 2 0.9999910593032837 1007 639 1043 669 to
4 2 0.9997126460075378 1046 639 1085 669 be
4 2 0.9680883884429932 1088 639 1171 673 small,
4 2 0.9999604225158691 1175 644 1230 671 one
4 2 0.996616542339325 1232 644 1285 671 can
4 2 0.9959213733673096 1287 637 1345 671 aim
4 2 0.9999170303344727 1348 641 1382 669 to
4 3 0.9998353719711304 193 749 253 783 The
4 3 0.7523285746574402 261 753 442 785 g-dependence
4 3 0.999422550201416 449 751 484 785 of
4 3 0.9999556541442871 487 749 537 783 the
4 3 0.9927895665168762 544 753 663 788 partition
4 3 0.9992584586143494 675 753 786 781 function
4 3 0.972876250743866 794 758 880 783 comes
4 3 0.5957459807395935 888 753 954 781 from
4 3 0.9998008608818054 961 749 1011 785 the
4 3 0.9916262626647949 1019 753 1174 785 exponential
4 3 0.9836016297340393 1182 751 1214 783 of
4 3 0.9999649524688721 1219 749 1271 783 the
4 3 0.9798387289047241 1276 756 1377 781 interac-
5 0 0.9998736381530762 195 680 282 705 obtain
5 0 0.9998785257339478 287 685 313 710 a
5 0 0.9904283285140991 314 678 481 712 perturbative
5 0 0.9832891821861267 486 680 621 712 expansion
5 0 0.9948335886001587 625 676 660 710 of
5 0 0.9802737236022949 662 676 689 708 Z
5 0 0.9999743700027466 691 676 726 710 in
5 0 0.9993498921394348 730 682 823 710 powers
5 0 0.9987138509750366 828 676 860 708 of
5 0 0.687038242816925 862 680 891 714 g.
6 0 0.9943338632583618 195 792 251 820 tion
6 0 0.9659539461135864 256 792 335 820 terms
6 0 0.9907500147819519 339 790 395 824 Sint
6 0 0.46827343106269836 398 794 439 822 :
6 0 0.7469860911369324 439 792 542 826 SYM,int
6 0 0.8644305467605591 550 792 575 824 +
6 0 0.3031426668167114 576 792 680 826 SFPints
7 0 0.9994614720344543 193 1123 242 1162 By
7 0 0.7849870324134827 248 1128 482 1160 Taylor-expanding
7 0 0.9999920129776001 491 1123 542 1158 the
7 0 0.9959491491317749 550 1126 699 1158 interaction
7 0 0.9502318501472473 709 1128 864 1160 exponential
7 0 0.3985256552696228 877 1121 952 1158 caint,
7 0 0.9999241828918457 969 1123 1019 1158 the
7 0 0.996898889541626 1030 1130 1146 1158 partition
7 0 0.9996609687805176 1161 1128 1271 1155 function
7 0 0.9997005462646484 1282 1130 1334 1158 can
7 0 0.9998964071273804 1343 1126 1382 1155 be
8 0 0.9984845519065857 195 1167 321 1196 rewritten
8 0 0.9998321533203125 323 1167 358 1196 as
9 0 0.9997267127037048 195 1491 263 1525 Here
9 0 0.8950796723365784 263 1491 305 1530 So
9 0 0.9985313415527344 305 1496 340 1523 =
9 0 0.5602425932884216 334 1491 361 1525 S
9 0 0.9515478610992432 394 1493 458 1530 Sints
10 0 0.9993187189102173 190 1804 224 1843 is
10 0 0.9999910593032837 226 1806 277 1841 the
10 0 0.9993377327919006 284 1811 368 1836 action
10 0 0.9999266862869263 374 1806 418 1836 for
10 0 0.999702513217926 423 1811 449 1841 a
10 0 0.9990755319595337 453 1809 508 1836 free
10 0 0.9992425441741943 515 1815 596 1843 gauge
10 0 0.9998574256896973 602 1811 689 1836 vector
10 0 0.929053008556366 696 1809 757 1836 field
10 0 0.997516393661499 762 1806 820 1841 and
10 0 0.9999654293060303 827 1815 849 1838 a
10 0 0.9996775388717651 852 1806 910 1841 free
10 0 0.9987290501594543 915 1809 991 1843 ghost
10 0 0.6600791811943054 998 1806 1069 1841 field.
10 0 0.9673846364021301 1085 1806 1137 1845 Eq.
10 0 0.9192975163459778 1143 1809 1224 1843 (1.22)
10 0 0.9991612434387207 1232 1813 1285 1838 can
10 0 0.7522166967391968 1293 1809 1330 1838 be
10 0 0.9859809875488281 1335 1813 1381 1838 ex-
11 0 0.7554093599319458 197 1850 295 1877 pressed
11 0 0.9999840259552002 298 1847 332 1877 in
11 0 0.9880130290985107 335 1850 489 1875 momentum
11 0 0.9924336671829224 494 1854 570 1879 space
11 0 0.9999257326126099 575 1854 605 1875 as
12 0 0.9976890087127686 776 2195 799 2227 8
