block line confidence X1 Y1 X2 Y2 token
0 0 0.906946063041687 451 113 655 137 DISCONTINUOUS
0 0 0.989051103591919 660 109 805 139 PIECEWISE
0 0 0.9993219375610352 808 109 977 139 POLYNOMIAL
0 0 0.9639860987663269 982 111 1089 137 NEURAL
0 0 0.9999396800994873 1094 109 1241 139 NETWORKS
1 0 0.9999576807022095 245 393 328 425 Table
1 0 0.9973626732826233 330 393 360 425 2:
1 0 0.961728572845459 370 393 509 425 Maximum
1 0 0.9979718327522278 511 395 644 425 overshoot
1 0 0.9932674169540405 647 395 762 427 fraction,
1 0 0.9276708960533142 765 403 854 429 Pn,max,
1 0 0.9483208060264587 861 395 936 429 given
1 0 0.9999662637710571 937 393 989 427 the
1 0 0.9254103302955627 989 395 1097 427 number
1 0 0.9919486045837402 1095 391 1132 427 of
1 0 0.812882125377655 1132 399 1215 425 points
1 0 0.9998036026954651 1215 391 1251 429 in
1 0 0.9047399759292603 1250 393 1303 427 the
1 0 0.8351625204086304 1303 395 1452 427 polynomial
2 0 0.619206428527832 370 433 544 466 interpolation
2 0 0.9993742108345032 547 427 599 470 (to
2 0 0.9999884366989136 597 431 620 464 4
2 0 0.999927282333374 624 431 702 466 digits
2 0 0.9355117082595825 705 431 818 464 rounded
2 0 0.9996633529663086 821 429 884 470 up).
3 0 0.999946117401123 245 588 298 623 2.3
3 0 0.9998533725738525 310 588 425 627 Weight
3 0 0.8380337357521057 429 590 629 620 Initialization
4 0 0.9986012578010559 293 642 395 681 Weight
4 0 0.9979604482650757 396 644 571 674 initialization
4 0 0.9995881915092468 572 644 602 676 is
4 0 0.9997225403785706 602 648 629 678 a
4 0 0.9511932134628296 627 642 698 683 huge
4 0 0.9998877048492432 700 650 806 676 concern
4 0 0.9993719458580017 810 642 856 676 for
4 0 0.9913821816444397 858 646 944 672 neural
4 0 0.8590039014816284 951 646 1072 672 networks
4 0 0.9878738522529602 1079 644 1155 678 (Yam
4 0 0.9966291785240173 1157 644 1213 676 and
4 0 0.9999308586120605 1218 644 1299 676 Chow
4 0 0.9991592168807983 1304 646 1411 678 (2000)).
4 0 0.9999409914016724 1417 642 1454 678 In
4 1 0.9937446713447571 247 681 305 715 this
4 1 0.9997614026069641 308 687 396 719 paper,
4 1 0.9999624490737915 405 681 456 715 the
4 1 0.9993446469306946 459 681 566 719 weights
4 1 0.9991387128829956 572 685 659 711 within
4 1 0.9999828338623047 664 685 692 715 a
4 1 0.465759813785553 693 678 738 715 "lir"""
4 1 0.5424894690513611 727 681 753 713 :
4 1 0.999921441078186 757 687 805 713 are
4 1 0.8715488314628601 810 681 906 713 initiali
4 1 0.9987161159515381 921 681 947 713 d
4 1 0.9996578693389893 949 681 1017 713 such
4 1 0.9995303153991699 1022 681 1087 713 that
4 1 0.6000263690948486 1094 678 1162 719 F(a)
4 1 0.961640477180481 1172 681 1308 719 (Equation
4 1 0.9832335114479065 1314 681 1336 719 )
4 1 0.9986284971237183 1338 683 1367 715 is
4 1 0.9999598264694214 1369 685 1396 715 a
4 1 0.9997383952140808 1399 681 1454 715 line
5 0 0.991196870803833 247 724 333 749 across
5 0 0.9999898672103882 335 717 388 751 the
5 0 0.9822611212730408 386 715 454 756 link,
5 0 0.9964205026626587 456 717 508 751 the
5 0 0.9772827625274658 509 721 627 754 equation
5 0 0.9995461106300354 632 719 662 751 is
5 0 0.6896116137504578 664 721 727 756 givei
5 0 0.9995962977409363 742 724 776 751 as
6 0 0.9998123049736023 255 876 341 908 where
6 0 0.9931693077087402 345 883 386 910 Wa
6 0 0.999922513961792 388 876 418 908 is
6 0 0.775284469127655 421 878 511 904 chosen
6 0 0.9999401569366455 516 874 584 908 with
6 0 0.999440610408783 586 880 612 908 a
6 0 0.9520348906517029 614 878 720 904 uniform
6 0 0.9994173049926758 727 878 831 904 random
6 0 0.9666882157325745 836 876 997 906 distribution
6 0 0.9999879598617554 999 874 1035 910 in
6 0 0.9999860525131226 1035 874 1089 908 the
6 0 0.9994561076164246 1089 880 1170 913 range
6 0 0.7753280401229858 1173 874 1271 915 [-1,1].
7 0 0.9997106194496155 245 913 300 947 2.4
7 0 0.9998613595962524 310 913 456 951 Choosing
7 0 0.9999151229858398 461 913 577 951 Ranges
7 0 0.6899622678756714 581 919 650 951 Tmin
7 0 0.9972864389419556 654 913 715 947 and
7 0 0.9034149646759033 720 919 793 951 T'max
8 0 0.9990992546081543 295 966 425 1005 Choosing
8 0 0.9966349005699158 426 973 519 1005 proper
8 0 0.9981340765953064 519 968 614 1007 ranges
8 0 0.9966959953308105 615 966 660 1001 for
8 0 0.9998996257781982 662 966 712 1001 the
8 0 0.7892874479293823 712 966 781 999 links
8 0 0.9995119571685791 781 964 815 1003 is
8 0 0.9973043203353882 813 964 866 1007 key
8 0 0.9990684390068054 866 966 906 1001 to
8 0 0.986362874507904 904 966 1006 1005 getting
8 0 0.9878080487251282 1007 968 1079 1003 good
8 0 0.6017999649047852 1082 971 1211 999 solutions.
8 0 0.9999027252197266 1218 966 1279 999 The
8 0 0.998648464679718 1281 966 1386 1005 weights
8 0 0.9563696384429932 1389 966 1454 1001 used
8 1 0.9999502897262573 245 1003 280 1039 in
8 1 0.9993257522583008 285 1007 333 1037 the
8 1 0.6422013640403748 338 1005 468 1044 Lagrange
8 1 0.523208498954773 473 1007 624 1039 polynomial
8 1 0.9638108611106873 630 1007 805 1039 interpolation
8 1 0.9956296682357788 810 1003 853 1037 do
8 1 0.9999812841415405 853 1005 906 1037 not
8 1 0.7001850008964539 909 1005 987 1037 mark
8 1 0.9997602105140686 989 1005 1042 1037 the
8 1 0.9744958281517029 1045 1005 1127 1037 limits
8 1 0.8134803175926208 1130 1005 1163 1035 of
8 1 0.999616265296936 1167 1003 1218 1037 the
8 1 0.5716881155967712 1221 1007 1372 1039 polynomial
