block line confidence X1 Y1 X2 Y2 token
0 0 0.48163849115371704 212 128 403 158 Latropolating
0 0 0.8955694437026978 410 128 602 158 entanglement
0 0 0.9974568486213684 609 128 720 161 entropy
0 0 0.6859894394874573 723 124 783 158 and
0 0 0.2787037789821625 788 128 929 161 negatruty
0 0 0.9996267557144165 934 124 972 163 of
0 0 0.95055091381073 971 124 1085 163 disjoint
0 0 0.9614518880844116 1090 124 1216 156 itervals
0 0 0.9821264147758484 1220 124 1260 158 in
0 0 0.9978377223014832 1265 122 1339 156 CFT
0 1 0.7944937348365784 190 195 318 236 [31]L.J.
0 1 0.9993428587913513 318 199 405 232 Dixon,
0 1 0.9654006958007812 406 195 444 232 D.
0 1 0.9969965219497681 446 199 551 232 Friedan,
0 1 0.979152500629425 556 199 587 227 E.
0 1 0.7316522002220154 591 199 619 227 J.
0 1 0.99970942735672 622 201 737 225 Martinec
0 1 0.9987649917602539 737 197 791 229 and
0 1 0.9605898261070251 791 199 825 227 S.
0 1 0.9968859553337097 821 199 861 227 H.
0 1 0.7931153178215027 863 199 972 232 Shenker,
0 1 0.7239912748336792 974 197 1047 229 Nucl.
0 1 0.995973527431488 1049 199 1123 232 Phys.
0 1 0.9978609681129456 1125 201 1206 227 B282
0 1 0.9995332956314087 1211 199 1293 232 (1987)
0 1 0.9999037981033325 1294 197 1339 234 13;
0 2 0.673573911190033 277 266 516 305 L.Alvarez-Gaumé,
0 2 0.9944273233413696 519 270 556 302 G.
0 2 0.9803459048271179 557 272 599 298 W.
0 2 0.9986261129379272 599 272 685 298 Moore
0 2 0.999250590801239 688 268 743 302 and
0 2 0.9988459348678589 743 272 775 298 C.
0 2 0.9988237023353577 780 270 848 305 Vafa,
0 2 0.9917417764663696 853 275 974 298 Commun.
0 2 0.9957221746444702 979 272 1055 298 Math.
0 2 0.9982659220695496 1060 270 1133 305 Phys.
0 2 0.9894082546234131 1135 270 1196 302 106
0 2 0.9921729564666748 1193 270 1221 302 1
0 2 0.9939603805541992 1218 275 1303 300 (1986);
1 0 0.9998892545700073 1422 122 1464 158 28
2 0 0.988500714302063 282 236 325 264 Al.
2 0 0.9655545949935913 325 236 360 262 B.
2 0 0.5078076124191284 363 236 557 266 Zamolodchikov,
2 0 0.9923833012580872 561 234 630 266 Nucl.
2 0 0.9956733584403992 635 234 707 268 Phys.
2 0 0.9999904632568359 710 234 737 266 B
2 0 0.9999353885650635 737 234 795 266 285
2 0 0.9983626008033752 798 236 878 268 (1987)
2 0 0.999970555305481 881 234 937 268 481;
2 1 0.9304724335670471 282 307 315 337 E.
2 1 0.9668346047401428 320 309 423 335 Verlinde
2 1 0.9995991587638855 425 307 479 339 and
2 1 0.9972084164619446 479 307 516 339 H.
2 1 0.9979363679885864 519 307 632 339 Verlinde,
2 1 0.8714471459388733 635 307 705 339 Nucl.
2 1 0.9983079433441162 708 307 780 341 Phys.
2 1 0.9998887777328491 785 307 810 339 B
2 1 0.9999775886535645 811 307 868 339 288
2 1 0.8846263885498047 871 309 959 341 (1987)
2 1 0.9999414682388306 952 307 1011 339 357;
2 2 0.9803428053855896 278 341 355 375 V.G.
2 2 0.9949256181716919 360 345 479 371 Knizhnik,
2 2 0.9785866141319275 488 345 607 371 Commun.
2 2 0.9852772355079651 610 341 690 373 Math.
2 2 0.9882088899612427 695 343 766 375 Phys.
2 2 0.9990069270133972 770 343 833 375 112,
2 2 0.9413022398948669 836 343 918 375 (1987)
2 2 0.9999707937240601 919 343 974 375 567;
2 3 0.9979617595672607 278 375 325 410 M.
2 3 0.8882203698158264 318 380 468 412 Bershadsky
2 3 0.9996551275253296 469 378 524 410 and
2 3 0.9979228377342224 524 380 559 408 A.
2 3 0.9258400201797485 561 375 650 414 Radul,
2 3 0.9988941550254822 650 378 702 410 Int.
2 3 0.8223627805709839 703 380 732 408 J.
2 3 0.9980692267417908 735 378 805 410 Mod.
2 3 0.9961397051811218 808 378 881 412 Phys.
2 3 0.9991551637649536 884 378 954 412 A02,
2 3 0.9976428151130676 957 380 1006 410 165
2 3 0.9981483221054077 1009 380 1097 412 (1987);
3 0 0.9869672656059265 278 412 318 449 R.
3 0 0.9966766834259033 318 416 444 449 Dijkgraaf,
3 0 0.9946829676628113 448 414 479 444 E.
3 0 0.9964278340339661 484 414 514 444 P.
3 0 0.9713138341903687 519 416 624 442 Verlinde
3 0 0.9887873530387878 625 414 680 446 and
3 0 0.9981362819671631 680 416 715 444 H.
3 0 0.9879429936408997 715 412 750 449 L.
3 0 0.6816401481628418 755 418 864 444 Verlinde,
3 0 0.9828729033470154 871 418 991 442 Commun.
3 0 0.9989664554595947 997 416 1074 442 Math.
3 0 0.9962369203567505 1079 414 1152 449 Phys.
3 0 0.9999699592590332 1155 414 1210 446 115
3 0 0.7897121906280518 1213 416 1294 449 (1988)
3 0 0.9946112632751465 1294 414 1354 446 649.
3 1 0.7840046882629395 250 453 283 481 J.
3 1 0.9948412775993347 285 451 341 485 Fay,
3 1 0.9997363686561584 346 451 423 483 Theta
3 1 0.5625828504562378 426 455 541 481 functrons
3 1 0.9733467698097229 546 455 584 481 on
3 1 0.8679301142692566 589 453 702 479 Riemann
3 1 0.8773312568664551 708 455 811 481 surjaces,
3 1 0.9987126588821411 820 455 916 479 Lecture
3 1 0.989561140537262 921 453 994 479 Notes
3 1 0.9997439980506897 996 451 1029 481 in
3 1 0.9545261859893799 1030 451 1195 481 Mathematics
3 1 0.9989417195320129 1195 451 1258 483 352,
3 1 0.9775112867355347 1263 453 1460 485 Springer-Verlag,
3 2 0.9692953824996948 282 522 318 554 D.
3 2 0.8972519636154175 320 526 443 552 Mumford,
3 2 0.9997962117195129 451 522 512 554 Tata
3 2 0.996934175491333 516 526 610 550 lectures
3 2 0.9935116171836853 614 528 652 554 on
3 2 0.9999358654022217 657 524 730 550 Theta
3 2 0.9891301393508911 735 522 780 556 III,
3 2 0.9999685287475586 781 524 891 556 Progress
3 2 0.9999754428863525 891 519 926 556 in
3 2 0.930175244808197 924 522 1089 552 Mathematics
3 2 0.9953588843345642 1090 522 1138 556 97,
3 2 0.8671185374259949 1140 524 1283 556 Birkhauser,
3 2 0.9569134712219238 1289 526 1377 552 Boston
3 2 0.9999494552612305 1382 524 1450 556 1991;
3 3 0.5378659963607788 194 592 292 631 [33T.
3 3 0.5430853962898254 292 597 429 627 Giamarchi,
3 3 0.9977407455444336 439 599 552 625 Quantum
3 3 0.898544192314148 557 592 655 631 Physics
3 3 0.9789031744003296 655 597 692 629 in
3 3 0.988217294216156 693 597 747 623 One
3 3 0.9870592355728149 752 595 893 627 Dimension,
3 3 0.9367783069610596 898 597 986 623 Oxford
3 3 0.9989604949951172 992 595 1120 627 University
3 3 0.9997590184211731 1123 595 1201 627 Press,
3 3 0.9649555087089539 1205 597 1263 623 New
3 3 0.9996150732040405 1266 595 1333 627 York
3 3 0.9298645257949829 1333 592 1422 631 (2004).
3 4 0.7269824147224426 278 700 318 734 K.
3 4 0.9994613528251648 318 704 461 734 Audenaert,
3 4 0.7695537209510803 463 702 491 734 J.
3 4 0.8494852185249329 498 706 579 732 Eisert,
3 4 0.9955675005912781 582 704 622 732 M.
3 4 0.9948583841323853 624 704 659 732 B.
3 4 0.998485267162323 662 706 750 732 Plenio,
3 4 0.9993988275527954 752 702 806 734 and
3 4 0.9997665286064148 808 704 843 732 R.
