block line confidence X1 Y1 X2 Y2 token
0 0 0.9965705871582031 471 266 595 290 KAZUHIRO
0 0 0.9986409544944763 597 266 722 290 ICHIHARA,
0 0 0.995805025100708 723 266 833 290 MAKOTO
0 0 0.8266377449035645 833 266 926 290 OZAWA,
0 0 0.9745793342590332 928 266 984 290 AND
0 0 0.8654022812843323 982 264 1012 292 J.
0 0 0.9999809265136719 1009 266 1084 290 HYAM
0 0 0.9982365369796753 1084 266 1228 290 RUBINSTEIN
1 0 0.9681812524795532 776 734 876 760 FIGURE
1 0 0.9987155199050903 881 732 909 764 1.
2 0 0.9211238622665405 351 820 436 846 Claim
2 0 0.9965758919715881 439 816 474 852 2.
2 0 0.99519944190979 486 820 557 846 There
2 0 0.9999290704727173 562 827 605 848 are
2 0 0.9952717423439026 607 822 645 850 no
2 0 0.8087277412414551 647 822 800 852 compressing
2 0 0.9968869090080261 803 818 869 850 disks
2 0 0.9930776357650757 868 818 914 852 for
2 0 0.3768914043903351 914 818 957 852 Su
2 0 0.696296215057373 951 818 1027 852 NM+
2 0 0.9919185042381287 1035 820 1067 850 in
2 0 0.38655588030815125 1067 814 1120 857 Hp.
2 1 0.6909746527671814 348 945 503 977 compressing
2 1 0.9994850158691406 504 943 561 975 disk
2 1 0.9984875917434692 562 943 602 971 for
2 1 0.6075915694236755 605 943 645 977 Sp
2 1 0.6191128492355347 644 943 718 977 OM+
2 1 0.999886155128479 722 941 757 977 in
2 1 0.48677921295166016 757 941 801 977 H,
2 1 0.9996418952941895 805 945 906 977 appears
2 1 0.9999779462814331 906 941 951 975 for
2 1 0.8323516249656677 949 941 974 973 t'
2 1 0.9793092012405396 977 943 1004 973 >
2 1 0.9956900477409363 1004 943 1027 973 t.
3 0 0.9187163710594177 351 874 428 908 Proof.
3 0 0.6343631148338318 436 876 466 904 If
3 0 0.9994353652000427 458 876 521 902 such
3 0 0.9994744658470154 521 876 546 906 a
3 0 0.978158175945282 544 876 697 908 compressing
3 0 0.9831053614616394 697 872 753 906 disk
3 0 0.9692721962928772 755 876 828 902 exists
3 0 0.9998669624328613 828 874 859 904 in
3 0 0.7317413687705994 861 872 913 908 Hp,
3 0 0.9991625547409058 916 876 976 902 then
3 0 0.9863946437835693 979 876 1045 902 there
3 0 0.7559707164764404 1045 876 1120 902 exists
3 0 0.997930645942688 1118 878 1145 906 a
3 0 0.8327668905258179 1142 876 1296 906 compressing
3 0 0.9983420372009277 1296 872 1353 906 disk
3 1 0.9999160766601562 346 906 381 943 in
3 1 0.9832074642181396 383 910 413 941 St
3 1 0.5280182361602783 411 910 486 943 NM+
3 1 0.9999455213546753 489 906 524 943 in
3 1 0.21924982964992523 524 906 562 945 H
3 1 0.9995331764221191 569 906 612 941 for
3 1 0.9636537432670593 610 908 632 941 t
3 1 0.9924696087837219 630 910 659 938 <
3 1 0.7479208111763 660 906 677 936 t
3 1 0.9995079040527344 677 906 715 943 by
3 1 0.9989457726478577 718 910 795 936 Claim
3 1 0.9999690055847168 798 908 826 941 1,
3 1 0.923235297203064 828 910 994 941 contradicting
3 1 0.9997109770774841 997 910 1042 938 the
3 1 0.9345610737800598 1042 910 1187 941 assumption
3 1 0.9990419745445251 1190 910 1246 936 that
3 1 0.9994307160377502 1251 908 1296 936 the
3 1 0.9997578263282776 1296 906 1353 938 first
3 2 0.7119975686073303 380 1003 451 1035 Thus
3 2 0.9999698400497437 454 1005 499 1033 the
3 2 0.9991713762283325 501 1003 557 1035 side
3 2 0.5115475654602051 562 1005 610 1035 M
3 2 0.9527440071105957 615 1007 682 1033 must
3 2 0.9999829530715942 687 1005 722 1033 be
3 2 0.9999849796295166 727 1007 803 1033 where
3 2 0.9999382495880127 808 1005 853 1033 the
3 2 0.999427318572998 856 1003 913 1035 first
3 2 0.5728212594985962 914 1007 1069 1037 compressing
3 2 0.9918105006217957 1070 1003 1128 1035 disk
3 2 0.9999822378158569 1130 1005 1162 1035 in
3 2 0.24879154562950134 1167 1001 1208 1039 Hp
3 2 0.9897353649139404 1218 1011 1316 1037 appears
3 2 0.9974433183670044 1319 1007 1353 1035 at
3 3 0.9999727010726929 348 1041 396 1072 the
3 3 0.9906308054924011 398 1041 458 1067 level
3 3 0.8591757416725159 459 1037 486 1072 t'
3 3 0.9881488680839539 493 1037 519 1072 (t
3 3 0.9057841300964355 519 1039 551 1069 <
3 3 0.4485265016555786 549 1035 572 1069 E
3 3 0.9478873610496521 571 1037 645 1072 <t).
3 3 0.9985540509223938 655 1041 722 1067 That
3 3 0.9925249814987183 723 1037 760 1074 is,
3 3 0.2301476150751114 763 1039 805 1074 Str
3 3 0.894278347492218 801 1039 876 1072 AM
3 3 0.9998832941055298 886 1041 933 1067 has
3 3 0.9940020442008972 936 1046 957 1067 a
3 3 0.9642568230628967 959 1041 1115 1074 compressing
3 3 0.997948944568634 1117 1037 1175 1069 disk
3 3 0.9999697208404541 1175 1039 1208 1069 in
3 3 0.19857075810432434 1210 1033 1268 1078 Hp.
3 3 0.9999434947967529 1275 1039 1351 1072 Then,
3 4 0.9999628067016602 348 1072 420 1104 there
3 4 0.9999046325683594 420 1078 466 1104 are
3 4 0.9327795505523682 468 1078 506 1104 no
3 4 0.8071022033691406 509 1076 662 1106 compressing
3 4 0.9935380816459656 665 1072 733 1104 disks
3 4 0.9998680353164673 737 1074 778 1102 for
3 4 0.4238783121109009 781 1072 823 1106 S
3 4 0.47706565260887146 820 1072 898 1106 NM+
3 4 0.9999213218688965 903 1072 936 1102 in
3 4 0.3441740572452545 939 1065 996 1115 HD,
3 4 0.992978036403656 999 1074 1037 1102 for
3 4 0.9879206418991089 1042 1072 1067 1104 S
3 4 0.9998929500579834 1070 1072 1099 1104 is
3 4 0.999489426612854 1100 1074 1203 1106 strongly
3 4 0.7781045436859131 1208 1072 1349 1102 irreducible.
3 5 0.7994605302810669 350 1112 459 1138 Together
3 5 0.8341547250747681 463 1106 526 1138 with
3 5 0.9026122093200684 527 1106 605 1138 Claim
3 5 0.9999053478240967 607 1108 635 1140 2,
3 5 0.9996633529663086 637 1112 677 1138 we
3 5 0.9941771030426025 679 1110 788 1134 conclude
3 5 0.9999412298202515 791 1108 856 1140 that,
3 5 0.9991231560707092 859 1108 899 1136 for
3 5 0.8493199944496155 899 1106 924 1138 t'
3 5 0.9063531160354614 926 1108 956 1136 >
3 5 0.9377245306968689 954 1106 977 1136 t
3 5 0.942879319190979 967 1106 1024 1138 and
3 5 0.5944281220436096 1025 1104 1050 1138 t'
3 5 0.9992734789848328 1052 1110 1112 1142 very
3 5 0.9977471232414246 1110 1106 1178 1138 close
3 5 0.9985021352767944 1178 1110 1211 1138 to
3 5 0.47283604741096497 1211 1104 1235 1140 €
3 5 0.9997982382774353 1238 1106 1308 1138 there
3 5 0.9663918614387512 1308 1112 1353 1138 are
3 6 0.9615954756736755 346 1147 388 1173 no
3 6 0.962568461894989 386 1145 541 1175 compressing
3 6 0.9993104934692383 542 1140 610 1173 disks
3 6 0.9999682903289795 609 1138 654 1173 for
3 6 0.4473174214363098 657 1142 693 1175 Spr
3 6 0.6913962960243225 692 1140 768 1175 NM+
3 6 0.9998801946640015 771 1140 805 1170 in
3 6 0.6113893985748291 805 1138 866 1179 M+,
3 6 0.9404661059379578 864 1140 918 1175 i.e.,
3 6 0.3334135115146637 921 1140 961 1175 Sur
3 6 0.47027164697647095 957 1140 1034 1175 NM+
3 6 0.9995582699775696 1037 1140 1067 1173 is
3 6 0.863348662853241 1065 1142 1250 1173 incompressible
3 6 0.9999327659606934 1250 1138 1284 1175 in
3 6 0.8073283433914185 1284 1140 1341 1179 M+.
3 7 0.9881844520568848 380 1170 451 1211 Also,
3 7 0.9973359704017639 449 1177 483 1207 at
3 7 0.9999377727508545 481 1173 529 1207 the
3 7 0.9983842372894287 529 1177 589 1203 level
3 7 0.9914656281471252 587 1175 609 1207 t
3 7 0.9013724327087402 607 1175 634 1207 (t
3 7 0.903611421585083 634 1173 712 1207 <t<
3 7 0.8759068250656128 710 1175 753 1209 t),
3 7 0.9997699856758118 755 1175 825 1207 there
3 7 0.9998624324798584 825 1177 911 1203 cannot
3 7 0.9997907280921936 913 1177 947 1205 be
3 7 0.9999749660491943 947 1179 999 1211 any
3 7 0.9896895885467529 997 1179 1152 1209 compressing
3 7 0.9935871362686157 1150 1175 1220 1207 disks
3 7 0.9999831914901733 1218 1175 1250 1205 in
3 7 0.4358557164669037 1250 1173 1341 1211 S.OM
3 8 0.9998650550842285 346 1205 381 1241 in
3 8 0.3835116922855377 378 1200 429 1246 HO.
3 8 0.9967980980873108 438 1209 539 1235 Because
3 8 0.9773054122924805 537 1207 566 1237 if
3 8 0.9955880641937256 561 1207 624 1239 such
3 8 0.9997604489326477 620 1209 645 1239 a
3 8 0.8810964226722717 644 1209 803 1241 compressible
3 8 0.9935581088066101 803 1209 858 1235 disk
3 8 0.9849227666854858 858 1209 939 1241 exists,
3 8 0.9988677501678467 939 1207 1002 1239 then
3 8 0.9999330043792725 1001 1207 1027 1239 it
3 8 0.9985495209693909 1025 1209 1092 1243 gives
3 8 0.9998899698257446 1092 1216 1112 1237 a
3 8 0.9909999966621399 1112 1211 1266 1241 compressing
3 8 0.975482165813446 1266 1207 1323 1239 disk
3 8 0.9999724626541138 1321 1207 1353 1237 in
3 9 0.42090657353401184 346 1237 458 1278 SpNM
3 9 0.9998108744621277 461 1239 491 1271 in
3 9 0.36108213663101196 494 1237 537 1276 HO
3 9 0.9998757839202881 539 1239 577 1276 by
3 9 0.9977691173553467 579 1239 657 1271 Claim
3 9 0.9995952248573303 657 1239 688 1278 1,
3 9 0.9201658368110657 687 1241 854 1274 contradicting
3 9 0.9991046786308289 854 1239 914 1271 that
3 9 0.7179796099662781 916 1243 956 1269 St
3 9 0.3735694885253906 947 1239 1019 1271 NM
3 9 0.9993067979812622 1025 1239 1089 1271 does
3 9 0.9988943934440613 1089 1243 1137 1269 not
3 9 0.9928365349769592 1137 1243 1198 1269 have
3 9 0.9936535358428955 1198 1243 1351 1274 compressing
3 10 0.9765441417694092 346 1274 416 1306 disks
3 10 0.9994310736656189 416 1278 454 1306 on
3 10 0.9989977478981018 456 1274 521 1306 both
3 10 0.9972392320632935 522 1276 592 1301 sides.
3 10 0.9994552731513977 600 1274 669 1308 Also,
3 10 0.9996490478515625 670 1276 703 1304 at
3 10 0.9999986886978149 705 1276 752 1301 the
3 10 0.9123609662055969 753 1276 813 1301 level
3 10 0.971120297908783 815 1276 843 1308 t,
3 10 0.8943804502487183 845 1276 913 1301 there
3 10 0.9998605251312256 914 1278 1002 1301 cannot
3 10 0.9813979864120483 1007 1276 1042 1304 be
3 10 0.9999560117721558 1042 1278 1095 1310 any
3 10 0.9177940487861633 1097 1276 1251 1308 compressing
3 10 0.9981940388679504 1251 1274 1321 1306 disks
3 10 0.9999599456787109 1321 1276 1353 1304 in
3 11 0.46145185828208923 348 1306 383 1342 S,
3 11 0.7308390140533447 378 1308 448 1340 OM
3 11 0.9999905824661255 454 1308 484 1338 in
3 11 0.15774653851985931 486 1301 536 1344 H),
3 11 0.9976115226745605 539 1306 582 1340 for
3 11 0.9999468326568604 582 1310 627 1336 the
3 11 0.7415609359741211 629 1310 682 1336 first
3 11 0.6884790062904358 683 1310 836 1342 compressing
3 11 0.9923074245452881 838 1306 894 1340 disk
3 11 0.9840643405914307 894 1306 937 1340 for
3 11 0.5876039266586304 937 1306 976 1342 Str
3 11 0.5384324193000793 976 1310 1042 1336 OM
3 11 0.9997208714485168 1049 1310 1082 1338 in
3 11 0.2580297291278839 1080 1301 1128 1347 H
3 11 0.664359986782074 1130 1312 1228 1338 appears
3 11 0.9986456036567688 1231 1308 1271 1336 for
3 11 0.7521426677703857 1271 1304 1296 1338 t'
3 11 0.535538375377655 1299 1308 1324 1338 >
3 11 0.21868564188480377 1326 1301 1351 1338 i.
3 12 0.9998936653137207 350 1342 395 1370 We
3 12 0.7965980172157288 396 1344 506 1368 conclude
3 12 0.9997922778129578 508 1340 567 1372 that
3 12 0.9971238970756531 567 1340 637 1372 there
3 12 0.999937891960144 637 1344 725 1368 cannot
3 12 0.9998337030410767 727 1342 763 1370 be
3 12 0.9997523427009583 763 1344 816 1377 any
3 12 0.942642867565155 815 1344 969 1375 compressing
3 12 0.997071385383606 969 1340 1039 1372 disks
3 12 0.999639630317688 1037 1338 1080 1372 for
3 12 0.3981684744358063 1082 1340 1182 1372 SOM
3 12 0.9998251795768738 1187 1340 1220 1370 in
3 12 0.4784162938594818 1220 1342 1268 1372 M
3 12 0.9979144930839539 1273 1342 1304 1370 at
3 12 0.9999929666519165 1306 1342 1351 1370 the
3 13 0.9999247789382935 348 1372 410 1405 level
3 13 0.9969491362571716 413 1375 438 1409 t,
3 13 0.9832932949066162 443 1375 493 1409 i.e.,
3 13 0.6785869598388672 498 1372 532 1409 St
3 13 0.43644508719444275 531 1372 607 1407 OM
3 13 0.9963935017585754 614 1372 642 1405 is
3 13 0.5195568799972534 644 1375 826 1407 incompressible
3 13 0.9979956150054932 828 1370 864 1407 in
3 13 0.8327142596244812 866 1370 913 1405 M_
3 13 0.9989961981773376 936 1370 999 1405 This
3 13 0.9993701577186584 1001 1370 1070 1411 gives
3 13 0.9988588094711304 1072 1375 1120 1405 the
3 13 0.9984266757965088 1122 1377 1206 1402 second
3 13 0.9977317452430725 1211 1377 1270 1402 case
3 13 0.9146315455436707 1271 1372 1304 1402 of
3 13 0.9999423027038574 1308 1375 1353 1402 the
3 14 0.999840497970581 383 1441 473 1473 Finally
3 14 0.9999964237213135 476 1441 521 1469 the
3 14 0.9993543028831482 524 1441 589 1467 third
3 14 0.9967098236083984 591 1443 649 1469 case
3 14 0.9965787529945374 649 1443 732 1469 occurs
3 14 0.9999707937240601 733 1439 805 1471 when
3 14 0.6254856586456299 805 1439 840 1475 St
3 14 0.4608211815357208 836 1437 911 1478 OM+
3 14 0.9999051094055176 916 1441 964 1471 has
3 14 0.9986302852630615 964 1448 1001 1467 no
3 14 0.9533042311668396 1002 1443 1157 1473 compressing
3 14 0.9989410042762756 1157 1439 1215 1471 disk
3 14 0.9998788833618164 1215 1439 1245 1469 in
3 14 0.49284783005714417 1246 1433 1293 1478 HO
3 14 0.9983370304107666 1291 1437 1336 1471 for
3 14 0.9848987460136414 1333 1437 1354 1471 t
3 15 0.9984862804412842 346 1478 408 1510 very
3 15 0.6313453912734985 410 1473 474 1506 close
3 15 0.9999749660491943 476 1475 509 1503 to
3 15 0.6768882870674133 511 1467 532 1503 i
3 15 0.9990350008010864 531 1473 584 1506 and
3 15 0.9964659214019775 584 1473 605 1506 t
3 15 0.9477971196174622 605 1473 635 1503 <
3 15 0.41762638092041016 632 1469 659 1503 €.
3 15 0.9995170831680298 669 1473 700 1503 In
3 15 0.9889553189277649 703 1475 755 1501 this
3 15 0.9998843669891357 758 1480 821 1506 case,
3 15 0.9997095465660095 823 1473 894 1506 there
3 15 0.9986288547515869 896 1480 942 1503 are
3 15 0.9997400641441345 944 1482 979 1501 no
3 15 0.9444894790649414 981 1475 1137 1508 compressing
3 15 0.9974314570426941 1138 1473 1196 1506 disk
3 15 0.9998371601104736 1198 1475 1238 1503 for
3 15 0.9613850712776184 1243 1475 1276 1506 St
3 15 0.4631204903125763 1268 1473 1348 1508 NM+
3 16 0.9991832375526428 345 1506 381 1544 in
3 16 0.5496140122413635 380 1503 436 1546 H,
3 16 0.9998636245727539 438 1506 479 1540 for
3 16 0.9999910593032837 481 1510 526 1538 the
3 16 0.9998189806938171 529 1506 586 1538 first
3 16 0.8146386742591858 587 1510 742 1542 compressing
3 16 0.9985900521278381 743 1508 801 1540 disk
3 16 0.9999682903289795 801 1506 846 1540 for
3 16 0.43761852383613586 848 1506 888 1542 Str
3 16 0.8331164717674255 888 1508 964 1542 OM+
3 16 0.9998212456703186 967 1508 999 1538 in
3 16 0.27397140860557556 1001 1501 1050 1546 H)
3 16 0.9992511868476868 1052 1510 1153 1542 appears
3 16 0.9999525547027588 1155 1506 1198 1540 for
3 16 0.9070945382118225 1198 1506 1223 1536 t'
3 16 0.9971632361412048 1230 1512 1256 1536 >
3 16 0.9338951110839844 1256 1506 1281 1536 t.
3 16 0.9999066591262817 1289 1506 1353 1538 This
3 17 0.806213915348053 348 1542 439 1574 implies
3 17 0.9997661709785461 443 1540 503 1572 that
3 17 0.971163809299469 506 1542 536 1572 St
3 17 0.6180520057678223 536 1540 612 1574 OM+
3 17 0.999941349029541 617 1540 645 1572 is
3 17 0.7378442287445068 645 1542 830 1574 incompressible
3 17 0.9999287128448486 831 1540 863 1570 in
3 17 0.8266962766647339 868 1540 924 1574 M+.
3 17 0.9993487000465393 934 1542 966 1570 In
3 17 0.9999305009841919 971 1542 1016 1570 the
3 17 0.9036426544189453 1017 1544 1085 1570 same
3 17 0.9868035912513733 1089 1542 1148 1576 way,
3 17 0.9963245987892151 1152 1542 1183 1570 St
3 17 0.5449169874191284 1182 1540 1258 1572 AM-
3 17 0.9997438788414001 1266 1542 1314 1572 has
3 17 0.9983541965484619 1314 1546 1353 1572 no
4 0 0.7007243633270264 350 1411 458 1437 theorem.
5 0 0.9910594820976257 346 1576 503 1609 compressing
5 0 0.9562211632728577 503 1572 559 1607 disk
5 0 0.9999018907546997 561 1574 592 1604 in
5 0 0.7509509325027466 594 1568 645 1611 H).
6 0 0.9478276968002319 351 1630 436 1656 Claim
6 0 0.9969966411590576 441 1628 473 1658 3.
6 0 0.9994470477104187 484 1628 559 1660 There
6 0 0.9972018003463745 561 1634 607 1658 are
6 0 0.9852295517921448 609 1637 645 1656 no
6 0 0.7646878957748413 647 1632 800 1662 compressing
6 0 0.988720715045929 801 1628 869 1660 disks
6 0 0.9573206901550293 868 1628 916 1662 for
6 0 0.9631271362304688 914 1632 946 1658 St
6 0 0.41940587759017944 944 1628 1020 1660 NM
6 0 0.987565815448761 1027 1628 1060 1658 in
6 0 0.32689985632896423 1062 1626 1110 1662 HO.
7 0 0.9794347882270813 351 1684 428 1718 Proof.
7 0 0.9999654293060303 433 1680 466 1718 If
7 0 0.9999271631240845 463 1684 526 1716 such
7 0 0.9994444251060486 527 1688 552 1716 a
7 0 0.9940379858016968 552 1686 707 1716 compressing
7 0 0.9990001320838928 708 1682 768 1714 disk
7 0 0.9997584223747253 770 1686 843 1712 exists
7 0 0.997236967086792 850 1684 889 1712 for
7 0 0.8156906962394714 894 1684 924 1716 St
7 0 0.5868252515792847 926 1686 961 1712 0
7 0 0.43762707710266113 952 1684 1001 1714 M
7 0 0.999913215637207 1007 1684 1039 1714 in
7 0 0.3956623673439026 1042 1677 1094 1720 HP,
7 0 0.9994078874588013 1099 1682 1162 1714 then
7 0 0.9999114274978638 1162 1682 1190 1714 it
7 0 0.9311368465423584 1193 1686 1291 1712 extends
7 0 0.9997538924217224 1294 1686 1329 1714 to
7 0 0.9999313354492188 1329 1690 1353 1712 a
7 1 0.5363456606864929 348 1720 503 1750 compressing
7 1 0.9670162796974182 501 1716 559 1750 disk
7 1 0.9984291195869446 556 1714 591 1750 in
7 1 0.17256084084510803 591 1718 693 1750 SMNM
7 1 0.9970836043357849 698 1716 728 1748 in
7 1 0.4886784255504608 730 1714 773 1753 HO
7 1 0.9941835999488831 775 1714 820 1748 for
7 1 0.9692226052284241 816 1716 841 1746 t'
7 1 0.9868614077568054 843 1718 869 1748 >
7 1 0.6910333037376404 871 1714 924 1750 Eby
7 1 0.9983171224594116 926 1716 1004 1748 Claim
7 1 0.8190558552742004 1006 1718 1034 1748 1.
7 1 0.9999425411224365 1037 1716 1099 1748 This
7 1 0.9972811937332153 1097 1718 1165 1753 gives
7 1 0.9966875910758972 1163 1720 1188 1748 a
7 1 0.9775097966194153 1185 1716 1351 1746 contradiction
7 2 0.9999502897262573 348 1753 381 1783 to
7 2 0.9997634291648865 381 1753 426 1781 the
7 2 0.9840843081474304 425 1753 509 1785 strong
7 2 0.5559061765670776 509 1753 670 1783 irreducibility
7 2 0.993732750415802 672 1750 703 1781 of
7 2 0.9998656511306763 700 1748 748 1783 the
7 2 0.9788526892662048 747 1753 854 1785 splitting
7 2 0.9880332946777344 856 1750 928 1785 (resp.
7 2 0.9999966621398926 934 1753 979 1778 the
7 2 0.6928603649139404 977 1753 1122 1785 assumption
7 2 0.9999682903289795 1125 1753 1180 1778 that
7 2 0.2559734284877777 1183 1750 1288 1783 SNM
7 2 0.9998799562454224 1291 1753 1351 1778 does
7 3 0.9995923638343811 348 1787 395 1813 not
7 3 0.9935071468353271 398 1783 463 1815 have
7 3 0.9732351899147034 466 1787 620 1817 compressing
7 3 0.9600839614868164 622 1783 692 1815 disks
7 3 0.9999711513519287 693 1791 730 1811 on
7 3 0.9998859167098999 735 1783 798 1815 both
7 3 0.8994783759117126 803 1785 876 1817 sides)
7 3 0.9999793767929077 881 1783 913 1813 in
7 3 0.999967098236084 918 1785 962 1813 the
7 3 0.7656476497650146 966 1789 1022 1813 case
7 3 0.9999825954437256 1025 1783 1085 1815 that
7 3 0.9997463822364807 1089 1781 1137 1815 the
7 3 0.9779833555221558 1138 1783 1195 1815 first
7 3 0.9908934831619263 1196 1787 1351 1817 compressing
7 4 0.9994626641273499 348 1817 405 1849 disk
7 4 0.9998311996459961 405 1819 438 1847 at
7 4 0.9997215867042542 439 1819 488 1849 the
7 4 0.9989709854125977 486 1817 551 1849 level
7 4 0.7489854097366333 551 1815 574 1847 t'
7 4 0.9984747767448425 577 1819 605 1849 >
7 4 0.511914074420929 604 1815 625 1849 i
7 4 0.9875661134719849 627 1824 723 1849 appears
7 4 0.9999589920043945 725 1817 757 1847 in
7 4 0.999995231628418 760 1819 805 1847 the
7 4 0.976547122001648 808 1817 858 1854 M+
7 4 0.9991355538368225 859 1817 916 1849 side
7 4 0.9901605844497681 919 1819 991 1851 (resp.
7 4 0.9999101161956787 997 1819 1045 1849 the
7 4 0.9761868715286255 1045 1815 1090 1849 M_
7 4 0.9971049427986145 1100 1817 1168 1851 side).
7 5 0.7881568074226379 383 1886 504 1909 Theretore
7 5 0.9971820116043091 509 1890 547 1909 we
7 5 0.6567482352256775 551 1884 662 1909 conclude
7 5 0.9921024441719055 665 1882 732 1914 that,
7 5 0.9999268054962158 735 1879 780 1914 for
7 5 0.999115526676178 776 1882 800 1912 t
7 5 0.9477235078811646 800 1884 828 1912 <
7 5 0.3424745500087738 830 1877 851 1912 t
7 5 0.9986997842788696 850 1882 906 1914 and
7 5 0.9997312426567078 908 1886 924 1909 t
7 5 0.9998495578765869 928 1884 1060 1914 arbitrarily
7 5 0.9993361830711365 1064 1884 1128 1909 close
7 5 0.9999637603759766 1130 1884 1163 1912 to
7 5 0.9875717163085938 1165 1882 1190 1914 t,
7 5 0.9977545142173767 1196 1884 1265 1909 there
7 5 0.9989759922027588 1270 1890 1313 1912 are
7 5 0.99957674741745 1316 1890 1351 1909 no
8 0 0.8793520331382751 346 1918 503 1950 compressing
8 0 0.8202004432678223 503 1914 572 1946 disks
8 0 0.9992212057113647 574 1916 614 1944 for
8 0 0.9979890584945679 615 1916 692 1942 either
8 0 0.9893189072608948 697 1916 725 1946 St
8 0 0.5327392220497131 723 1914 801 1948 NM+
8 0 0.9653846025466919 803 1918 840 1946 or
8 0 0.9555362462997437 841 1916 869 1944 St
8 0 0.43330711126327515 869 1914 944 1946 AM
9 0 0.804280698299408 1324 1914 1351 1942 D
