block line confidence X1 Y1 X2 Y2 token
0 0 0.9999778270721436 1531 77 1565 107 13
1 0 0.9795894026756287 145 146 235 187 crystal
1 0 0.9989033937454224 239 150 335 178 without
1 0 0.9418867230415344 340 148 502 180 time-reversal
1 0 0.9190478324890137 505 150 636 185 symmetry.
1 0 0.6447299718856812 642 146 713 180 Once
1 0 0.9997127652168274 713 150 793 185 again,
1 0 0.9822047352790833 794 153 836 180 we
1 0 0.9911780953407288 875 148 946 182 ment
1 0 0.9997454285621643 944 146 994 182 the
1 0 0.7043107748031616 996 150 1117 178 numerical
1 0 0.9996896982192993 1120 150 1206 178 results
1 0 0.9933742880821228 1209 148 1240 180 of
1 0 0.9990736246109009 1240 146 1287 182 the
1 0 0.996607780456543 1288 150 1411 185 preceding
1 0 0.9990978240966797 1411 148 1502 182 section
1 0 0.9999816417694092 1503 146 1565 180 with
1 1 0.7336170673370361 146 182 276 216 emphasize
1 1 0.9999685287475586 279 178 339 214 that
1 1 0.9999178647994995 340 178 394 212 this
1 1 0.9975518584251404 394 178 466 212 effect
1 1 0.9915675520896912 470 178 549 212 would
1 1 0.9998847246170044 549 178 589 214 be
1 1 0.8932487368583679 589 180 675 214 absent
1 1 0.999971866607666 676 180 707 212 in
1 1 0.9997757077217102 710 178 759 214 the
1 1 0.5997381210327148 760 182 833 210 linear
1 1 0.5975222587585449 877 178 1022 219 asimplified
1 1 0.9949874877929688 1020 180 1143 214 analytical
1 1 0.9925409555435181 1143 180 1246 214 solution
1 1 0.9933146834373474 1248 180 1279 212 of
1 1 0.98701012134552 1277 180 1324 216 Eq.
1 1 0.29681098461151123 1326 175 1387 221 (20).
1 1 0.9998962879180908 1393 180 1448 216 Our
1 1 0.9872035384178162 1448 182 1563 216 approach
1 2 0.9928323030471802 145 210 331 251 approximation
1 2 0.9762362837791443 331 212 363 242 of
1 2 0.9999628067016602 363 210 413 244 the
1 2 0.9972870349884033 411 214 499 248 energy
1 2 0.6444733142852783 502 212 620 246 spectrum
1 2 0.9985414743423462 621 210 715 244 around
1 2 0.9788140654563904 718 212 765 244 the
1 2 0.9995723366737366 768 210 835 246 Weyl
1 2 0.999883770942688 877 212 907 244 is
1 2 0.9191713929176331 907 212 985 248 partly
1 2 0.9982038736343384 988 210 1078 244 related
1 2 0.9998530149459839 1082 212 1116 242 to
1 2 0.9993581175804138 1116 210 1175 244 that
1 2 0.9859730005264282 1175 212 1209 242 of
1 2 0.9811687469482422 1208 210 1264 244 Ref.
1 2 0.3860469162464142 1269 207 1327 251 [33),
1 2 0.9998455047607422 1330 210 1406 244 which
1 2 0.9901774525642395 1408 210 1505 244 studied
1 2 0.9918918609619141 1505 214 1563 242 two-
1 3 0.9983965754508972 172 342 243 376 Thus
1 3 0.991388738155365 245 342 293 381 far,
1 3 0.9994959831237793 295 349 337 376 we
1 3 0.9999099969863892 337 342 402 376 have
1 3 0.7457035779953003 403 347 510 374 assumed
1 3 0.9999799728393555 515 342 573 376 that
1 3 0.9999654293060303 576 344 623 376 the
1 3 0.9597448110580444 623 342 738 376 direction
1 3 0.9530980587005615 738 340 773 379 of
1 3 0.8494024872779846 773 342 833 379 light
1 3 0.9993409514427185 877 340 912 374 at
1 3 0.9998070597648621 910 340 993 374 length
1 3 0.999482274055481 993 338 1070 372 scales
1 3 0.9996178150177002 1069 338 1129 372 that
1 3 0.9955857992172241 1129 340 1169 370 far
1 3 0.9964860677719116 1171 338 1256 372 exceed
1 3 0.9999864101409912 1259 340 1303 370 the
1 3 0.995909571647644 1303 340 1423 374 screening
1 3 0.9987488985061646 1424 340 1515 374 length,
1 3 0.9775646924972534 1513 340 1565 376 i.e.,
1 4 0.9982225298881531 146 376 298 411 propagation
1 4 0.9992417097091675 298 372 332 411 is
1 4 0.9998012185096741 331 374 403 411 along
1 4 0.9995373487472534 407 372 455 408 the
1 4 0.9992589354515076 457 376 557 411 positive
1 4 0.8384115099906921 560 376 584 408 2
1 4 0.9126794338226318 586 376 704 404 direction.
1 4 0.9998410940170288 717 374 746 406 If
