block line confidence X1 Y1 X2 Y2 token
0 0 0.9396030902862549 612 146 808 178 Planck-Star
0 0 0.39218923449516296 816 148 1097 180 Tumnelling-Tmes
1 0 0.7267227172851562 177 193 227 227 an
1 0 0.9901567697525024 234 191 489 229 Astrophysically
1 0 0.9988424181938171 496 191 642 223 Relevant
1 0 0.9634509086608887 652 191 836 223 Observable
1 0 0.5683529376983643 843 191 924 225 from
1 0 0.8263987302780151 934 191 1216 229 Background-Proe
1 0 0.9888632297515869 1221 191 1379 229 Quantum
1 0 0.9920673370361328 1387 191 1530 229 Gravity*
2 0 0.9998121857643127 405 264 491 290 Marios
2 0 0.8994544148445129 499 262 695 294 "Christodoulou"","
2 0 0.7927445769309998 703 259 778 292 Carlo
2 0 0.5781477689743042 783 262 891 294 Rovellio,
2 0 0.9348526000976562 899 264 992 290 Simone
2 0 0.9866834282875061 997 259 1123 298 "Speziale"","
2 0 0.9672658443450928 1128 262 1183 296 Ilya
2 0 0.31854957342147827 1187 257 1308 298 Vilensky*
3 0 0.9165549874305725 848 326 863 348 #
3 1 0.9300736784934998 727 358 816 391 (Dated:
3 1 0.9998987913131714 820 358 878 393 May
3 1 0.9998582601547241 878 360 918 388 29,
3 1 0.998601496219635 918 358 987 391 2020)
4 0 0.9990235567092896 297 421 327 453 A
4 0 0.7265791893005371 328 423 498 455 gravitationally
4 0 0.9980584979057312 503 423 610 455 collapsed
4 0 0.999221682548523 614 423 690 455 object
4 0 0.9611305594444275 692 423 743 455 can
4 0 0.9467242956161499 747 423 876 451 bounce-out
4 0 0.9356082081794739 879 421 941 453 from
4 0 0.9995112419128418 942 423 979 451 its
4 0 0.9995458722114563 982 423 1070 449 horizon
4 0 0.9980413913726807 1075 423 1117 451 via
4 0 0.9998300075531006 1117 423 1142 453 a
4 0 0.9975104331970215 1143 423 1263 455 tunnelling
4 0 0.9982068538665771 1270 427 1353 453 process
4 0 0.999491810798645 1358 421 1414 453 that
4 1 0.9992777705192566 300 453 391 479 violates
4 1 0.9999996423721313 390 453 433 479 the
4 1 0.9058974981307983 433 453 527 479 classical
4 1 0.9201086163520813 529 455 639 481 equations
4 1 0.9998908042907715 639 451 669 481 in
4 1 0.7412900328636169 670 457 692 479 a
4 1 0.9907625317573547 683 451 752 485 finite
4 1 0.9736020565032959 752 453 833 485 region.
4 1 0.9994408488273621 838 453 903 479 Since
4 1 0.9993904829025269 904 455 1020 481 tunnelling
4 1 0.9996665716171265 1020 451 1047 481 is
4 1 0.9998937845230103 1044 457 1065 479 a
4 1 0.8457974195480347 1064 451 1260 483 non-perturbative
4 1 0.7137803435325623 1258 453 1411 485 phenomenon,
4 2 0.9998276233673096 297 479 323 511 it
4 2 0.9999181032180786 322 483 403 509 cannot
4 2 0.9999585151672363 403 481 438 509 be
4 2 0.9434853792190552 434 479 547 511 described
4 2 0.9999420642852783 544 481 574 509 in
4 2 0.6737945079803467 574 483 642 509 terms
4 2 0.9922974705696106 640 481 672 509 of
4 2 0.9983023405075073 669 481 775 513 quantum
4 2 0.8993978500366211 773 479 913 509 fluctuations
4 2 0.9977508187294006 909 483 994 509 around
4 2 0.9999256134033203 994 485 1014 507 a
4 2 0.9974013566970825 1014 483 1108 507 classical
4 2 0.999283492565155 1108 481 1203 507 solution
4 2 0.9529395699501038 1200 479 1251 511 and
4 2 0.9999642372131348 1250 483 1268 507 a
4 2 0.9363111257553101 1268 479 1411 511 background-
4 3 0.9999585151672363 297 507 348 539 free
4 3 0.9618810415267944 350 509 486 539 formulation
4 3 0.9834873080253601 486 509 519 539 of
4 3 0.9739912748336792 521 513 624 539 quantum
4 3 0.999593198299408 627 511 712 543 gravity
4 3 0.999165415763855 713 509 742 539 is
4 3 0.9984526634216309 743 511 825 537 needed
4 3 0.9998176693916321 828 511 861 539 to
4 3 0.9998378753662109 861 509 952 541 analyze
4 3 0.9911960363388062 952 509 986 539 it.
4 3 0.911726713180542 991 507 1054 539 Here
4 3 0.9999387264251709 1054 513 1092 539 we
4 3 0.9914934635162354 1095 515 1135 534 use
4 3 0.9915443658828735 1138 509 1201 543 Loop
4 3 0.9983497858047485 1203 507 1318 545 Quantum
4 3 0.9983165264129639 1321 509 1412 541 Gravity
4 4 0.9995848536491394 298 539 330 567 to
4 4 0.9985507130622864 330 539 433 571 compute
4 4 0.9998495578765869 434 539 476 567 the
4 4 0.9989712238311768 478 539 597 571 amplitude
4 4 0.9987103939056396 597 539 635 567 for
4 4 0.9995458722114563 635 537 687 569 this
4 4 0.9999269247055054 688 543 780 569 process,
4 4 0.9999414682388306 783 539 813 569 in
4 4 0.9998975992202759 810 541 835 569 a
4 4 0.9935051202774048 833 537 886 569 first
4 4 0.9073247909545898 888 539 1062 571 approximation.
4 4 0.9999674558639526 1069 539 1118 565 The
4 4 0.9953380823135376 1122 541 1238 567 amplitude
4 4 0.9996129870414734 1241 539 1367 565 determines
4 4 0.9578739404678345 1371 539 1412 567 the
4 5 0.6739221215248108 297 565 421 603 tunnelling
4 5 0.9997450709342957 420 567 478 599 time
4 5 0.9984754920005798 479 575 509 595 as
4 5 0.9994696974754333 509 571 534 599 a
4 5 0.9891140460968018 534 569 630 595 function
4 5 0.9953948855400085 632 569 664 597 of
4 5 0.9999405145645142 664 569 707 597 the
4 5 0.9735633134841919 707 571 776 597 mass.
4 5 0.9991798996925354 780 567 841 599 This
4 5 0.9993494153022766 838 569 866 597 is
4 5 0.9999580383300781 866 569 911 597 the
4 5 0.8542653322219849 911 567 957 603 key
4 5 0.9994346499443054 957 567 1094 597 information
4 5 0.9990629553794861 1095 569 1128 597 to
4 5 0.9995493292808533 1130 569 1228 595 evaluate
4 5 0.9999157190322876 1230 569 1273 597 the
4 5 0.9993182420730591 1275 569 1384 595 relevance
4 5 0.9907006025314331 1384 569 1414 597 of
4 6 0.9998912811279297 298 595 350 627 this
4 6 0.9902549386024475 348 599 436 631 process
4 6 0.9996620416641235 438 597 474 625 for
4 6 0.9999760389328003 474 597 517 625 the
4 6 0.9150663614273071 517 597 680 629 interpretation
4 6 0.9900975227355957 680 597 710 625 of
4 6 0.9998904466629028 708 595 765 627 Fast
4 6 0.9999337196350098 766 599 836 625 Radio
4 6 0.9444565176963806 840 599 918 625 Bursts
4 6 0.9996055960655212 918 601 949 627 or
4 6 0.5214701890945435 949 599 1085 629 high-energy
4 6 0.9953989386558533 1085 597 1168 629 cosmic
4 6 0.9972317814826965 1167 597 1228 631 rays.
4 6 0.9995287656784058 1231 595 1286 627 The
4 6 0.9979142546653748 1284 595 1412 627 calculation
4 7 0.9999209642410278 298 625 366 657 offers
4 7 0.9999963045120239 365 627 390 657 a
4 7 0.967606782913208 388 627 494 659 template
4 7 0.9921255707740784 493 625 546 657 and
4 7 0.9987806677818298 544 629 569 657 a
4 7 0.9994356036186218 567 629 667 653 concrete
4 7 0.773696780204773 669 627 768 659 example
4 7 0.9992851614952087 768 625 800 655 of
4 7 0.9999006986618042 798 625 851 657 how
4 7 0.9999330043792725 851 627 876 657 a
4 7 0.8060829639434814 876 627 1060 657 background-free
4 7 0.9975593090057373 1060 627 1168 659 quantum
4 7 0.9997813105583191 1170 625 1248 659 theory
4 7 0.9974945783615112 1250 625 1281 655 of
4 7 0.9999346733093262 1279 627 1364 659 gravity
4 7 0.9850937128067017 1367 631 1414 655 can
5 0 0.999680757522583 298 655 335 687 be
5 0 0.9985511898994446 335 657 390 683 used
5 0 0.9999212026596069 391 657 423 685 to
5 0 0.9066281914710999 423 657 527 689 compute
5 0 0.9997867941856384 526 661 547 683 a
5 0 0.9517000913619995 547 657 660 683 realistical
5 0 0.8928424119949341 665 657 786 683 observable
5 0 0.9311112761497498 790 657 893 689 quantity.
6 0 0.986539900302887 340 741 370 771 I.
6 0 0.9873104095458984 391 741 639 771 INTRODUCTION
7 0 0.9708428978919983 878 739 939 771 time
7 0 0.9985644221305847 939 741 1020 773 region
7 0 0.9997037053108215 1020 741 1049 771 is
7 0 0.5508389472961426 1050 741 1167 773 sufficient
7 0 0.9989182949066162 1168 741 1205 773 to
7 0 0.9991446733474731 1201 739 1273 771 allow
7 0 0.9986567497253418 1273 739 1298 771 a
7 0 0.9992326498031616 1294 739 1366 771 black
7 0 0.9992094039916992 1366 739 1426 771 hole
7 0 0.9999111890792847 1427 741 1507 766 tunnel
7 0 0.9997466206550598 1510 739 1567 771 into
7 1 0.9999469518661499 879 777 898 801 a
7 1 0.9977331161499023 904 771 979 803 white
7 1 0.9999197721481323 982 771 1042 803 hole
7 1 0.9984748959541321 1049 771 1095 807 (an
7 1 0.8998222947120667 1100 769 1273 807 'anti-trapped'
7 1 0.9921706318855286 1281 773 1367 805 region,
7 1 0.9999599456787109 1376 769 1455 803 where
7 1 0.9994847774505615 1462 771 1499 803 all
7 1 0.9993683695793152 1502 771 1565 805 light
7 2 0.9999074935913086 904 898 967 932 This
7 2 0.9999731779098511 967 900 996 930 is
7 2 0.9998663663864136 996 904 1022 932 a
7 2 0.817308783531189 1024 902 1135 928 standard
7 2 0.7445924282073975 1140 898 1270 936 tunnelling
7 2 0.9792730808258057 1273 902 1439 932 phenomenon:
7 2 0.9953219294548035 1449 902 1563 928 evolution
7 3 0.9992271661758423 874 962 966 1001 spatial
7 3 0.6875075101852417 967 964 1045 999 region
7 3 0.8601928353309631 1047 962 1099 996 and
7 3 0.9991711378097534 1100 964 1187 1001 during
7 3 0.9992024302482605 1185 964 1210 996 a
7 3 0.9465226531028748 1210 966 1298 992 limited
7 3 0.965913712978363 1301 962 1369 994 time.
7 3 0.9999454021453857 1374 964 1402 994 It
7 3 0.9999421834945679 1401 964 1429 994 is
7 3 0.9997807145118713 1431 966 1543 992 therefore
7 3 0.9999788999557495 1543 968 1563 992 a
8 0 0.9994857311248779 174 807 200 842 A
8 0 0.999468982219696 205 807 307 846 striking
8 0 0.9968174695968628 312 809 443 842 realization
8 0 0.987217366695404 448 809 481 840 of
8 0 0.9999707937240601 484 812 529 840 the
8 0 0.9997839331626892 532 809 586 842 last
8 0 0.9628077745437622 592 812 687 837 decades
8 0 0.9949277639389038 692 809 722 842 is
8 0 0.9998680353164673 723 809 783 842 that
8 0 0.9999659061431885 786 816 835 842 our
8 0 0.9997639060020447 876 803 956 835 fronts
8 0 0.9966657757759094 957 805 1067 837 expand).
8 0 0.9519637227058411 1075 803 1145 835 From
8 0 0.9999986886978149 1147 801 1195 835 the
8 0 0.9923886656761169 1195 801 1298 840 outside,
8 0 0.9998077750205994 1301 805 1346 833 the
8 0 0.9933683276176453 1351 809 1441 835 process
8 0 0.9908978343009949 1445 803 1515 835 looks
8 0 0.999834418296814 1515 801 1565 835 like
8 1 0.9965558052062988 147 846 252 872 universe
8 1 0.9990134239196777 258 842 287 874 is
8 1 0.5398779511451721 293 844 396 876 teeming
8 1 0.9998520612716675 405 840 466 874 with
8 1 0.6915754079818726 474 844 655 876 gravitationally
8 1 0.9955604076385498 665 844 780 876 collapsed
8 1 0.8967301845550537 790 844 833 872 ob-
8 1 0.9999492168426514 878 842 898 865 a
8 1 0.9869979619979858 899 837 1014 870 quantum
8 1 0.9995669722557068 1017 837 1107 863 bounce
8 1 0.6286680102348328 1108 835 1140 865 of
8 1 0.9999288320541382 1140 833 1187 867 the
8 1 0.9387941956520081 1185 833 1303 872 in-falling
8 1 0.9996490478515625 1301 837 1396 870 matter,
8 1 0.9831454753875732 1399 835 1452 867 and
8 1 0.9999785423278809 1452 835 1477 865 it
8 1 0.9989280104637146 1479 835 1507 865 is
8 1 0.9948569536209106 1505 835 1565 867 akin
8 2 0.999798595905304 146 876 209 910 jects
8 2 0.8481269478797913 217 880 263 906 -or
8 2 0.3866479992866516 272 874 351 906 black
8 2 0.5436233282089233 358 874 449 906 holes'-
8 2 0.999211311340332 456 874 489 904 of
8 2 0.9984790682792664 494 874 587 906 various
8 2 0.9928163290023804 594 874 665 906 sizes.
8 2 0.9994977712631226 690 872 748 906 The
8 2 0.9995750784873962 755 878 833 904 recent
8 2 0.9999908208847046 878 867 908 898 in
8 2 0.9953864216804504 909 870 994 895 nature
8 2 0.9999765157699585 996 867 1029 898 to
8 2 0.9999905824661255 1029 867 1074 895 the
8 2 0.508371889591217 1074 865 1130 904 'big
8 2 0.9976286292076111 1127 865 1225 898 bounce'
8 2 0.9997592568397522 1230 867 1260 898 of
8 2 0.9910564422607422 1260 867 1372 900 quantum
8 2 0.9992890357971191 1376 867 1505 900 cosmology
8 2 0.8786457180976868 1510 865 1560 902 [28].
8 3 0.9982370138168335 147 938 219 971 black
8 3 0.9996316432952881 219 938 288 971 holes
8 3 0.9992682337760925 288 936 325 973 of
8 3 0.9742034673690796 323 941 466 973 unexpected
8 3 0.9997605681419373 469 938 522 971 size
8 3 0.9197415113449097 524 936 559 975 [1]
8 3 0.999645471572876 562 938 645 971 makes
8 3 0.9713762402534485 647 936 700 971 this
8 3 0.9448241591453552 705 941 835 968 conclusion
8 3 0.993817150592804 878 930 936 962 that
8 3 0.9998676776885986 939 934 1034 960 violates
8 3 0.9999940395355225 1039 932 1084 960 the
8 3 0.999235987663269 1087 934 1188 960 classical
8 3 0.9974035620689392 1191 934 1314 966 equations
8 3 0.9818446636199951 1314 932 1348 962 of
8 3 0.985917866230011 1349 934 1437 960 motion
8 3 0.9999059438705444 1441 932 1472 962 in
8 3 0.9997628331184387 1472 934 1497 962 a
8 3 0.9979793429374695 1497 934 1563 960 finite
8 4 0.9465723037719727 175 1001 285 1033 Classical
8 4 0.9993212223052979 288 1003 380 1035 general
8 4 0.9863030314445496 381 1003 498 1035 relativity
8 4 0.8333130478858948 503 1001 569 1035 (GR)
8 4 0.982312023639679 571 999 675 1037 predicts
8 4 0.999976396560669 674 1001 733 1033 that
8 4 0.9938998222351074 735 1003 833 1035 gravita-
8 4 0.9977884292602539 878 999 937 1031 very
8 4 0.9993234872817993 941 996 1052 1029 plausible
8 4 0.9803808331489563 1057 996 1221 1029 phenomenon.
8 4 0.9999039173126221 1231 996 1270 1024 Its
8 4 0.9988324046134949 1273 996 1436 1029 astrophysical
8 4 0.9994511008262634 1441 996 1562 1029 relevance,
8 5 0.8248386979103088 146 1031 247 1069 tionally
8 5 0.9939216375350952 247 1035 360 1067 collapsed
8 5 0.999439537525177 361 1035 453 1067 objects
8 5 0.9996552467346191 453 1037 498 1063 are
8 5 0.9616479277610779 498 1035 581 1061 stable:
8 5 0.9986321330070496 587 1037 649 1063 once
8 5 0.9999812841415405 647 1039 667 1063 a
8 5 0.9867636561393738 669 1035 798 1067 dynamical
8 5 0.9576970338821411 798 1031 833 1069 [2]
8 5 0.9998729228973389 876 1031 914 1059 on
8 5 0.9999923706054688 919 1029 964 1057 the
8 5 0.9705937504768372 969 1026 1042 1059 other
8 5 0.9993614554405212 1045 1026 1120 1061 hand,
8 5 0.9985364675521851 1127 1029 1231 1061 depends
8 5 0.999409556388855 1236 1033 1275 1059 on
8 5 0.9999840259552002 1278 1024 1328 1059 the
8 5 0.9944806098937988 1329 1026 1394 1059 time
8 5 0.999861478805542 1396 1026 1424 1059 it
8 5 0.9992852807044983 1429 1026 1504 1059 takes.
8 5 0.9355752468109131 1520 1029 1563 1057 Di-
8 6 0.9994983673095703 146 1069 179 1097 or
8 6 0.9982550740242004 180 1067 290 1100 trapping
8 6 0.9996980428695679 293 1067 386 1093 horizon
8 6 0.9964568018913269 391 1067 463 1093 forms
8 6 0.9990535378456116 468 1065 537 1100 (light
8 6 0.9966751337051392 541 1067 642 1093 surfaces
8 6 0.9973873496055603 642 1063 745 1102 shrink),
8 6 0.9999724626541138 745 1065 771 1097 it
8 6 0.9998699426651001 773 1065 836 1097 lasts
8 6 0.9995967745780945 878 1061 1002 1087 mensional
8 6 0.9927874207496643 1006 1061 1138 1093 arguments
8 6 0.9785667657852173 1138 1061 1233 1093 suggest
8 6 0.9998544454574585 1236 1059 1294 1091 that
8 6 0.5508131384849548 1294 1059 1462 1089 accumulation
8 6 0.9999200105667114 1465 1059 1495 1089 of
8 6 0.9989319443702698 1495 1061 1563 1087 small
8 7 0.9995123147964478 146 1095 235 1127 forever
8 7 0.9856823086738586 237 1095 275 1132 (it
8 7 0.9958057403564453 273 1097 302 1130 is
8 7 0.9999600648880005 302 1102 340 1130 an
8 7 0.5791850686073303 341 1100 423 1125 'event'
8 7 0.9974850416183472 426 1100 539 1132 horizon).
8 7 0.9995631575584412 547 1095 600 1130 But
8 7 0.9998800754547119 600 1095 655 1127 this
8 7 0.9971074461936951 655 1097 781 1130 prediction
8 7 0.9847780466079712 783 1095 835 1130 dis-
8 7 0.9960247278213501 878 1093 991 1125 quantum
8 7 0.8727613091468811 992 1093 1072 1119 effects
8 7 0.7720953822135925 1074 1089 1145 1121 could
8 7 0.9852381348609924 1143 1089 1233 1127 trigger
8 7 0.9999082088470459 1233 1089 1279 1123 the
8 7 0.9990426898002625 1278 1091 1407 1123 tunnelling
8 7 0.9841214418411255 1406 1089 1502 1127 already
8 7 0.9991612434387207 1500 1089 1565 1121 after
8 8 0.9997780919075012 146 1132 242 1164 regards
8 8 0.991124153137207 244 1132 356 1164 quantum
8 8 0.964158833026886 358 1132 443 1158 effects.
8 8 0.9527006149291992 453 1132 521 1158 Some
8 8 0.9975451827049255 524 1130 554 1160 of
8 8 0.9984484910964966 552 1132 620 1158 these
8 8 0.9961035251617432 620 1134 667 1160 are
8 8 0.6690796613693237 667 1132 793 1158 accounted
8 8 0.9992926120758057 793 1130 833 1158 for
8 8 0.9999877214431763 879 1127 899 1151 a
8 8 0.9969527721405029 899 1125 959 1151 time
8 8 0.9997708201408386 957 1127 977 1149 T
8 8 0.9974972605705261 982 1130 1011 1149 2
8 8 0.9755285382270813 1009 1119 1054 1155 m2
8 8 0.9999865293502808 1054 1123 1084 1153 in
8 8 0.9989223480224609 1084 1121 1172 1153 Planck
8 8 0.5952987670898438 1173 1123 1246 1155 units,
8 8 0.9999746084213257 1248 1121 1326 1155 where
8 8 0.915256142616272 1323 1125 1354 1153 m
8 8 0.9991307854652405 1354 1123 1381 1153 is
8 8 0.9943463206291199 1382 1123 1426 1151 the
8 8 0.9520165324211121 1427 1125 1490 1151 mass
8 8 0.9582371115684509 1490 1123 1522 1151 of
8 8 0.9999202489852905 1520 1123 1563 1151 the
8 9 0.8763754367828369 144 1160 185 1196 by
8 9 0.9992669224739075 187 1162 235 1192 the
8 9 0.9996185302734375 237 1160 320 1194 theory
8 9 0.9855024814605713 325 1162 356 1192 of
8 9 0.9966244697570801 358 1162 471 1194 quantum
8 9 0.8322637677192688 476 1160 546 1192 fields
8 9 0.9940009713172913 549 1162 687 1194 interacting
8 9 0.9998819828033447 688 1160 750 1192 with
8 9 0.9973650574684143 757 1162 833 1188 classi-
8 9 0.6395266056060791 878 1155 992 1188 collapsed
8 9 0.9985681772232056 996 1155 1075 1190 object
8 9 0.6677175164222717 1080 1153 1137 1192 [27).
8 9 0.9996746778488159 1140 1153 1203 1185 This
8 9 0.9999823570251465 1205 1153 1231 1185 is
8 9 0.9653449058532715 1231 1155 1366 1188 sufficiently
8 9 0.9993849992752075 1367 1151 1431 1192 long
8 9 0.9999902248382568 1431 1155 1460 1185 to
8 9 0.9931474328041077 1464 1155 1500 1188 be
8 9 0.9890017509460449 1499 1160 1563 1185 com-
8 10 0.9962771534919739 144 1190 189 1224 cal
8 10 0.8648049235343933 192 1192 317 1231 geometry,
8 10 0.9958808422088623 322 1192 398 1224 which
8 10 0.7816066145896912 405 1194 504 1226 predicts
8 10 0.9984111785888672 512 1194 622 1226 Hawking
8 10 0.8792374730110168 629 1194 748 1220 radiation.
8 10 0.988319993019104 763 1190 835 1222 How-
8 10 0.999823272228241 878 1188 967 1220 patible
8 10 0.9998027682304382 971 1185 1034 1218 with
8 10 0.9999524354934692 1037 1188 1082 1216 the
8 10 0.9947180151939392 1084 1185 1157 1218 black
8 10 0.9996349811553955 1160 1185 1228 1218 holes
8 10 0.999173104763031 1231 1192 1271 1218 we
8 10 0.9983059167861938 1275 1185 1372 1218 observe
8 10 0.9999793767929077 1376 1188 1406 1216 in
8 10 0.9999598264694214 1411 1188 1455 1216 the
8 10 0.9758527874946594 1459 1185 1512 1222 sky,
8 10 0.9997358918190002 1515 1185 1565 1220 but
8 11 0.9997918009757996 146 1226 212 1258 ever,
8 11 0.8148737549781799 215 1226 370 1258 macroscopic
8 11 0.9983096122741699 375 1222 444 1254 black
8 11 0.9993102550506592 446 1224 517 1256 holes
8 11 0.9986224174499512 519 1228 566 1254 are
8 11 0.9825641512870789 566 1222 622 1256 still
8 11 0.9872034192085266 624 1222 753 1261 effectively
8 11 0.9999790191650391 757 1226 833 1252 stable
8 11 0.9873785376548767 878 1220 947 1246 much
8 11 0.9924012422561646 954 1220 1044 1246 shorter
8 11 0.9999849796295166 1050 1220 1112 1246 than
8 11 0.999737560749054 1117 1216 1163 1250 the
8 11 0.9995239973068237 1167 1218 1231 1252 huge
8 11 0.9971012473106384 1233 1216 1349 1254 Hawking
8 11 0.9442778825759888 1351 1220 1499 1252 evaporation
8 11 0.9931513071060181 1505 1220 1563 1246 time
8 12 0.9965517520904541 146 1261 184 1289 on
8 12 0.9918551445007324 182 1256 307 1289 accessible
8 12 0.9974408149719238 307 1258 366 1284 time
8 12 0.9968444108963013 366 1258 441 1284 scales
8 12 0.995142936706543 453 1258 491 1286 a
8 12 0.7350916862487793 489 1256 640 1286 stellar-mass
8 12 0.94542396068573 640 1254 710 1286 black
8 12 0.9999575614929199 710 1258 765 1284 hole
8 12 0.9960047602653503 766 1258 835 1284 takes
8 12 0.9984450936317444 876 1256 909 1284 TH
8 12 0.4231936037540436 918 1254 947 1282 a
8 12 0.9354512095451355 947 1246 999 1282 m3.
8 12 0.9776073098182678 1014 1250 1125 1282 Hawking
8 12 0.9903586506843567 1132 1252 1245 1278 radiation
8 12 0.9224684238433838 1251 1248 1323 1280 could
8 12 0.9956105351448059 1328 1250 1364 1282 be
8 12 0.9999432563781738 1366 1250 1391 1282 a
8 12 0.8758727312088013 1392 1250 1563 1280 sub-dominant
8 13 0.6083992123603821 146 1284 225 1319 1050
8 13 0.9941925406455994 229 1291 318 1316 Hubble
8 13 0.9992828965187073 322 1291 393 1316 times
8 13 0.9999924898147583 393 1291 426 1319 to
8 13 0.7868413329124451 428 1295 549 1321 evaporate
8 13 0.9956361651420593 552 1291 595 1319 via
8 13 0.9881684184074402 597 1286 712 1325 Hawking
8 13 0.9968107342720032 710 1289 833 1321 radiation.
8 13 0.8268671035766602 876 1280 1044 1319 phenomenon,
8 13 0.999987006187439 1047 1280 1108 1314 with
8 13 0.9857318997383118 1110 1284 1203 1316 respect
8 13 0.9999433755874634 1206 1284 1238 1312 to
8 13 0.9999270439147949 1241 1282 1286 1310 the
8 13 0.9973981380462646 1291 1284 1386 1310 bounce.
8 13 0.9989079236984253 1397 1282 1494 1314 Writing
8 13 0.9114404320716858 1497 1282 1522 1312 h
8 13 0.9969174861907959 1522 1284 1563 1312 ex-
8 14 0.9997929930686951 147 1319 200 1353 But
8 14 0.999727189540863 200 1319 252 1353 this
8 14 0.9977350234985352 254 1323 341 1355 theory,
8 14 0.9957025647163391 341 1325 375 1353 or
8 14 0.9999010562896729 373 1325 425 1357 any
8 14 0.8076578378677368 426 1323 582 1355 perturbative
8 14 0.9589704871177673 582 1321 730 1353 formulation
8 14 0.9944414496421814 730 1321 762 1351 of
8 14 0.9985355138778687 757 1323 833 1355 quan-
8 14 0.985079824924469 876 1312 969 1351 plicitly
8 14 0.9992031455039978 967 1314 1034 1349 gives
8 14 0.9968386888504028 1034 1316 1059 1347 T
8 14 0.9964654445648193 1059 1321 1085 1340 2
8 14 0.7390845417976379 1085 1310 1188 1349 m2/Vh,
8 14 0.9995265007019043 1190 1312 1268 1344 which
8 14 0.9965080618858337 1268 1312 1382 1344 indicates
8 14 0.9999098777770996 1382 1312 1441 1344 that
8 14 0.9999969005584717 1439 1312 1494 1344 this
8 14 0.9996919631958008 1492 1314 1520 1344 is
8 14 0.9999583959579468 1519 1316 1563 1342 not
8 15 0.9985639452934265 146 1420 204 1445 ena.
8 15 0.9687609672546387 212 1413 308 1452 Among
8 15 0.9998522996902466 310 1415 380 1448 these
8 15 0.9995285272598267 380 1415 410 1448 is
8 15 0.9999750852584839 410 1413 458 1448 the
8 15 0.995970606803894 459 1413 591 1452 possibility
8 15 0.9960668683052063 592 1415 625 1445 of
8 15 0.8536796569824219 627 1413 698 1448 black
8 15 0.9921316504478455 700 1417 757 1443 hole
8 15 0.9959827661514282 760 1415 833 1450 decay
8 15 0.9988711476325989 876 1407 911 1443 of
8 15 0.9680454134941101 908 1411 1027 1437 lunar-size
8 15 0.9815401434898376 1029 1413 1095 1439 mass
8 15 0.9997122883796692 1095 1409 1168 1441 could
8 15 0.712766170501709 1168 1409 1205 1441 be
8 15 0.9986953139305115 1205 1411 1326 1443 exploding
8 15 0.9804850220680237 1328 1409 1402 1443 today
8 15 0.99111407995224 1401 1409 1454 1443 and
8 15 0.9989199638366699 1454 1409 1519 1443 yield
8 15 0.9502995610237122 1520 1411 1562 1439 ob-
8 16 0.9878299832344055 172 1478 232 1510 The
8 16 0.996832549571991 232 1478 292 1510 idea
8 16 0.9999232292175293 292 1478 343 1512 has
8 16 0.9997909665107727 343 1482 366 1512 a
8 16 0.9995338916778564 370 1480 429 1514 long
8 16 0.8825294971466064 429 1478 522 1516 history
8 16 0.9993453621864319 526 1480 579 1512 and
8 16 0.9997695088386536 581 1480 632 1512 has
8 16 0.9986862540245056 635 1482 697 1508 been
8 16 0.992874264717102 700 1480 833 1510 considered
8 16 0.9989938139915466 876 1473 923 1510 ing
8 16 0.9980142116546631 923 1473 997 1508 signal
8 16 0.9978972673416138 997 1473 1025 1506 is
8 16 0.9301677346229553 1024 1471 1182 1510 tantalisingly
8 16 0.9625482559204102 1182 1473 1271 1506 similar
8 16 0.9998136162757874 1271 1475 1304 1503 to
8 16 0.9999929666519165 1304 1473 1349 1501 the
8 16 0.999869704246521 1348 1471 1454 1510 recently
8 16 0.7869290113449097 1455 1475 1562 1501 observed
8 17 0.9999724626541138 146 1510 184 1546 by
8 17 0.5224895477294922 187 1516 310 1540 numerous
8 17 0.9979721903800964 315 1514 410 1540 authors
8 17 0.9700988531112671 415 1508 446 1549 [4
8 17 0.9628349542617798 449 1510 499 1546 24].
8 17 0.999834418296814 511 1510 597 1542 Kieffer
8 17 0.980991005897522 600 1510 652 1542 and
8 17 0.5428633093833923 657 1512 768 1544 Hajichek
8 17 0.9999643564224243 771 1510 836 1542 have
8 17 0.9989257454872131 878 1506 936 1538 Fast
8 17 0.999595582485199 941 1508 1016 1533 Radio
8 17 0.9913052916526794 1020 1508 1102 1533 Bursts
8 17 0.8400635123252869 1107 1501 1165 1544 [30].
8 17 0.9985384941101074 1170 1506 1230 1538 Fast
8 17 0.9999512434005737 1233 1508 1308 1533 Radio
8 17 0.9692400693893433 1313 1506 1397 1538 Bursts
