block line confidence X1 Y1 X2 Y2 token
0 0 0.9412600994110107 504 696 576 728 HMC
1 0 0.9707038402557373 1044 700 1173 724 RNS-HMC
2 0 0.9926421046257019 254 760 328 786 Figure
2 0 0.9996521472930908 343 756 373 786 6:
2 0 0.6005373001098633 403 758 471 784 HMC
2 0 0.9756667613983154 486 760 519 786 VS
2 0 0.7392501831054688 532 756 672 786 RNS-HMC:
2 0 0.8657228946685791 687 758 816 790 Comparing
2 0 0.9267452359199524 831 760 888 786 one-
2 0 0.9447467923164368 903 758 949 784 and
2 0 0.7118926644325256 962 756 1155 786 two-dimensional
2 0 0.9998258948326111 1172 760 1275 786 posterior
2 0 0.9792662262916565 1291 760 1402 786 marginals
2 0 0.9921099543571472 1417 756 1450 786 of
3 0 0.546870231628418 257 792 343 816 01,011,
3 0 0.411032497882843 345 790 396 816 021,
3 0 0.3098866641521454 396 790 453 816 031,
3 0 0.6045453548431396 446 788 488 816 B41
3 0 0.6671138405799866 493 788 561 814 based
3 0 0.999927282333374 561 790 597 816 on
3 0 0.9999490976333618 597 788 637 814 the
3 0 0.9978561997413635 637 788 725 820 logistic
3 0 0.9992396831512451 728 790 845 816 regression
3 0 0.9998296499252319 848 788 921 814 model
3 0 0.9992806315422058 924 788 977 814 with
3 0 0.9987714886665344 979 788 1092 812 simulated
3 0 0.997426450252533 1094 788 1152 814 data.
4 0 0.9998761415481567 250 1353 320 1385 Table
4 0 0.9981306195259094 323 1353 350 1385 1:
4 0 0.9923892617225647 358 1359 473 1385 Comparing
4 0 0.9993360638618469 476 1355 514 1383 the
4 0 0.9988480806350708 516 1359 627 1385 algorithms
4 0 0.5360091924667358 629 1355 692 1390 using
4 0 0.9956806898117065 690 1355 771 1387 logistic
4 0 0.999666690826416 773 1359 881 1385 regression
4 0 0.9269457459449768 884 1357 961 1383 models
4 0 0.9997842907905579 962 1357 1007 1383 and
4 0 0.9998441934585571 1006 1359 1040 1385 an
4 0 0.6651414036750793 1039 1355 1117 1387 elliptic
4 0 0.9989950060844421 1117 1357 1170 1383 PDE
4 0 0.9998613595962524 1172 1357 1250 1383 inverse
