block line confidence X1 Y1 X2 Y2 token
0 0 0.9110004901885986 599 369 674 395 Tahle
0 0 0.5113092660903931 675 369 705 397 2-
0 0 0.5284370183944702 712 373 853 397 Extracted
0 0 0.9994255304336548 858 373 956 397 triadic
0 0 0.17275933921337128 956 371 989 399 E
1 0 0.9993703961372375 195 633 252 666 The
1 0 0.999089241027832 252 638 335 663 triadic
1 0 0.9994742274284363 335 635 438 668 energies
1 0 0.999701201915741 436 635 491 668 and
1 0 0.9942207336425781 488 635 664 668 corresponding
1 0 0.9882057905197144 664 638 728 663 error
1 0 0.9961530566215515 728 633 788 666 bars
1 0 0.9999644756317139 786 638 830 663 are
1 0 0.9929797053337097 830 635 939 661 obtained
1 0 0.9999489784240723 939 633 977 670 by
1 0 0.9990633130073547 974 633 1037 666 time
1 0 0.9889845848083496 1035 635 1158 668 averaging
1 0 0.9997629523277283 1157 631 1205 668 the
1 0 0.9981319308280945 1203 635 1309 668 quantity
1 0 0.7739314436912537 1314 642 1339 661 -
1 0 0.18564565479755402 1333 631 1499 670 Inps/g(E)=
1 1 0.4264374077320099 195 668 252 702 BE:
1 1 0.9998001456260681 250 670 278 700 +
1 1 0.7957738041877747 278 668 310 698 In
1 1 0.9921522736549377 317 668 343 698 Z
1 1 0.999967098236084 345 666 390 700 for
1 1 0.9257621169090271 390 666 438 700 the
1 1 0.994009256362915 439 670 546 696 alliances
1 1 0.9976106882095337 552 668 624 700 (SOV
1 1 0.9995915293693542 627 666 682 700 and
1 1 0.965948760509491 683 668 763 702 +200)
1 1 0.9999310970306396 766 668 798 698 in
1 1 0.9995694756507874 803 670 866 696 EVE
1 1 0.6316261291503906 871 670 956 696 Online
1 1 0.9991400241851807 961 668 1017 702 (left
1 1 0.9934442043304443 1017 666 1072 700 and
1 1 0.9908639788627625 1075 670 1163 696 middle
1 1 0.9973433613777161 1165 668 1238 702 panel
1 1 0.9993392825126648 1241 668 1273 698 of
1 1 0.513918936252594 1271 663 1324 706 Fig
1 1 0.999504804611206 1323 666 1356 704 8)
1 1 0.9457892775535583 1356 666 1411 700 and
1 1 0.9997709393501282 1412 666 1454 700 for
1 1 0.9998819828033447 1455 670 1504 700 the
1 2 0.9763625264167786 197 794 280 820 tacked
1 2 0.9992966651916504 278 790 333 822 and
1 2 0.9985540509223938 333 792 375 820 N3
1 2 0.9977983832359314 373 788 420 822 fell
1 2 0.9941347241401672 416 792 489 825 apart
1 2 0.9994968175888062 489 792 576 825 during
1 2 0.9999903440475464 574 788 622 825 the
1 2 0.9380764365196228 620 794 733 820 tollowing
1 2 0.9865103363990784 737 794 836 820 months.
1 2 0.8419178128242493 859 792 1001 822 tematically
1 2 0.9993793964385986 1002 792 1130 825 increasing
1 2 0.9968382120132446 1132 792 1270 825 occupation
1 2 0.8894135355949402 1273 792 1411 825 probability
1 2 0.9986807703971863 1412 788 1455 822 for
1 2 0.9998088479042053 1455 792 1504 822 the
1 3 0.9574878811836243 194 822 254 857 The
1 3 0.9996172189712524 254 829 348 855 gradual
1 3 0.5594817399978638 348 827 522 857 disintegration
1 3 0.9860674738883972 522 825 554 855 of
1 3 0.9932591915130615 552 825 595 852 N3
1 3 0.999680757522583 592 822 622 855 is
1 3 0.9964876174926758 622 825 728 850 reflected
1 3 0.9999223947525024 725 825 760 852 in
1 3 0.99726402759552 758 827 783 855 a
1 3 0.9952059388160706 780 829 838 852 con-
1 3 0.9180821776390076 863 822 899 859 [+
1 3 0.9320940971374512 896 831 916 855 +
1 3 0.9616780281066895 919 822 954 859 +]
1 3 0.941538393497467 956 822 1035 855 triads
1 3 0.999789297580719 1032 825 1065 852 at
1 3 0.986454963684082 1067 825 1115 855 the
1 3 0.9929290413856506 1112 827 1167 852 cost
1 3 0.9565476179122925 1168 825 1200 852 of
1 3 0.999751627445221 1200 825 1248 855 the
1 3 0.9902161359786987 1245 827 1382 857 occupation
1 3 0.954596996307373 1387 825 1499 857 probabil-
1 4 0.9983927607536316 197 861 292 885 tinuous
1 4 0.9956228137016296 295 861 396 885 increase
1 4 0.9782733917236328 398 857 431 887 of
1 4 0.9879900813102722 429 859 527 891 entropy
1 4 0.9974294304847717 532 857 609 891 (more
1 4 0.7464040517807007 610 857 760 887 randomness
1 4 0.9997424483299255 760 857 793 887 in
1 4 0.9999613761901855 791 855 841 889 the
1 4 0.99950110912323 859 857 918 889 ities
1 4 0.9973887801170349 916 855 957 889 for
1 4 0.9999455213546753 959 859 1034 885 triads
1 4 0.9970679879188538 1035 861 1152 887 including
1 4 0.9995338916778564 1150 859 1175 889 a
1 4 0.9965481162071228 1201 859 1220 883 """"
1 4 0.9966244697570801 1223 857 1291 891 edge.
1 4 0.9998646974563599 1296 855 1359 889 This
1 4 0.998477041721344 1358 857 1386 887 is
1 4 0.8745971918106079 1386 857 1455 891 likely
1 4 0.9994869232177734 1457 859 1502 887 the
1 5 0.9379683136940002 195 891 303 923 system).
1 5 0.9999759197235107 317 889 380 921 This
1 5 0.9994373917579651 381 889 436 921 rise
1 5 0.9489679336547852 438 889 469 919 of
1 5 0.9981582760810852 471 887 519 921 the
1 5 0.7349050045013428 522 891 622 923 entropy
1 5 0.6498535871505737 627 895 705 919 comes
1 5 0.999874472618103 710 891 743 919 to
1 5 0.9999879598617554 748 898 783 917 an
1 5 0.9998923540115356 788 889 840 921 end
1 5 0.9985212683677673 859 891 934 917 result
1 5 0.9843096733093262 936 889 969 919 of
1 5 0.9996808767318726 969 891 1014 919 the
1 5 0.9960685968399048 1016 891 1099 923 easing
1 5 0.9641536474227905 1099 889 1130 919 of
1 5 0.999981164932251 1130 891 1178 921 the
1 5 0.81850665807724 1178 891 1279 917 strained
1 5 0.9990088939666748 1286 891 1394 917 relations
1 5 0.9974454641342163 1399 893 1499 917 between
1 6 0.9961022138595581 195 925 283 958 during
1 6 0.5155445337295532 283 925 512 956 August-September
1 6 0.9998770952224731 512 923 577 956 2015
1 6 0.9999433755874634 576 921 614 960 by
1 6 0.9998918771743774 612 923 690 956 which
1 6 0.9999130964279175 688 923 752 956 time
1 6 0.9999947547912598 752 925 796 953 the
1 6 0.9996429681777954 796 921 840 956 N3
1 6 0.9999972581863403 859 925 904 953 the
1 6 0.8662506937980652 909 925 989 951 blocks
1 6 0.9799208045005798 992 923 1024 953 of
1 6 0.9999163150787354 1025 925 1140 951 countries
1 6 0.9242479205131531 1145 923 1221 958 (often
1 6 0.9912768602371216 1225 925 1323 951 referred
1 6 0.7509269118309021 1326 925 1361 953 to
1 6 0.9983178377151489 1361 930 1396 956 as
1 6 0.9999884366989136 1396 925 1444 956 the
1 6 0.9479073882102966 1444 923 1500 956 """dé-"
1 7 0.999453604221344 197 960 303 983 alliances
1 7 0.9998487234115601 303 956 356 988 had
1 7 0.9815382957458496 358 956 446 988 formed
1 7 0.9999915361404419 449 960 503 986 new
1 7 0.9960570335388184 504 960 627 983 coalitions.
1 7 0.9997177720069885 640 960 742 983 Another
1 7 0.9655747413635254 745 960 836 983 distinc-
1 7 0.9860856533050537 859 958 957 990 "tente"")."
1 7 0.9377398490905762 967 956 1037 988 Thus
1 7 0.9748725891113281 1039 962 1090 986 one
1 7 0.9930421113967896 1092 962 1140 988 can
1 7 0.9998509883880615 1145 958 1241 990 identify
1 7 0.883720874786377 1246 958 1324 992 major
1 7 0.9998754262924194 1328 958 1417 990 change
1 7 0.9992386102676392 1421 958 1500 990 points
1 8 0.9994950294494629 195 990 250 1022 tive
1 8 0.9993842840194702 255 992 343 1018 feature
1 8 0.9999418258666992 348 990 378 1020 in
1 8 0.9999086856842041 383 988 431 1022 the
1 8 0.8919007182121277 434 992 494 1018 time
1 8 0.9999212026596069 499 992 571 1018 series
1 8 0.9802234172821045 574 990 607 1020 of
1 8 0.9999735355377197 610 990 655 1018 the
1 8 0.8828330636024475 660 992 757 1024 entropy
1 8 0.9986388087272644 762 990 790 1020 is
1 8 0.9999958276748657 791 988 841 1022 the
1 8 0.9998631477355957 859 990 889 1020 in
1 8 0.9998224377632141 891 990 954 1022 each
1 8 0.9820895195007324 956 992 1060 1024 political
1 8 0.9996015429496765 1064 992 1153 1024 system
1 8 0.5827943682670593 1158 992 1220 1018 from
1 8 0.9998873472213745 1223 988 1271 1022 the
1 8 0.9997336268424988 1273 992 1372 1024 changes
1 8 0.9999191761016846 1374 988 1409 1024 in
1 8 0.9996019005775452 1409 988 1457 1022 the
1 8 0.9995467066764832 1457 994 1500 1020 en-
1 9 0.9903697371482849 195 1024 263 1057 spike
1 9 0.9993502497673035 265 1024 298 1054 in
1 9 0.9277660250663757 300 1022 370 1057 April
1 9 0.9952014684677124 371 1022 443 1054 2016.
1 9 0.9996966123580933 449 1022 512 1054 This
1 9 0.9863226413726807 514 1024 594 1050 marks
1 9 0.9999831914901733 597 1024 642 1052 the
1 9 0.9925302863121033 645 1026 705 1052 next
1 9 0.9988723397254944 708 1024 778 1059 great
1 9 0.9983885288238525 780 1029 838 1054 war,
1 9 0.9952977299690247 859 1024 933 1057 tropy
1 9 0.9997952580451965 934 1026 992 1052 over
1 9 0.9507904052734375 996 1024 1065 1057 time,
1 9 0.9984007477760315 1070 1024 1147 1050 which
1 9 0.9999668598175049 1150 1020 1198 1054 the
1 9 0.9983150959014893 1203 1024 1313 1050 direction
1 9 0.9061340093612671 1318 1022 1351 1052 of
1 9 0.9989026784896851 1351 1020 1399 1054 the
1 9 0.9046408534049988 1402 1024 1500 1057 changes
1 10 0.9988083839416504 197 1059 282 1084 known
1 10 0.9992276430130005 287 1059 320 1087 as
1 10 0.9278395771980286 327 1057 416 1082 """World"
1 10 0.9997709393501282 423 1054 484 1087 War
1 10 0.9934523105621338 486 1054 551 1087 "Bee"""
1 10 0.9975026249885559 556 1059 589 1087 or
1 10 0.47239506244659424 591 1054 664 1087 """The"
1 10 0.6486890912055969 669 1057 755 1082 Casino
1 10 0.8007915019989014 760 1054 838 1089 "War"","
1 10 0.9913422465324402 859 1057 987 1089 intuitively
1 10 0.9981639981269836 991 1057 1128 1089 translating
1 10 0.9998326301574707 1127 1054 1185 1087 into
1 10 0.9987347722053528 1185 1059 1301 1084 increased
1 10 0.9984531402587891 1303 1061 1333 1080 of
1 10 0.9931281805038452 1331 1059 1450 1082 decreased
1 10 0.9961974620819092 1454 1059 1500 1093 po-
1 11 0.9998689889907837 197 1125 255 1158 war,
1 11 0.9991918206214905 258 1121 315 1155 The
1 11 0.5528672933578491 320 1127 439 1153 Imperium
1 11 0.9981870055198669 446 1125 554 1151 coalition
1 11 0.9956543445587158 559 1121 602 1155 fell
1 11 0.9997648596763611 605 1123 675 1158 apart
1 11 0.9996084570884705 679 1123 710 1153 in
1 11 0.9995526671409607 712 1121 766 1155 mid
1 11 0.9376322031021118 771 1123 838 1158 April
1 11 0.9993502497673035 859 1125 913 1160 3.1
1 11 0.9469534754753113 946 1125 1054 1158 Model
1 11 0.776797890663147 1062 1125 1270 1155 Hamiltonian
1 11 0.9998065829277039 1275 1123 1331 1162 for
1 11 0.9998672008514404 1334 1125 1414 1158 SBT
1 12 0.9988090991973877 197 1226 268 1252 3.0.2
1 12 0.9611563086509705 295 1226 363 1252 Real
1 12 0.9993298053741455 366 1226 456 1252 World
1 12 0.9997223019599915 459 1226 534 1252 data:
1 12 0.9999575614929199 542 1226 637 1258 Syrian
1 12 0.9998369216918945 642 1226 712 1252 Civil
1 12 0.9999891519546509 717 1226 780 1252 War
1 12 0.9987626075744629 780 1224 840 1256 and
1 12 0.9991831183433533 861 1216 939 1241 shown
1 12 0.9998989105224609 949 1213 982 1243 in
1 12 0.9999291896820068 992 1216 1064 1241 Table
1 12 0.9990624785423279 1074 1213 1097 1246 3
1 12 0.9924794435501099 1105 1218 1153 1243 can
