block line confidence X1 Y1 X2 Y2 token
0 0 0.9908417463302612 446 201 516 234 MCF
0 0 0.9998531341552734 519 206 599 229 WITH
0 0 0.7564018368721008 604 206 733 229 SURGERY
0 0 0.999645471572876 737 201 803 234 FOR
0 0 0.9998519420623779 803 201 874 234 LOW
0 0 0.999596893787384 879 206 1012 229 ENTROPY
0 0 0.6465186476707458 1019 206 1248 229 HYPERSURFACES
1 0 0.9998249411582947 1416 204 1449 232 22
2 0 0.9973971843719482 302 418 383 451 Since
2 0 0.9998953342437744 385 414 431 459 by
2 0 0.9384322166442871 434 423 534 449 lemma
2 0 0.9996034502983093 539 416 587 453 2.5
2 0 0.9999179840087891 592 416 649 455 the
2 0 0.9646049737930298 652 423 763 455 entropy
2 0 0.9994051456451416 768 416 818 453 for
2 0 0.9996242523193359 820 423 846 453 a
2 0 0.985249936580658 850 423 972 455 compact
2 0 0.6725568175315857 981 418 1165 457 hypersurface
2 0 0.9993724226951599 1170 414 1230 455 will
2 0 0.9998862743377686 1233 416 1275 453 be
2 0 0.9950436353683472 1279 418 1401 451 attained
2 0 0.9998722076416016 1406 414 1450 459 by
2 1 0.9999314546585083 250 461 293 489 an
2 1 0.9897993803024292 302 455 332 487 F
2 1 0.9790744185447693 338 455 484 487 functional
2 1 0.9975663423538208 496 459 614 485 centered
2 1 0.9999587535858154 622 453 659 489 in
2 1 0.9997289776802063 664 453 707 489 its
2 1 0.9679705500602722 713 464 813 487 convex
2 1 0.9898411631584167 821 453 891 494 hull,
2 1 0.9987610578536987 901 459 1012 485 without
2 1 0.9998680353164673 1020 455 1080 489 loss
2 1 0.9970622658729553 1084 453 1122 491 of
2 1 0.9997238516807556 1123 455 1270 494 generality
2 1 0.37067824602127075 1275 459 1316 496 2o
2 1 0.9998565912246704 1321 453 1353 491 is
2 1 0.9999591112136841 1354 453 1391 489 in
2 1 0.9999982118606567 1396 455 1450 489 the
2 2 0.9983540773391724 254 500 353 524 convex
2 2 0.9998970031738281 358 491 418 526 hull
2 2 0.9920905828475952 420 489 458 526 of
2 2 0.5767903923988342 458 489 526 524 M#.
2 2 0.9135443568229675 537 491 617 526 Since
2 2 0.9983036518096924 620 491 669 526 for
2 2 0.9999390840530396 670 494 740 526 such
2 2 0.42434605956077576 742 498 783 532 2O
2 2 0.9999344348907471 785 498 830 526 we
2 2 0.9996947050094604 831 494 903 526 have
2 2 0.4839361906051636 909 491 944 532 a
2 2 0.3777484893798828 937 491 1020 532 -Tol
2 2 0.4384477138519287 1022 496 1054 524 <
2 2 0.9982422590255737 1057 491 1097 528 D
2 2 0.5588998794555664 1089 483 1193 532 <0?,
2 2 0.9995324611663818 1193 500 1236 526 we
2 2 0.9980547428131104 1238 498 1289 524 see
2 2 0.9935177564620972 1293 491 1341 526 for
2 2 0.9997673630714417 1339 496 1366 526 a
2 2 0.9993396401405334 1369 496 1445 522 lower
2 3 0.9992592930793762 254 545 345 577 bound
2 3 0.9941779375076294 351 550 378 580 C
2 3 0.9999582767486572 378 552 418 577 on
2 3 0.9978362917900085 421 552 448 580 T
2 3 0.9988641738891602 453 552 496 577 we
2 3 0.999924898147583 501 545 571 577 have
2 3 0.9928474426269531 574 539 627 582 Ve
2 3 0.9986854195594788 659 554 683 573 4r
