block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 92 151 158 223 177 maries
1 1 1 2 96 233 158 333 177 extracted
1 1 1 3 93 343 158 369 183 by
1 1 1 4 92 380 158 449 177 RNES
1 1 1 5 96 460 164 492 177 are
1 1 1 6 96 503 158 527 177 of
1 1 1 7 96 535 158 605 183 higher
1 1 1 8 96 615 158 690 183 quality
1 1 1 9 92 701 158 747 177 than
1 1 1 10 91 758 164 811 177 sum-
1 1 2 1 92 151 189 223 208 maries
1 1 2 2 96 231 189 333 214 produced
1 1 2 3 97 341 189 367 214 by
1 1 2 4 96 376 189 469 214 previous
1 1 2 5 96 478 189 549 208 works.
2 1 1 1 96 150 275 210 294 Table
2 1 1 2 96 221 275 239 294 2:
2 1 1 3 96 251 275 391 294 Performance
2 1 1 4 95 402 275 529 300 comparison
2 1 1 5 93 540 281 566 294 on
2 1 1 6 92 576 275 702 300 CNN/Daily
2 1 1 7 87 713 275 764 294 Mail
2 1 1 8 96 775 278 812 294 test
2 1 2 1 96 151 310 186 329 set,
2 1 2 2 96 198 306 301 325 evaluated
2 1 2 3 96 313 306 360 325 with
2 1 2 4 96 371 306 487 331 full-length
2 1 2 5 88 498 306 523 325 Fl
2 1 2 6 96 537 306 630 325 ROUGE
2 1 2 7 93 641 312 708 325 scores
2 1 2 8 92 720 306 765 330 (%).
2 1 2 9 95 778 306 811 325 All
2 1 3 1 96 151 342 218 355 scores
2 1 3 2 93 228 336 252 355 of
2 1 3 3 92 259 336 327 355 RNES
2 1 3 4 96 338 342 370 355 are
2 1 3 5 96 380 336 504 361 statistically
2 1 3 6 96 514 336 628 361 significant
2 1 3 7 96 638 336 695 361 using
2 1 3 8 92 705 336 753 356 95%
2 1 3 9 92 764 342 811 355 con-
2 1 4 1 96 151 367 229 386 fidence
2 1 4 2 96 238 367 320 386 interval
2 1 4 3 96 329 367 376 386 with
2 1 4 4 96 384 371 462 392 respect
2 1 4 5 96 470 371 490 386 to
2 1 4 6 96 498 367 591 392 previous
2 1 4 7 96 599 367 643 386 best
2 1 4 8 96 651 367 735 386 models.
3 1 1 1 95 151 395 811 396 " "
4 1 1 1 95 151 427 811 428 " "
5 1 1 1 95 151 580 811 581 " "
6 1 1 1 95 436 395 437 643 " "
7 1 1 1 95 563 395 564 643 " "
8 1 1 1 95 691 395 692 643 " "
9 1 1 1 96 168 394 239 427 Model
9 1 1 2 82 453 398 491 417 R-1
9 1 1 3 89 581 398 621 417 R-2
9 1 1 4 90 709 399 752 417 R-L
9 1 2 1 91 168 429 244 448 Lead-3
9 1 2 2 94 454 429 500 449 39.2
9 1 2 3 87 584 429 627 448 15.7
9 1 2 4 91 709 429 755 448 35.5
9 1 3 1 93 169 460 277 485 (Nallapati
9 1 3 2 94 286 463 305 479 et
9 1 3 3 43 313 460 337 479 al.
9 1 3 4 43 347 460 409 484 2016)
9 1 3 5 95 428 455 440 489 |
9 1 3 6 96 454 460 500 479 35.4
9 1 3 7 88 584 460 627 479 13.3
9 1 3 8 95 709 460 756 479 32.6
9 1 4 1 93 169 490 277 515 (Nallapati
9 1 4 2 91 286 493 305 509 et
9 1 4 3 31 313 490 337 509 al.
9 1 4 4 31 347 490 409 514 2017)
9 1 4 5 94 428 485 440 519 |
9 1 4 6 96 454 490 500 509 39.6
9 1 4 7 95 584 490 628 509 16.2
9 1 4 8 88 709 490 755 509 35.3
9 1 5 1 95 169 521 216 545 (See
9 1 5 2 95 224 525 244 540 et
9 1 5 3 95 252 521 275 540 al.
9 1 5 4 95 285 521 348 544 2017)
9 1 5 5 95 454 521 513 540 39.53
9 1 5 6 96 584 521 641 540 17.28
9 1 5 7 91 709 521 769 540 35.38
9 1 6 1 96 168 551 218 570 NES
9 1 6 2 96 454 551 513 570 37.75
9 1 6 3 95 584 551 642 570 17.04
9 1 6 4 95 709 551 769 570 33.92
9 1 7 1 92 168 583 237 603 RNES
9 1 7 2 94 247 583 286 603 w/o
9 1 7 3 94 294 583 405 602 coherence
9 1 7 4 95 425 579 439 612 |
9 1 7 5 96 453 583 514 602 41.25
9 1 7 6 96 583 583 642 602 18.87
9 1 7 7 85 708 583 769 603 37.75
9 1 8 1 92 168 613 237 632 RNES
9 1 8 2 92 246 613 273 632 w/
9 1 8 3 96 280 613 391 632 coherence
