block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 44 540 561 546 569 |
1 1 2 1 62 546 574 586 583 050
1 1 2 2 62 602 574 619 582 100
1 1 2 3 78 632 574 649 583 150
1 1 2 4 78 662 574 680 583 200
1 1 3 1 78 539 586 593 594 Coordinate
1 1 3 2 92 596 586 623 596 along
1 1 3 3 96 626 586 641 594 the
1 1 3 4 88 645 586 665 596 loop
1 1 3 5 89 669 586 690 597 [100
1 1 3 6 74 694 586 711 597 km]
2 1 1 1 95 989 198 1198 601 " "
3 1 1 1 96 584 645 614 673 (a)
3 1 1 2 90 1066 645 1097 673 (b)
3 1 2 1 96 142 707 230 732 Figure
3 1 2 2 96 243 708 263 726 2.
3 1 2 3 95 279 705 406 726 Evolution
3 1 2 4 96 415 705 440 726 of
3 1 2 5 97 447 705 488 726 the
3 1 2 6 96 497 712 603 732 pressure
3 1 2 7 96 613 705 682 732 along
3 1 2 8 96 693 703 753 734 (half
3 1 2 9 96 760 703 795 733 of)
3 1 2 10 96 806 705 846 726 the
3 1 2 11 96 856 705 910 732 loop
3 1 2 12 96 920 705 954 726 for
3 1 2 13 96 963 705 1004 726 the
3 1 2 14 96 1013 705 1079 732 pulse
3 1 2 15 96 1088 705 1200 726 duration
3 1 2 16 61 1208 707 1239 731 ty
3 1 2 17 96 1251 715 1271 722 =
3 1 2 18 82 1283 706 1311 727 60
3 1 2 19 82 1320 712 1331 726 s
3 1 2 20 96 1342 703 1375 734 (a)
3 1 2 21 62 1386 705 1433 727 and
3 1 2 22 62 1442 707 1472 731 ty
3 1 2 23 95 1485 715 1505 722 =
3 1 2 24 96 1518 706 1560 727 120
3 1 3 1 89 142 773 152 788 s
3 1 3 2 90 166 764 209 795 (b).
3 1 3 3 96 226 766 259 787 To
3 1 3 4 96 270 766 404 793 emphasize
3 1 3 5 97 415 766 456 787 the
3 1 3 6 96 468 773 577 793 presence
3 1 3 7 96 589 766 614 787 of
3 1 3 8 96 624 767 718 793 moving
3 1 3 9 96 730 766 811 793 fronts,
3 1 3 10 96 824 766 865 788 the
3 1 3 11 96 876 773 983 793 pressure
3 1 3 12 96 995 767 1014 788 is
3 1 3 13 96 1025 766 1169 788 normalized
3 1 3 14 96 1180 768 1206 787 to
3 1 3 15 96 1217 766 1258 787 the
3 1 3 16 96 1269 773 1339 788 mean
3 1 3 17 96 1350 766 1445 788 coronal
3 1 3 18 96 1456 766 1523 788 value
3 1 3 19 96 1535 769 1559 787 at
4 1 1 1 96 141 827 198 848 each
4 1 1 2 96 210 828 274 854 time,
4 1 1 3 96 288 827 335 848 and
