block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 395 197 1305 209 " "
2 1 1 1 93 412 208 448 233 M
2 1 1 2 76 454 200 469 243 J
2 1 1 3 63 486 206 607 239 dim(Vor)
2 1 1 4 91 623 200 638 243 |
2 1 1 5 11 645 206 728 239 £3(c1)
2 1 1 6 90 748 200 763 243 |
2 1 1 7 0 767 206 857 239 H8(er)
2 1 1 8 82 873 200 885 243 |
2 1 1 9 0 902 208 928 239 £3
2 1 1 10 0 933 206 979 239 (ce)
2 1 1 11 90 999 200 1010 243 |
2 1 1 12 0 1035 208 1057 239 8
2 1 1 13 0 1062 206 1108 239 (ce)
2 1 1 14 81 1128 200 1143 243 |
2 1 1 15 20 1156 204 1190 231 He
2 1 1 16 20 1197 207 1240 239 (er,
2 1 1 17 0 1250 207 1285 239 ce)
2 1 2 1 90 616 249 744 273 Standard
2 1 2 2 86 757 249 892 273 GmsFEM
2 1 2 3 91 908 247 1082 280 (un-coupled)
2 1 3 1 96 425 292 438 315 6
2 1 3 2 96 518 292 578 315 1452
2 1 3 3 93 652 291 724 315 0.837
2 1 3 4 93 743 287 758 328 |
2 1 3 5 95 779 292 848 315 1.925
2 1 3 6 96 870 287 884 328 |
2 1 3 7 90 902 292 975 315 0.837
2 1 3 8 95 993 287 1007 328 |
2 1 3 9 96 1020 292 1107 315 30.542
2 1 3 10 96 1174 292 1260 315 13.869
2 1 4 1 96 425 332 438 355 8
2 1 4 2 96 518 332 579 355 1936
2 1 4 3 96 652 332 723 355 0.293
2 1 4 4 90 743 327 758 368 |
2 1 4 5 86 777 332 848 355 0.358
2 1 4 6 93 870 327 884 368 |
2 1 4 7 94 902 332 974 355 0.293
2 1 4 8 94 989 327 1004 368 |
2 1 4 9 96 1020 331 1108 355 26.427
2 1 4 10 96 1174 332 1260 355 11.912
2 1 5 1 96 418 372 446 394 12
2 1 5 2 96 516 372 579 395 2904
2 1 5 3 96 652 372 723 395 0.148
2 1 5 4 94 744 367 759 407 |
2 1 5 5 94 777 372 848 395 0.193
2 1 5 6 86 871 367 885 407 |
2 1 5 7 95 902 372 974 395 0.148
2 1 5 8 90 991 367 1005 407 |
2 1 5 9 96 1020 372 1107 395 23.165
2 1 5 10 96 1174 372 1260 395 10.440
2 1 6 1 96 418 412 446 435 16
2 1 6 2 96 516 412 578 435 3872
2 1 6 3 95 652 412 723 435 0.108
2 1 6 4 93 743 407 758 448 |
2 1 6 5 94 777 412 848 435 0.089
2 1 6 6 94 870 407 884 448 |
2 1 6 7 96 902 412 974 435 0.108
2 1 6 8 96 993 407 1007 448 |
2 1 6 9 96 1021 412 1107 435 17.945
2 1 6 10 94 1181 412 1252 435 8.086
2 1 7 1 96 575 452 714 482 Simplified
2 1 7 2 96 727 452 793 475 basis
2 1 7 3 93 806 452 933 475 functions
2 1 7 4 92 949 450 1123 483 (un-coupled)
2 1 8 1 95 416 489 448 529 all
2 1 8 2 96 525 494 570 517 536
2 1 8 3 94 652 494 723 517 2.343
2 1 8 4 93 743 489 758 530 |
2 1 8 5 93 777 494 848 517 3.870
