block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 454 114 652 133 DISCONTINUOUS
1 1 1 2 96 665 114 799 133 PIECEWISE
1 1 1 3 96 812 114 971 133 POLYNOMIAL
1 1 1 4 96 984 114 1084 133 NEURAL
1 1 1 5 96 1097 114 1236 133 NETWORKS
2 1 1 1 96 312 268 411 289 number
2 1 1 2 96 423 268 448 289 of
2 1 1 3 85 457 269 536 295 points
2 1 1 4 85 572 269 584 289 2
2 1 1 5 96 640 269 652 290 3
2 1 1 6 96 734 268 747 289 4
2 1 1 7 96 836 269 849 290 5
2 1 1 8 96 938 269 951 290 6
2 1 1 9 32 1037 265 1054 300 iC
2 1 1 10 95 1143 269 1156 290 8
2 1 1 11 96 1245 269 1258 290 9
2 1 1 12 95 1341 269 1368 290 10
2 1 2 1 26 383 329 463 349 Pomex
2 1 2 2 85 573 322 583 342 1
2 1 2 3 77 621 322 671 343 1.25
2 1 2 4 94 709 322 774 343 1.667
2 1 2 5 94 811 322 876 343 1.799
2 1 2 6 95 913 322 978 343 1.989
2 1 2 7 92 1014 322 1080 343 2.083
2 1 2 8 94 1116 322 1183 343 2.203
2 1 2 9 91 1218 322 1285 343 2.275
2 1 2 10 91 1321 322 1387 343 2.362
3 1 1 1 95 295 305 1405 309 " "
4 1 1 1 95 295 358 1405 362 " "
5 1 1 1 96 251 397 322 418 Table
5 1 1 2 94 335 398 354 418 2:
5 1 1 3 96 373 397 505 418 Maximum
5 1 1 4 95 514 397 638 418 overshoot
5 1 1 5 91 649 397 756 424 fraction,
5 1 1 6 12 766 405 854 426 pPn,max,
5 1 1 7 96 865 398 933 424 given
5 1 1 8 96 942 397 983 418 the
5 1 1 9 95 992 397 1091 418 number
5 1 1 10 95 1100 397 1125 418 of
5 1 1 11 96 1132 398 1211 424 points
5 1 1 12 96 1221 398 1245 418 in
5 1 1 13 96 1254 397 1295 418 the
5 1 1 14 96 1304 397 1449 424 polynomial
5 1 2 1 96 373 435 542 462 interpolation
5 1 2 2 96 555 433 590 463 (to
5 1 2 3 96 602 436 615 456 4
5 1 2 4 96 627 435 698 462 digits
5 1 2 5 96 710 435 816 456 rounded
5 1 2 6 96 828 434 878 463 up).
6 1 1 1 89 251 595 293 615 2.3
6 1 1 2 89 313 594 418 621 Weight
6 1 1 3 96 432 594 625 615 Initialization
7 1 1 1 96 298 648 389 675 Weight
7 1 1 2 96 401 648 566 669 initialization
7 1 1 3 96 577 649 596 669 is
7 1 1 4 96 608 655 621 669 a
7 1 1 5 96 632 648 692 675 huge
7 1 1 6 96 704 655 803 669 concern
7 1 1 7 97 814 648 849 669 for
7 1 1 8 96 861 648 942 669 neural
7 1 1 9 96 953 648 1068 669 networks
7 1 1 10 96 1082 646 1151 676 (Yam
7 1 1 11 96 1163 648 1209 669 and
7 1 1 12 93 1221 648 1294 670 Chow
7 1 1 13 91 1307 647 1406 676 (2000)).
7 1 1 14 97 1423 648 1449 669 In
7 1 2 1 96 250 686 298 707 this
7 1 2 2 96 312 693 393 713 paper,
7 1 2 3 96 409 686 449 707 the
7 1 2 4 96 464 686 560 713 weights
7 1 2 5 96 574 686 657 707 within
7 1 2 6 96 665 681 678 718 a
7 1 2 7 96 699 686 747 707 link
7 1 2 8 96 762 693 800 707 are
7 1 2 9 96 814 686 942 707 initialized
7 1 2 10 96 957 686 1014 707 such
7 1 2 11 95 1027 686 1081 707 that
7 1 2 12 68 1096 685 1157 714 F(x)
7 1 2 13 93 1175 685 1304 714 (Equation
7 1 2 14 93 1320 685 1326 714 )
7 1 2 15 96 1343 687 1361 707 is
7 1 2 16 96 1376 693 1390 707 a
7 1 2 17 96 1404 686 1449 707 line
7 1 3 1 96 251 730 328 744 across
7 1 3 2 96 340 723 381 744 the
7 1 3 3 96 393 723 448 749 link,
7 1 3 4 96 461 723 501 744 the
7 1 3 5 96 513 724 625 750 equation
7 1 3 6 96 637 724 655 744 is
7 1 3 7 96 667 724 735 750 given
7 1 3 8 96 747 730 771 744 as
8 1 1 1 95 760 798 768 813 "  "
9 1 1 1 95 778 798 790 813 "  "
10 1 1 1 26 766 794 782 808 Xj
10 1 1 2 26 800 800 819 801 —
10 1 1 3 87 830 795 881 813 Tmin
10 1 2 1 33 655 816 681 833 wy
10 1 2 2 86 704 818 714 825 =
10 1 2 3 48 731 781 905 861 (ta
10 1 2 4 94 931 816 961 833 Wa
10 1 2 5 78 976 811 991 831 +
10 1 2 6 78 1001 816 1042 834 Wa,
10 1 2 7 96 1414 807 1447 836 (3)
10 1 3 1 92 750 836 807 854 Tmax
10 1 3 2 80 817 841 836 842 —
10 1 3 3 92 846 836 897 854 Tmin
11 1 1 1 96 260 880 337 901 where
11 1 1 2 62 349 888 381 905 wa
11 1 1 3 96 394 881 413 901 is
11 1 1 4 96 425 880 510 901 chosen
11 1 1 5 96 521 880 579 901 with
11 1 1 6 96 591 887 604 901 a
11 1 1 7 96 616 880 718 901 uniform
11 1 1 8 96 729 880 829 901 random
11 1 1 9 96 841 880 995 901 distribution
11 1 1 10 96 1006 881 1030 901 in
11 1 1 11 96 1041 880 1082 901 the
11 1 1 12 93 1093 887 1164 907 range
11 1 1 13 84 1179 878 1229 909 [—1,
11 1 1 14 65 1238 878 1265 909 1].
11 1 2 1 96 252 919 294 939 2.4
11 1 2 2 96 314 918 452 945 Choosing
11 1 2 3 93 465 918 572 945 Ranges
11 1 2 4 90 586 926 644 943 rmin
11 1 2 5 95 658 918 712 939 and
11 1 2 6 46 725 926 788 943 Tmax
12 1 1 1 96 299 971 419 998 Choosing
12 1 1 2 96 430 978 515 998 proper
12 1 1 3 96 526 978 608 998 ranges
12 1 1 4 96 620 971 655 992 for
12 1 1 5 96 665 971 706 992 the
12 1 1 6 96 717 971 777 992 links
12 1 1 7 96 788 972 807 992 is
12 1 1 8 96 818 971 861 998 key
12 1 1 9 96 872 973 898 992 to
12 1 1 10 96 909 972 1000 998 getting
12 1 1 11 96 1011 971 1073 998 good
12 1 1 12 96 1084 971 1206 992 solutions.
12 1 1 13 96 1223 971 1273 992 The
12 1 1 14 96 1284 971 1380 998 weights
12 1 1 15 96 1392 971 1449 992 used
12 1 2 1 96 251 1010 275 1030 in
12 1 2 2 96 288 1009 328 1030 the
12 1 2 3 96 342 1009 462 1036 Lagrange
12 1 2 4 96 475 1009 620 1036 polynomial
12 1 2 5 96 633 1009 802 1036 interpolation
12 1 2 6 96 815 1009 846 1030 do
12 1 2 7 96 859 1012 900 1030 not
12 1 2 8 96 914 1016 981 1030 mark
12 1 2 9 96 994 1009 1035 1030 the
12 1 2 10 96 1048 1009 1121 1030 limits
12 1 2 11 96 1134 1009 1159 1030 of
12 1 2 12 96 1170 1009 1211 1030 the
12 1 2 13 96 1224 1009 1369 1036 polynomial
12 1 2 14 96 1382 1009 1449 1030 value
12 1 3 1 96 251 1049 333 1073 except
12 1 3 2 96 345 1047 368 1067 in
12 1 3 3 96 379 1046 419 1067 the
12 1 3 4 96 430 1046 503 1067 linear
12 1 3 5 96 513 1053 572 1067 case.
12 1 3 6 96 589 1046 673 1073 Figure
12 1 3 7 96 684 1047 696 1068 8
12 1 3 8 96 708 1046 783 1067 shows
12 1 3 9 96 794 1047 806 1068 5
12 1 3 10 96 818 1046 938 1073 Lagrange
12 1 3 11 96 948 1046 1105 1073 polynomials
12 1 3 12 96 1116 1046 1174 1067 with
12 1 3 13 96 1184 1047 1314 1067 maximum
12 1 3 14 96 1324 1046 1448 1067 overshoot
12 1 4 1 96 251 1084 285 1105 for
12 1 4 2 96 294 1084 391 1111 weights
12 1 4 3 96 400 1084 483 1105 within
12 1 4 4 96 492 1084 533 1105 the
12 1 4 5 96 542 1084 633 1105 desired
12 1 4 6 92 643 1091 714 1111 range
12 1 4 7 92 722 1097 731 1099 -
12 1 4 8 95 741 1087 796 1105 note
12 1 4 9 95 806 1084 859 1105 that
12 1 4 10 96 869 1084 924 1111 only
12 1 4 11 96 933 1085 957 1105 in
12 1 4 12 96 978 1084 1007 1105 the
12 1 4 13 97 1016 1084 1089 1105 linear
12 1 4 14 96 1098 1091 1151 1105 case
12 1 4 15 96 1160 1085 1179 1105 is
12 1 4 16 96 1188 1084 1229 1105 the
12 1 4 17 96 1238 1091 1309 1111 range
12 1 4 18 96 1318 1084 1409 1105 limited
12 1 4 19 96 1419 1084 1450 1111 by
12 1 5 1 96 263 1122 291 1143 he
12 1 5 2 96 301 1122 379 1143 values
12 1 5 3 96 389 1122 415 1143 of
12 1 5 4 96 422 1122 462 1143 the
12 1 5 5 96 472 1122 575 1149 weights.
12 1 5 6 95 591 1122 694 1148 Instead,
12 1 5 7 95 705 1122 724 1143 if
12 1 5 8 96 731 1122 772 1143 the
12 1 5 9 96 781 1122 878 1149 weights
12 1 5 10 96 888 1129 927 1143 are
12 1 5 11 96 937 1123 960 1143 in
12 1 5 12 96 982 1122 1010 1143 the
12 1 5 13 93 1020 1129 1091 1149 range
12 1 5 14 52 1104 1120 1279 1151 [—wmax,Wmax]
12 1 5 15 96 1291 1122 1349 1143 then
12 1 5 16 96 1359 1129 1372 1143 a
12 1 5 17 96 1382 1123 1449 1149 given
12 1 6 1 96 251 1159 329 1180 choice
12 1 6 2 97 340 1159 365 1180 of
12 1 6 3 96 374 1159 470 1186 weights
12 1 6 4 96 481 1159 527 1180 will
12 1 6 5 96 538 1159 642 1186 produce
12 1 6 6 96 653 1166 667 1180 a
12 1 6 7 95 677 1160 808 1180 maximum
12 1 6 8 95 818 1159 942 1180 overshoot
12 1 6 9 14 956 1167 982 1186 Pp
12 1 6 10 14 985 1167 1097 1189 maxWmax
12 1 6 11 96 1109 1159 1185 1180 Where
12 1 6 12 96 1196 1159 1274 1180 values
12 1 6 13 93 1286 1159 1311 1180 of
12 1 6 14 14 1318 1167 1398 1187 pymax
12 1 6 15 95 1411 1166 1449 1180 are
12 1 7 1 96 251 1198 318 1224 given
12 1 7 2 96 332 1198 356 1218 in
12 1 7 3 95 370 1197 441 1218 Table
12 1 7 4 95 456 1198 475 1218 2.
12 1 7 5 96 499 1197 541 1218 For
12 1 7 6 96 555 1204 569 1218 a
12 1 7 7 96 583 1198 650 1224 given
12 1 7 8 96 664 1198 740 1224 input,
12 1 7 9 95 756 1197 796 1218 the
12 1 7 10 95 810 1198 940 1218 maximum
12 1 7 11 95 954 1197 1056 1224 possible
12 1 7 12 96 1070 1200 1146 1224 output
12 1 7 13 95 1171 1197 1248 1218 would
12 1 7 14 95 1262 1197 1292 1218 be
12 1 7 15 77 1304 1205 1333 1224 pp
12 1 7 16 85 1336 1205 1448 1225 maxWmax
12 1 8 1 96 250 1235 326 1256 which
12 1 8 2 96 337 1235 406 1256 could
12 1 8 3 96 416 1235 474 1256 then
12 1 8 4 96 485 1235 514 1256 be
12 1 8 5 96 525 1235 566 1256 the
12 1 8 6 96 577 1236 645 1262 input
12 1 8 7 96 656 1237 682 1256 to
12 1 8 8 96 693 1235 733 1256 the
12 1 8 9 96 744 1237 799 1256 next
12 1 8 10 95 811 1235 866 1256 link.
12 1 8 11 96 883 1235 933 1256 The
12 1 8 12 96 944 1236 1012 1256 input
12 1 8 13 96 1024 1242 1095 1262 range
12 1 8 14 96 1106 1235 1141 1256 for
12 1 8 15 96 1152 1235 1208 1256 each
12 1 8 16 96 1219 1235 1267 1256 link
12 1 8 17 96 1278 1235 1362 1256 should
12 1 8 18 96 1373 1235 1403 1256 be
12 1 8 19 94 1414 1238 1448 1256 set
12 1 9 1 80 263 1279 276 1293 ©
12 1 9 2 6 289 1270 469 1302 [—Pn,maxWmaxs
12 1 9 3 9 475 1270 626 1302 PnmaxWmax]
12 1 9 4 85 639 1274 665 1293 to
12 1 9 5 96 676 1274 774 1293 account
12 1 9 6 96 786 1272 821 1293 for
12 1 9 7 93 831 1272 897 1293 these
12 1 9 8 92 907 1272 1051 1293 overshoots.
12 1 9 9 96 1068 1272 1119 1294 One
12 1 9 10 96 1130 1272 1246 1299 potential
12 1 9 11 96 1257 1279 1416 1299 consequence
12 1 9 12 96 1426 1272 1451 1293 of
12 1 10 1 96 263 1310 298 1331 his
12 1 10 2 96 311 1310 389 1331 choice
12 1 10 3 96 402 1310 427 1331 of
12 1 10 4 96 437 1317 508 1337 range
12 1 10 5 96 520 1311 539 1331 is
12 1 10 6 96 552 1311 609 1337 input
12 1 10 7 96 633 1310 700 1331 value
12 1 10 8 96 712 1310 789 1337 decay.
12 1 10 9 96 809 1310 923 1332 Consider
12 1 10 10 95 936 1317 950 1331 a
12 1 10 11 96 962 1317 1020 1337 deep
12 1 10 12 96 1033 1310 1137 1331 network
12 1 10 13 96 1149 1310 1207 1331 with
12 1 10 14 96 1219 1310 1274 1337 only
12 1 10 15 96 1287 1317 1330 1331 one
12 1 10 16 96 1343 1311 1394 1331 unit
12 1 10 17 96 1408 1317 1449 1337 per
12 1 11 1 96 259 1355 312 1375 ayer
12 1 11 2 94 326 1348 373 1369 and
12 1 11 3 94 386 1355 429 1369 one
12 1 11 4 96 442 1348 491 1369 link
12 1 11 5 96 512 1350 609 1369 between
12 1 11 6 96 622 1349 693 1369 units.
12 1 11 7 96 713 1348 777 1369 Each
12 1 11 8 96 790 1348 852 1375 layer
12 1 11 9 96 865 1349 883 1369 is
12 1 11 10 96 896 1348 1024 1369 initialized
12 1 11 11 96 1037 1349 1105 1375 using
12 1 11 12 93 1118 1348 1237 1369 Equation
12 1 11 13 93 1252 1346 1270 1376 ()
12 1 11 14 96 1285 1348 1343 1369 with
12 1 11 15 76 1357 1356 1387 1373 wa
12 1 11 16 95 1402 1358 1422 1365 =
12 1 11 17 95 1437 1349 1448 1369 1
12 1 12 1 96 251 1385 298 1406 and
12 1 12 2 96 312 1386 380 1412 input
12 1 12 3 93 395 1392 466 1412 range
12 1 12 4 38 483 1383 692 1415 [—pp,max,Pn,max]
12 1 12 5 96 710 1385 816 1412 Suppose
12 1 12 6 97 831 1385 871 1406 the
12 1 12 7 96 885 1386 953 1412 input
12 1 12 8 96 968 1385 1035 1406 value
12 1 12 9 93 1050 1386 1068 1406 is
12 1 12 10 3 1082 1393 1118 1411 wj,
12 1 12 11 96 1133 1385 1191 1406 then
12 1 12 12 96 1205 1392 1230 1406 as
12 1 12 13 96 1244 1385 1285 1406 the
12 1 12 14 95 1299 1386 1367 1412 input
12 1 12 15 96 1382 1385 1449 1406 value
12 1 13 1 96 255 1430 330 1444 passes
12 1 13 2 96 346 1423 449 1450 through
12 1 13 3 96 465 1430 522 1444 each
12 1 13 4 96 538 1423 599 1450 layer
12 1 13 5 96 615 1424 632 1444 it
12 1 13 6 95 649 1423 695 1444 will
12 1 13 7 95 711 1423 740 1444 be
12 1 13 8 96 756 1423 905 1450 compressed
12 1 13 9 95 921 1423 939 1444 if
12 1 13 10 57 953 1431 1011 1448 Tmax
12 1 13 11 90 1031 1433 1051 1440 =
12 1 13 12 0 1067 1431 1147 1452 Pn,max
12 1 13 13 93 1167 1428 1186 1445 >
12 1 13 14 77 1204 1431 1268 1448 Wmax
12 1 13 15 96 1286 1423 1316 1450 by
12 1 13 16 96 1332 1423 1372 1444 the
12 1 13 17 96 1388 1424 1449 1444 ratio
12 1 14 1 35 250 1458 399 1488 Wmar/Tmax.
12 1 14 2 96 416 1459 483 1481 After
12 1 14 3 96 494 1461 589 1487 passing
12 1 14 4 92 600 1460 703 1487 through
12 1 14 5 92 714 1468 730 1481 n
12 1 14 6 96 741 1460 821 1487 layers,
12 1 14 7 96 834 1460 874 1481 the
12 1 14 8 96 885 1462 972 1487 output
12 1 14 9 96 984 1460 1058 1487 signal
12 1 14 10 96 1068 1460 1115 1481 will
12 1 14 11 93 1125 1460 1155 1481 be
12 1 14 12 31 1168 1457 1345 1489 (Wmazr/Tmax)”
12 1 14 13 48 1353 1468 1399 1486 Vine
12 1 14 14 96 1416 1459 1449 1481 AS
12 1 15 1 93 251 1505 265 1519 a
12 1 15 2 93 275 1505 441 1525 consequence,
12 1 15 3 96 453 1498 493 1519 the
12 1 15 4 96 504 1500 590 1525 output
12 1 15 5 95 602 1498 662 1519 from
12 1 15 6 95 672 1498 729 1519 each
12 1 15 7 96 739 1498 801 1525 layer
12 1 15 8 96 811 1499 829 1519 is
12 1 15 9 96 840 1498 931 1525 pushed
12 1 15 10 96 941 1498 1043 1519 towards
12 1 15 11 96 1053 1498 1094 1519 the
12 1 15 12 96 1104 1498 1171 1519 value
12 1 15 13 96 1181 1499 1194 1520 0
12 1 15 14 96 1205 1498 1280 1519 which
12 1 15 15 96 1290 1505 1371 1519 means
12 1 15 16 96 1382 1498 1449 1519 fewer
12 1 16 1 95 251 1536 298 1557 and
12 1 16 2 96 310 1536 377 1557 fewer
12 1 16 3 96 389 1536 414 1557 of
12 1 16 4 96 423 1536 464 1557 the
12 1 16 5 96 476 1536 580 1557 network
12 1 16 6 96 591 1536 635 1557 sub
12 1 16 7 96 647 1536 706 1557 links
12 1 16 8 96 719 1543 757 1557 are
12 1 16 9 96 769 1536 833 1557 used.
12 1 16 10 96 850 1536 1007 1563 Fortunately,
12 1 16 11 96 1020 1538 1066 1557 two
12 1 16 12 96 1077 1536 1157 1563 things
