block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 293 350 344 363 were
1 1 2 1 44 511 434 562 464 DY,
1 1 2 2 85 573 447 591 453 =
1 1 2 3 62 602 438 652 461 Dau
1 1 2 4 74 663 449 679 451 —
1 1 2 5 20 698 438 756 461 FuFy
1 1 2 6 20 777 432 839 461 !Dyu
1 1 2 7 93 859 441 867 459 +
1 1 2 8 70 876 438 952 461 DuvG
1 1 2 9 79 962 449 978 451 —
1 1 2 10 76 996 438 1054 461 FuFy
1 1 2 11 29 1078 432 1163 461 ‘DwG
1 1 2 12 93 1394 439 1424 462 (7)
1 1 3 1 96 292 532 331 551 and
1 1 4 1 91 525 626 575 650 Quu
1 1 4 2 92 586 635 604 641 =
1 1 4 3 32 617 620 777 655 (FuFy~'Dvy
1 1 4 4 61 788 637 804 639 —
1 1 4 5 84 814 622 875 655 Duv)
1 1 4 6 0 884 620 945 649 Fy~!
1 1 4 7 64 955 624 1014 652 (Dvu
1 1 4 8 93 1024 629 1042 647 +
1 1 4 9 37 1051 625 1148 652 DwG).
1 1 4 10 96 1394 626 1424 650 (8)
2 1 1 1 96 292 720 334 739 The
2 1 1 2 96 345 720 488 739 second-order
2 1 1 3 96 499 720 658 745 approximation
2 1 1 4 96 670 720 699 744 (6)
2 1 1 5 96 711 720 801 739 contains
2 1 1 6 93 813 726 824 739 a
2 1 1 7 92 834 720 958 739 biharmonic
2 1 1 8 96 969 724 1064 745 operator.
2 1 1 9 96 1083 721 1118 739 We
2 1 1 10 96 1129 726 1166 739 can
2 1 1 11 96 1177 720 1335 745 approximately
2 1 1 12 96 1345 720 1424 745 replace
2 1 2 1 97 251 753 265 772 it
2 1 2 2 96 277 753 324 772 with
2 1 2 3 93 336 759 347 772 a
2 1 2 4 92 357 753 554 772 reaction-diffusion
2 1 2 5 96 566 757 641 778 system
2 1 2 6 96 652 753 684 772 for
2 1 2 7 96 695 753 793 772 solutions
2 1 2 8 96 805 753 871 772 which
2 1 2 9 96 883 759 915 772 are
2 1 2 10 96 927 753 1084 778 approximately
2 1 2 11 96 1096 753 1211 778 oscillatory
2 1 2 12 96 1223 753 1243 772 in
2 1 2 13 96 1255 759 1315 778 space
2 1 2 14 96 1327 753 1374 772 with
2 1 2 15 96 1386 759 1424 772 one
2 1 3 1 96 250 787 354 806 dominant
2 1 3 2 93 362 787 503 806 wavenumber
2 1 3 3 92 512 787 531 809 k,
2 1 3 4 96 540 793 563 806 so
2 1 3 5 96 571 787 612 806 that
3 1 1 1 74 739 842 790 867 Viu
3 1 1 2 9 800 853 818 864 =
3 1 1 3 23 830 842 935 867 —k?V7u.
4 1 1 1 96 250 908 306 927 Then
4 1 1 2 95 315 914 345 927 we
4 1 1 3 96 353 908 403 927 have
4 1 2 1 74 697 1001 737 1026 du
4 1 2 2 93 747 1011 765 1017 =
4 1 2 3 0 776 999 836 1028 f(a)
4 1 2 4 94 856 1005 864 1023 +
4 1 2 5 51 883 997 924 1028 DY,
