block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 478 143 602 161 DELAYED
1 1 1 2 95 615 143 794 162 ACCEPTANCE
1 1 1 3 96 808 143 889 162 MCMC
1 1 1 4 96 902 144 938 161 BY
1 1 1 5 93 951 143 1020 161 DATA
1 1 1 6 92 1034 143 1221 162 SUBSAMPLING
1 1 1 7 96 1477 144 1499 161 12
1 2 1 1 96 235 203 353 228 Sherlock
1 2 1 2 96 365 207 390 227 et
1 2 1 3 92 404 204 434 227 al.
1 2 1 4 91 452 202 553 235 (2015b)
1 2 1 5 96 571 202 607 235 (in
1 2 1 6 93 620 212 635 227 a
1 2 1 7 91 648 204 885 234 non-subsampling
1 2 1 8 96 898 202 1011 235 context)
1 2 1 9 96 1026 204 1103 234 study
1 2 1 10 96 1116 204 1160 227 the
1 2 1 11 96 1173 204 1309 228 statistical
1 2 1 12 96 1322 204 1449 234 efficiency
1 2 1 13 96 1462 203 1499 227 for
1 2 2 1 96 201 268 305 298 delayed
1 2 2 2 96 316 271 467 298 acceptance
1 2 2 3 96 478 268 585 291 random
1 2 2 4 96 596 268 660 291 walk
1 2 2 5 96 671 268 820 298 Metropolis
1 2 2 6 96 832 268 889 297 and,
1 2 2 7 96 902 276 1037 297 moreover,
1 2 2 8 96 1050 276 1083 291 an
1 2 2 9 96 1093 268 1221 298 efficiency
1 2 2 10 96 1232 268 1289 291 that
1 2 2 11 96 1301 268 1353 291 also
1 2 2 12 96 1364 268 1435 291 takes
1 2 2 13 96 1446 269 1499 291 into
1 2 3 1 96 201 335 307 355 account
1 2 3 2 96 320 332 363 355 the
1 2 3 3 95 375 332 578 362 computational
1 2 3 4 96 589 332 717 362 efficiency
1 2 3 5 96 729 332 765 355 for
1 2 3 6 96 777 332 821 355 the
1 2 3 7 96 833 340 888 355 case
1 2 3 8 96 900 332 982 355 where
1 2 3 9 96 993 332 1037 355 the
1 2 3 10 96 1048 335 1131 362 target
1 2 3 11 96 1144 333 1164 355 is
1 2 3 12 93 1175 332 1311 355 estimated
1 2 3 13 91 1325 330 1499 363 (DA-PMMH
1 2 4 1 97 201 398 226 420 in
1 2 4 2 96 239 396 340 421 Section
1 2 4 3 96 352 395 387 428 4).
1 3 1 1 96 235 461 354 485 Christen
1 3 1 2 96 369 461 419 484 and
1 3 1 3 96 435 461 484 484 Fox
1 3 1 4 96 501 459 585 492 (2005)
1 3 1 5 96 602 464 662 484 note
1 3 1 6 96 677 461 743 490 that,
1 3 1 7 96 760 461 868 484 because
1 3 1 8 96 883 461 926 484 the
1 3 1 9 96 941 462 1077 484 transition
1 3 1 10 96 1092 461 1188 484 kernels
1 3 1 11 96 1203 461 1230 484 of
1 3 1 12 96 1243 461 1307 484 both
1 3 1 13 95 1322 461 1366 484 the
1 3 1 14 95 1381 461 1433 484 MH
1 3 1 15 96 1449 461 1499 484 and
1 3 2 1 95 201 525 305 555 delayed
1 3 2 2 95 318 528 469 555 acceptance
1 3 2 3 96 483 525 534 548 MH
1 3 2 4 96 548 533 589 548 are
1 3 2 5 96 602 525 703 548 derived
1 3 2 6 96 716 524 780 548 from
1 3 2 7 96 793 525 836 548 the
1 3 2 8 96 849 533 918 548 same
1 3 2 9 91 931 525 1050 555 proposal
1 3 2 10 52 1062 533 1096 555 q,,
1 3 2 11 96 1110 525 1161 548 and
1 3 2 12 96 1173 526 1199 548 in
1 3 2 13 96 1212 525 1327 548 addition
1 3 2 14 59 1340 533 1371 553 az
1 3 2 15 92 1385 527 1405 553 <
1 3 2 16 95 1421 526 1441 554 1,
1 3 2 17 96 1456 525 1499 548 the
1 3 3 1 96 201 589 305 619 delayed
1 3 3 2 96 315 592 466 619 acceptance
1 3 3 3 96 476 589 528 612 MH
1 3 3 4 96 538 589 587 612 will
1 3 3 5 96 597 589 628 612 be
1 3 3 6 96 638 589 685 612 less
1 3 3 7 96 695 589 857 619 statistically
1 3 3 8 95 867 588 973 612 efficient
1 3 3 9 96 984 589 1048 612 than
1 3 3 10 96 1058 589 1116 612 MH.
1 3 3 11 96 1128 589 1183 612 The
1 3 3 12 96 1192 590 1313 612 intuition
1 3 3 13 97 1322 590 1342 612 is
1 3 3 14 96 1352 589 1409 612 that
1 3 3 15 95 1420 589 1499 612 under
1 3 4 1 96 200 653 271 676 these
1 3 4 2 96 286 653 428 676 conditions
1 3 4 3 96 442 653 486 676 the
1 3 4 4 96 500 653 573 676 chain
1 3 4 5 96 587 653 678 683 clearly
1 3 4 6 96 692 653 801 676 exhibits
1 3 4 7 95 815 661 830 676 a
1 3 4 8 95 843 661 912 676 more
1 3 4 9 95 925 653 1029 683 “sticky”
1 3 4 10 96 1045 653 1165 676 behavior
1 3 4 11 95 1179 653 1229 676 and
1 3 4 12 95 1244 661 1276 676 an
1 3 4 13 96 1290 654 1407 676 estimate
1 3 4 14 96 1421 653 1499 676 based
1 3 5 1 95 201 725 234 740 on
1 3 5 2 95 249 717 320 740 these
1 3 5 3 96 336 717 444 747 samples
1 3 5 4 96 460 717 509 740 will
1 3 5 5 96 525 717 588 740 have
1 3 5 6 96 604 725 619 740 a
1 3 5 7 96 634 717 713 747 larger
1 3 5 8 96 730 718 884 747 asymptotic
1 3 5 9 96 899 718 1014 740 variance
1 3 5 10 92 1031 717 1110 740 under
1 3 5 11 90 1126 716 1237 740 DA-MH
1 3 5 12 96 1253 717 1317 740 than
1 3 5 13 96 1333 717 1392 740 MH.
1 3 5 14 96 1410 717 1499 740 Notice
1 3 6 1 96 200 781 258 804 that
1 3 6 2 96 273 781 316 804 the
1 3 6 3 96 331 781 408 804 closer
1 3 6 4 76 423 789 453 809 a2
1 3 6 5 96 469 782 489 804 is
1 3 6 6 96 503 784 531 804 to
1 3 6 7 96 547 782 567 810 1,
1 3 6 8 96 583 781 626 804 the
1 3 6 9 96 641 789 709 804 more
1 3 6 10 96 724 781 886 811 statistically
1 3 6 11 96 900 781 1007 804 efficient
1 3 6 12 96 1021 781 1065 804 the
1 3 6 13 96 1080 781 1183 811 delayed
