block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 87 221 198 235 213 v
1 1 1 2 89 249 195 265 214 €
1 1 1 3 0 278 188 398 222 ext(L;y,.)
1 1 1 4 96 414 190 464 213 and
1 1 1 5 93 476 198 549 220 every
1 1 1 6 92 562 198 587 219 n,
1 1 1 7 96 600 190 671 213 there
1 1 1 8 96 683 191 703 213 is
1 1 1 9 96 716 198 731 213 a
1 1 1 10 96 742 190 810 213 word
1 1 1 11 85 822 198 838 213 x
1 1 1 12 96 851 190 912 213 such
1 1 1 13 93 924 190 981 213 that
1 1 1 14 41 997 188 1026 221 |«|
1 1 1 15 87 1042 196 1062 214 >
1 1 1 16 30 1078 188 1122 221 |u,|
1 1 1 17 96 1138 190 1188 213 and
1 1 1 18 74 1201 198 1233 213 xv
1 1 1 19 88 1247 195 1263 214 €
1 1 1 20 0 1277 189 1407 222 ext(L;,.);
1 1 1 21 93 1421 191 1488 213 since
1 1 1 22 91 1500 198 1519 213 u
1 1 2 1 95 221 231 335 253 contains
1 1 2 2 96 347 230 391 253 the
1 1 2 3 96 402 230 483 253 factor
1 1 2 4 39 494 238 535 259 wv,
1 1 2 5 96 548 230 619 253 there
1 1 2 6 96 630 231 650 253 is
1 1 2 7 96 662 238 694 253 an
1 1 2 8 96 706 238 855 253 occurrence
1 1 2 9 93 866 230 893 253 of
1 1 2 10 92 902 238 916 253 v
1 1 2 11 92 929 231 954 253 in
1 1 2 12 92 966 238 984 253 u
1 1 2 13 96 996 230 1096 253 outside
1 1 2 14 96 1107 230 1150 253 the
1 1 2 15 93 1162 230 1241 260 prefix
1 1 2 16 68 1252 238 1291 258 u,.
1 1 2 17 90 1309 230 1393 253 Hence
1 1 2 18 90 1405 238 1419 253 v
1 1 2 19 96 1431 238 1519 253 occurs
1 1 3 1 91 221 271 246 293 in
1 1 3 2 91 259 278 278 293 u
1 1 3 3 96 290 270 414 300 infinitely
1 1 3 4 96 427 278 503 300 many
1 1 3 5 96 515 271 596 293 times.
1 1 3 6 93 615 270 684 293 Thus
1 1 3 7 87 698 278 716 293 u
1 1 3 8 96 729 271 748 293 is
1 1 3 9 96 761 273 888 293 recurrent
1 1 3 10 96 902 270 952 293 and
1 1 3 11 96 964 278 1000 293 we
1 1 3 12 96 1013 270 1106 300 proved
1 1 3 13 96 1118 270 1169 293 this
1 1 3 14 96 1182 270 1346 300 implication.
1 2 1 1 96 270 310 331 333 Now
1 2 1 2 96 342 313 402 333 turn
1 2 1 3 96 413 313 440 333 to
1 2 1 4 96 451 310 495 333 the
1 2 1 5 96 506 310 638 333 backward
1 2 1 6 96 650 310 814 340 implication.
1 2 1 7 97 832 310 877 333 For
1 2 1 8 96 889 310 1014 340 arbitrary
1 2 1 9 96 1025 310 1105 333 words
1 2 1 10 91 1117 318 1164 339 u,v
1 2 1 11 90 1178 315 1194 334 €
1 2 1 12 6 1208 308 1328 341 ext(Lz.)
1 2 1 13 96 1341 310 1402 333 each
1 2 1 14 96 1413 310 1440 333 of
1 2 1 15 96 1448 310 1519 333 them
1 2 2 1 96 221 358 308 373 occurs
1 2 2 2 93 319 351 344 373 in
1 2 2 3 92 355 358 374 373 u
1 2 2 4 96 384 350 507 380 infinitely
1 2 2 5 95 518 350 595 379 often,
1 2 2 6 95 607 358 634 373 so
1 2 2 7 96 644 358 680 373 we
1 2 2 8 96 690 358 737 373 can
1 2 2 9 95 747 350 800 373 find
1 2 2 10 95 810 358 825 373 a
1 2 2 11 95 835 350 915 373 factor
1 2 2 12 96 925 350 952 373 of
1 2 2 13 96 960 350 1003 373 the
1 2 2 14 93 1014 350 1078 373 form
1 2 2 15 88 1088 358 1153 373 wwv.
1 2 2 16 95 1171 350 1232 373 This
1 2 2 17 95 1242 350 1323 373 factor
1 2 2 18 95 1333 350 1385 373 also
1 2 2 19 96 1396 358 1483 373 occurs
1 2 2 20 96 1494 351 1519 373 in
1 2 3 1 89 221 398 240 413 u
1 2 3 2 96 252 390 376 420 infinitely
1 2 3 3 96 388 390 465 419 often,
1 2 3 4 96 479 390 594 420 allowing
1 2 3 5 96 606 398 635 413 us
1 2 3 6 96 647 393 674 413 to
1 2 3 7 96 687 390 739 413 find
1 2 3 8 96 752 390 895 420 arbitrarily
1 2 3 9 96 908 390 966 420 long
1 2 3 10 96 977 390 1058 413 words
1 2 3 11 82 1070 398 1094 419 x,
1 2 3 12 88 1104 398 1118 420 y
1 2 3 13 96 1131 390 1192 413 such
1 2 3 14 93 1204 390 1261 413 that
1 2 3 15 23 1274 398 1367 420 xuwvy
1 2 3 16 96 1380 391 1399 413 is
1 2 3 17 95 1412 398 1427 413 a
1 2 3 18 95 1439 390 1519 413 factor
1 2 4 1 93 221 430 248 453 of
1 2 4 2 92 258 438 284 453 u.
1 2 4 3 93 302 430 375 453 Then
1 2 4 4 73 387 438 444 453 wwv
1 2 4 5 90 457 435 473 454 €
1 2 4 6 0 487 428 617 462 ext(L;,).
1 2 4 7 96 635 430 719 453 Hence
1 2 4 8 96 731 438 767 453 we
1 2 4 9 96 780 430 872 460 proved
1 2 4 10 93 885 430 928 453 the
1 2 4 11 91 941 430 1149 454 Restivo-Salemi
1 2 4 12 96 1162 433 1282 460 property
1 2 4 13 96 1295 430 1332 453 for
1 2 4 14 61 1345 430 1408 462 Liq.
2 1 1 1 95 1496 432 1518 433 " "
3 1 1 1 95 1516 432 1519 454 " "
4 1 1 1 95 1496 453 1518 454 " "
5 1 1 1 95 222 496 330 520 Remark
5 1 1 2 95 345 497 383 520 39.
5 1 1 3 92 400 496 422 519 It
5 1 1 4 96 434 497 454 519 is
5 1 1 5 96 466 496 547 519 worth
5 1 1 6 96 558 497 715 526 mentioning
5 1 1 7 96 726 496 784 519 that
5 1 1 8 96 796 496 833 519 for
5 1 1 9 96 845 496 918 519 small
5 1 1 10 96 930 496 1019 526 binary
5 1 1 11 95 1031 496 1166 526 languages
5 1 1 12 95 1179 496 1304 519 Theorem
5 1 1 13 96 1316 497 1346 520 37
5 1 1 14 96 1357 496 1437 519 works
5 1 1 15 96 1449 497 1475 519 in
5 1 1 16 96 1487 504 1519 519 an
5 1 2 1 96 221 536 343 559 extremal
5 1 2 2 96 357 536 428 559 form.
5 1 2 3 96 451 536 522 560 Since
5 1 2 4 90 537 534 569 559 2+
5 1 2 5 92 585 538 605 564 <
5 1 2 6 88 622 544 639 559 a
5 1 2 7 88 655 538 675 564 <
5 1 2 8 96 692 534 737 567 7/3
5 1 2 9 93 752 536 849 566 implies
5 1 2 10 39 863 534 983 567 ext(L2.)
5 1 2 11 91 999 547 1021 555 =
5 1 2 12 91 1035 534 1130 567 Fac(t),
5 1 2 13 97 1145 536 1189 559 the
5 1 2 14 93 1203 536 1326 566 language
5 1 2 15 30 1340 536 1393 568 L2,,
5 1 2 16 97 1408 536 1519 566 trivially
