block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 94 1085 167 1120 185 VI.
1 1 1 2 96 1138 166 1327 185 CONCLUSION
2 1 1 1 96 894 212 915 230 In
2 1 1 2 96 926 211 964 230 this
2 1 1 3 96 974 217 1040 236 paper,
2 1 1 4 96 1051 217 1062 230 a
2 1 1 5 96 1072 217 1116 230 new
2 1 1 6 96 1127 211 1227 236 approach
2 1 1 7 96 1237 214 1257 230 to
2 1 1 8 96 1268 214 1360 236 generate
2 1 1 9 96 1371 211 1487 236 algorithms
2 1 1 10 96 1498 211 1546 230 with
2 1 2 1 96 866 244 944 263 chaotic
2 1 2 2 96 959 244 1065 263 behaviors
2 1 2 3 96 1080 244 1096 263 is
2 1 2 4 96 1112 244 1217 269 proposed.
2 1 2 5 96 1233 244 1281 263 This
2 1 2 6 96 1296 244 1396 269 approach
2 1 2 7 96 1411 244 1428 263 is
2 1 2 8 96 1442 244 1505 263 based
2 1 2 9 96 1519 250 1546 263 on
2 1 3 1 96 866 277 898 296 the
2 1 3 2 93 908 277 1037 296 well-known
2 1 3 3 92 1046 277 1159 302 Devaney’s
2 1 3 4 96 1169 277 1292 302 topological
2 1 3 5 96 1301 277 1368 296 chaos.
2 1 3 6 96 1378 277 1420 296 The
2 1 3 7 96 1429 277 1545 302 algorithms
2 1 4 1 96 866 310 932 329 which
2 1 4 2 96 949 316 981 329 are
2 1 4 3 96 998 310 1022 329 of
2 1 4 4 96 1037 310 1125 329 iterative
2 1 4 5 96 1142 313 1210 329 nature
2 1 4 6 96 1227 316 1259 329 are
2 1 4 7 96 1276 310 1338 329 based
2 1 4 8 96 1355 316 1381 329 on
2 1 4 9 92 1398 310 1430 329 the
2 1 4 10 65 1448 310 1532 329 so-calle
2 1 5 1 96 866 344 944 363 chaotic
2 1 5 2 96 954 344 1061 363 iterations.
2 1 5 3 96 1072 344 1120 363 This
2 1 5 4 96 1130 344 1147 363 is
2 1 5 5 96 1157 344 1253 363 achieved
2 1 5 6 96 1262 344 1288 369 by
2 1 5 7 96 1299 344 1429 369 establishing
2 1 5 8 96 1434 340 1445 373 a
2 1 5 9 93 1460 344 1502 363 link
2 1 5 10 91 1511 344 1545 363 be-
2 1 6 1 96 866 380 931 396 tween
2 1 6 2 97 940 377 972 396 the
2 1 6 3 96 981 377 1060 396 notions
2 1 6 4 96 1070 377 1093 396 of
2 1 6 5 96 1100 377 1223 402 topological
2 1 6 6 96 1232 377 1293 396 chaos
2 1 6 7 96 1303 377 1341 396 and
2 1 6 8 96 1350 377 1428 396 chaotic
2 1 6 9 96 1437 377 1544 396 iterations.
2 1 7 1 96 866 410 913 429 This
2 1 7 2 96 928 410 945 429 is
2 1 7 3 96 960 410 992 429 the
2 1 7 4 96 1007 410 1048 429 first
2 1 7 5 92 1062 410 1110 429 time
2 1 7 6 96 1124 410 1165 429 that
2 1 7 7 96 1179 410 1228 429 such
2 1 7 8 96 1243 416 1267 429 an
2 1 7 9 95 1282 410 1381 435 approach
2 1 7 10 93 1396 410 1412 429 is
2 1 7 11 65 1427 410 1532 429 considere:
2 1 8 1 96 866 443 897 462 for
2 1 8 2 96 907 443 985 462 chaotic
2 1 8 3 96 996 443 1104 462 iterations.
2 1 8 4 96 1115 443 1195 466 Indeed,
2 1 8 5 96 1207 449 1237 462 we
2 1 8 6 96 1248 449 1280 462 are
2 1 8 7 96 1291 446 1325 462 not
2 1 8 8 96 1335 443 1441 462 interested
2 1 8 9 96 1452 443 1472 462 in
2 1 8 10 96 1483 443 1545 462 stable
2 1 9 1 96 867 480 926 495 states
2 1 9 2 96 936 476 960 495 of
2 1 9 3 96 968 476 1017 495 such
2 1 9 4 96 1027 476 1128 495 iterations
2 1 9 5 96 1139 482 1159 495 as
2 1 9 6 96 1170 476 1184 495 it
2 1 9 7 96 1193 476 1229 495 has
2 1 9 8 96 1240 476 1314 501 always
2 1 9 9 96 1324 476 1375 495 been
