block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 301 211 335 227 not
1 1 1 2 96 346 208 444 227 saturated
1 1 1 3 91 454 208 480 233 by
1 1 1 4 91 491 209 591 227 ResANN
1 1 1 5 95 602 208 635 230 26,
1 1 1 6 96 647 208 679 227 the
1 1 1 7 96 690 208 748 233 delay
1 1 1 8 96 760 214 842 233 appears
1 1 1 9 96 854 208 973 233 significant.
1 1 1 10 93 991 208 1067 230 Hence,
1 1 1 11 92 1079 209 1165 227 EANNs
1 1 1 12 96 1176 214 1222 233 may
1 1 1 13 96 1233 211 1267 227 not
1 1 1 14 96 1277 208 1302 227 be
1 1 1 15 96 1313 208 1345 227 the
1 1 1 16 96 1355 208 1400 227 best
1 1 2 1 96 301 238 359 257 when
1 1 2 2 96 368 238 400 257 the
1 1 2 3 96 408 238 546 263 performance
1 1 2 4 96 555 238 572 257 is
1 1 2 5 96 580 242 615 257 not
1 1 2 6 97 623 238 721 257 saturated
1 1 2 7 97 729 244 752 257 or
1 1 2 8 96 760 238 818 257 when
1 1 2 9 96 827 238 858 257 the
1 1 2 10 96 867 241 958 257 constant
1 1 2 11 97 967 238 1051 257 fraction
1 1 2 12 96 1059 238 1083 257 of
1 1 2 13 96 1089 242 1143 257 extra
1 1 2 14 95 1151 242 1194 257 cost
1 1 2 15 95 1203 238 1219 257 is
1 1 2 16 96 1228 238 1309 257 critical.
2 1 1 1 63 300 284 334 303 5.4
2 1 1 2 63 363 284 460 303 Data-set
2 1 1 3 96 468 284 577 309 Difficulty
2 1 1 4 96 586 290 659 304 versus
2 1 1 5 96 667 284 773 309 Adaptive
2 1 1 6 96 782 284 875 309 Weights
3 1 1 1 95 300 340 322 358 In
3 1 1 2 95 333 332 374 373 Fig.
3 1 1 3 70 383 332 422 373 [5c]
3 1 1 4 96 430 345 460 358 we
3 1 1 5 96 471 339 513 364 plot
3 1 1 6 96 523 339 555 358 the
3 1 1 7 93 567 339 614 358 final
3 1 1 8 92 625 339 722 358 AdaLoss
3 1 1 9 96 733 339 817 364 weights
3 1 1 10 97 828 339 852 358 of
3 1 1 11 96 861 339 893 358 the
3 1 1 12 93 905 345 959 358 same
3 1 1 13 92 970 339 1069 358 ResANN
3 1 1 14 96 1081 339 1149 358 model
3 1 1 15 96 1160 339 1238 363 (25,32)
3 1 1 16 91 1249 345 1276 358 on
3 1 1 17 58 1286 339 1398 362 CIFAR10,
3 1 2 1 88 300 370 426 393 CIFAR100,
3 1 2 2 92 438 370 477 389 and
3 1 2 3 92 488 370 567 393 SVHN,
3 1 2 4 97 579 370 599 389 in
3 1 2 5 97 609 370 667 389 order
3 1 2 6 96 677 373 697 389 to
3 1 2 7 96 708 370 765 395 study
