block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 202 228 805 230 " "
2 1 1 1 95 202 356 805 358 " "
3 1 1 1 92 492 190 587 211 finetune
3 1 1 2 64 602 186 623 222 __
3 1 1 3 96 633 194 674 211 test
3 1 1 4 96 683 190 804 218 perplexity
3 1 2 1 92 203 243 293 271 (Merity
3 1 2 2 92 302 247 323 264 et
3 1 2 3 92 332 243 366 268 al.,
3 1 2 4 96 377 243 445 269 2017)
3 1 2 5 96 525 250 554 264 no
3 1 2 6 96 693 244 744 265 58.8
3 1 3 1 96 202 277 300 314 baseline
3 1 3 2 96 525 288 554 302 no
3 1 3 3 93 655 282 706 303 58.8
3 1 3 4 91 716 291 736 302 +
3 1 3 5 88 746 282 782 303 0.3
3 1 4 1 93 203 325 276 346 sparse
3 1 4 2 91 285 319 364 339 LSTM
3 1 4 3 96 525 325 554 339 no
3 1 4 4 88 650 319 788 339 57.9+0.3
3 1 5 1 92 203 371 293 399 (Merity
3 1 5 2 92 302 375 323 392 et
3 1 5 3 92 332 371 366 396 al.,
3 1 5 4 96 377 371 445 397 2017)
3 1 5 5 96 520 378 558 399 yes
3 1 5 6 94 693 372 744 393 57.3
3 1 6 1 96 202 409 300 430 baseline
3 1 6 2 96 520 416 558 437 yes
3 1 6 3 86 650 410 707 430 56.6
3 1 6 4 86 717 419 737 430 +
3 1 6 5 94 747 410 787 430 0.2
3 1 7 1 93 203 453 276 474 sparse
3 1 7 2 90 285 447 364 467 LSTM
3 1 7 3 95 520 453 558 474 yes
3 1 7 4 95 655 447 706 468 57.0
3 1 7 5 94 716 456 736 458 +
3 1 7 6 96 746 447 782 468 0.2
4 1 1 1 95 725 282 728 467 " "
5 1 1 1 96 200 521 260 540 Table
5 1 1 2 96 271 522 287 540 1:
5 1 1 3 95 300 520 418 547 Language
5 1 1 4 96 427 519 540 547 modeling
5 1 1 5 96 549 519 584 540 for
5 1 1 6 96 592 520 645 540 PTB
5 1 2 1 96 201 558 275 583 (mean
5 1 2 2 93 285 567 305 578 +
5 1 2 3 90 316 557 393 583 stdev).
6 1 1 1 95 294 558 295 578 " "
7 1 1 1 85 201 657 220 682 is
7 1 1 2 88 233 666 254 673 =
7 1 1 3 80 266 656 291 682 h,
7 1 1 4 94 305 666 325 673 =
7 1 1 5 94 339 657 412 682 1725).
7 1 1 6 96 425 657 500 677 Dense
7 1 1 7 96 510 656 552 677 and
7 1 1 8 96 561 664 638 683 sparse
7 1 1 9 96 648 656 741 677 variants
7 1 1 10 96 751 656 805 677 have
7 1 2 1 96 201 694 236 715 the
7 1 2 2 96 250 701 310 715 same
7 1 2 3 96 323 694 415 715 number
7 1 2 4 96 427 694 453 715 of
7 1 2 5 96 463 698 594 722 parameters
7 1 2 6 93 608 694 642 715 for
7 1 2 7 90 668 694 680 715 N
7 1 2 8 96 698 704 719 711 =
