block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 202 261 223 276 19
2 1 1 1 96 201 442 223 457 20
3 1 1 1 96 201 562 221 577 21
4 1 1 1 96 201 683 222 698 22
5 1 1 1 93 201 803 222 819 23
6 1 1 1 96 201 923 223 938 24
7 1 1 1 93 201 1104 222 1119 25
8 1 1 1 95 201 1224 223 1239 26
9 1 1 1 96 201 1345 223 1360 27
10 1 1 1 95 201 1465 223 1480 28
11 1 1 1 93 201 1887 223 1903 34
12 1 1 1 94 201 2007 223 2023 36
13 1 1 1 96 243 206 289 227 and
13 1 1 2 96 301 205 329 227 A.
13 1 1 3 96 343 206 453 233 Georges,
13 1 1 4 96 466 206 522 227 New
13 1 1 5 96 534 206 555 228 J.
13 1 1 6 96 568 206 638 233 Phys.
13 1 1 7 96 653 207 691 233 10,
13 1 1 8 96 705 207 793 228 053019
13 1 1 9 95 808 204 895 234 (2008).
13 2 1 1 90 243 266 264 288 S.
13 2 1 2 93 289 266 421 293 Hellmann,
13 2 1 3 93 449 266 481 287 M.
13 2 1 4 92 506 266 575 293 Beye,
13 2 1 5 92 603 266 629 288 C.
13 2 1 6 91 655 266 732 293 Sohrt,
13 2 1 7 92 759 266 786 287 T.
13 2 1 8 91 811 266 916 293 Rohwer,
13 2 1 9 91 943 266 968 287 F.
13 2 1 10 90 993 266 1130 293 Sorgenfrei,
13 2 1 11 92 1158 266 1185 287 H.
13 2 1 12 90 1210 266 1302 292 Redlin,
13 2 1 13 88 1329 266 1361 287 M.
13 2 1 14 87 1386 266 1493 292 Kallane,
13 2 2 1 92 243 327 275 348 M.
13 2 2 2 89 288 327 554 354 Marczynski-Biihlow,
13 2 2 3 91 567 327 592 348 F.
13 2 2 4 92 605 327 714 353 Hennies,
13 2 2 5 93 728 327 760 348 M.
13 2 2 6 96 773 327 857 353 Bauer,
13 2 2 7 93 870 326 898 348 A.
13 2 2 8 42 911 327 1027 353 Féhlisch,
13 2 2 9 92 1040 327 1064 348 L.
13 2 2 10 93 1077 327 1148 354 Kipp,
13 2 2 11 92 1160 327 1197 349 W.
13 2 2 12 96 1210 327 1301 354 Wurth,
13 2 2 13 92 1324 327 1371 348 and
13 2 2 14 92 1383 327 1411 348 K.
13 2 2 15 90 1424 327 1493 349 Ross-
13 2 3 1 92 242 387 317 414 nagel,
13 2 3 2 96 330 387 438 414 Physical
13 2 3 3 96 450 387 544 409 Review
13 2 3 4 96 556 387 647 408 Letters
13 2 3 5 96 661 388 716 414 105,
13 2 3 6 96 732 388 817 409 187401
13 2 3 7 95 833 385 920 415 (2010).
13 3 1 1 92 242 447 278 469 W.
13 3 1 2 92 292 447 361 473 Shen,
13 3 1 3 92 373 447 401 468 Y.
13 3 1 4 95 415 447 457 474 Ge,
13 3 1 5 92 470 446 497 468 A.
13 3 1 6 88 510 447 538 468 Y.
13 3 1 7 93 551 447 601 473 Liu,
13 3 1 8 91 614 447 641 468 H.
13 3 1 9 91 654 447 682 469 R.
13 3 1 10 92 695 447 899 474 Krishnamurthy,
13 3 1 11 90 912 447 939 468 T.
13 3 1 12 91 952 447 975 468 P.
13 3 1 13 96 988 447 1132 473 Devereaux,
13 3 1 14 96 1155 447 1201 468 and
13 3 1 15 93 1213 447 1233 469 J.
13 3 1 16 92 1246 447 1275 468 K.
13 3 1 17 90 1288 447 1410 474 Freericks,
13 3 1 18 96 1423 447 1492 474 Phys.
13 3 2 1 94 243 507 299 529 Rev.
13 3 2 2 94 313 507 374 528 Lett.
13 3 2 3 94 389 508 445 533 112,
13 3 2 4 94 460 507 547 529 176404
13 3 2 5 96 561 505 648 535 (2014).
13 4 1 1 59 257 567 275 588 {.
13 4 1 2 93 291 567 372 594 Bovet,
13 4 1 3 93 388 567 409 589 S.
13 4 1 4 93 424 574 469 588 van
13 4 1 5 91 483 567 599 594 Smaalen,
13 4 1 6 93 614 567 642 588 H.
13 4 1 7 92 657 567 750 594 Berger,
13 4 1 8 90 765 567 793 589 R.
13 4 1 9 93 809 567 876 593 Gaal,
13 4 1 10 92 891 567 915 588 L.
13 4 1 11 74 930 567 1007 594 Forré,
13 4 1 12 90 1022 567 1046 588 L.
13 4 1 13 91 1062 567 1215 594 Schlapbach,
13 4 1 14 93 1243 567 1289 588 and
13 4 1 15 90 1303 567 1326 588 P.
13 4 1 16 91 1341 566 1408 594 Aebi,
