block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 693 424 1038 425 " "
2 1 1 1 96 700 433 720 447 Nip
3 1 1 1 91 609 460 653 478 D=
3 1 1 2 32 694 450 726 510 2,
3 1 1 3 0 735 457 786 484 [Qi
3 1 1 4 39 795 470 809 472 -
3 1 1 5 55 818 457 870 484 32)?
3 1 1 6 94 880 464 894 478 +
3 1 1 7 0 904 460 943 484 Ori
3 1 1 8 35 957 470 967 472 —
3 1 1 9 0 974 457 1043 484 2,7],
3 1 1 10 47 1327 459 1357 483 qd)
4 1 1 1 96 338 547 404 566 where
4 1 1 2 57 412 554 441 574 nj,
4 1 1 3 96 450 547 467 566 is
4 1 1 4 96 476 547 508 566 the
4 1 1 5 96 516 547 564 566 total
4 1 1 6 96 573 547 656 566 number
4 1 1 7 96 664 547 687 566 of
4 1 1 8 96 694 547 834 572 interpolation
4 1 1 9 96 841 547 908 572 points
4 1 1 10 96 916 547 936 566 in
4 1 1 11 96 945 547 977 566 the
4 1 1 12 96 985 551 1063 572 gesture
4 1 1 13 96 1072 547 1128 572 input
4 1 1 14 96 1136 550 1204 566 vector
4 1 1 15 96 1211 547 1250 566 and
4 1 1 16 49 1258 554 1289 572 xj;
4 1 1 17 96 1300 547 1316 566 is
4 1 1 18 96 1325 547 1357 566 the
4 1 2 1 92 296 583 441 605 x-component
4 1 2 2 96 450 580 474 599 of
4 1 2 3 96 481 580 513 599 the
4 1 2 4 96 524 580 551 599 ith
4 1 2 5 96 561 580 701 605 interpolation
4 1 2 6 96 710 580 766 605 point
4 1 2 7 96 775 580 795 599 in
4 1 2 8 96 805 580 837 599 the
4 1 2 9 96 847 580 889 599 first
4 1 2 10 96 898 580 921 599 of
4 1 2 11 96 929 580 961 599 the
4 1 2 12 96 971 584 1011 599 two
4 1 2 13 96 1021 580 1077 605 input
4 1 2 14 96 1086 583 1163 599 vectors
4 1 2 15 96 1173 580 1233 605 being
4 1 2 16 96 1243 580 1356 605 compared.
4 1 3 1 96 296 613 343 632 This
4 1 3 2 96 355 613 371 632 is
4 1 3 3 96 383 619 430 638 very
4 1 3 4 96 441 613 516 632 similar
4 1 3 5 96 527 616 546 632 to
4 1 3 6 95 557 613 589 632 the
4 1 3 7 95 598 613 740 638 proportional
4 1 3 8 96 750 613 813 638 shape
4 1 3 9 96 823 613 925 638 matching
4 1 3 10 95 935 613 1020 632 channel
4 1 3 11 96 1031 613 1080 632 used
4 1 3 12 97 1091 613 1111 632 in
4 1 3 13 96 1121 613 1154 632 the
4 1 3 14 95 1165 609 1267 632 SHARK?
4 1 3 15 96 1279 613 1357 638 writing
4 1 4 1 91 297 649 372 671 system
