block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 180 209 216 233 As
1 1 1 2 96 228 211 254 233 in
1 1 1 3 95 267 210 320 234 Ref.
1 1 1 4 96 337 208 375 241 [6],
1 1 1 5 96 389 210 422 233 let
1 1 1 6 95 436 218 464 233 us
1 1 1 7 95 478 210 592 233 consider
1 1 1 8 96 604 210 647 233 the
1 1 1 9 96 660 210 791 240 five-point
1 1 1 10 96 805 210 955 233 correlation
1 1 1 11 96 967 210 1082 233 function
1 1 1 12 96 1094 210 1156 233 with
1 1 1 13 96 1169 218 1216 233 one
1 1 1 14 96 1228 210 1378 240 degenerate
1 1 1 15 96 1391 210 1449 233 field
2 1 1 1 84 597 288 641 321 (V_
3 1 1 1 30 647 284 752 336 4,(2)Vau
3 1 1 2 66 764 289 798 321 (0)
3 1 1 3 41 811 290 843 321 Voz
3 1 1 4 33 851 288 887 321 (1)
3 1 1 5 33 894 290 933 321 Vag
3 1 1 6 78 941 284 992 336 (00)
3 1 1 7 51 1002 290 1038 321 Vas
3 1 1 8 51 1045 288 1105 321 ())-
3 1 1 9 95 1507 288 1567 321 (2.1)
4 1 1 1 95 181 388 236 411 Due
4 1 1 2 96 249 391 276 411 to
4 1 1 3 96 289 388 332 411 the
4 1 1 4 96 346 396 463 418 presence
4 1 1 5 96 476 388 503 411 of
4 1 1 6 96 513 388 557 411 the
4 1 1 7 96 570 388 720 418 degenerate
4 1 1 8 96 733 388 798 417 field,
4 1 1 9 96 812 388 863 411 this
4 1 1 10 96 877 388 1027 412 correlation
4 1 1 11 96 1040 388 1154 411 function
4 1 1 12 96 1167 388 1274 412 satisfies
4 1 1 13 96 1288 396 1302 411 a
4 1 1 14 96 1315 388 1407 418 partial
4 1 1 15 96 1420 388 1570 411 differential
4 1 2 1 96 132 429 259 458 equation,
4 1 2 2 96 273 428 365 451 second
4 1 2 3 96 378 428 450 451 order
4 1 2 4 96 462 429 488 451 in
4 1 2 5 0 501 436 522 457 2,
4 1 2 6 96 536 428 590 451 first
4 1 2 7 96 603 428 675 451 order
4 1 2 8 96 688 429 713 451 in
4 1 2 9 78 725 436 749 451 x.
4 1 2 10 96 768 428 813 451 For
4 1 2 11 96 825 428 869 451 the
4 1 2 12 96 881 436 1003 458 purposes
4 1 2 13 96 1016 428 1042 451 of
4 1 2 14 96 1052 428 1103 451 this
4 1 2 15 96 1116 429 1212 451 section
4 1 2 16 96 1224 429 1243 451 it
4 1 2 17 96 1256 429 1276 451 is
4 1 2 18 96 1289 429 1436 451 convenient
4 1 2 19 96 1449 431 1476 451 to
4 1 2 20 96 1489 428 1570 451 define
4 1 3 1 96 131 468 175 491 the
4 1 3 2 93 188 467 303 491 function
4 1 3 3 0 316 466 405 499 V(ulq)
4 1 3 4 96 420 476 447 491 as
5 1 1 1 95 694 619 1345 622 " "
6 1 1 1 95 1278 647 1341 648 " "
7 1 1 1 26 181 592 252 652 (Va,
7 1 1 2 0 262 606 337 639 (2)Von
7 1 1 3 21 347 606 382 639 (0)
7 1 1 4 21 392 592 622 652 Vaz(1)Vas(00)Vag
7 1 1 5 16 632 592 679 652 (a2)
7 1 1 6 95 702 625 716 627 =
7 1 1 7 60 732 596 767 631 23
7 1 1 8 92 787 606 810 639 (2
7 1 1 9 34 855 606 878 639 yy
7 1 1 10 17 937 579 983 628 He
7 1 1 11 14 1017 579 1184 648 "Dea)"""
7 1 1 12 0 1211 584 1301 643 sell
7 1 1 13 55 1382 606 1445 639 (ulq),
7 1 1 14 66 1507 606 1567 639 (2.2)
7 1 2 1 20 926 638 985 680 (x(x@
7 1 2 2 22 995 659 1015 660 —
7 1 2 3 24 1143 639 1182 661 +z
7 1 2 4 17 1197 640 1313 673 @1(0)3
8 1 1 1 96 180 730 262 753 where
8 1 1 2 96 274 730 318 753 the
8 1 1 3 96 330 730 440 753 variable
8 1 1 4 43 452 738 469 753 wu
8 1 1 5 96 482 731 501 753 is
8 1 1 6 96 514 730 610 753 related
8 1 1 7 96 622 730 684 753 with
8 1 1 8 96 696 730 740 753 the
8 1 1 9 93 753 730 875 753 variables
8 1 1 10 92 888 738 901 753 z
8 1 1 11 96 915 730 965 753 and
8 1 1 12 69 978 738 994 753 x
8 1 1 13 96 1008 738 1034 753 as
9 1 1 1 95 703 1035 1071 1037 " "
10 1 1 1 42 681 816 699 830 T
10 1 1 2 43 781 799 845 828 aD
10 1 1 3 96 971 807 997 830 dt
10 1 2 1 45 609 840 631 848 _
10 1 2 2 0 915 806 948 862 a
10 1 2 3 93 1518 830 1557 853 2.3
10 1 3 1 27 646 852 682 875 AK
10 1 3 2 27 694 850 732 883 (x)
10 1 3 3 94 763 867 773 883 Jo
10 1 3 4 51 892 854 930 887 t(1
10 1 3 5 51 942 870 962 871 —
10 1 3 6 61 974 854 1023 887 t)(1
10 1 3 7 79 1036 870 1056 871 —
10 1 3 8 38 1068 854 1106 887 xt)
10 1 3 9 61 1507 827 1567 860 ee)
10 1 4 1 7 181 927 208 950 K
10 1 4 2 7 213 925 250 958 (a)
10 1 4 3 96 265 928 285 950 is
10 1 4 4 96 297 927 341 950 the
10 1 4 5 96 354 927 447 957 elliptic
10 1 4 6 96 460 927 566 957 integral
10 1 4 7 96 579 927 605 950 of
10 1 4 8 97 616 927 659 950 the
10 1 4 9 95 672 927 725 950 first
10 1 4 10 95 739 927 799 950 kind
10 1 5 1 5 703 999 753 1033 1
10 1 5 2 81 766 992 807 1073 [
10 1 5 3 96 932 998 958 1021 dt
10 1 5 4 70 1507 1019 1567 1052 (2.4)
10 1 6 1 0 741 1045 794 1075 2so
10 1 6 2 23 829 1044 875 1079 Vt
10 1 6 3 20 880 1041 1081 1079 —HO—
10 1 6 4 40 1024 1037 1082 1083 at)’
10 1 6 5 13 1536 1041 1539 1044 ,
10 1 7 1 49 684 1178 733 1192 pa
10 1 7 2 0 771 1141 889 1202 h—*)
10 1 7 3 84 908 1180 929 1188 _
10 1 7 4 51 949 1147 1016 1198 eee
10 1 7 5 96 1507 1167 1567 1200 (2.5)
11 1 1 1 26 792 1192 809 1215 K
11 1 1 2 26 824 1190 861 1223 (a)
11 1 1 3 85 961 1193 988 1215 in
12 1 1 1 93 181 1267 231 1290 and
