block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 249 246 274 264 to
1 1 1 2 95 283 244 393 264 estimate
1 1 1 3 96 402 243 443 264 the
1 1 1 4 96 452 244 587 264 covariance
1 1 1 5 96 597 244 684 264 matrix
1 1 1 6 96 693 250 746 264 over
1 1 1 7 96 756 250 770 264 a
1 1 1 8 96 778 243 858 270 longer
1 1 1 9 96 867 243 950 270 period
1 1 1 10 96 959 243 984 264 of
1 1 1 11 96 991 244 1055 270 time,
1 1 1 12 96 1067 250 1108 270 say
1 1 1 13 96 1117 243 1160 264 five
1 1 1 14 96 1169 250 1235 270 years
1 1 1 15 96 1245 243 1280 264 for
1 1 1 16 96 1289 243 1403 270 example,
1 1 2 1 96 249 288 296 309 and
1 1 2 2 96 307 295 348 309 use
1 1 2 3 96 359 289 377 309 it
1 1 2 4 96 390 295 415 309 as
1 1 2 5 96 427 295 457 309 an
1 1 2 6 96 468 289 536 315 input
1 1 2 7 96 549 288 583 309 for
1 1 2 8 96 595 295 659 309 some
1 1 2 9 96 670 288 717 309 risk
1 1 2 10 96 728 289 865 309 estimation
1 1 2 11 96 877 288 982 309 method.
1 1 2 12 96 998 288 1025 309 In
1 1 2 13 96 1036 288 1083 309 this
1 1 2 14 96 1095 289 1169 315 spirit,
1 1 2 15 96 1182 295 1215 309 we
1 1 2 16 96 1226 291 1288 309 want
1 1 2 17 96 1300 290 1326 309 to
1 1 2 18 96 1337 288 1405 309 know
1 1 3 1 96 249 334 300 355 how
1 1 3 2 95 311 334 361 355 well
1 1 3 3 95 372 334 413 355 the
1 1 3 4 96 424 334 598 361 homogeneous
1 1 3 5 96 609 334 750 355 correlation
1 1 3 6 96 761 335 848 355 matrix
1 1 3 7 96 859 335 980 355 estimates
1 1 3 8 96 991 334 1032 355 the
1 1 3 9 96 1043 334 1097 361 risk,
1 1 3 10 96 1110 334 1192 361 taking
1 1 3 11 91 1203 334 1345 361 fluctuating
1 1 3 12 91 1356 341 1404 355 cor-
1 1 4 1 96 249 380 360 401 relations
1 1 4 2 96 371 381 421 401 into
1 1 4 3 96 432 383 539 401 account.
1 1 4 4 96 555 380 598 401 For
1 1 4 5 96 609 380 716 401 different
1 1 4 6 96 727 381 785 401 time
1 1 4 7 96 796 380 911 407 horizons,
1 1 4 8 96 923 387 956 401 we
1 1 4 9 96 967 381 1077 401 estimate
1 1 4 10 96 1088 380 1128 401 the
1 1 4 11 96 1139 380 1259 407 empirical
1 1 4 12 96 1270 381 1405 401 covariance
1 1 5 1 96 249 426 336 446 matrix
1 1 5 2 96 348 425 383 446 for
1 1 5 3 96 395 425 435 446 the
1 1 5 4 96 448 425 556 452 monthly
1 1 5 5 96 568 428 660 446 returns
1 1 5 6 96 673 425 698 446 of
1 1 5 7 96 708 425 749 446 the
1 1 5 8 93 762 424 819 447 S&P
1 1 5 9 93 833 426 876 447 500
1 1 5 10 96 889 425 974 446 stocks.
1 1 5 11 96 993 425 1033 447 We
1 1 5 12 96 1046 432 1155 452 compare
1 1 5 13 96 1167 425 1208 446 the
1 1 5 14 96 1220 425 1305 446 results
1 1 5 15 96 1317 425 1352 446 for
1 1 5 16 96 1364 425 1405 446 the
1 1 6 1 96 249 471 369 498 empirical
1 1 6 2 96 380 472 515 492 covariance
1 1 6 3 96 527 472 614 492 matrix
1 1 6 4 96 625 471 683 492 with
1 1 6 5 96 695 471 736 492 the
1 1 6 6 96 748 471 832 492 results
1 1 6 7 96 844 471 879 492 for
1 1 6 8 96 891 479 905 492 a
1 1 6 9 96 916 472 1051 492 covariance
1 1 6 10 96 1063 472 1150 492 matrix
1 1 6 11 96 1161 471 1219 492 with
1 1 6 12 96 1231 471 1404 498 homogeneous
1 1 7 1 93 249 517 389 538 correlation
1 1 7 2 92 400 519 511 538 struture.
1 1 7 3 96 528 517 571 538 For
1 1 7 4 96 582 517 639 538 each
1 1 7 5 96 650 518 707 538 time
1 1 7 6 96 719 517 815 538 horizon
1 1 7 7 96 826 524 859 538 we
1 1 7 8 96 870 517 1000 538 determine
1 1 7 9 96 1011 517 1052 538 the
1 1 7 10 93 1063 520 1197 544 parameter
1 1 7 11 92 1213 517 1225 538 N
1 1 7 12 96 1246 524 1271 538 as
1 1 7 13 96 1282 517 1405 538 described
1 1 8 1 96 249 563 272 583 in
1 1 8 2 91 287 563 376 583 section
1 1 8 3 90 393 580 396 583 .
1 1 8 4 96 421 562 447 583 In
1 1 8 5 96 462 562 576 589 addition,
1 1 8 6 96 592 569 626 583 we
1 1 8 7 95 640 563 750 583 estimate
1 1 8 8 96 764 562 805 583 the
1 1 8 9 96 819 562 954 583 volatilities
1 1 8 10 96 969 562 1016 583 and
1 1 8 11 96 1030 562 1086 583 drift
1 1 8 12 95 1101 562 1136 583 for
1 1 8 13 96 1150 562 1207 583 each
1 1 8 14 96 1221 562 1288 583 stock
1 1 8 15 95 1303 562 1350 583 and
1 1 8 16 95 1364 562 1405 583 the
1 1 9 1 96 249 615 346 635 average
1 1 9 2 93 357 608 498 629 correlation
1 1 9 3 90 509 616 527 629 c.
1 1 9 4 95 545 608 595 629 The
1 1 9 5 96 607 610 752 635 parameters
1 1 9 6 96 764 615 802 629 are
1 1 9 7 95 814 608 895 629 shown
1 1 9 8 95 906 609 930 629 in
1 1 9 9 96 942 608 1013 629 Table
1 1 9 10 95 1025 609 1045 629 2.
1 1 9 11 95 1062 608 1104 629 For
1 1 9 12 96 1116 608 1233 635 volatility
1 1 9 13 96 1245 608 1292 629 and
1 1 9 14 96 1303 608 1359 629 drift
1 1 9 15 96 1371 615 1405 629 we
1 1 10 1 96 249 654 304 681 only
1 1 10 2 96 315 654 378 675 show
1 1 10 3 95 389 654 430 675 the
1 1 10 4 95 442 661 538 681 average
1 1 10 5 93 549 654 628 675 values
1 1 10 6 86 639 657 655 675 o
1 1 10 7 96 668 654 715 675 and
1 1 10 8 0 726 657 742 682 {fi
1 1 10 9 96 754 661 807 675 over
1 1 10 10 96 819 654 848 675 all
1 1 10 11 95 860 654 945 675 stocks.
1 1 10 12 96 962 654 1045 675 Notice
1 1 10 13 92 1056 654 1109 675 that
1 1 10 14 92 1122 654 1147 675 N
1 1 10 15 96 1159 657 1221 675 must
1 1 10 16 96 1234 654 1263 675 be
1 1 10 17 96 1275 661 1305 675 an
1 1 10 18 96 1316 655 1405 681 integer
1 1 11 1 96 249 700 272 720 in
1 1 11 2 95 283 706 325 720 our
1 1 11 3 96 336 699 479 720 simulation.
1 1 11 4 96 496 699 586 726 During
1 1 11 5 96 596 699 637 720 the
1 1 11 6 96 648 699 758 720 financial
